14年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:14,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瀬戸内海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂデヴァスタシオン, 51,岩田康,, 65,   0,*  7, 5,  7.8,⑤⑤③, 1,13,Ｅハッピｰロｰド, 62,秋山真,, 69,  -2,* 10, 7, 17.5,⑮⑪⑩, 1, 3,Ｈケンブリッジギルド, 71,藤田伸,, 73,  -2,* 17, 6,  9.4, ⑫⑩, 1,11,Ｂグランデアモｰレ, 74,川田将,, 81,   6,*  9, 4,  6.9, ⑧⑧
 2, 8,Ｄライドオンウインド, 48,古川吉, 0.5, 63,*  2,*  1, 4,  7.2,①①①, 2,10,Ｊメイショウセイウン, 54,武幸四, 0.2, 70,*  2,   1,11, 76.9,②②①, 2, 5,Ａロｰドフォワｰド, 76,北村友, 0.1, 71,   1,  13, 3,  7.0, ⑨⑦, 2, 3,Ａロノ, 74,福永祐, 0.2, 78,   1,* 13, 2,  6.0, ⑯⑯
 3,12,Ｉヤマカツライデン, 45,池添謙, 1.0, 58,  -1,*  0, 1,  3.9,⑦⑥④, 3, 8,Ｃストライキングアイ, 65,川田将, 0.3, 68,   0,   2, 2,  5.4,③④⑤, 3,15,Ｂケッキセヨ, 74,義英真, 0.3, 66,* 11,  -3, 5,  9.4, ①①, 3,14,Ｅアドマイヤコリン, 72,岩田康, 0.2, 79,   2,* 12, 8, 20.0, ⑮⑭
 4,13,Ａブルｰガｰディアン, 52,藤岡佑, 1.3, 56,*  1,  -5, 3,  6.1,③③②, 4,14,Ｉトレモロアｰム, 56,岩田康, 0.7, 64,   0,   1, 3,  6.2,⑦⑥⑥, 4, 1,Ｉプライムグロｰリｰ, 69,浜中俊, 0.3, 68,*  8,   1, 2,  4.8, ③③, 4, 4,Ｄキンシノキセキ, 72,武豊  , 0.4, 75,   2,   7, 1,  3.4, ⑬⑬
 5, 3,Ｊタガノアルデ, 44,福永祐, 2.0, 52,   0,  -9, 8, 24.3,④④⑤, 5,12,Ａスギノゼウス, 66,北村友, 0.7, 64,  -1,   3, 1,  2.9,⑨⑩⑦, 5,11,Ｃマｰクスマン, 73,池添謙, 0.3, 69,  -6,* 19, 4,  8.3, ⑮⑯, 5, 6,Ｏダｰクマレイン, 67,ペロヴ, 0.4, 76,   4,   5, 9, 21.6, ⑪⑪
 6, 9,Ｇキトラ, 47,岩崎翼, 2.2, 51,  -2,  -6,15,220.0,⑧⑩⑨, 6, 4,Ｄワンダｰビゴロｰソ, 63,松若風, 1.2, 62,  -3,   2, 6, 12.3,⑭⑫⑪, 6, 9,Ｆヴェアデイロス, 72,岩崎翼, 0.3, 70,  -6,* 19,12, 42.4, ⑯⑭, 6, 7,Ｐキンショｰユウジャ, 66,松山弘, 0.5, 76,* 10,  -3,18,275.3, ③④
 7, 7,Ｅメイショウカシュウ, 48,太宰啓, 2.8, 49,  -1, -12, 6, 10.8,⑥⑦⑦, 7, 2,Ｇワルガキ, 57,ペロヴ, 1.9, 57,   0,  -9, 4,  7.0,⑩⑦⑧, 7,12,Ｄゼロワンシンジロｰ, 73,幸英明, 0.6, 67,   2,   6,11, 38.4, ⑦⑤, 7,12,Ｈフェブノヘア, 70,酒井学, 0.6, 73,   3,   4,10, 34.6, ⑫⑫
 8,16,Ｆクラウンフレイム, 48,北村友, 2.8, 47,  -3, -10,13, 51.3,⑫⑪⑪, 8,16,Ｂメイショウマツシマ, 66,武豊  , 1.9, 57,   1, -11, 5,  7.4,⑥⑤③, 8, 6,Ｍショウナンサンタ, 58,国分恭, 0.7, 65,   0,   9, 7, 12.5, ⑥⑪, 8,16,Ｉダンツミュｰタント, 70,太宰啓, 0.6, 74,   7,  -1, 3,  6.5, ⑨⑥
 9,10,Ｈタガノアラシ, 46,幸英明, 3.2, 45,  -1, -16, 2,  4.6,⑨⑧⑧, 9,15,Ｌシゲルヒダカ, 49,藤岡康, 2.3, 55,  -4,  -6, 9, 28.0,⑯⑮⑫, 9,10,Ｇアドマイヤオウジャ, 71,岩田康, 0.7, 66,   0,   9, 1,  3.5, ⑪⑧, 9,10,Ｑラｰストチカ, 66,藤岡康, 0.8, 71,   4,   0, 5,  8.3, ⑩⑩
10, 4,Ｍアスタキサンチン, 43,菱田裕, 3.3, 44,  -4, -10,11, 31.4,⑭⑯⑮,10,11,Ｈトｰワクリステル, 57,福永祐, 2.3, 53,*  1, -17, 8, 18.8,④③②,10, 2,Ｅオｰバｰヘッド, 72,菱田裕, 0.8, 64,  -4,  12,15,280.0, ⑬⑬,10, 5,Ｋプレノタｰト, 69,武幸四, 0.8, 71,  -1,   6,11, 45.2, ⑰⑰
11, 2,Ｎミスタｰベアｰ, 40,小崎綾, 3.4, 44,  -5, -11, 9, 27.4,⑩⑮⑭,11, 5,Ｆスペｰスカウボｰイ, 61,義英真, 2.4, 51,  -4,  -7,12,102.0,⑫⑬⑮,11, 7,Ｌマコトサダイジン, 63,和田竜, 1.1, 63,   4,   1,10, 28.8, ④④,11,18,Ｇアットウィル, 70,幸英明, 0.8, 72,* 10,  -8, 6, 12.3, ④③
12, 5,Ｃミトノゴｰルド, 49,秋山真, 3.4, 43,  -4, -13,12, 35.7,⑪⑬⑩,12, 6,Ｋキクノユニゾン, 52,藤岡佑, 2.8, 50,  -1, -16,10, 46.3,⑧⑧⑨,12, 8,Ｋサフランスカイ, 67,小崎綾, 1.3, 60,   0,   2, 8, 16.3, ⑤⑨,12, 9,Ｌメイケイペガムｰン, 68,田中健, 0.8, 73,* 13, -12,12, 66.1, ①①
13, 1,Ｌコパノジョｰジ, 44,藤岡康, 3.8, 41,  -4, -17, 7, 16.4,⑬⑫⑬,13, 3,Ｍプレシャスフェリス, 46,藤懸貴, 3.6, 46,  -6, -13,16,359.4,⑬⑯⑭,13,13,Ｊペガサスヒルズ, 68,松若風, 1.4, 59,   1,   0,14,140.4, ⑧⑥,13,15,Ｃマイネノンノ, 73,和田竜, 0.9, 72,   8,  -7, 7, 12.7, ⑤⑦
14, 6,Ｋアイファｰマグオｰ, 44,藤懸貴, 4.5, 37,  -5, -21,10, 31.0,⑮⑭⑯,14, 1,Ｐフラッグディｰル, 39,高倉稜, 4.8, 39,  -5, -26,15,243.0,⑪⑭⑯,14,14,Ｏトットコ, 53,藤岡康, 1.4, 62,  -4,   8,16,320.0, ⑭⑮,14, 1,Ｊツヨシノブルｰム, 70,小林徹, 1.0, 68,   2,   1,17,196.0, ⑭⑮
15,14,Ｐワｰルドカップ, 23,佐久間, 4.5, 37,  -2, -25,14,161.0,⑯⑨⑫,15, 7,Ｎトウカイラッキｰ, 44,国分優, 5.0, 36,*  2, -41,14,211.9,①①④,15, 4,Ｎビｰビｰブレイン, 55,松田大, 1.9, 55,  -2,   0,13, 93.2, ⑩⑫,15, 8,Ｆマイティｰスコｰル, 71,池添謙, 1.0, 68,  -2,   6,15, 85.2, ⑱⑱
16,11,Ｏハｰトフルモトヒメ, 39,小林徹, 5.1, 33,   0, -37,16,280.4,②②⑥,16, 9,Ｏサトノクリｰド, 40,小崎綾, 8.8,  7,  -3, -63,13,109.6,⑤⑨⑬,16,16,Ｐビバワｰルド, 39,水口優, 2.6, 50,* 10, -21, 9, 24.8, ②②,16,17,Ｎオｰスミマイカ, 67,鮫島良, 1.1, 70,   8,  -9,13, 72.6, ⑥⑤
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,13,Ｒデンコウデア, 63,川島信, 1.1, 69,* 11, -14,16,144.0, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｍプルｰフポジティブ, 67,森一馬, 1.3, 65,   6,  -9,14, 80.1, ⑦⑨
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,
"単勝:780円 複勝:15=260円 08=190円 12=160円 枠連:1,840円",,,,,,,,,,,,"単勝:1,750円 複勝:13=540円 10=1,850円 08=210円 枠連:9,880円",,,,,,,,,,,,"単勝:940円 複勝:03=270円 05=260円 15=270円 枠連:2,230円",,,,,,,,,,,,単勝:690円 複勝:11=300円 03=230円 14=630円 枠連:620円,,,,,,,,,,,
"馬連:3,000円 ワイド:08-15=900円 12-15=750円 08-12=590円",,,,,,,,,,,,"馬連:74,070円 ワイド:10-13=17,120円 08-13=1,630円 08-10=5,420円",,,,,,,,,,,,"馬連:2,660円 ワイド:03-05=900円 03-15=1,240円 05-15=900円",,,,,,,,,,,,"馬連:2,520円 ワイド:03-11=940円 11-14=3,260円 03-14=2,050円",,,,,,,,,,,
"馬単:5,810円 3連複:3,880円 3連単:31,860円",,,,,,,,,,,,"馬単:110,310円 3連複:98,250円 3連単:749,650円",,,,,,,,,,,,"馬単:4,500円 3連複:7,010円 3連単:40,940円",,,,,,,,,,,,"馬単:4,550円 3連複:18,250円 3連単:81,800円",,,,,,,,,,,
■ 2R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  芝3140m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,阪神ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,ｵｰｸﾗﾝﾄﾞﾚｰｼﾝｸﾞｸﾗﾌﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇレントラｰ, 42,幸英明,, 55,*  1,   0, 1,  2.3,③③③, 1,10, アスカビレン,---,秋山真,, 50, -42,* 20, 3,  7.0, ⑥⑤, 1, 2, メイショウブシドウ,,高田潤,,,,, 1,  1.3,⑤④②, 1, 6,Ｂブルｰチッパｰ, 84,幸英明,, 81,*  8,  14, 1,  2.7,①①①
 2, 7,Ｂオｰルマイアイ, 54,藤岡佑, 0.1, 51,*  3,  -4, 2,  3.4,①①①, 2, 6, ティｰエスクライ,---,和田竜, 0.1, 49,*-39,  14, 2,  5.2, ③②, 2, 4, ドリｰムセｰリング,,石神深,208.7,,,, 6, 31.4,①①①, 2, 1,Ｅクラｰジュドｰル, 83,北村友, 0.3, 82,   1,* 25, 5,  8.3,⑮⑮⑭
 3, 1,Ｅココスタイル, 44,福永祐, 0.3, 51,   0,  -2, 3,  5.4,④④④, 3, 8, チェルカトｰレ,---,浜中俊, 0.5, 41,*-37,   7, 4,  8.2, ①①, 3, 7, オｰスミムｰン,,中村将,209.1,,,, 2,  6.9,⑧⑦⑤, 3, 7,Ｈサイモンガｰランド, 81,酒井学, 0.4, 78,   5,  16, 8, 21.6,⑧⑧⑨
 4,11,Ｃヴァｰサトル, 52,藤岡康, 0.3, 52,  -1,*  3, 8, 31.1,⑪⑨⑤, 4, 4, レッドメアラス,---,岩田康, 0.6, 42, -42,  11, 1,  2.1, ⑤④, 4, 8, レッドキングダム,,西谷誠,209.6,,,, 3,  8.8,③③③, 4, 3,Ｆランドマｰキュリｰ, 82,藤岡康, 0.4, 78,   6,  13, 2,  5.4,⑤⑥④
 5, 6,Ａセルリアンコスモ, 55,義英真, 0.5, 51,  -3,*  3, 4,  9.7,⑨⑧⑧, 5,12, チェリｰシェイディ,---,福永祐, 0.6, 47, -46,* 20, 6, 11.4, ⑩⑪, 5, 1, マｰリンシチｰ,,植野貴,210.1,,,, 5, 17.9,⑨⑧⑦, 5, 5,Ａマイネルクロップ, 85,川田将, 0.4, 80,   6,  15, 3,  5.9,⑥⑦⑧
 6,10,Ｊスピリッツミノル, 35,松田大, 1.2, 43,   0, -12,12,297.4,⑦⑥⑥, 6, 1, ユニヴァｰスパｰル,---,川田将, 0.6, 43, -43,  14, 7, 12.9, ④⑥, 6,12, アラタマユニバｰス,,北沢伸,210.9,,,, 4, 15.6,⑥⑤⑥, 6, 4,Ｍキタサンシンガｰ, 79,国分優, 0.4, 76,   6,  13,12,128.9,③⑤③
 7, 8,Ｌメイショウテンロウ, 28,武幸四, 1.4, 43,  -4,  -6,11, 96.0,⑧⑩⑩, 7, 3, フィエルテ,---,松山弘, 0.9, 38,*-40,   5, 9, 74.3, ②③, 7, 5, シゲルキョクチョウ,,小坂忠,211.1,,,, 8, 52.0,②②④, 6,14,Ｇコウユｰヒｰロｰ, 82,国分恭, 0.4, 80,   2,* 22,14,221.3,⑭⑭⑬
 8, 3,Ｄシゲルホウネンサイ, 46,国分恭, 1.5, 41,  -3, -10, 5, 10.5,⑥⑦⑨, 8, 2, メイショウヒマワリ,---,武豊  , 1.0, 39, -45,  11, 5,  8.8, ⑨⑧, 8,11, シゲルヘビザ,,田村太,211.5,,,, 9, 79.4,⑩⑩⑨, 8,13,Ｌライジングサン, 79,松山弘, 0.6, 78,   4,  16,15,246.4,⑬⑬⑩
 9, 9,Ｉコスモアルゴル, 41,柴田未, 1.8, 37,  -1, -19, 7, 30.6,⑤⑤⑦, 9, 9, ピアノコンチェルト,---,幸英明, 1.1, 40, -44,  10,11,123.2, ⑧⑨, 9, 3, アマクサハイヤ,,難波剛,211.7,,,,10,122.1,⑦⑨⑩, 9,10,Ｄノボリドリｰム, 83,高倉稜, 0.7, 77,*  8,  10, 7, 12.8,④③⑤
10,12,Ｋテイエムクロウサギ, 33,和田竜, 1.9, 40,  -5,  -8,10, 77.4,⑩⑪⑪,10, 7, マリアペスカ,---,池添謙, 1.9, 23, -43,  -5, 8, 35.2, ⑦⑦,10, 9, シンワカントリｰ,,黒岩悠,211.7,,,,12,314.3,⑪⑪⑪, 9, 9,Ｃバンブｰリバプｰル, 84,武豊  , 0.7, 76,*  7,   8, 6,  9.9,②②②
11, 2,Ｈサウンドバゴダンス, 41,菱田裕, 2.0, 36,*  2, -28, 9, 58.8,②②②,11,11, フェイスオフ,---,松田大, 2.0, 23, -44,  -5,10,112.0, ⑪⑩,11,10, クリスクリングル,,大江原,212.1,,,,11,196.8,④⑥⑧,11, 2,Ｊカシュカシュ, 80,藤懸貴, 0.8, 78,   4,  15,10, 83.7,⑪⑪⑪
