14年 4月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 4月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,総武ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａミカルベウス, 65,内田博,, 60,*  3,*  1, 1,  2.3, ①①, 1,16,Ａリタｰントゥジェム, 69,内田博,, 62,   2,* -3, 1,  2.5,⑩⑦⑦, 1, 5,Ｇアンジェラスベル, 66,江田照,, 69,* -2,  12, 9, 43.2,②②②, 1, 2,Ｅヒラボクマジック, 87,田辺裕,, 82,   7,* 16, 2,  4.4,⑥⑥④
 2,15,Ｄジギｰスンナｰ, 55,吉田豊, 0.4, 56,*  2,  -2, 7, 58.8, ②②, 2,15,Ｆガラパゴス, 59,横山典, 0.3, 59,   1,* -4, 7, 21.0,④⑧⑤, 2, 2,Ｆオメガエンブレム, 67,後藤浩, 0.0, 67,  -3,  13, 3,  7.2,③③③, 2, 3,Ａヴァンガｰド, 89,戸崎圭, 0.0, 83,   6,* 17, 4,  6.0,⑨⑧⑥
 3, 6,Ｃアインクラング, 57,蛯名正, 0.6, 53,*  2,  -3, 2,  3.7, ③③, 3, 2,Ｇマウントマズル, 58,柴田善, 0.8, 56,   2, -10,11,109.3,⑨④③, 3,10,Ａメテオｰリカ, 74,田中勝, 0.3, 69,  -5,* 15, 1,  1.6,⑦⑥⑥, 3,11,Ｎアントニオピサ, 78,江田照, 0.1, 81,*  9,   9,10, 38.6,①①①
 4,14, ヒメゴト,---,戸崎圭, 0.6, 53,   1,  -2, 4,  9.2, ④④, 4, 7,Ｋジャマスルナ, 55,後藤浩, 0.8, 54,*  3, -11,10, 59.7,③③②, 4, 3,Ｄコｰディリア, 70,北村宏, 0.3, 68,  -3,  12, 6, 24.2,④⑤④, 4,15,Ｈタナトス, 85,柴田善, 0.6, 79,*  9,   8, 5, 10.4,④④⑤
 5, 5,Ｅオｰトクレｰル, 53,石橋脩, 0.9, 49,  -4,*  0, 5, 11.3, ⑧⑦, 5, 1,Ｂデルマコテツ, 66,戸崎圭, 0.8, 57,   0,  -7, 3,  5.4,⑦⑩⑩, 5, 6,Ｂシェイプリｰ, 72,田辺裕, 0.5, 66,  -6,* 15, 4, 11.3,⑥⑦⑦, 5, 4,Ｃキタサンイナズマ, 88,横山典, 0.7, 76,   8,   7, 1,  3.7,③③②
 6, 7,Ｆドナカンパニュラ, 47,井上敏, 1.1, 48,  -2,  -3,11,109.5, ⑦⑥, 6,14,Ｊフェイトアゲン, 55,江田照, 1.0, 56,   2, -11, 9, 39.0,⑥⑥④, 6, 1,Ｉアウレオｰラ, 60,吉田豊, 1.0, 61,* -2,   2, 8, 31.6,①①①, 6, 5,Ｉセイカフォルテ, 84,石橋脩, 1.0, 78,   4,* 14,11, 86.4,⑮⑮⑪
 7, 9,Ｂモンサンアルビレオ, 61,江田照, 1.2, 45,  -9,*  2, 3,  4.3, ⑫⑪, 7,10,Ｈキタサンダイチ, 57,吉田豊, 1.0, 55,   2, -11, 8, 35.3,⑤⑤⑥, 7, 7,Ｃノｰブルガイア, 72,梶晃啓, 1.3, 64,  -8,  13, 7, 31.1,⑧⑩⑩, 7, 8,Ｇキｰプインタッチ, 85,後藤浩, 1.2, 73,   5,   8, 3,  4.9,⑩⑫⑩
 8,11,Ｇヤマホトトギス, 43,武士沢, 1.3, 46,  -1,  -6, 6, 29.8, ⑤⑤, 8, 9,Ｏプラスワン, 48,草野太, 1.1, 56,  -1,  -7,14,213.7,⑪⑫⑪, 8, 8,Ｈフォルテシモ, 64,三浦皇, 1.6, 59,  -6,   6, 5, 11.9,⑨⑧⑧, 8,13,Ｌコスモイｰチタイム, 80,柴田大, 1.2, 78,   5,  11,14,199.0,⑫⑬⑫
