14年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 9月 6日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2900m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 4R  芝2900m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,玄海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, レッドキングダム,,西谷誠,,,,, 6, 12.2,⑥⑤⑤, 1, 1, アマクサハイヤ,,難波剛,,,,, 5, 14.7,④④④, 1, 6,Ｅタガノエトワｰル, 60,川田将,, 72,   9,* -7, 1,  4.2,⑭⑨⑧, 1, 5,Ｂエｰシンマックス, 81,太宰啓,, 81,  10,   7, 4,  7.9,⑤③④
 2, 2, カリスマミッキｰ,,熊沢重,190.3,,,, 1,  2.8,④③③, 2, 2, アップトゥデイト,,林満明,191.4,,,, 2,  5.0,②②①, 2, 2,Ｌワイドショｰ, 55,鮫島良, 0.3, 71,   6,* -4,11, 51.9,⑮⑭⑪, 2,13,Ｄトｰホウジャッカル, 79,酒井学, 0.0, 84,   7,* 14, 3,  6.6,⑦⑦⑤
 3, 1, ドリｰムセｰリング,,石神深,190.7,,,, 4,  8.2,①①①, 3, 6, テｰオｰゼウス,,佐久間,192.1,,,, 3,  6.4,③③③, 3, 4,Ｃシゲルオウミ, 62,熊沢重, 0.4, 69,   7,*-10, 8, 17.5,⑧⑪⑦, 3, 8,Ｅタブレット, 78,川田将, 0.1, 83,   7,* 13, 1,  1.9,⑥⑥②
 4, 9, マッキｰバッハ,,植野貴,190.8,,,,10, 35.5,⑦⑥⑥, 4, 7, キュウシュウソダチ,,田村太,192.1,,,, 8, 62.6,⑥⑤⑤, 4, 9,Ｇフェミニンドレス, 60,義英真, 0.5, 66,   9, -15, 5,  8.5,⑬⑧④, 4, 9,Ｆメイショウエゾフジ, 78,武幸四, 0.2, 80,* 13,  -1, 6, 17.3,①①①
 5,10, ソンブレロ,,高田潤,190.8,,,, 2,  4.5,③②②, 5, 3, ドリｰムハヤテ,,熊沢重,192.4,,,, 1,  1.5,①①②, 5,15,Ｆディアフレンド, 60,浜中俊, 0.8, 63,* 10, -21, 4,  8.1,⑫⑤⑤, 5, 2,Ａユキノサムライ, 84,藤岡佑, 0.6, 79,   5,* 14, 5,  8.9,⑧⑧⑧
 6,11, ドリｰムチャｰジ,,黒岩悠,191.2,,,, 7, 18.1,⑩⑧⑧, 6, 4, メダリアビｰト,,西谷誠,194.4,,,, 4,  9.5,⑤⑥⑥, 6,10,Ｏマスカレｰドマスク, 53,高倉稜, 1.3, 63,   2,* -8,14,138.7,⑱⑱⑰, 6, 7,Ｊビックケン, 72,鮫島良, 0.9, 75,* 11,  -8,12,190.7,②②③
 7, 4, タマモショパン,,林満明,191.5,,,, 9, 34.9,⑤④④, 7, 5, メイショウホタル,,森一馬,196.2,,,, 6, 28.3,⑦⑦⑦, 7, 1,Ａファｰマティアラ, 67,酒井学, 1.4, 58,   9, -28,13, 55.7,⑥⑥⑥, 7,12,Ｈカｰマイン, 73,松山弘, 1.6, 71,   3,   3, 8, 47.0,⑬⑩⑩
 8, 8, トウシンボルト,,難波剛,191.7,,,, 3,  5.7,⑪⑩⑩, 8, 8, ヤマノボンバｰ,,植野貴,202.9,,,, 7, 34.1,⑧⑧⑧, 8,17,Ｍアロハエコモマイ, 55,岩崎翼, 1.6, 57,   4, -20,15,196.3,⑯⑯⑬, 8, 6,Ｇタイキプレミアム, 75,小牧太, 1.7, 68,   5,  -1, 7, 19.0,⑨⑨⑨
 9, 6, ヤマニンアｰマｰ,,中村将,191.8,,,,11, 43.7,②⑦⑦,,,,,,,,,,,,, 9, 8,Ｎマニッシュコｰト, 53,和田竜, 1.6, 58,* 12, -38, 9, 32.7,①①①, 9, 4,Ｍタニノシュヴァリエ, 65,国分優, 2.2, 61,  10, -22,13,203.5,③④⑦
10, 3, シンワカントリｰ,,小坂忠,192.0,,,,12, 53.0,⑧⑨⑨,,,,,,,,,,,,,10, 5,Ｉキネオソレイユ, 57,幸英明, 1.6, 57,   8, -28,12, 52.2,⑩⑩⑨,10,10,Ｋスリｰロブロイ, 68,岩崎翼, 2.2, 63,   2,  -4,11,155.2,⑪⑫⑪
11, 5, コウエイキング,,平沢健,192.3,,,, 5, 10.3,⑨⑪⑪,,,,,,,,,,,,,11,12,Ｂスズカロｰラｰ, 66,中井裕, 1.8, 55,* 10, -38, 3,  5.4,⑤④③,11,11,Ｌメイショウシレトコ, 68,高倉稜, 2.3, 62,   2,  -6,10,143.3,⑫⑬⑫
12,12, カゼカオル,,北沢伸,193.6,,,, 8, 19.7,⑫⑫⑫,,,,,,,,,,,,,12,13,Ｄディパｰテッド, 61,松若風, 2.0, 53,   9, -37, 2,  4.5,⑨⑦⑩,12, 3,Ｃマトリックスコｰド, 81,幸英明, 2.5, 58,  10, -27, 2,  5.3,④⑤⑥
,,,,,,,,,,,,,,,,,,,,,,,,13,18,Ｊスマイルユニバンス, 57,藤懸貴, 2.2, 52,   6, -31,18,323.1,⑰⑮⑯,13, 1,Ｉサンライズマルス, 72,川須栄, 5.4, 37,   2, -49, 9, 79.1,⑩⑪⑬
,,,,,,,,,,,,,,,,,,,,,,,,14, 3,Ｈピンクシャドウ, 58,藤岡佑, 2.3, 49,* 10, -45, 7, 12.0,③②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｑテイエムオドロキ, 45,小坂忠, 2.3, 51,   6, -35,16,227.0,⑪⑬⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｐブルｰダイアモンド, 50,北村友, 3.9, 42,   8, -61,10, 33.6,⑦⑫⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｋラディｰア, 56,松山弘, 3.9, 44,* 10, -68, 6, 10.6,②③⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,11,Ｒミヤジマルゴ, 39,太宰啓,10.3,-44,   2, ---,17,239.7,④⑰⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:1),,,,,,,,,,,
