14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,14年 3月23日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,但馬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,11,Ｋヴェイルオブクララ, 47,藤懸貴, 2.5, 43, -15,  -4,12,231.2, ⑮⑭,12,11, シャイニｰドルチェ,---,中井裕, 2.4, 45,   0, -25,12, 83.6,⑪⑪⑫,12, 6,Ｌサクラフェリｰス, 65,川須栄, 1.6, 60, -16,   9, 8, 31.7, ⑭⑭,12,10,Ｊスマｰトリバティｰ, 80,古川吉, 1.5, 71,  17, -20,11, 43.0,⑫⑫⑫
13, 7,Ｌニュｰエトワｰル, 46,川島信, 2.5, 42, -21,*  1,14,311.8, ⑯⑯,13, 5, セラミックロｰド,---,岡田祥, 2.6, 43,  -3, -19,10, 26.9,⑫⑮⑮,13, 8,Ｍイントゥザストｰム, 65,バルジ, 2.3, 54,  -9,  -2,10, 86.3, ⑫⑪,13, 6,Ｌヒロノプリンス, 78,国分優, 2.0, 67,* 21, -37, 8, 19.2,③②②
14, 6,Ｄワンダｰライツ, 62,藤岡康, 3.1, 38,*  1, -25, 6, 23.1, ③③,14, 3, セルリアンシュロス,---,国分優, 2.7, 41,   2, -32,14, 89.6,⑨⑨⑦,14,13,Ｎカシノオｰブ, 63,城戸義, 2.6, 50,  -8,  -7,14,452.2, ⑧⑨,,,,,,,,,,,,
15, 1,Ｈロｰゼルキュｰト, 52,義英真, 3.7, 32, -14, -17, 9,103.2, ⑬⑬,15,13, ベイシス,---,鮫島良, 3.0, 43,   4, -38, 1,  3.2,④⑥⑥,,,,,,,,,,,,,,,,,,,,,,,,
16, 2,Ｐリッカウエスト, 43,酒井学, 3.8, 36, -15, -11,15,470.1, ⑭⑮,16,10, テイエムスイフト,---,竹之下, 3.6, 38, -10, -15,16,222.1,⑭⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:稍重(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:良(指数:0),,,,,,,,,,,
単勝:140円 複勝:12=100円 15=370円 14=260円 枠連:290円,,,,,,,,,,,,"単勝:11,250円 複勝:06=2,030円 01=1,740円 04=520円 枠連:10,940円",,,,,,,,,,,,"単勝:640円 複勝:11=170円 12=150円 09=110円 枠連:1,590円",,,,,,,,,,,,"単勝:350円 複勝:03=180円 01=250円 13=1,240円 枠連:1,580円",,,,,,,,,,,
"馬連:1,210円 ワイド:12-15=530円 12-14=360円 14-15=1,770円",,,,,,,,,,,,"馬連:159,620円 ワイド:01-06=34,200円 04-06=15,890円 01-04=5,280円",,,,,,,,,,,,"馬連:1,590円 ワイド:11-12=410円 09-11=260円 09-12=220円",,,,,,,,,,,,"馬連:1,620円 ワイド:01-03=660円 03-13=3,430円 01-13=7,180円",,,,,,,,,,,
