08年 8月 2日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 2日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湯浜特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃアドマイヤランサム, 56,安藤勝,, 85,   9,  10, 2,  4.8,①②②, 1,11,Ｃチャｰムナデシコ, 65,小林徹,, 69,*  1,*  5, 8, 23.5,③②②, 1, 2,Ｂカウントオンミｰ, 74,藤岡佑,, 73,* 10,   0, 2,  3.5,①①①, 1, 7,Ｅメイショウカレン, 71,松田大,, 67,   6,*-16, 8, 16.2,⑧⑧⑥
 2, 1,Ａハッピｰネｰション, 62,横山典, 0.0, 85,   4,* 13, 1,  1.7,③③③, 2, 4,Ｈムｰンライトミスト, 56,荻野琢, 0.9, 62,  -1,  -1, 5, 12.0,④③③, 2,12,Ｆロイヤルタバスコ, 70,ホワイ, 0.4, 64,   1,*  3, 5, 13.6,⑨⑨⑨, 2,10,Ｂケイアイマイスキｰ, 77,藤田伸, 0.3, 61,  12, -31, 2,  3.7,②②②
 3, 3,Ｂドリｰムクェｰサｰ, 56,池添謙, 0.4, 79,   2,  11, 4,  7.1,⑥⑥④, 3, 9,Ｄシリコンフォレスト, 60,ホワイ, 0.9, 59,*  3,  -7, 2,  3.8,①①①, 3, 5,Ｄヴィヴァｰチェ, 71,的場勇, 0.4, 66,   2,   2, 4,  9.1,④⑥④, 3, 2,Ｃトシザユカ, 71,長谷川, 0.9, 57,* 16, -47, 3,  5.9,①①①
 4, 5,Ｄシンフォニｰライツ, 55,藤岡佑, 0.5, 78,* 11,   1, 3,  5.0,①①①, 4, 6,Ａシャインスタｰオｰ, 70,横山典, 1.2, 58,  -5,*  4, 4,  5.6,⑩⑩⑨, 4, 7,Ｅベルモントユリア, 71,菊沢隆, 0.4, 68,*  7,  -2, 6, 13.7,③③②, 4, 5,Ｆサプライズユｰ, 71,三浦皇, 0.9, 57,   9, -33, 4,  8.2,⑤⑤④
 5, 6,Ｇセフティファントム, 27,小林徹, 0.9, 73,   0,   6, 7,115.6,⑥⑦⑥, 5, 1,Ｂエスジｰビンゴ, 65,千田輝, 1.3, 58,  -3,   0, 1,  3.5,⑦⑦⑥, 5,11,Ｃエプソムアイリス, 74,池添謙, 0.5, 64,   2,   1, 3,  7.4,⑧⑥⑦, 5, 6,Ｄヘイアンレジェンド, 71,横山典, 1.1, 55,   8, -33, 6, 13.2,⑥⑥⑥
 6, 2,Ｅゼットホｰオｰ, 46,三浦皇, 0.9, 73,   3,   3, 5, 14.8,④④⑤, 6, 2,Ｅアスタｰヘイロｰ, 60,北村友, 1.3, 57,  -3,   1,10, 48.7,⑦⑧⑥, 6, 3,Ｈマイティｰボタン, 66,松田大, 0.6, 69,*  9,  -5, 7, 16.7,①②②, 6, 1,Ｇショウナンアルス, 69,秋山真, 1.6, 51,  11, -44,10, 43.9,③③④
 7, 4,Ｆコンゴウカガビジン, 41,藤田伸, 3.8, 38,   3, -32, 6, 58.0,④④⑦, 7,12,Ｊアドマイヤサクラ, 52,藤岡佑, 1.6, 56,  -1,  -6, 6, 13.6,⑤③③, 7, 8,Ｊタイキプロバンス, 57,荻野琢, 0.6, 64,   3,  -1,10, 66.4,④⑥⑦, 7, 3,Ｈファイアレッド, 69,池添謙, 1.6, 50,  10, -46, 5,  9.2,③③③
,,,,,,,,,,,, 8, 5,Ｉメイショウカポネ, 54,池添謙, 1.7, 54,  -3,  -5, 9, 36.6,⑦⑤⑤, 8, 4,Ｉナムラコロナ, 63,長谷川, 0.6, 62,  -5,*  4, 9, 58.0,⑫⑪⑪, 8, 8,Ａアメジストリング, 82,四位洋, 2.0, 47,   6, -43, 1,  3.0,⑧⑧⑥
