08年10月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 5日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1500m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,すずらん賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｄダンスフォルトゥナ, 59,丸田恭,, 66,  10,*  3, 5, 14.4,④⑤⑤, 1, 8,Ｎシャイニｰカフェ, 41,吉永護,, 71,*  7,  -5,13,102.9, ③②, 1,12,Ａフィックルベリｰ, 78,藤田伸,, 75,  13,*  3, 1,  2.7,⑨⑤⑤, 1, 9,Ｆルシュクル, 64,長谷川,, 63,   5,  -9, 6,  9.3, ⑤⑥
 2, 3,Ａトップゾｰン, 65,藤岡佑, 0.2, 65,* 14,  -6, 2,  3.6,①①①, 2,12,Ｃニシノイノｰマス, 64,藤田伸, 0.0, 68,   4,* -3, 5,  9.6, ⑤④, 2, 2,Ｂサクラモサ, 73,丸田恭, 0.1, 74,  15,  -4, 2,  5.0,②③③, 2,15,Ｂイナズマアマリリス, 68,桑村真, 0.0, 63,   6,  -9, 5,  8.4, ⑤④
 3, 6,Ｆタマモユニヴァｰス, 49,藤田伸, 0.4, 61,  11,  -5, 4,  6.7,④③④, 3,11,Ｆアスｰルグロリオ, 61,中舘英, 0.1, 71,* 10,  -9, 1,  3.2, ②①, 3, 5,Ｊネバｰチェンジ, 63,中舘英, 0.5, 72,* 19, -14, 7, 23.5,②②②, 3, 8,Ｈコリコパット, 62,古川吉, 0.0, 63,   3,* -6,10, 38.8, ⑪⑨
 4,13,Ｃマイネルプリマス, 59,北村友, 0.4, 62,  11,  -5, 1,  2.2,③③②, 4, 7,Ｂカワキタライジン, 65,津村明, 0.2, 65,   0,* -1, 2,  5.0, ⑩⑦, 4,11,Ｃラヴドシャンクシｰ, 70,長谷川, 0.5, 68,  10,  -1, 5,  9.2,⑤⑧⑦, 4,13,Ｊカイテキプリン, 57,田辺裕, 0.2, 61,   5, -10, 8, 26.5, ⑧⑧
 5,11,Ｎケイアイマｰズ, 17,梶晃啓, 0.5, 59,   8,*  0, 8, 67.8,⑦⑦⑦, 5, 4,Ａロイヤルパｰム, 67,大野拓, 0.5, 61,   1,  -7, 3,  5.3, ⑨⑪, 5, 3,Ｈアイスカｰビング, 65,大野拓, 0.6, 69,  13,  -5,12, 76.0,⑤⑤⑤, 5, 2, マサノウイズキッド,---,宮崎光, 0.2, 58,  -2,* -4, 1,  3.2, ⑬⑥
 6, 2,Ｂニシノラブキング, 64,中舘英, 0.8, 57,* 13, -13, 3,  6.5,②②②, 6, 1,Ｇブレイジングスタｰ, 61,荻野琢, 0.8, 57,  -1,  -8, 8, 13.7, ⑫⑩, 6,13,Ｇマイネベクルックス, 65,津村明, 0.6, 70,  15,  -9, 4,  5.7,⑤③④, 6, 5,Ｉゲットフルマｰクス, 61,武英智, 0.3, 64,* 14, -22, 4,  6.9, ①①
 7, 4,Ｈレティセラ, 48,菊沢隆, 0.9, 55,   3,*  2, 7, 39.0,⑨⑨⑧, 7, 3,Ｏデザｰトイｰグル, 38,古川吉, 1.1, 53, -10,* -3,15,200.9, ⑯⑭, 7, 1,Ｅエスジｰストリｰム, 68,千田輝, 0.6, 67,   9,   0, 6, 16.7,⑪⑩⑩, 7,10,Ｇモエレビクトリｰ, 63,佐々木, 0.3, 63,* 12, -19,12, 69.4, ②②
 8,10,Ｅマルブツヴァｰス, 54,津村明, 1.1, 54,  10, -11, 6, 18.4,④⑤⑤, 8,13,Ｍハイスピリティド, 46,田中博, 1.2, 52,   0, -14,11, 82.7, ⑩⑦, 8, 8,Ｌダｰクエンジェル, 62,古川吉, 0.8, 66,   5,*  3, 9, 43.5,⑪⑫⑪, 8,16,Ａアドマイヤランサム, 81,藤岡佑, 0.5, 57,   5, -14, 2,  6.1, ⑧⑤
