08年12月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 4R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｺﾞｰﾙﾃﾞﾝﾌﾞｰﾂT,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａフキラウソング, 64,内田博,, 65,  -3,*  6, 1,  2.2, ⑤⑤, 1,16,Ｎケイアイドウソジン, 45,ペリエ,, 66,*  5,  -4, 3,  6.0, ⑦④, 1, 9,Ｉタガノファントム, 67,藤田伸,, 79,   6,* 12, 1,  2.8,⑪⑩⑥, 1,11,Ｃスペルバインド, 79,菅原勲,, 82,   2,* 10, 2,  4.4,⑩⑩⑥
 2, 5,Ｎシルバｰビｰト, 35,ガルシ, 0.6, 61,  -5,*  3, 9,108.0, ⑦⑦, 2, 7,Ｉロｰズバンク, 57,戸崎圭, 0.2, 66,   3,* -2,12, 30.5, ⑧⑧, 2, 8,Ｄゴッドエンブレム, 73,岩田康, 0.5, 75,*  9,   1, 2,  3.4,①①①, 2, 2,Ｉロｰドアルファｰド, 75,福永祐, 0.2, 76,*  5,   0, 5,  8.5,①①①
 3, 9,Ｅアｰトオブダンサｰ, 55,田村太, 0.8, 59,  -2,  -3, 5, 10.3, ④④, 3, 5,Ｄトレジャｰハント, 62,藤岡康, 0.2, 64,*  6, -10, 7, 18.0, ①①, 3, 5,Ｇテイエムヒリュウ, 70,安部幸, 0.6, 74,   6,   5, 5, 12.7,⑩⑧⑤, 3, 8,Ｄアヴェンティｰノ, 79,メンデ, 0.2, 79,   3,   6, 1,  4.3,⑦⑧⑧
 4, 3,Ｄアリデッド, 57,安藤勝, 1.4, 54,  -7,  -1, 2,  4.6, ⑨⑨, 4,14,Ｌカルカソンヌ, 51,岩田康, 0.3, 65,  -2,*  5, 5, 11.0, ⑯⑭, 4,10,Ｈエバｰアップワｰド, 69,藤岡康, 1.0, 72,   6,   2,12, 60.9,⑧⑦⑨, 4, 9,Ｋメイショウグラｰド, 73,ホワイ, 0.2, 78,*  4,   5, 4,  6.1,③③③
 5,12,Ｃラストダンス, 59,田中健, 1.5, 53,*  4, -16, 6, 12.1, ①①, 5, 2,Ｂカネトシタフガイ, 64,蛯名正, 0.3, 65,   3,  -4, 6, 15.7, ⑩⑨, 5,11,Ｂグランプリサクセス, 75,小牧太, 1.1, 71,*  9,  -4, 4,  9.1,②②②, 5,12,Ｇバｰジンフォレスト, 77,安藤勝, 0.4, 80,   0,* 12, 8, 19.2,⑭⑭⑭
 6,13,Ｆフレｰバｰティｰ, 55,岩田康, 1.6, 54, -11,*  2, 4,  9.2, ⑬⑬, 6, 4,Ｈナムラブレット, 57,太宰啓, 0.4, 66,   1,* -1,16,148.6, ⑭⑪, 6, 2,Ａツルマルシルバｰ, 76,横山典, 1.1, 72,   2,* 10, 3,  5.4,⑫⑬⑫, 6,15,Ｍデンコウミサイル, 72,シン  , 0.5, 77,   1,   6,12, 54.7,⑫⑫⑫
 7, 1,Ｇジョｰセレス, 52,後藤浩, 1.6, 53,  -5,  -5, 7, 29.3, ⑥⑥, 7,12,Ｇゴｰルデンチケット, 57,ウィリ, 0.4, 63,   4,  -8, 2,  4.8, ⑥⑦, 7, 6,Ｌクレスコドリｰム, 62,福永祐, 1.3, 70,   6,  -1, 6, 15.5,⑤⑤③, 7, 4,Ｌパッシングマｰク, 72,ウィリ, 0.5, 76,   3,   3,13, 62.8,⑥⑦⑨
 8, 2,Ｂホクセツテンシ, 60,和田竜, 1.9, 50,*  2, -17, 3,  5.1, ②③, 8,10,Ｅタマモユニヴァｰス, 61,幸英明, 0.7, 60,*  6, -17, 4,  7.3, ②②, 8, 7,Ｅアドマイヤアモｰレ, 71,川田将, 1.5, 68,   6,  -3, 7, 24.9,⑥⑥⑦, 8, 5,Ｎミウラリチャｰド, 69,小牧太, 0.7, 75,   1,   5,15,135.8,⑬⑬⑬
