08年 5月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月 3日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝3100m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,金峰山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａニシノシズル, 66,内田博,, 63,*  0,   2, 1,  1.8, ③②, 1, 2, ハイヤｰザンヘブン,,宗像徹,,,,, 7, 25.5,①①①, 1,15,Ａウインマグナム, 72,蛯名正,, 72,* 14,  -8, 1,  3.0, ③②, 1, 6,Ａユウタｰジャック, 81,内田博,, 81, -10,* 20, 4,  7.0, ⑨⑨
 2,11,Ｇトｰセンバスケット, 55,加藤士, 0.3, 61,  -7,*  7, 6, 13.7, ⑩⑫, 2, 5, メイショウハｰデス,,植野貴,207.0,,,,12, 62.4,⑥②②, 2,13,Ｆメジロオマリｰ, 64,吉田豊, 0.0, 76,   5,*  6, 2,  3.7, ⑭⑪, 2,11,Ｄブレイバｰ, 78,福永祐, 0.0, 78,  -4,  12, 6, 15.4, ③③
 3, 4,Ｆボンジュｰルソノコ, 55,戸崎圭, 0.3, 61,*  1,  -3, 7, 20.4, ①①, 3, 4, ウォｰライクトニｰ,,山本康,207.0,,,, 4,  8.6,③⑤⑤, 3,12,Ｅケイアイスイジン, 64,柴田善, 0.3, 71,   4,*  6, 3,  5.8, ⑬⑭, 3, 3,Ｅダブルヒｰロｰ, 77,田中勝, 0.0, 77,  -5,  11, 3,  6.0, ③③
 4, 1,Ｃサマｰミッドナイト, 59,津村明, 0.5, 59,  -1,  -1, 4,  8.0, ④③, 4, 6, クルワザｰド,,田中剛,207.3,,,, 3,  7.3,⑧⑪⑨, 4, 9,Ｇロングキｰブリッジ, 63,川田将, 0.4, 69,* 14, -12, 7, 21.0, ①①, 4, 5,Ｉノｰフォｰクパイン, 69,蛯名正, 0.0, 77,  -4,  12, 8, 22.7, ⑤③
 5, 7,Ｂサラノコジｰン, 64,松岡正, 0.5, 59,  -4,   2, 3,  7.8, ⑦⑦, 5,10, テンジンムサシ,,浜野谷,207.7,,,, 1,  2.0,⑪⑨⑩, 5, 7,Ｂシルクマンハッタン, 68,江田照, 0.9, 66,  12, -13, 6, 10.7, ④④, 4, 4,Ｆキッズヴェロｰチェ, 74,松岡正, 0.0, 78,  -6,  15, 9, 26.2, ⑧⑦
 6, 6,Ｊヒロコ, 50,田中勝, 0.6, 59,  -4,   1,10, 70.9, ⑦⑦, 6, 9, カネトシパワフル,,五十嵐,208.3,,,, 8, 36.2,⑪⑫⑫, 6,10,Ｈディｰエスルｰラｰ, 62,勝浦正, 1.2, 65,  10, -12, 8, 28.0, ⑥⑤, 6, 7,Ｂヒカルダイヤモンド, 79,後藤浩, 0.1, 73,* -2,   6, 1,  2.6, ①①
 7, 2,Ｅラグｰナベルデ, 57,武士沢, 0.9, 56,  -5,   0, 5, 13.2, ⑫⑩, 7,11, フォレストダンス,,穂苅寿,208.7,,,,13, 93.3,⑩⑤④, 7, 4,Ｌライムライトシチｰ, 53,北村宏, 1.2, 64,   7,  -7,10, 87.3, ⑨⑨, 7,10,Ｌジェイウォｰク, 65,吉田豊, 0.3, 71,* -4,   4, 7, 20.6, ②②
 8,12,Ｈカシマジュリアン, 52,黛弘人, 1.2, 54,*  0,  -8,14,249.6, ④③, 8, 1, エプソムフォルテ,,江田勇,208.7,,,,10, 58.7,⑬⑨⑧, 8, 3, ヤマイチリベラル,---,戸崎圭, 1.5, 62,   8, -11,14,217.5, ⑦⑦, 8, 2,Ｃカレンナサクラ, 78,江田照, 0.4, 74, -10,* 16, 2,  4.3, ⑭⑩
