08年12月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,猪名川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄラストダンス, 56,船曳文,, 62,*  3, -10, 5,  7.2, ①①, 1, 9,Ａサダムマンテン, 66,岩田康,, 66,* -3,*  9, 1,  1.3,①①①, 1, 8, キタサンガイセン,---,安藤勝,, 75, -17,* 24, 3,  7.9, ⑧⑥, 1, 1,Ｂタガノエルシコ, 80,岩田康,, 84,  -4,* 18, 1,  1.3, ④⑤
 2,11,Ｂナムララピス, 61,小牧太, 0.2, 58,*  0,  -8, 4,  5.5, ②②, 2,12,Ｃタマモユニヴァｰス, 60,藤田伸, 0.2, 65,* -3,*  9, 3,  6.7,③②②, 2,11, キングストリｰト,---,幸英明, 0.1, 73, -16,* 18, 2,  3.0, ⑤⑤, 2, 4,Ａノｰプロブレム, 83,藤田伸, 0.3, 82,  -6,* 18, 3,  9.5, ⑥⑧
 3,14,Ａサマｰメサイア, 66,デムｰ, 0.6, 51,  -3,  -7, 7, 18.3, ⑥⑥, 3,13,Ｇウインザマキ, 51,浜中俊, 0.4, 64,* -3,*  7, 8, 87.5,⑤④③, 3, 6, ニホンピロララバイ,---,福永祐, 0.8, 58,*-10,  -2, 8, 33.6, ①①, 3, 9,Ｈサザンギャラクシｰ, 65,福永祐, 0.4, 79,  -5,  13, 7, 54.9, ⑧⑦
 4,13,Ｃアリデッド, 58,安藤勝, 0.7, 52,  -2, -11, 3,  4.8, ③③, 4, 6,Ｈジャンボマズル, 48,熊沢重, 1.3, 58,  -4,   1, 7, 75.6,②③④, 4,12, ジャコスキｰ,---,藤田伸, 1.2, 55, -14,   1, 1,  2.1, ③③, 4, 6,Ｄフライングメリッサ, 78,安藤勝, 0.6, 74,* -1,   5, 4, 11.6, ②②
 5, 7,Ｉエオストレ, 47,福永祐, 0.8, 54,  -2,  -9, 1,  3.4, ④④, 5,11,Ｆミルフィアタッチ, 54,幸英明, 1.9, 54,  -6,   1, 4, 37.2,⑧⑧⑦, 5, 2, ラｰマブルｰ,---,小牧太, 1.2, 62, -20,  12, 5, 14.7, ⑩⑩, 5, 7,Ｅトウショウクエスト, 76,池添謙, 0.7, 72,  -3,   5, 8, 63.7, ③③
 6, 9,Ｇラッキｰパズル, 49,角田晃, 0.8, 53,  -7,* -4,10,121.0, ⑪⑨, 6, 8,Ｂタナカラボタモチ, 64,小牧太, 2.1, 52,  -6,  -2, 2,  4.9,⑦⑦⑧, 6, 9, リアライズナッシュ,---,石橋守, 1.2, 53,*-12,  -7,12,164.0, ②②, 6, 3,Ｇシャイニングデイ, 67,浜中俊, 0.8, 76,  -5,   6, 9,115.0, ⑦⑥
 7, 3,Ｍマリリン, 41,熊沢重, 1.0, 51,  -4,  -9,12,181.6, ⑧⑧, 7, 3,Ｊウィズインウエク, 44,角田晃, 2.6, 51,  -9,  -1, 6, 66.4,⑩⑫⑪, 7, 7, スタｰリｰスカイ,---,柴原央, 1.8, 54, -20,   4, 9, 67.8, ⑥⑨, 7, 5,Ｃバｰジンフォレスト, 79,佐藤哲, 0.8, 76,  -7,  12, 5, 17.9, ⑨⑨
 8,10,Ｅビヨンドマイリｰチ, 55,佐藤哲, 1.2, 48, -10,* -4, 2,  4.0, ⑫⑫, 8, 2,Ｉジャンジャン, 46,小林徹, 2.7, 50,  -8,  -3,13,349.1,⑪⑪⑨, 8, 1, ポｰトレイト,---,浜中俊, 2.0, 57, -22,   7, 7, 32.9, ⑪⑪, 8, 8,Ｆメイショウグラｰド, 76,幸英明, 1.0, 71,  -3,   2, 2,  7.6, ⑤④
 9,15,Ｈホッコｰフクヒメ, 47,渡辺薫, 1.4, 47, -10,* -5,13,186.8, ⑭⑬, 9, 4,Ｅマｰベラスポケット, 55,渡辺薫, 2.9, 48,  -6,  -9, 9,118.0,⑥⑥⑥, 9,10, ヤマカツモモタロウ,---,池添謙, 2.4, 44, -18,  -8,10,102.3, ⑨⑧, 9, 2,Ｉドリｰムストライド, 59,角田晃, 2.4, 51,* -2, -21, 6, 29.9, ①①
10, 1,Ｌピサノロンドフォル, 42,岩田康, 1.6, 45, -10,  -7, 8, 74.7, ⑬⑭,10,14,Ｌインディアンボス, 38,船曳文, 4.4, 40,  -8, -19,14,361.6,⑨⑨⑩,10, 5, マックススカラ,---,デムｰ, 2.5, 40, -15, -15, 4, 10.6, ④④,,,,,,,,,,,,
11,16,Ｏミリアム, 40,藤田伸, 1.8, 45,  -4, -15, 6, 15.3, ⑦⑦,11, 1,Ｋドリｰムカントリｰ, 41,柴原央, 4.8, 34, -10, -17,12,338.7,⑬⑬⑬,11, 4, ホウショウワｰルド,---,武幸四, 2.9, 40, -18, -16, 6, 23.8, ⑦⑦,,,,,,,,,,,,
12,12,Ｊパボ, 46,浜中俊, 1.8, 45,  -7, -13,11,140.5, ⑩⑪,12, 5,Ｄダンツブロケｰド, 57,池添謙, 4.9, 34,  -5, -27, 5, 42.5,④⑤⑤,12, 3, ヒカリジェラン,---,角田晃,14.5,-83, -55, ---,11,109.8, ⑫⑫,,,,,,,,,,,,
13, 6,Ｎエリモシャトレｰゼ, 40,石橋守, 2.0, 44,  -6, -15,14,283.0, ⑨⑩,13,10,Ｍセイカコンモｰト, 23,石橋守, 5.3, 33, -10, -21,11,338.0,⑭⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
14, 8,Ｆシルクボヌｰル, 50,小林徹, 2.0, 42, -12,  -8,16,356.3, ⑮⑮,14, 7,Ｎランドアリスト, 19,橋本美, 7.5, 20,  -8, -45,10,287.2,⑫⑩⑫,,,,,,,,,,,,,,,,,,,,,,,,
15, 4,Ｋピｰチパトラ, 45,幸英明, 2.8, 36,  -3, -26, 9,101.6, ⑤⑤,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 2,Ｐハｰドフォｰド, 39,橋本美, 3.4, 31, -15, -17,15,331.9, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+12 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:3),,,,,,,,,,,
"単勝:720円 複勝:05=190円 11=160円 14=430円 枠連:1,090円",,,,,,,,,,,,単勝:130円 複勝:09=110円 12=170円 13=710円 枠連:270円,,,,,,,,,,,,単勝:790円 複勝:08=230円 11=140円 06=540円 枠連:420円,,,,,,,,,,,,単勝:130円 複勝:01=110円 04=180円 09=550円 枠連:420円,,,,,,,,,,,
"馬連:1,110円 ワイド:05-11=440円 05-14=1,770円 11-14=1,180円",,,,,,,,,,,,"馬連:350円 ワイド:09-12=220円 09-13=610円 12-13=1,580円",,,,,,,,,,,,"馬連:1,120円 ワイド:08-11=420円 06-08=1,940円 06-11=1,150円",,,,,,,,,,,,"馬連:440円 ワイド:01-04=200円 01-09=810円 04-09=1,980円",,,,,,,,,,,
"馬単:2,400円 3連複:6,880円 3連単:28,420円",,,,,,,,,,,,"馬単:440円 3連複:3,560円 3連単:5,400円",,,,,,,,,,,,"馬単:2,560円 3連複:7,920円 3連単:41,250円",,,,,,,,,,,,"馬単:530円 3連複:3,600円 3連単:8,390円",,,,,,,,,,,
■ 2R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大阪ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂスマイルミッキｰ, 61,安藤勝,, 57,  -6,*  0, 1,  2.0, ⑧⑦, 1,10,Ｂアントニオバロｰズ, 64,角田晃,, 78,*  6,*  6, 1,  1.9, ⑤③, 1, 4,Ｃサクラプレジャｰ, 78,岩田康,, 81,*  9,*  9, 4,  9.1, ①①, 1, 3,Ｂネイキッド, 90,デムｰ,, 83,  13,* 11, 1,  2.4,④③④
