08年 5月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早苗賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｂフジノアリオン, 66,石橋脩,, 59,* -1,   5, 2, 13.0,②②①, 1,13,Ｅリアルハヤテ, 58,中舘英,, 63,  -4,  11, 7, 15.7,⑤④④, 1, 7,Ｃディアｰウィッシュ, 70,中舘英,, 74,* -5,   9, 2,  3.4, ①①, 1, 3,Ｅキングオブカルト, 64,中舘英,, 76,  -6,  15, 1,  3.0,③③③
 2, 7,Ｋカリスマシャチョウ, 45,中村将, 0.0, 61,* -1,*  6,11,218.7,③③②, 2, 6,Ｈアリクシｰル, 54,安藤光, 0.0, 63,  -4,* 12, 2,  4.4,⑥⑥⑥, 2, 6,Ｂクリノアドベンチャ, 71,丸田恭, 0.2, 74,  -7,  13,10, 44.6, ⑥⑥, 2, 8,Ｃドリｰムエレメンツ, 66,大野拓, 0.1, 73,* -5,  10,11, 44.1,②②②
 3, 5,Ａフサイチワイバｰン, 73,三浦皇, 0.3, 59,  -2,   4, 1,  1.1,⑤④⑤, 3, 7,Ａコスモテンロウ, 68,鮫島良, 0.2, 57,* -4,   3, 1,  3.4,②②②, 3,13,Ｄハイフェイム, 70,三浦皇, 0.2, 72,* -6,   9, 1,  2.4, ③③, 3, 5,Ｄエｰシングレｰソロ, 66,北村友, 0.2, 78,  -8,* 19, 2,  4.6,⑪⑩⑨
 4, 2,Ｄリアルパラダイス, 57,西田雄, 0.5, 58,  -2,   2, 5, 26.7,⑩④②, 4,14,Ｉファルクラム, 54,的場勇, 0.3, 55,* -4,   2, 8, 32.5,②②②, 4, 2,Ｌマイネルステルス, 60,大野拓, 0.4, 70,* -6,   7, 3,  7.2, ③③, 4, 2,Ａコスモハクウ, 68,鮫島良, 0.4, 75,  -8,* 16, 3,  4.8,⑩⑩⑨
 5, 1,Ｃスパｰクルシチｰ, 60,安藤光, 0.8, 57,  -3,   2, 3, 15.9,⑦⑩⑨, 4,11,Ｃメジロミスバニｰ, 61,三浦皇, 0.3, 59,  -6,  10, 3,  5.2,⑨⑧⑥, 5, 1,Ｆスラｰジ, 68,鮫島良, 0.6, 79, -14,* 25,12, 70.1, ⑫⑫, 5, 4,Ｆコスモタクミ, 63,的場勇, 0.5, 70,  -7,  12, 8, 20.5,⑧⑥⑥
 6,10,Ｅメイショウオオマ, 54,鮫島良, 0.8, 58,  -3,   2, 6, 29.8,⑦⑧⑤, 6, 5,Ｂゲストアスリｰト, 66,北村友, 0.3, 62,  -8,* 16, 4,  6.1,⑭⑪⑩, 6,10,Ａホッカイルオｰ, 72,宮崎北, 0.7, 72, -10,  13, 7, 21.7, ⑩⑩, 6, 9,Ｉシンボリロｰレンス, 59,木幡初, 0.6, 69,  -6,   8, 7, 16.8,⑤③③
 7, 4,Ｆウォｰタｰルｰク, 53,田中健, 0.8, 58,  -3,   1, 4, 24.4,⑨⑧⑦, 7,10,Ｄテイエムテクノオｰ, 58,田嶋翔, 0.6, 55,  -6,   6, 6, 12.0,⑫⑧⑥, 6, 9,Ｋエｰブダンシング, 61,木幡初, 0.7, 67,* -5,   2, 5, 14.2, ②②, 6, 1,Ｊリノｰンランプ, 59,中村将, 0.6, 67,* -4,   4, 4,  7.7,①①①
 8,11, ミスタｰマンデラ,---,松田大, 0.9, 61,  -7,*  7, 8,117.6,⑫⑫⑪, 8, 4,Ｇタイキマドロス, 56,中村将, 0.7, 57,  -7,   9, 5,  7.9,⑨⑪⑩, 8, 8,Ｇカゼノユクエ, 67,安藤光, 0.9, 65,  -8,   5, 9, 26.4, ⑥⑥, 8, 6,Ｇベストオｰカン, 63,菊沢隆, 0.8, 67,  -7,   8, 5, 11.6,⑤⑥⑨
