08年 2月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1600m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｍスズノカイソク, 37,田中勝,, 68,*  1,*  3, 9, 44.1, ①①, 1, 1,Ｃトレノクリスエス, 63,横山典,, 67,  -1,  -1, 3,  4.3,③③④, 1,16,Ｃセイカアレグロ, 68,田中勝,, 76,  -1,* 14, 2,  9.4, ⑥⑦, 1, 4,Ａマイネルキッツ, 87,後藤浩,, 94,  11,* 16, 1,  3.2,⑧⑧⑦
 2,11,Ｈグランドコテｰジ, 48,岩田康, 0.3, 66,  -7,* 10, 4,  7.8, ⑪⑩, 2,10,Ｄモエレタキオン, 61,武士沢, 0.0, 68,  -4,*  5, 6, 13.6,⑥⑧⑧, 2,13,Ｉドリｰムスカイラブ, 57,大野拓, 0.1, 72,*  3,   7,10, 66.4, ②②, 2, 1,Ｂマイネルポライト, 86,池添謙, 0.4, 88,   9,* 15, 2,  4.5,⑩⑪⑫
 3, 1,Ｂケイアイモｰガン, 65,後藤浩, 0.5, 63,  -2,   1, 1,  2.9, ②④, 3, 3,Ｂトリビュｰトソング, 65,吉田豊, 0.1, 67,  -2,*  2, 1,  3.3,⑥⑥⑧, 3,14,Ａイイデシンゲン, 71,武豊  , 0.4, 70,   0,*  8, 1,  1.4, ⑥⑤, 3,16,Ｅサンデｰストリｰム, 84,戸崎圭, 0.4, 89,  11,  11, 7, 21.7,⑧⑤⑦
 4, 6,Ｆラブエッセンス, 55,田中博, 1.4, 56,* -1,  -8,10, 47.1, ④②, 4, 2,Ｆダッシュアキチャン, 58,小林淳, 0.6, 62,  -3,  -2, 7, 22.3,⑪⑩⑪, 4, 1,Ｌステイドリｰム, 56,蛯名正, 0.4, 70,*  2,   6, 7, 23.5, ③③, 4, 8,Ｈショウワモダン, 80,勝浦正, 0.5, 87,* 14,   2, 3,  5.9,③②②
 5, 5,Ｉレオバベル, 48,江田照, 1.4, 56,  -8,   1,13, 92.1, ⑫⑩, 5,14,Ａヒラボクシャトル, 69,後藤浩, 0.6, 58,*  0, -12, 2,  4.2,②①①, 5, 2,Ｅマイネルアベニｰル, 64,吉田豊, 0.6, 69,*  3,   1, 5, 22.4, ①①, 5,11,Ｇエリモファイナル, 81,松岡正, 0.5, 88,* 13,   6, 6, 17.2,⑥⑤③
 6, 8,Ｅトｰセンミケラン, 55,石橋脩, 1.5, 54,  -7,  -2, 5, 12.8, ⑨⑨, 6,13,Ｌメジロレディｰ, 47,松岡正, 0.9, 59,  -4,  -3,11, 78.1,⑬⑬⑭, 6, 6,Ｆマキシマムラン, 60,御神本, 0.9, 67,  -3,   7, 8, 25.4, ⑪⑨, 6, 2,Ｄマルタカハｰモニｰ, 84,北村宏, 0.6, 88,   9,  13, 8, 23.5,⑬⑭⑬
 7, 3,Ａアイビスデｰジｰ, 65,蛯名正, 1.5, 56,  -3,  -6, 2,  3.6, ⑤⑤, 7,11,Ｉギムレットアイ, 54,北村宏, 0.9, 58,  -5,  -5, 4,  6.7,⑮⑬⑪, 7, 5,Ｋフェイクスパ, 56,田中博, 1.5, 65,  -6,   7, 4, 22.3, ⑪⑬, 7,12,Ｏアクレイム, 73,田中博, 0.7, 87,   7,  14,10, 35.9,⑯⑮⑬
 8, 2,Ｊマイネルアフェット, 45,松岡正, 1.7, 55,  -5,  -5,11, 63.4, ⑩⑦, 8, 4,Ｅトミケンブロｰド, 59,柴田善, 0.9, 58,*  1, -15, 9, 32.9,③③③, 8,10,Ｇバｰニングブライト, 59,池添謙, 1.6, 63,   0,   1, 9, 32.7, ⑥⑦, 8,14,Ｊトウキュウトップ, 78,丹内祐, 0.7, 87,   9,  12,14, 59.3,⑩⑪⑬
