08年 4月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 4月20日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-33,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 7R  ダ2400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雪うさぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａレディオｰロラ, 62,中舘英,, 45,*  4,* -3, 1,  1.1, ①①, 1, 3,Ａディｰエスプリｰム, 61,石橋脩,, 58,*  0,  -2, 3,  5.1,④③③, 1, 3,Ｄサンアスレチック, 75,的場勇,, 74,* 15,  -1, 1,  2.9,①①①, 1,16,Ｄコスモランゲル, 63,津村明,, 75,  -2,* 16, 9, 16.7, ⑭⑫
 2,11,Ｃイガノガイア, 45,松田大, 0.6, 42,*  1,  -7, 4, 30.7, ③②, 2, 7,Ｇスガノゴｰルド, 52,木幡初, 0.1, 61,  -3,*  3, 1,  3.7,⑨⑦⑤, 2, 2,Ｃアルファオリオン, 76,池田鉄, 0.2, 74,  11,*  9, 5, 12.6,⑥⑧⑥, 2,14,Ｊジョウショｰアロｰ, 59,安藤光, 0.0, 77,   7,*  7, 6, 13.1, ⑩⑩
 3, 1,Ｄコロネット, 44,鷹野宏, 1.3, 31, -12,* -3, 2, 15.2, ⑧⑧, 3, 1,Ｄレオフロンティア, 57,大野拓, 0.1, 60,  -1,*  0, 5,  6.7,⑥④④, 3, 6,Ｇメジロアルタイス, 71,鷹野宏, 0.5, 71,  11,*  5, 2,  3.8,⑯④②, 3, 8,Ｆキヲウエタオトコ, 61,石橋脩, 0.2, 80,* 16,  -4, 3,  6.4, ①①
 4, 2, リバルドガルダ,---,梶晃啓, 1.3, 30,  -7,  -8,10, 90.3, ⑥⑥, 4,13,Ｃオンワｰドイｰガｰ, 57,三浦皇, 0.7, 55,  -4,  -2, 4,  6.4,⑩⑨⑦, 4, 5,Ｈロングエンパイヤ, 69,河北通, 0.6, 71,  10,*  9,10, 28.2,⑬⑮⑪, 4,15,Ｅルｰジュアルダン, 62,北村友, 0.8, 71,* 15, -10, 7, 15.3, ③③
 5, 3,Ｇオンワｰドエｰデル, 29,大野拓, 1.6, 29,  -4, -12,11, 95.1, ④④, 5,15,Ｂトキメキボストン, 60,中舘英, 0.7, 53,*  1, -10, 2,  3.9,②②②, 5, 7,Ｉカオリエスペランサ, 69,安藤光, 1.1, 67,  10,   3, 7, 15.7,⑬⑫⑪, 5, 2,Ｏミサトマｰブル, 32,芹沢純, 1.1, 61,  -5,*  5,15,160.0, ⑮⑮
 6, 6,Ｆカノコマチ, 35,坂井英, 1.7, 29,*  4, -19, 6, 50.1, ②②, 6, 5,Ｉサｰンバラッド, 45,津村明, 1.0, 51,*  1, -13, 8, 26.2,①①①, 6,16,Ａマイネルドナｰル, 76,中舘英, 1.3, 66,  11,   0, 3,  8.7,⑩⑩⑨, 6,12,Ｌダイナマイトシコク, 52,西田雄, 1.1, 64,  11, -10,12, 68.1, ⑧⑤
 7, 9,Ｂカシノボイス, 48,西田雄, 1.7, 27,  -8, -10, 7, 69.3, ⑦⑥, 7,10,Ｈリュイｰルノワｰル, 50,西田雄, 1.3, 52,  -1, -11,13,120.0,⑥④⑤, 7, 9,Ｋサンライトフェロｰ, 66,藤岡康, 1.9, 64,  11,  -7,15, 75.6,④④⑦, 7, 5,Ｍリザルト, 50,古川吉, 1.2, 60,   3,  -4,14, 85.8, ⑫⑬
 8,10,Ｊタイムトゥブギ,-44,吉永護, 1.8, 25, -13,  -8,12,165.2, ⑧⑨, 8, 2,Ｅタガノブラックヒル, 54,橋本美, 1.9, 46,  -3, -14, 7, 17.4,④⑦⑦, 8,12,Ｅマイネルコレドｰル, 72,木幡初, 2.1, 62,  11, -10, 8, 20.6,⑬④③, 8, 4,Ａファイナルスコアｰ, 74,大野拓, 1.5, 60,  12, -16, 2,  4.0, ⑥⑤
