08年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月30日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  芝2000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1700m 3歳上ｵｰﾌﾟﾝ(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,阿蘇ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｄコウエイフラッシュ, 53,和田竜,, 73,*  1,*  8, 1,  2.4, ①①, 1,12,Ｂパｰルグレイピアス, 62,幸英明,, 63,  -4,* 15, 1,  2.6,⑧⑥⑤, 1,15,Ｋエｰシンブイムｰド, 50,和田竜,, 68,*  5,   0, 6, 19.1, ①①, 1,11,Ｂダイナミックグロウ, 93,太宰啓,, 86,*  8,  20, 2,  5.6,①①①
 2,10,Ｇジョｰシンドバッド, 46,浜中俊, 1.1, 60,* -5,   1, 7, 24.2, ②②, 2,11,Ａテイエムマイサクラ, 65,田中克, 0.2, 62,  -6,* 18, 2,  5.2,⑯⑪⑦, 2, 6,Ａハマノモナｰク, 64,渡辺薫, 0.0, 68,  -5,* 11, 2,  7.9, ⑫⑩, 2, 9,Ｉエプソムアｰロン, 88,安藤光, 0.3, 85,   7,  20, 3,  7.2,②④②
 3,11,Ａクリノオンビｰト, 61,小牧太, 1.1, 59,  -6,   2, 2,  3.6, ②③, 3, 2,Ｅチョウラブラブ, 60,太宰啓, 0.2, 61,* -2,   9, 6, 11.0,③③③, 2, 8,Ｃダノンパｰス, 63,武豊  , 0.0, 68,   1,   4, 1,  1.5, ④④, 3, 2,Ａベルモントプロテア, 94,和田竜, 0.5, 84,*  8,  16, 1,  2.8,④②②
 4, 8,Ｆマコトバンクウ, 46,上村洋, 1.2, 60,  -8,   4, 4,  8.6, ④③, 4,18,Ｄアンリミテッドラヴ, 61,小牧太, 0.4, 57,* -1,   4, 5,  8.4,①①①, 4,10,Ｄエリモラフィｰネ, 60,川田将, 0.1, 65,  -2,*  5, 3,  8.3, ⑦⑦, 4,10,Ｅスナｰクファルコン, 90,熊沢重, 0.5, 86,   5,* 23,12, 85.3,⑩⑧⑥
 5, 1,Ｃハイロｰラｰ, 55,幸英明, 1.4, 56, -11,   3, 5, 10.9, ⑥⑤, 5, 5,Ｉスナｰクグレｰス, 55,川島信, 0.4, 56,* -2,   7,11, 72.8,③③③, 5,13,Ｇマッキｰケインズ, 57,川島信, 0.3, 64,  -8,* 10,12, 99.9, ⑮⑩, 5,12,Ｍマイネルテセウス, 84,吉田隼, 0.5, 84,*  8,  17,11, 28.6,②②②
 6, 5,Ｅワイドヒリュウ, 48,田中克, 1.8, 54,  -8,  -2, 8, 34.0, ④⑤, 6, 3,Ｏトロピカルロマンス, 47,藤岡康, 0.7, 54,  -5,   8,15,147.9,⑧⑨⑩, 6,16,Ｉカスタｰニャ, 56,藤岡康, 0.3, 63,*  4,  -3,16,198.9, ③②, 6, 3,Ｊメイショウシャフト, 88,石橋守, 0.6, 85,   6,  19,10, 27.2,⑦⑤⑤
 7,12,Ｈパｰフェクトバイオ, 44,角田晃, 2.2, 48, -19,   1, 6, 22.4, ⑪⑨, 7, 4,Ｆインザミスト, 58,田中健, 0.8, 53,  -4,   4, 4,  8.1,③⑥⑦, 7, 2,Ｍアネクスペクティド, 49,田辺裕, 0.6, 61,  -1,  -1,15,171.6, ⑦⑦, 7, 1,Ｆワキノエクセル, 90,小牧太, 1.1, 81,   2,* 22, 7, 18.0,⑬⑬⑪
 8, 9,Ｉマンカイノハナ, 42,太宰啓, 2.3, 48, -10,  -4, 9, 51.4, ⑥⑧, 8,13,Ｃメイショウキｰル, 62,武豊  , 0.9, 52,* -2,  -2, 3,  5.6,②②②, 8, 5,Ｂマルシゲテイオｰ, 63,田中健, 0.7, 58,*  5,  -9, 5, 18.4, ②②, 8, 6,Ｄダイショウジェット, 92,橋本美, 1.3, 80,   6,  13, 9, 18.9,⑤⑤⑧
