08年 1月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 1月26日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,若潮賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａキョウエイストｰム, 68,村田一,, 69,*  3,   2, 1,  2.0, ①①, 1,11, スズカボｰイ,,林満明,,,,, 2,  4.8,③③③, 1, 3,Ｃモンテチェリｰ, 74,柴田善,, 71,   9,* -1, 2,  4.2, ⑥④, 1, 6,Ｃチョウカイキセキ, 78,横山典,, 78,* 18, -12, 9, 18.0,③③③
 2, 7,Ｂショウナンカザン, 62,柴田善, 0.0, 66,*  2,   0, 2,  4.5, ②②, 2, 6, マイネルジュネス,,田中剛,196.5,,,, 6, 23.9,④①①, 2, 5,Ｇヒカリマｰガレット, 67,大野拓, 0.0, 72,* 11,  -2, 8, 15.7, ②②, 2,12,Ａキタノリュｰオｰ, 81,勝浦正, 0.0, 80,   8,*  5, 7, 13.8,⑭⑮⑬
 3, 9,Ｅシルクアンコｰル, 53,吉田隼, 0.3, 62,  -3,*  2, 4,  7.4, ④④, 3, 4, トウカイマジック,,蓑島靖,196.9,,,, 3,  8.9,⑤⑤④, 3,12,Ｅトｰセンフｰガ, 69,内田博, 0.1, 69,   8,* -1, 4,  9.2, ⑥⑦, 3, 8,Ｉシンボリハレｰ, 75,木幡初, 0.0, 80,  14,  -4, 3,  5.9,⑥⑨⑦
 4, 1,Ｄベルモントヤマユリ, 54,穂苅寿, 0.6, 59,  -8,*  3, 6, 19.9, ⑧⑦, 4,14, マイネルグリッツァ,,平沢健,197.4,,,, 5, 19.9,①②②, 4, 7,Ｋミンナシアワセ, 65,松岡正, 0.2, 67,   4,*  2, 6, 12.1, ⑫⑫, 4,13,Ｅコアレスストｰム, 76,小野次, 0.0, 78,* 18, -13, 4,  7.7,②②②
 5, 2,Ｃヴァンリュミエｰル, 58,郷原洋, 0.6, 60,  -5,   1, 5, 16.9, ⑥⑥, 5,13, トウカイハッスル,,横山義,197.5,,,, 1,  1.6,②④⑤, 5,10,Ａメイスンシンデレラ, 76,津村明, 0.4, 69,* 11,  -5, 3,  5.1, ②①, 5,10,Ｏマイネヴェロナ, 72,江田照, 0.0, 77,  16,  -9,11, 22.6,⑥⑥③
 6,10,Ｌスズモナリザ, 43,武士沢, 0.9, 58,  -3,  -3, 7, 36.1, ④④, 6, 7, タイキレｰザｰ,,宗像徹,197.6,,,, 4, 15.1,⑦⑥⑥, 6,13,Ｂリングオブケリｰ, 74,村田一, 0.4, 68,   8,  -3, 5, 10.9, ⑥⑦, 6, 3,Ｐビｰアデビル, 67,武士沢, 0.2, 76,* 19, -17,14, 68.0,①①①
 7,13,Ｇロｰレルウェンス, 48,大庭和, 1.4, 53, -11,   0, 8, 54.4, ⑩⑧, 7, 9, トｰセンエタニティ,,金子光,198.1,,,, 7, 30.2,⑫⑩⑧, 7,11,Ｄガｰルズポップ, 70,後藤浩, 0.7, 61,   2,* -1, 9, 17.3, ⑭⑭, 7,14,Ｍエｰシントゥルボｰ, 73,吉田豊, 0.3, 75,   9,  -3, 2,  5.3,⑬⑪⑩
 8, 8,Ｉザドリｰムジュエル, 46,小林淳, 1.7, 51,* -1, -13,11, 68.5, ③③, 8, 8, グランドアムｰル,,五十嵐,199.0,,,,10, 54.3,⑨⑧⑨, 8,14,Ｈアンダンテシチｰ, 67,佐藤聖, 0.8, 63,   5,  -4,12,110.0, ⑨⑨, 8,16,Ｂトｰヨｰエｰピｰ, 79,柴山雄, 0.6, 70,  16, -17,10, 20.9,⑥⑥⑦
