08年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
,,,,,,,,,,,,■ 4R  芝2930m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1600m 3 歳ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｴﾙﾌｨﾝｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,, 1, 7, ドリｰムゲッタｰ,,熊沢重,,,,, 4,  8.8,①①①, 1,10,Ｂコスモサレオス, 70,小牧太,, 77,   5,*  9, 3,  4.3, ⑥③, 1, 9,Ｌポルトフィｰノ, 45,武豊  ,, 86,* -1,  20, 1,  1.9, ①①
,,,,,,,,,,,, 2, 8, エリモマキシム,,高野容,199.9,,,, 1,  2.5,⑥⑤③, 2, 7,Ｃアンダｰカウンタｰ, 70,佐藤哲, 0.6, 73,   4,   4, 4,  4.8, ⑦⑦, 2, 1,Ｂラベ, 70,川田将, 0.4, 84,  -6,* 24, 4, 13.9, ⑥③
,,,,,,,,,,,, 3, 6, ウォｰタｰトリトン,,菊地昇,199.9,,,, 3,  5.4,②②④, 3,16,Ｅタマモクリエイト, 67,幸英明, 0.7, 70,   0,*  8, 5, 11.5, ⑪⑧, 3, 3,Ａレジネッタ, 74,池添謙, 0.6, 80,  -8,* 22, 2,  4.0, ⑦⑦
,,,,,,,,,,,, 4, 1, セイウンエポック,,高井彰,200.7,,,, 9, 40.4,⑤⑥⑥, 4, 5,Ａインプルｰヴ, 74,武豊  , 0.7, 72,*  7,   0, 1,  3.8, ②①, 4, 5,Ｅマイネレｰツェル, 67,武幸四, 0.6, 82,  -5,  20, 5, 18.5, ④④
,,,,,,,,,,,, 5, 5, ラダマンテス,,出津孝,201.3,,,, 5,  9.6,⑩⑦⑦, 5, 2, トウケイトロイ,---,川原正, 1.4, 68,  -1,*  7,13,132.8, ⑮⑬, 5,12,Ｄヤマカツオｰキッド, 68,長谷川, 0.7, 80,  -5,  18, 7, 32.9, ⑤⑤
,,,,,,,,,,,, 6,10, ドングレイシｰ,,黒岩悠,201.5,,,, 8, 35.8,④③⑤, 6,14,Ｎコウエイビｰト, 48,長谷川, 1.5, 66,   3,   0,16,298.3, ⑩⑨, 6,11,Ｃチェレブリタ, 69,小牧太, 1.1, 79, -12,* 24, 3,  5.2, ⑫⑫
,,,,,,,,,,,, 7, 3, ツルミトゥインクル,,仲田雅,202.0,,,, 6, 11.1,⑧⑩⑩, 7, 1,Ｄシルクレセプション, 70,秋山真, 1.7, 65,   5,  -6, 2,  4.3, ④⑥, 7, 8,Ｈヤサシイキモチ, 64,角田晃, 1.2, 70,* -4,   8,12,168.0, ②②
