08年 3月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月16日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桑名特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａガｰデンスタイル, 61,佐藤哲,, 63,* -6,*  6, 1,  3.3,①②②, 1, 4,Ａキングオブカルト, 65,中舘英,, 63,*  2,  -8, 1,  1.6,②②②, 1, 1,Ａカリスマダンディｰ, 72,中舘英,, 72,   5,   5, 1,  1.4, ③②, 1,11,Ｂコスモベル, 70,佐藤哲,, 74,   0,   7, 3,  6.3, ④④
 2,12,Ｆオコリンボ, 53,中村将, 0.6, 60,  -9,*  9,10, 20.7,⑫⑫⑧, 2,13,Ｇマイネルクロイツ, 54,佐藤哲, 0.2, 59,*  3, -14, 9, 43.1,①①①, 2,11,Ｋブラックスティング, 58,中村将, 0.0, 74,*  8,   3,10,180.9, ②②, 2, 2,Ｉテｰオｰギャング, 64,松田大, 0.1, 74,  -2,   7,14, 50.6, ④④
 3,15,Ｄドリｰムドリｰマｰ, 53,上村洋, 1.2, 55,  -7,  -2, 2,  4.1,⑨④③, 3, 1,Ｅメイショウジャイロ, 56,浜中俊, 0.3, 59,*  0, -10, 4, 18.7,③③③, 3, 7,Ｆゴｰルドヴェイン, 65,菊沢隆, 0.2, 71,   3,   5, 7, 41.8, ⑤④, 3, 4,Ｅレイザｰバック, 67,中村将, 0.3, 71,*  5,  -2, 2,  5.3, ②②
 4,16,Ｌメイショウユウガオ, 49,鮫島良, 1.3, 52,  -8,  -2, 8, 16.4,⑫⑥⑤, 4,15,Ｑサバｰス, 33,的場勇, 0.5, 59,  -4,* -3,11, 71.5,⑯⑬⑩, 4, 9,Ｂオリオンザトｰル, 71,佐藤聖, 0.3, 69,* 10,   0, 2,  4.6, ①①, 4, 1,Ｃウインイｰジス, 69,石橋脩, 0.3, 71,*  5,  -2, 1,  2.5, ①①
 5,14,Ｊマッキｰサマンサ, 50,野元昭, 1.6, 50,  -7,  -6, 9, 19.2,⑥④⑤, 5, 6,Ｄディビデンド, 56,古川吉, 0.7, 56,  -4,* -6, 8, 42.1,⑫⑬⑭, 5, 8,Ｃシｰグランジャｰ, 69,田中健, 0.6, 68,   3,   1, 3, 10.7, ⑤④, 5,12,Ｆトップオブバイオ, 65,浜中俊, 0.5, 70, -13,* 12,10, 30.0, ⑮⑭
 6, 5,Ｃグランドツインクル, 55,安藤光, 1.6, 50,  -8,  -3, 6, 11.0,⑩⑨⑧, 6, 8,Ｆゴｰルデンストｰム, 55,熊沢重, 0.7, 57,  -2, -10,12, 83.9,⑦⑨⑩, 6, 2,Ｇコアレスナイナｰ, 65,宮崎北, 0.7, 66,   4,   0, 5, 17.2, ④④, 6, 3,Ｎボムシェル, 62,鮫島良, 0.6, 67,  -7,   6, 7, 18.2, ⑨⑨
 7, 2,Ｉジャングルアイズ, 52,田中健, 1.6, 53,  -7,  -4, 7, 14.8,⑤⑥⑤, 7,14,Ｂシャインモｰメント, 63,赤木高, 0.7, 55,  -1, -14, 2,  4.2,④④③, 7,10,Ｊレイゴｰルド, 59,上村洋, 0.7, 66,  -1,   3, 6, 22.3, ⑧⑧, 7, 8,Ｈマウントキング, 65,田辺裕, 0.6, 67,  -7,   6,11, 37.1, ⑨⑨
 8, 9,Ｋポポコ, 50,中舘英, 1.7, 47,* -6,  -8, 5, 10.1,②①①, 8, 3,Ｌロｰドインペリアル, 47,石橋脩, 0.9, 54,  -1, -14, 6, 30.2,⑦⑦⑧, 8, 6,Ｉブルｰシｰズン, 61,二本柳, 0.8, 63,  -6,   6,11,203.6, ⑩⑧, 8,10,Ｇスマｰトスナイパｰ, 65,菊沢隆, 0.6, 67,  -4,   3,12, 38.0, ⑦⑥
