08年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月19日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 4R  ダ1000m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,登別特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,
単勝:160円 複勝:06=110円 03=140円 枠連:0円,,,,,,,,,,,,単勝:170円 複勝:05=110円 02=130円 枠連:0円,,,,,,,,,,,,単勝:140円 複勝:09=110円 02=130円 03=170円 枠連:300円,,,,,,,,,,,,単勝:350円 複勝:11=140円 05=110円 10=340円 枠連:320円,,,,,,,,,,,
馬連:250円 ワイド:03-06=120円 05-06=160円 03-05=160円,,,,,,,,,,,,馬連:200円 ワイド:02-05=130円 04-05=190円 02-04=210円,,,,,,,,,,,,馬連:320円 ワイド:02-09=150円 03-09=190円 02-03=330円,,,,,,,,,,,,馬連:460円 ワイド:05-11=190円 10-11=720円 05-10=590円,,,,,,,,,,,
馬単:400円 3連複:210円 3連単:720円,,,,,,,,,,,,"馬単:350円 3連複:500円 3連単:1,360円",,,,,,,,,,,,"馬単:370円 3連複:500円 3連単:1,150円",,,,,,,,,,,,"馬単:1,140円 3連複:2,070円 3連単:9,920円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,駒場特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｃピエナワイルド, 63,三浦皇,, 66,*  3,*  8, 3,  6.2, ①②, 1, 2,Ｄセゾンシチｰ, 57,安藤勝,, 60,*  4,  -4, 1,  2.0, ①①, 1,11,Ｌネヴァシャトル, 64,小林徹,, 75,* 11,  -1,10, 65.8,①①①, 1, 5,Ａサトノコクオｰ, 87,ホワイ,, 84,  -3,* 27, 1,  1.5,④②②
 2, 8,Ａコロナガｰル, 70,北村友, 0.6, 59,   2,   3, 1,  2.2, ②③, 2, 7,Ｉカワキタライジン, 47,津村明, 0.1, 60,   0,  -2, 7, 36.6, ④③, 2, 7,Ｃタニノロッキｰ, 75,藤田伸, 0.2, 73,   7,*  5, 4, 12.2,⑫⑨④, 2, 2,Ｆブライトロジック, 77,津村明, 0.4, 76,*  9,   4, 3, 19.3,①①①
 3, 9,Ｉアムネリス, 44,的場勇, 0.7, 60,*  3,   2, 8, 81.6, ②①, 3, 5,Ｃレジェルマン, 58,松田大, 0.2, 58,*  1,  -4, 4, 19.9, ②③, 3, 4,Ｍドリｰムザドリｰム, 62,梶晃啓, 0.6, 71,   8,   0,11, 66.3,⑥⑧⑨, 3, 3,Ｈシルクレセプション, 76,長谷川, 1.4, 76,  -4,  17, 5, 27.4,③③③
 4, 6,Ｆメイショウモガミ, 52,藤岡佑, 1.1, 55,   0,   1, 7, 64.6, ④⑤, 4,16,Ｏエｰティｰダビンチ, 44,北村友, 0.3, 57,*  2,  -7, 6, 27.7, ②②, 4, 9,Ｇラインステッチ, 71,ホワイ, 0.6, 70,   9,  -2, 5, 13.5,③④④, 4,10,Ｅブルｰフェアプレｰ, 77,古川吉, 1.6, 74,  -5,  18, 6, 31.7,⑩⑥④
 5, 2,Ｇスイｰトメリｰ, 52,荻野琢, 1.2, 54,  -3,   1, 5, 24.0, ⑦⑧, 5,14,Ａスティｰルシャｰク, 66,三浦皇, 0.4, 55,  -8,   2, 2,  3.2, ⑦⑦, 5, 8,Ｅスパｰクルシチｰ, 73,北村友, 0.8, 67,   5,*  2, 6, 18.1,⑨⑫⑫, 5, 8,Ｃスナｰクユｰチャン, 80,菊沢隆, 1.7, 74,  -6,  19, 7, 32.6,④⑨⑦
 6, 3,Ｅカシマジュリアン, 54,丸田恭, 1.2, 54,   0,   0, 9,115.0, ④③, 6,12,Ｂテｰブルフラワｰ, 59,横山典, 0.4, 55,   0,  -5, 3,  5.8, ④③, 6, 5,Ｆニュｰロザリオ, 73,池添謙, 0.8, 68,   7,  -1, 7, 20.4,⑨⑨⑨, 6, 4,Ｋトウショウアタック, 73,藤岡佑, 1.8, 73,  -5,  17,10,104.3,④⑥⑦
 7, 4,Ｄバイヨン, 61,横山典, 1.3, 54,   0,   0, 2,  2.2, ④⑥, 7, 4,Ｌナバラサ, 46,田嶋翔, 0.4, 55, -18,* 11, 5, 26.9, ⑪⑪, 7,13,Ｊスペｰスタイム, 67,横山典, 0.9, 67,* 10,  -6, 3,  6.3,⑥④④, 7,12,Ｉコパノカチドキ, 75,四位洋, 1.8, 71,  -4,  15, 4, 24.1,⑦④④
 8, 5,Ｂチキリブラウン, 66,梶晃啓, 2.1, 44,  -8,  -3, 4, 13.5, ⑨⑨, 8, 1,Ｆハイブリッドスタｰ, 50,丸田恭, 0.4, 55, -11,   5,16,145.6, ⑧⑧, 8, 1,Ａダブルダンスシチｰ, 78,三浦皇, 0.9, 68,* 10,  -7, 1,  2.1,③②②, 8,11,Ｇトワイライトワルツ, 77,大野拓, 1.9, 72,  -6,  18, 8, 44.7,⑪⑩⑦
 9, 1,Ｈイガノガイア, 47,松田大, 2.4, 43,  -3,  -9, 6, 25.2, ⑦⑥, 9, 8,Ｎメリｰムｰド, 45,青木芳, 0.6, 53, -13,   5,10, 59.0, ⑨⑨, 9, 3,Ｂタカラトゥルｰ, 76,安藤勝, 1.0, 67,   5,   0, 2,  3.8,⑫⑫⑫, 9, 6,Ｄマナｰハウス, 77,秋山真, 2.0, 71,  -5,  15, 9, 53.2,⑦⑥⑥
