08年11月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 8日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ2400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 9,Ｈホッコｰフクヒメ, 40,荻野琢, 1.8, 30, -16, -20, 9, 27.9, ⑫⑫,12, 9,Ｋコスモミネルヴァ, 64,土谷智, 1.2, 55, -13,   7, 9, 34.6, ⑬⑬,12, 6,Ｅクリスタルバッハ, 69,中舘英, 3.1, 55,   5,  -3, 7, 18.0,⑫⑮⑫,12, 9,Ｈクロｰスハｰモニｰ, 66,嘉藤貴, 3.1, 50,   4, -14,10, 58.7,⑤⑥⑨
13, 5,Ｆウララカ, 49,中舘英, 2.2, 30,* -1, -39, 1,  2.0, ②②,13, 8,Ｇレイコガンベロ, 68,津村明, 1.4, 52, -11,   2, 5, 26.3, ⑪⑫,13,12,Ｂトップオブオナｰ, 75,荻野琢, 4.9, 46,   8, -26, 2,  4.3,⑤⑧⑪,13, 7,Ｍホッキｰトックマン, 53,草野太, 3.2, 50,  -1,  -6,12,120.4,⑪⑬⑬
14, 7,Ｏインタｰアリオス, 20,木幡初, 3.0,  2, -30, -23,14,187.0, ⑯⑯,14,10,Ｍカシノアマゾネス, 62,西田雄, 2.5, 42,  -7, -11,14,205.9, ⑨⑨,14,15,Ｎサンパレス, 59,丸田恭, 5.0, 45,   5, -20,14,302.4,⑫⑬⑭,14,12,Ｎディアプリマ, 49,藤岡康, 3.9, 45,  -1, -12,14,238.7,⑭⑬⑭
15,10,Ｐスズノヴァｰジニア,  9,黛弘人, 3.9, -4, -19, -45,16,311.7, ⑭⑮,15,12,Ｏスプリングピット, 54,的場勇,45.5,45.5---, ---, -24,15,223.3, ⑮⑮,15, 4,Ｏエイトスタｰ, 44,田辺裕, 9.6, 31,   5, -58,15,306.1,⑦⑬⑮,,,,,,,,,,,,
16, 1,Ｊジェｰンオｰスチン, 33,宮崎北, 4.1, -4, -16, -50,13,117.7, ⑫⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:0),,,,,,,,,,,
"単勝:920円 複勝:03=340円 15=610円 11=370円 枠連:7,290円",,,,,,,,,,,,単勝:350円 複勝:16=160円 06=140円 13=490円 枠連:670円,,,,,,,,,,,,単勝:520円 複勝:08=190円 05=150円 03=950円 枠連:610円,,,,,,,,,,,,"単勝:2,710円 複勝:02=420円 08=220円 03=160円 枠連:3,520円",,,,,,,,,,,
"馬連:9,140円 ワイド:03-15=2,470円 03-11=1,460円 11-15=2,240円",,,,,,,,,,,,"馬連:690円 ワイド:06-16=270円 13-16=1,920円 06-13=1,210円",,,,,,,,,,,,"馬連:650円 ワイド:05-08=300円 03-08=2,860円 03-05=1,840円",,,,,,,,,,,,"馬連:4,780円 ワイド:02-08=1,780円 02-03=1,110円 03-08=440円",,,,,,,,,,,
