08年 8月30日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月30日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:18,,,,,■ 4R  芝1500m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,まりも特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇリッカアリュｰル, 36,岩田康,, 73,*  5,*  6, 4, 17.6, ①①, 1,11, メイショウイエミツ,---,藤田伸,, 64,* -4,   3, 5, 10.9,②②②, 1,11,Ｃニシノナデシコ, 75,藤田伸,, 68,*  3,   6, 4, 11.7,②②②, 1, 6,Ｇフランシｰル, 67,横山典,, 72,  10,  -3, 2,  4.4, ④⑤
 0, 7,Ａメリュジｰヌ, 67,四位洋, 0.4, 69,   2,   5, 1,  1.7, ②②, 2, 8, ナンヨｰアイドル,---,安藤勝, 0.0, 66,  -6,*  7, 1,  2.7,⑤⑤⑥, 2, 5,Ｊミンナシアワセ, 58,古川吉, 0.2, 69,   0,*  9, 9, 83.4,⑦⑦⑦, 2,12,Ｉクレバｰデュｰク, 66,岩田康, 0.0, 70,   4,*  4, 7, 17.5, ⑪⑨
 2, 2,Ｄトｰセンモンロｰズ, 56,安藤勝, 1.2, 59,  -1,  -1, 3,  7.1, ③③, 3, 9, トップゾｰン,---,池添謙, 0.2, 63,  -7,   6,11, 31.7,⑧⑦⑥, 3, 6,Ｂブリュンヒルト, 76,三浦皇, 0.2, 66,   2,   6, 2,  3.8,④④④, 3, 5,Ｆシベリアンヒｰト, 67,津村明, 0.2, 68,   5,  -1, 6, 15.7, ⑩⑦
 3, 1,Ｂディアテクノバトル, 61,丸田恭, 1.4, 57,  -6,   0, 2,  3.1, ④④, 4, 3, コスモクリスタル,---,津村明, 0.3, 62,  -6,   4, 4,  7.5,③⑤③, 4,10,Ｈハニｰフラッグ, 63,荻野琢, 0.5, 68,  -1,*  9,11,128.4,⑨⑩⑨, 4,14,Ｂアｰスコマンダｰ, 69,三浦皇, 0.2, 70,  11,  -5, 5, 13.7, ④②
 4, 8,Ｅババロア, 54,武幸四, 2.4, 46, -14,  -3, 5, 21.0, ⑥⑥, 5, 5, ウメムスメ,---,四位洋, 0.4, 62, -11,*  9, 9, 19.8,⑨⑨⑧, 5, 2,Ｄドンダケｰ, 69,横山典, 0.5, 65,  -3,* 12, 5, 18.6,⑬⑬⑨, 5, 9,Ａアンソロジｰ, 69,秋山真, 0.2, 70,   9,  -4, 1,  2.6, ④⑤
 5, 3,Ｃゼットホｰオｰ, 58,三浦皇, 2.4, 46, -11,  -6, 6, 21.2, ⑤⑤, 6,12, ヒカルジョディｰ,---,秋山真, 0.4, 60,* -4,  -3, 7, 13.7,①①①, 6,12,Ｅワキノドライバｰ, 67,岩田康, 1.2, 59,   2,  -3, 7, 22.6,④④④, 6, 4, スプリンガｰハナコ,---,宮崎光, 0.3, 64,  -3,*  6,13, 90.7, ⑭⑬
 6, 6,Ｈコｰド, 29,荻野琢, 4.7, 23, -15, -24, 8,168.0, ⑥⑥, 7, 7, サトノミラクル,---,的場勇, 1.0, 53,  -6,  -7, 6, 11.3,③③③, 7, 9,Ｉスズカゲラン, 62,河北通, 1.5, 60,  -2,   3,12,224.1,⑨⑫⑪, 7,10,Ｌナムラブｰム, 60,古川吉, 0.4, 63,  -8,* 10,11, 43.0, ⑯⑭
,,,,,,,,,,,, 8, 6, タツオｰラ,---,岩田康, 1.4, 52, -19,*  7, 2,  6.2,⑨⑪⑪, 8,13,Ｇタガノレイヤｰド, 65,安藤勝, 1.5, 56,   2,  -6, 6, 21.8,⑦④④, 8, 2,Ｋカシマワｰルド, 61,鈴来直, 0.6, 64,   4,  -2,15,199.0, ⑫⑨
