08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月29日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2200m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,宝塚記念 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 4, トウカイベガ,---,石橋守, 2.6, 43,  -4, -12,13,101.1, ⑭⑮,12,11, コスモタイムマシン,---,浜中俊, 2.6, 34, -21,  -8, 7, 33.5, ⑨⑩,12, 6,Ｇマルカラボンバ, 76,船曳文, 2.9, 64,   7,  -6, 9, 30.7, ⑨⑨,12, 8,Ｊロックドゥカンブ, 89,岩田康, 2.8, 67,* 20, -45, 2,  6.9,②②②
13,13,Ｌネヴァノウ, 39,大下智, 2.7, 42,  -3, -15,16,189.2, ⑭⑭,,,,,,,,,,,,,13, 4,Ｏワンダｰリッジ, 68,幸英明, 3.1, 61,   4,  -4,14,179.8, ⑬⑫,13,13,Ｎアサカディフィｰト, 86,小牧太, 3.4, 65,  15, -38,13,111.5,⑭⑭⑭
14,10,Ｍマックスロザリｰ, 37,川田将, 3.8, 35,*  8, -39,10, 39.9, ①①,,,,,,,,,,,,,14,11,Ｋグランプリヒｰロｰ, 71,四位洋, 3.4, 60,   8, -12, 7, 25.6, ⑦⑨,14, 6,Ｍアドマイヤオｰラ, 86,安藤勝, 3.8, 63,  17, -49, 6, 14.6,⑩⑪⑫
15, 5,Ｎキャナレット, 37,田中健, 4.0, 34,  -9, -19,12, 96.8, ⑯⑯,,,,,,,,,,,,,15,13,Ｊエイシンダンベリｰ, 73,福永祐, 3.7, 58,  12, -19,10, 59.6, ②④,,,,,,,,,,,,
16, 3,Ｉファンドリピｰス, 46,和田竜, 5.1, 25,   5, -47, 6, 15.1, ③④,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:不良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:97 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:重(指数:7),,,,,,,,,,,
"単勝:13,120円 複勝:16=3,060円 07=280円 01=1,000円 枠連:1,740円",,,,,,,,,,,,"単勝:370円 複勝:01=150円 06=270円 09=200円 枠連:1,650円",,,,,,,,,,,,"単勝:420円 複勝:02=200円 12=500円 03=1,340円 枠連:1,940円",,,,,,,,,,,,"単勝:1,130円 複勝:09=300円 02=130円 01=680円 枠連:880円",,,,,,,,,,,
"馬連:64,970円 ワイド:07-16=17,400円 01-16=31,810円 01-07=2,960円",,,,,,,,,,,,"馬連:2,050円 ワイド:01-06=720円 01-09=510円 06-09=900円",,,,,,,,,,,,"馬連:2,640円 ワイド:02-12=1,000円 02-03=3,490円 03-12=8,020円",,,,,,,,,,,,"馬連:1,080円 ワイド:02-09=470円 01-09=3,740円 01-02=1,420円",,,,,,,,,,,
"馬単:155,910円 3連複:456,010円",,,,,,,,,,,,"馬単:3,260円 3連複:3,380円",,,,,,,,,,,,"馬単:4,390円 3連複:48,120円",,,,,,,,,,,,"馬単:3,200円 3連複:10,660円 3連単:55,780円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■ 8R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,香住特別,,,,,,,,,,,,鷹取特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
