08年 4月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 4月13日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝2200m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湾岸ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂウインペイシェント, 59,千葉直,, 57, -16,* 11, 2,  4.3, ⑪⑪, 1, 2, フジヤマホｰク,,横山義,,,,, 1,  1.8,④③②, 1,10,Ｃサムデイシュアｰ, 69,武士沢,, 72,  10,*-12, 9, 30.6,⑪⑪⑤, 1,10,Ｍトレオウオブキング, 77,大庭和,, 82,  18,*-12,16,145.9,⑧⑤⑥
 2, 2,Ｉチチブヨマツリ, 48,大庭和, 0.2, 57,* -4,  -1, 9, 72.8, ②②, 2,11, ナカヤマスナイパｰ,,宗像徹,199.3,,,, 5, 16.8,②②②, 2, 2,Ａマイネルブリアｰ, 75,柴田善, 0.2, 70,  11,*-20, 1,  2.6,⑭⑦④, 2, 7,Ｅトｰセンクラウン, 83,田辺裕, 0.0, 81,  18,*-14, 4,  7.2,⑨⑤④
 3, 9,Ｋレプラコンレｰン, 44,田中博, 0.2, 57, -10,*  5,10, 77.0, ⑤⑤, 3, 1, タイキレｰザｰ,,山本康,199.4,,,, 3,  7.4,⑥⑤④, 3, 5,Ｅニシノロドリゲス, 68,千葉直, 0.8, 65,   9,*-21,12, 66.0,⑬⑬⑩, 3, 3,Ｇマイネルネオス, 82,津村明, 0.2, 81,  17,*-11, 8, 16.3,⑬⑩⑥
 4, 8,Ａマリアｰジュ, 61,柴田善, 0.3, 56,  -6,   1, 4, 10.8, ③③, 4, 5, ワンモアスエルテ,,石神深,200.1,,,, 4,  9.3,①①①, 4,12,Ｂロックザキャスバ, 73,横山典, 1.2, 63,   7,*-21, 2,  3.5,⑪⑭⑭, 4, 1,Ｋマンハッタンスカイ, 78,柴田善, 0.5, 77,* 20, -27, 3,  5.5,③②②
 5, 1,Ｅサマｰシルクロｰド, 55,津村明, 0.7, 52,* -4,  -5, 7, 41.7, ①①, 5, 6, メジロラスタバン,,五十嵐,200.9,,,, 6, 23.2,⑨⑦⑤, 5,13,Ｄフレｰミングライフ, 68,的場勇, 1.2, 62,  11, -33, 6, 16.6,⑧⑦⑤, 5,15,Ｐコスモテナシャス, 74,浜中俊, 0.6, 76,* 27, -45,14,105.7,①①①
 6,12,Ｇマイネテオリア, 53,浜中俊, 0.7, 50,* -6,  -4,11, 90.2, ③③, 6, 9, プラチナブラック,,柴田大,201.8,,,,11, 87.4,⑤⑥⑦, 6, 1,Ｎマイネルハイアップ, 62,戸崎圭, 1.2, 62,  13, -36,10, 36.7,⑤⑤⑤, 6, 2,Ｄマルタカハｰモニｰ, 84,小林淳, 0.9, 74,  19, -30,10, 25.3,③④⑤
 7, 4,Ｆガッツパワｰ, 55,戸崎圭, 0.8, 50, -10,  -2, 3,  9.5, ⑤⑧, 7, 7, ケイアイロブ,,金子光,202.3,,,,12, 99.1,⑧⑨⑧, 7, 3,Ｌナンヨｰサウス, 63,津村明, 1.2, 64,  12, -33,15,162.3,⑧⑦⑨, 7,11,Ｎオｰバｰカムオｰル, 76,土谷智, 0.9, 74,  18, -25,15,111.8,⑨⑤⑥
 8,11,Ｌフジアンドリュウ, 43,三浦皇, 0.8, 50, -12,   1, 8, 52.4, ⑧⑧, 8,10, リバｰアンダルシア,,江田勇,202.5,,,, 8, 26.9,②④⑤, 8, 4,Ｉキングタキオン, 66,郷原洋, 1.3, 62,* 14, -42, 8, 27.6,⑤③②, 7, 5,Ｆフェニコｰン, 83,三浦皇, 0.9, 74,  15, -18, 6, 12.5,⑥⑬⑫
