08年 8月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月16日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-18,,,,,■ 7R  芝1000m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浦佐特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｃアポロストｰム, 46,勝浦正,, 55, -18,*  6, 1,  1.8, ④③, 1,12,Ｂタツタイコウ, 64,内田博,, 60,  -6,*  4, 4,  6.2, ⑦④, 1,18,Ａシャンパンフルｰト, 61,吉田豊,, 58,   5,*  1, 1,  3.2,   , 1, 4,Ｌエイシンブイダンス, 64,松岡正,, 74,   3,*  5,11, 36.4, ⑧⑧
 2, 4,Ａケｰジｰカンザクラ, 54,柴田善, 0.3, 50, -15,  -1, 3,  6.4, ②②, 2, 7,Ｇイニシュモア, 56,柴山雄, 0.0, 62,  -5,*  3, 1,  3.2, ④④, 2,12,Ｆホリノティアラ, 52,江田照, 0.1, 58,*  8,  -3, 8, 25.5,   , 2,12,Ｇクリムゾンベガ, 73,柴田善, 0.0, 75,   2,*  8, 4,  8.1, ⑪⑫
 3, 9,Ｆハッピｰシャトル, 38,柴山雄, 0.5, 48, -20,*  2, 4, 12.0, ⑥⑥, 3, 4,Ｅリリｰザサン, 58,大庭和, 0.1, 60,* -3,   0,11, 69.9, ①①, 3,16,Ｇマイコノエリ, 46,木幡初, 0.1, 58,   6,  -1,12, 94.5,   , 3, 8,Ｂプリティダンス, 76,福永祐, 0.1, 71,   5,  -1, 2,  4.2, ⑥⑥
 4, 1,Ｂキュｰバンエイト, 47,福永祐, 0.5, 46,*-12,  -6, 2,  3.2, ①①, 4,14,Ｃトライバルジャパン, 63,江田照, 0.3, 59,* -4,  -1, 3,  6.2, ②②, 4,13,Ｂラインディｰヴァ, 55,福永祐, 0.1, 59,*  9,  -3, 2,  3.5,   , 4, 9,Ｈフランドルシチｰ, 71,後藤浩, 0.2, 72,  -1,*  9,10, 27.7, ⑪⑬
 5, 3,Ｅピｰチフレア, 39,江田照, 0.8, 43, -20,  -2, 8,121.5, ⑥⑦, 5, 8,Ａマイティｰクラウン, 68,千葉直, 0.6, 56,* -3,  -3, 2,  3.5, ②②, 5,15,Ｃウインプラチナム, 54,柴山雄, 0.3, 50,   0,*  0, 3,  5.0,   , 5, 2,Ｆナショナルホリデｰ, 73,内田博, 0.2, 69,   4,  -4, 1,  3.5, ③③
 6, 2,Ｇレインボｰティアラ, 38,吉田豊, 1.3, 36, -15, -14, 6, 20.5, ②③, 6, 9,Ｆエアベルヴュｰ, 57,武士沢, 0.7, 55,  -8,   0,10, 33.7, ⑨⑨, 6,14,Ｉシャイニｰカフェ, 43,吉永護, 0.8, 41, -18,*  5,18,168.4,   , 6,11,Ａベルモントルパン, 82,吉田稔, 0.3, 68,*  6,  -8, 3,  5.1, ③③
 7, 8,Ｄヤマニンオクタゴン, 43,柴田大, 1.4, 35, -17, -12, 5, 18.2, ④③, 7, 6,Ｋメルシｰパッション, 36,中舘英, 1.1, 50,  -8,  -3, 9, 33.6, ⑨⑨, 7, 5,Ｊレディカンザシ, 38,村田一, 0.9, 41,  -4,  -6, 9, 36.5,   , 7,10,Ｍショウナンアルス, 64,柴山雄, 0.3, 69,   4,  -2,13,111.0, ⑦⑦
 8, 7,Ｈエアｰレｰス, 34,穂苅寿, 1.7, 35, -30,  -2, 9,137.7, ⑨⑨, 8, 1,Ｊシャイニングアゲン, 49,吉田稔, 1.2, 52,  -9,  -3, 8, 28.3, ⑨⑪, 8, 6,Ｅマイネテオリア, 52,蛯名正, 1.0, 42,   4, -13, 6, 14.9,   , 8,15,Ｃビｰモブホｰプ, 74,田中博, 0.4, 72,   3,   2, 7, 15.8, ⑧⑧
 9, 6,Ｉマカディシチｰ, 26,草野太, 1.9, 29, -25, -11, 7,100.7, ⑧⑧, 9,11,Ｌセイコｰソニック, 34,柴田善, 1.3, 50,  -5,  -8,12, 94.3, ④④, 9, 2,Ｌスイｰトシャｰク, 33,武士沢, 1.1, 36,  -3, -10,10, 82.6,   , 9, 6,Ｅエｰブダンシング, 73,勝浦正, 0.4, 70,*  8, -11,12, 43.0, ②②
,,,,,,,,,,,,10, 3,Ｍノアギャロップ, 31,草野太, 1.7, 46,  -5, -12,14,258.1, ④④,10,10,Ｄフラッシュバット, 53,中舘英, 1.2, 39,   4, -16, 4,  7.4,   ,10, 1,Ｉマッカラン, 67,蛯名正, 0.7, 65,*  6, -12, 5, 12.9, ③③
,,,,,,,,,,,,11,10, メジロジャスミン,---,吉田豊, 2.2, 41, -13,  -9, 7, 17.8, ⑫⑫,11,17,Ｈアペレジｰナ, 44,松岡正, 1.2, 34,  -6,  -9, 5, 14.0,   ,11, 3,Ｄミヤビベガ, 74,吉田豊, 0.9, 65,   1,  -3, 6, 14.0, ⑭⑬
,,,,,,,,,,,,12, 2,Ｎリネンライン, 20,村田一, 2.4, 41, -14,  -9,13,166.3, ⑬⑬,12, 3,Ｍスプリングスピカ, 26,石橋脩, 1.4, 33, -15,  -4,15,128.8,   ,12, 7,Ｋグランデスピリッツ, 65,木幡初, 1.1, 63,   2,  -9, 9, 26.0, ⑪⑩
,,,,,,,,,,,,13, 5,Ｉスギノバンディエラ, 49,福永祐, 2.5, 39, -14, -10, 5, 10.2, ⑬⑬,13, 9, ユナイトザナイト,---,千葉直, 1.4, 31, -16,  -5,11, 84.4,   ,13,14,Ｎディアｰウィッシュ, 64,中舘英, 1.8, 54,*  7, -33, 8, 16.0, ①①
,,,,,,,,,,,,14,15,Ｈハルタカオｰ, 51,小林淳, 2.7, 37,  -6, -20, 6, 16.8, ⑦④,14, 8,Ｋケｰジｰハルカゼ, 37,吉田稔, 1.6, 36,*  8, -24, 7, 23.2,   ,14, 5,Ｏパパノエル, 42,水野貴, 1.8, 56,   1, -16,14,162.8, ⑩⑩
,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｏタツウエｰブ,  8,小野次, 1.7, 28,  -8, -14,17,144.3,   ,15,13,Ｊタイキクラリティ, 65,江田照, 3.0, 44,  -5, -18,15,200.5, ⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,16, 4,Ｎアルコレイナ, 15,勝浦正, 1.7, 30,   0, -20,16,130.1,   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 7, ロｰテブリジャｰル,---,鷹野宏, 2.3, 21, -20, -14,13,106.6,   ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,11, レディｰハンタｰ,---,黛弘人, 3.6,-37, -53, -10,14,122.6,   ,,,,,,,,,,,,
