08年 2月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,,,,,,,,,,,,,■ 7R  ダ1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1900m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,琵琶湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｏメイショウベルｰガ, 30,池添謙,, 63,  -7,* 10, 4,  6.9, ⑩⑩,,,,,,,,,,,,, 1, 9,Ａシルクレセプション, 71,松岡正,, 70,   0,*  5, 3,  5.5, ⑥④, 1, 8,Ｃトロフィｰディｰル, 79,ルメｰ,, 79,*  5,* 17, 6, 10.5,②②②
 2,13,Ｅマルシゲヨカニセ, 56,北村友, 0.6, 62,*  5,  -6,13, 41.8, ②②,,,,,,,,,,,,, 2,12,Ｅヤサシイキモチ, 65,池添謙, 0.3, 68,*  3,  -1, 7, 15.2, ②②, 2,10,Ｇケンブリッジレｰザ, 77,川田将, 0.6, 78,   2,* 18, 5,  9.5,⑬⑪⑥
 3,11,Ａロジュマン, 63,小林徹, 0.6, 61,   1,  -3, 1,  3.0, ④④,,,,,,,,,,,,, 3, 3,Ｃエイシンキャップ, 69,藤岡佑, 0.4, 65,  -2,*  4, 5,  8.9, ⑨⑪, 3, 5,Ｊサンライズベガ, 73,北村友, 0.7, 74,   3,  13, 3,  5.8,⑤③④
 4,10,Ｂミスタｰオリオン, 58,小林慎, 0.8, 62,*  6, -10, 2,  3.9, ①①,,,,,,,,,,,,, 4, 4,Ｈカネトシトレンド, 61,鮫島良, 0.8, 64,  -3,*  4,13,125.1, ⑫⑫, 4, 9,Ａマイネルアンサｰ, 83,和田竜, 0.7, 79,   1,* 19, 9, 19.5,⑫⑬⑩
 5,14,Ｄチアズアブソｰブ, 56,長谷川, 1.0, 60,*  4,  -9, 7, 21.1, ②②,,,,,,,,,,,,, 5,14,Ｊボストンオｰ, 59,和田竜, 1.0, 63,   2,  -5, 2,  4.1, ③②, 5, 2,Ｈストロングドン, 75,田中健, 0.9, 77,   2,  13,13, 86.6,⑩⑧⑧
 6, 9,Ｊハｰドパティシエ, 50,浜中俊, 1.6, 50,  -2,  -9, 8, 24.2, ⑥⑤,,,,,,,,,,,,, 6, 5,Ｄタマモクリエイト, 68,秋山真, 1.2, 61,   1,  -7, 1,  4.0, ③④, 6, 1,Ｆウィルビｰキング, 77,芹沢純, 0.9, 75,   3,  13,10, 25.5,③⑤⑩
 7, 6,Ｇドゥｰエン, 54,藤岡佑, 1.7, 49,  -8,  -3, 3,  6.2, ⑪⑪,,,,,,,,,,,,, 7, 2,Ｌアコニットライアン, 56,ルメｰ, 1.2, 59,  -2,  -2, 4,  6.3, ⑨⑦, 7,12,Ｅシルバｰブレイズ, 77,高田潤, 1.1, 74,   3,  13, 1,  3.7,⑦⑧⑥
 8, 4,Ｉトｰホウドレス, 52,川島信, 1.8, 52,  -2,  -8, 9, 26.8, ⑨⑧,,,,,,,,,,,,, 8,15,Ｍスリｰリンクス, 55,岩崎祐, 1.4, 58,  -5,   0,12, 87.0, ⑫⑫, 8, 6,Ｄタガノファントム, 78,小原義, 1.2, 73,   4,  10, 2,  3.9,⑩⑤④
 9, 7,Ｋカイシュウペガサス, 49,松岡正, 1.9, 47, -10,  -4,14, 79.8, ⑪⑫,,,,,,,,,,,,, 9, 1,Ｆレディマハロ, 62,太宰啓, 1.5, 58,   0,  -7, 8, 21.5, ⑧⑦, 9,13,Ｍピサノシェンロン, 67,岡田祥, 1.5, 69,*  4,   5, 4,  8.9,③③③
10, 2,Ｆダイメイバｰド, 56,松田大, 2.5, 43,  -3, -16, 5, 19.7, ⑦⑧,,,,,,,,,,,,,10, 8,Ｋハｰバｰクイｰン, 57,高野容, 1.6, 57,*  2, -11,15,245.7, ③④,10, 3,Ｉスズカストロング, 74,生野賢, 1.8, 69,   2,   7, 8, 18.9,⑦⑪⑩
11, 5,Ｍメルヴィｰユ, 31,田中克, 3.2, 40,   0, -25,10, 32.3, ⑤⑥,,,,,,,,,,,,,11,13,Ｉシｰクレットハｰト, 60,田中学, 1.7, 55,  -2,  -7, 9, 32.9, ⑨⑦,11, 7,Ｋノｰストピア, 71,中村将, 1.9, 66,*  5,  -1,12, 61.2,①①①
12, 1,Ｌトミケンプライム, 42,佐藤哲, 3.4, 38, -11, -13,12, 37.1, ⑬⑫,,,,,,,,,,,,,12, 7,Ｇコウエイビｰト, 61,田中健, 1.8, 57,   0,  -9,10, 67.7, ⑥⑦,12,11,Ｂライオングラス, 79,四位洋, 2.8, 62,   3,  -4, 7, 16.5,⑦⑤⑧
13, 8,Ｈメイショウクレスタ, 52,船曳文, 3.5, 34, -16, -13, 6, 19.7, ⑭⑭,,,,,,,,,,,,,13, 6,Ｂホッコｰビクトリｰ, 70,渡辺薫, 2.5, 49,  -5, -10, 6,  9.5, ⑭⑭,13, 4,Ｌサダムアカイカゼ, 70,藤岡佑, 3.3, 58,   3,  -7,11, 50.8,⑤⑧⑩
14,12,Ｃセフティｰプラチナ, 57,小牧太, 3.8, 32,  -3, -27,11, 33.8, ⑦⑥,,,,,,,,,,,,,14,11,Ｎシゲルラフタラ, 44,中村将, 2.6, 48,  -6,  -9,16,295.9, ⑭⑭,,,,,,,,,,,,
15,15,Ｎエリモスラッガｰ, 30,荻野琢, 4.3, 12, -33,  -3,15,130.7, ⑮⑮,,,,,,,,,,,,,15,10, ブｰトキャンプ,---,北村友, 2.9, 45,  -7, -11,14,188.7, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,16, ウルトラエナジｰ,---,岡田祥, 3.2, 46,*  5, -27,11, 73.8, ①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:2),,,,,,,,,,,
"単勝:690円 複勝:03=220円 13=520円 11=140円 枠連:4,500円",,,,,,,,,,,,,,,,,,,,,,,,"単勝:550円 複勝:09=210円 12=530円 03=320円 枠連:4,800円",,,,,,,,,,,,"単勝:1,050円 複勝:08=400円 10=290円 05=230円 枠連:1,350円",,,,,,,,,,,
"馬連:9,240円 ワイド:03-13=3,080円 03-11=490円 11-13=1,490円",,,,,,,,,,,,,,,,,,,,,,,,"馬連:4,950円 ワイド:09-12=1,490円 03-09=740円 03-12=2,080円",,,,,,,,,,,,"馬連:3,520円 ワイド:08-10=1,260円 05-08=1,100円 05-10=1,030円",,,,,,,,,,,
"馬単:18,640円 3連複:8,950円",,,,,,,,,,,,,,,,,,,,,,,,"馬単:8,180円 3連複:11,530円",,,,,,,,,,,,"馬単:6,250円 3連複:5,240円 3連単:34,310円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  ダ1900m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■11R  ダ1400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,斑鳩ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａゴｰフォアブロｰク, 64,長谷川,, 70,*  4,  -1, 4,  6.6,①①①, 1,12,Ｏツルマルウンニャ, 39,小牧太,, 64,*  7,*  2, 6, 11.0,③②①, 1, 7,Ｇテンエイヤシャオｰ, 67,赤木高,, 71,   0,*  8, 9, 39.4, ⑦⑧, 1,14,Ｉショウワモダン, 79,ルメｰ,, 82,* 12,   5, 1,  4.5, ②②
 2, 3,Ｈスズカファイト, 57,渡辺薫, 0.3, 67,   3,*  0, 2,  4.9,④③④, 2,14,Ａシャインモｰメント, 64,赤木高, 0.1, 63,   5,*  4, 7, 12.3,⑧⑦⑤, 2, 5,Ｆトウカイインパクト, 68,芹沢純, 0.0, 72,  -2,* 10, 4,  9.0, ⑬⑪, 2, 5,Ｌダノンムロｰ, 77,藤岡佑, 0.4, 78,   7,*  9, 2,  5.2, ⑮⑬
 3,10,Ｆホッコｰキングオｰ, 59,秋山真, 0.6, 66,   3,  -4, 8, 27.0,④③②, 3,16,Ｃアルトップラン, 57,佐藤哲, 0.2, 65,   6,*  1, 4,  8.3,⑥④③, 3,16,Ｋワイルドイリｰガル, 64,松田大, 0.2, 70,*  7,  -3, 3,  7.9, ①①, 3,16,Ｂヘイロｰフジ, 83,飯田祐, 0.4, 79,  10,   4, 3,  5.6, ⑤④
 4, 6,Ｇパイロット, 59,浜中俊, 0.6, 64,  -1,*  3, 9, 43.1,⑭⑪⑩, 4, 5,Ｇテｰオｰショウキ, 52,渡辺薫, 1.4, 58,   5,  -3,12, 71.4,⑬⑪⑧, 4, 8,Ｈプルｰヴドメリト, 67,佐藤哲, 0.2, 72,   0,*  7, 2,  6.7, ⑨⑥, 4,12,Ｈグランプリオｰロラ, 80,岡田祥, 0.5, 77,   7,*  8, 8, 17.9, ⑫⑧
 5,14,Ｂフジノアリオン, 64,川田将, 0.8, 62,   2,  -4, 1,  3.7,③⑤④, 5, 9,Ｅグロｰリｰシｰズ, 55,川田将, 1.4, 56,*  7, -10, 1,  3.2,②②②, 5,14,Ａダイワチャｰム, 75,鮫島良, 0.4, 69,   2,   2, 1,  2.2, ④④, 5, 7,Ｆアンティｰクコイン, 81,秋山真, 0.7, 77,   8,   3,14, 64.6, ⑩⑧
 6,12,Ｅホｰプフルスタｰ, 60,松岡正, 0.9, 63,   0,  -2, 7, 14.5,⑪⑧⑧, 6,13,Ｋマイネソシオ, 48,長谷川, 1.5, 59,   7,  -8, 9, 33.1,⑩④⑥, 6, 4,Ｄメイショウフウライ, 72,飯田祐, 0.5, 68,   3,  -1, 6, 13.1, ③②, 6, 3,Ｏダンディｰズケア, 72,鮫島良, 0.7, 78,  11,   1,12, 31.0, ⑤④
 7, 8,Ｃメイショウユウシャ, 62,ルメｰ, 1.3, 60,  -1,  -3, 5,  6.9,⑪⑪⑩, 7, 2,Ｉアドベンティスト, 51,藤岡佑, 2.7, 48,*  7, -21, 3,  6.3,①①③, 7,13,Ｉチャリティショウ, 65,渡辺薫, 0.8, 66,  -5,*  7,12, 94.1, ⑭⑭, 7, 8,Ａマイネルポライト, 87,池添謙, 1.1, 72,   6,   4, 4,  7.5, ⑮⑬
 8, 7,Ｋネルソンタッチ, 50,荻野琢, 1.3, 60,   2,  -7, 6,  8.1,⑩⑤⑥, 8, 7,Ｎロｰレルスプレｰモ, 41,松岡正, 2.8, 49,   3, -12,11, 53.6,⑭⑫⑪, 8,10,Ｃニシノフジヤマ, 72,浜中俊, 0.8, 65,  -2,   3, 7, 15.6, ⑪⑪, 8,11,Ｃシルクドラグｰン, 83,武英智, 1.1, 73,   9,   1, 5, 10.5, ⑫⑧
 9, 9,Ｄピエナミッチｰ, 60,藤岡佑, 2.1, 54,   1, -12, 3,  5.6,⑨⑧⑧, 9, 6,Ｊヤマニンルフレ, 49,石橋守, 3.4, 45,   5, -23,13, 84.5,⑩⑦⑧, 9,12,Ｅウイニングヒット, 71,松岡正, 0.9, 66,  -1,   2, 8, 16.0, ⑨⑧, 9, 6,Ｍベイリングボｰイ, 76,渡辺薫, 1.1, 74,  12,  -3, 9, 20.0, ⑤④
10,11,Ｊバンブｰバファナ, 50,和田竜, 2.4, 53,*  4, -21,14,190.8,②②②,10,11,Ｈグレｰトベッセル, 52,浜中俊, 3.6, 42,   4, -23,10, 42.6,⑨⑨⑩,10, 1,Ｌサラバンド, 62,小牧太, 1.6, 59,   2,  -8,11, 79.7, ④⑥,10,15,Ｊメイショウディオ, 78,難波剛, 1.1, 72,   8,   0,11, 25.0, ⑨⑧
11,13,Ｉダイワウィｰク, 53,北村友, 2.8, 48,   1, -19,10, 48.4,⑦⑦⑥,11,15,Ｐチョウスタｰ, 37,田中学, 3.8, 43,   1, -17,16,291.9,⑮⑮⑬,11, 9,Ｂミスティｰオメガ, 73,藤岡佑, 1.6, 60,  -2,  -3, 5,  9.8, ⑪⑧,11, 2,Ｇコンゴウリュウオｰ, 80,川田将, 1.4, 72,* 13,  -8, 6, 12.0, ②②
12, 4,Ｎテイエムモッコス, 27,太宰啓, 2.8, 50,  -1, -16,11, 64.0,⑦⑪⑫,12, 3,Ｆダンツホウテイ, 54,上村洋, 3.8, 45,   6, -29, 2,  4.3,③④⑥,12,11,Ｏラホｰルフォｰト, 57,川島信, 1.6, 61,  -5,   1,15,248.0, ⑭⑮,12,10,Ｅマッハジュウクン, 82,四位洋, 2.2, 64,   6,  -6,10, 22.4, ⑭⑯
13, 2,Ｌダンツキャピタル, 46,熊沢重, 4.9, 40,   1, -34,12,118.2,④⑧⑬,13, 4,Ｄブラストダッシュ, 57,小林徹, 4.3, 38,   2, -23, 8, 17.2,③⑭⑬,13,15,Ｍケイエスショｰキ, 61,難波剛, 2.2, 55,   0, -11,13,106.3, ⑦⑪,13, 4,Ｄゼットフラッシュ, 82,松岡正, 2.5, 63,* 12, -16, 7, 14.5, ②①
14, 1,Ｍワンダｰバラ, 38,佐藤哲, 5.6, 36,  -6, -27,13,130.3,⑪⑭⑭,14, 8,Ｍドナフュｰジョン, 42,船曳文, 4.7, 37,   4, -32,15,213.8,⑫⑨⑪,14, 3,Ｊエｰシンプリンス, 64,野元昭, 2.5, 52,   2, -16,16,354.4, ④④,14,13,Ｋゼットカｰク, 77,熊沢重, 3.2, 57,   8, -16,13, 34.0, ⑩⑮
,,,,,,,,,,,,15, 1,Ｌサフランチカラ, 47,秋山真, 4.8, 40,  -1, -20,14,130.0,⑯⑯⑮,15, 6,Ｎテイエムスカット, 58,菊地昇, 2.7, 50,*  6, -22,14,108.9, ②②,15, 9,Ｎマキハタサｰメット, 73,芹沢純, 3.5, 54,  10, -22,16,106.6, ⑤⑧
,,,,,,,,,,,,16,10,Ｂダイワスピリット, 60,鮫島良, 9.7,  2,   2, -68, 5, 10.7,⑥⑫⑯,,,,,,,,,,,,,16, 1,Ｐサインゴｰルド, 64,石橋守, 4.5, 48,* 13, -34,15, 77.0, ①④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:良(指数:2),,,,,,,,,,,
"単勝:660円 複勝:05=240円 03=180円 10=660円 枠連:1,450円",,,,,,,,,,,,"単勝:1,100円 複勝:12=310円 14=360円 16=250円 枠連:3,620円",,,,,,,,,,,,"単勝:3,940円 複勝:07=710円 05=310円 16=280円 枠連:2,240円",,,,,,,,,,,,単勝:450円 複勝:14=170円 05=220円 16=180円 枠連:990円,,,,,,,,,,,
"馬連:1,430円 ワイド:03-05=620円 05-10=3,290円 03-10=2,550円",,,,,,,,,,,,"馬連:7,000円 ワイド:12-14=2,160円 12-16=1,420円 14-16=1,390円",,,,,,,,,,,,"馬連:11,540円 ワイド:05-07=2,950円 07-16=4,190円 05-16=1,340円",,,,,,,,,,,,"馬連:1,290円 ワイド:05-14=520円 14-16=480円 05-16=750円",,,,,,,,,,,
"馬単:3,370円 3連複:15,760円",,,,,,,,,,,,"馬単:16,250円 3連複:17,740円",,,,,,,,,,,,"馬単:26,200円 3連複:38,680円",,,,,,,,,,,,"馬単:2,560円 3連複:3,050円 3連単:14,380円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 6R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 9R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■12R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,こぶし賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13, アクアリング,---,ルメｰ,, 67,*  3,* -1, 1,  2.2, ①②, 1, 2, シルキｰレオン,---,和田竜,, 62,*  3,  -8, 8, 23.0,①①①, 1,14,Ｍミゼリコルデ, 57,四位洋,, 82,*  9,* 10, 6, 20.0, ③①, 1, 7,Ｍタンティモｰル, 68,四位洋,, 77,  -3,* 17, 2,  5.5, ⑭⑬
 2, 5, サウスサプライズ,---,赤木高, 0.8, 60,*  4,  -9, 4, 10.6, ②①, 2, 7, ミッキｰハンタｰ,---,藤岡佑, 0.0, 62,   1,* -3, 2,  4.4,⑧⑦⑥, 2, 6,Ａオリジナルフェイト, 84,秋山真, 0.5, 78,*  9,*  4, 1,  2.1, ②②, 2,12,Ｉダイゴカムイ, 71,太宰啓, 0.4, 73,* 12,   0,15,176.6, ③②
 3,12, アンプレシオネ,---,川田将, 1.3, 54,  -2,  -8, 3, 10.1, ⑥⑤, 3, 1, ブラックストｰム,---,ルメｰ, 0.2, 59,   1,  -6, 9, 26.0,③④④, 3, 2,Ｎナムラウィッシュ, 55,鮫島良, 1.7, 68,   6,  -1,11,140.1, ⑦⑦, 3,16,Ａリリｰハｰバｰ, 78,池添謙, 0.4, 73,   8,   3, 3,  6.5, ⑥⑤
 4, 4, ネオシンフォニｰ,---,和田竜, 1.8, 49,  -6,  -9, 7, 18.7, ⑧⑦, 4,12, マルイチシンゲキ,---,北村友, 0.7, 55,   0,  -9, 7, 11.9,⑥⑦⑦, 4, 8,Ｉアンヴェイル, 60,小牧太, 1.7, 65,   3,   2, 7, 23.4, ⑩⑪, 4, 9,Ｊマイネルラファエロ, 71,佐藤哲, 0.4, 74,  -1,* 12, 8, 28.7, ⑫⑪
 5,16, オｰクヒルズ,---,浜中俊, 1.9, 49,   1, -16,10, 46.3, ③③, 5, 3, カワキタフウジン,---,秋山真, 0.9, 57,*  3, -15, 6, 11.2,②②②, 5,10,Ｇクｰルドリオン, 62,松岡正, 1.9, 65,   3,   1, 5, 19.5, ⑩⑨, 5,14,Ｃイリュｰシブネス, 74,秋山真, 0.5, 74,   4,   7, 1,  2.5, ⑨⑩
 6,11, セレスマジック,---,藤岡康, 2.0, 49,   1, -17, 9, 24.5, ③③, 6,15, アグネスアモｰレ,---,松岡正, 1.2, 54,  -3,  -7, 1,  4.0,⑭⑬⑫, 6, 5,Ｆオｰスミスパｰク, 64,佐藤哲, 2.0, 67,   8,  -6, 4,  8.2, ⑥⑤, 6,10,Ｐワンモアフリｰト, 65,田中克, 0.5, 75,   0,  10,16,237.4, ⑫⑬
 7, 1, ナムラエラン,---,松岡正, 2.1, 46,  -7, -10, 2,  4.1, ⑨⑩, 7,13, シグナスルｰプ,---,四位洋, 1.2, 53,   1, -15, 3,  5.8,⑪④②, 7,11,Ｈマイネルインゼル, 60,藤岡康, 2.5, 62,*  9, -12, 9, 25.8, ③③, 7,11,Ｋヴァンジェｰロ, 68,上村洋, 0.5, 74,* 12,  -1,12, 59.1, ③②
 8, 3, スピリットアイズ,---,池添謙, 2.1, 45, -11,* -5, 5, 12.1, ⑪⑩, 8,16, サンレイコンサｰト,---,難波剛, 1.3, 53,  -1, -11,13, 50.7,⑮⑫⑨, 8, 3,Ｌアグネスファスト, 57,ルメｰ, 2.7, 60,* 11, -15, 2,  4.8, ①④, 8, 5,Ｇランドベスト, 72,植野貴, 0.7, 70,  -2,  10,14,158.4, ⑭⑮
 9,15, パｰプルメリット,---,小坂忠, 2.3, 43,  -7, -12,12,162.0, ⑨⑧, 9, 6, シャンパンフルｰト,---,鮫島良, 2.1, 48,*  2, -24,12, 35.1,③③④, 9, 9,Ｄショウサンマグナ, 65,芹沢純, 2.7, 60,   8, -12,10, 50.3, ⑤⑤, 9,15,Ｌアンクルストロング, 68,川島信, 0.7, 71,  11,  -2, 7, 22.7, ⑤⑤
10,14, ケリｰメイ,---,秋山真, 2.4, 47,   1, -20, 6, 12.8, ③⑤,10,11, ラインクリスタル,---,池添謙, 2.4, 46,   0, -22,11, 31.8,⑧⑦⑨,10, 1,Ｊロコミラクル, 58,田中学, 3.2, 54,   1,  -7,15,206.0, ⑭⑬,10, 3,Ｅグロｰバルボンバｰ, 73,長谷川, 0.8, 71,   1,   7,13, 64.5, ⑪⑪
