08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,桂川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 7, 4,Ｇハリケンフリゲイト, 38,船曳文, 0.8, 42,  -8, -13, 9,191.4, ⑤⑥, 7, 3,Ｊニシノシャア, 65,浜中俊, 2.0, 69,   6,   2,11,130.6,⑧⑧⑧, 7, 6,Ｊロｰドアルファｰド, 74,内田博, 0.4, 72,   4,  10, 6, 13.6,⑤④④, 7,15,Ｃパレスショットガン, 88,田嶋翔, 1.3, 78,   8,   6, 5,  6.7,⑦⑧⑧
 8, 6,Ｆオウハ, 44,内田博, 1.1, 39, -12, -11, 6, 45.0, ⑨⑨, 8, 9,Ｆロングエンパイヤ, 73,内田博, 2.4, 69,   2,   8, 8, 57.2,⑬⑬⑫, 8, 4,Ｉポｰラｰライツ, 76,藤岡佑, 0.5, 73,   1,  16,10, 35.4,⑤⑥⑧, 7, 5,Ｍスタｰフォワｰド, 79,松岡正, 1.3, 80,   6,  11,12, 98.1,⑮⑫⑪
 9, 8,Ｉマイネルフレンズ, 24,松岡正, 1.1, 37,* -4, -26, 8, 98.6, ①①, 9, 7,Ｅスリｰベイダｰ, 75,田中健, 2.7, 64,* 12, -15, 4,  9.4,②③③, 9, 3,Ａロｰドエキスパｰト, 85,福永祐, 0.6, 76,  -3,  24, 8, 25.0,⑪⑪⑫, 9, 7,Ｌメジロバｰミュｰズ, 80,赤木高, 1.5, 76,   5,  11,14,194.5,⑬⑭⑭
,,,,,,,,,,,,10, 1,Ｈシルクストライカｰ, 71,和田竜, 2.9, 63,   9, -11, 6, 15.9,⑤⑤⑤,10, 5,Ｈスプリングダボス, 77,秋山真, 0.6, 73,   2,  13,12, 69.7,⑦⑥⑥,10, 6,Ｇセフティｰステｰジ, 84,福永祐, 1.6, 76,   5,   8,11, 74.1,⑪⑫⑪
,,,,,,,,,,,,11, 2,Ｌオｰトホｰク, 64,渡辺薫, 3.5, 60,   5,  -8,12,170.6,⑩⑩⑪,11, 8,Ｆテンシノゴｰルド, 80,横山典, 0.6, 75,  -3,  24, 7, 18.9,⑪⑪⑫,11, 1,Ｋトｰセンベルボｰイ, 81,小牧太, 1.9, 74,   6,   4,10, 65.7,⑩⑩⑪
,,,,,,,,,,,,12, 5,Ｉラヴファクトリｰ, 66,船曳文, 4.5, 56,   8, -22, 9,108.1,⑥⑥⑧,12, 7,Ｌテイエムサッカｰ, 72,和田竜, 0.9, 72,  -2,  16,14,213.3,⑨⑨⑨,12,12,Ｉヒシカツリｰダｰ, 82,幸英明, 2.1, 70,* 11,  -7, 7, 28.7,②③④
,,,,,,,,,,,,13,13,Ｍスリｰクロフネ, 50,大下智, 5.6, 49,   3, -21,13,273.1,⑪⑫⑬,13, 2,Ｇドリｰムキュｰブ, 80,柴山雄, 1.1, 63,*  6,  -6, 9, 29.1,③③③,13,11,Ｐロングベネフィット, 77,石橋守, 2.1, 73,   9,  -3,16,246.2,⑥⑦⑥
,,,,,,,,,,,,,,,,,,,,,,,,14,10,Ｎトッケンショウブ, 67,幸英明, 1.9, 64,  -6,  13,13,211.7,⑭⑭⑭,14,16,Ｏシｰサンダｰ, 78,田島裕, 2.9, 68,   4,   0,15,234.8,⑪⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｎオメガエンドレス, 78,内田博, 3.3, 64,  10, -15, 9, 51.2,③④⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 3,Ｊピサノフィリップ, 81,角田晃, 4.1, 61,   2,  -7,13,138.2,⑬⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-4),,,,,,,,,,,
単勝:250円 複勝:01=110円 07=190円 02=630円 枠連:730円,,,,,,,,,,,,単勝:210円 複勝:10=120円 12=140円 06=130円 枠連:470円,,,,,,,,,,,,単勝:360円 複勝:01=160円 09=140円 12=260円 枠連:580円,,,,,,,,,,,,単勝:560円 複勝:13=180円 08=130円 09=180円 枠連:700円,,,,,,,,,,,
"馬連:770円 ワイド:01-07=310円 01-02=1,170円 02-07=2,450円",,,,,,,,,,,,馬連:620円 ワイド:10-12=260円 06-10=200円 06-12=280円,,,,,,,,,,,,馬連:610円 ワイド:01-09=280円 01-12=720円 09-12=560円,,,,,,,,,,,,馬連:810円 ワイド:08-13=340円 09-13=630円 08-09=330円,,,,,,,,,,,
"馬単:1,170円 3連複:7,450円 3連単:19,850円",,,,,,,,,,,,"馬単:880円 3連複:590円 3連単:2,720円",,,,,,,,,,,,"馬単:1,150円 3連複:2,010円 3連単:7,050円",,,,,,,,,,,,"馬単:1,890円 3連複:1,330円 3連単:7,890円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
