08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月26日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1400m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,桂川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 4,Ｌスｰパｰクルｰズ, 28,幸英明, 5.3, 20,  -2, -37, 6, 14.3, ⑤⑥,12,13, キセキサイチャン,---,川田将, 3.0, 35,* -5, -27, 4,  6.9, ②②,12,10,Ｅアンジェロバンダム, 81,幸英明, 1.4, 68,  11,  -9,11, 61.8, ④④,12,15,Ｒライブリシュロム, 71,石橋守, 0.8, 77,  -6,  10,18,237.6, ⑰⑰
13, 3,Ｆテイエムマッハ, 50,和田竜, 7.5,  1,*  0, -60, 4,  6.1, ③⑧,13,14, メイショウパフィン,---,船曳文, 3.7, 31, -13, -22,14,218.1, ⑫⑫,13, 2,Ｋダイワシｰクレット, 72,北村宏, 1.5, 68,  11,  -9, 8, 19.8, ④⑤,13,10,Ｈサウスティｰダ, 78,北村宏, 0.9, 72,* 11,  -9,14, 51.0, ①①
,,,,,,,,,,,,14, 9, ニホンピロジｰル,---,酒井学, 4.0, 29,  -7, -31,12,159.3, ⑨⑨,14, 1,Ｉショウナンラノビア, 77,上村洋, 3.2, 55,  11, -24,14,216.0, ④⑥,14,14,Ｏユメノオｰラ, 75,田中健, 0.9, 73,  -2,   5,15, 58.9, ⑮⑮
,,,,,,,,,,,,15,10, エジンバラクイｰン,---,武英智, 6.1,  7, -14, -40,15,241.9, ⑫⑭,15,12,Ｏパッションロｰズ, 63,船曳文, 3.5, 53,   8, -24,15,238.7, ⑨⑫,15, 9,Ｅマッチメイト, 80,和田竜, 1.0, 72,*  9,  -7, 7, 16.7, ③③
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,11,Ｐコスモラナップ, 74,柴山雄, 1.0, 71,   6,  -5,17,176.1, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｇガブリン, 78,横山典, 1.1, 70,   5,  -4, 4, 12.3, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 6,Ｍグレイトフルタイム, 75,内田博, 1.1, 70,   3,  -3,12, 29.0, ⑦⑩
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:0),,,,,,,,,,,
単勝:230円 複勝:08=120円 07=170円 13=170円 枠連:500円,,,,,,,,,,,,単勝:260円 複勝:11=140円 12=350円 15=180円 枠連:640円,,,,,,,,,,,,"単勝:750円 複勝:05=290円 16=570円 06=590円 枠連:1,240円",,,,,,,,,,,,"単勝:3,650円 複勝:07=730円 02=620円 05=130円 枠連:5,970円",,,,,,,,,,,
馬連:670円 ワイド:07-08=290円 08-13=340円 07-13=660円,,,,,,,,,,,,"馬連:1,790円 ワイド:11-12=650円 11-15=290円 12-15=920円",,,,,,,,,,,,"馬連:7,980円 ワイド:05-16=2,830円 05-06=2,470円 06-16=4,500円",,,,,,,,,,,,"馬連:51,990円 ワイド:02-07=12,340円 05-07=1,590円 02-05=1,430円",,,,,,,,,,,
"馬単:1,130円 3連複:1,550円 3連単:5,030円",,,,,,,,,,,,"馬単:2,220円 3連複:2,630円 3連単:12,670円",,,,,,,,,,,,"馬単:12,900円 3連複:55,350円 3連単:336,190円",,,,,,,,,,,,"馬単:128,820円 3連複:51,070円 3連単:496,950円",,,,,,,,,,,
■ 2R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1400m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝3000m 3 歳ｵｰﾌﾟﾝ 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,かえで賞,,,,,,,,,,,,菊花賞 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａマイネルプリマス, 61,内田博,, 52,*  5,  -8, 1,  1.9,④②②, 1,11, アンライバルド,---,岩田康,, 59, -31,  21, 3,  7.6, ③③, 1, 5,Ｃスズノハミルトン, 64,和田竜,, 74,  -2,*  8, 4, 10.6, ⑨④, 1,14,Ａオウケンブルｰスリ, 85,内田博,, 95,* 14,* 15, 1,  3.7,⑫⑩②
 2, 8,Ｄシゲルダイセン, 56,角田晃, 0.0, 53,   4,  -6, 2,  4.4,⑥④④, 2, 2, リｰチザクラウン,---,小牧太, 0.2, 61, -34,* 24, 2,  2.7, ⑦⑦, 2,13,Ｅヒットヒットヒット, 63,飯田祐, 0.0, 74,  -1,   6, 9, 37.0, ③②, 2, 1,Ｎフロｰテｰション, 78,藤岡佑, 0.2, 94,  13,* 18,15, 37.7,⑫⑬⑯
 3,10,Ｊマイネルカルツェ, 42,松岡正, 0.1, 53,  -1,*  1, 6, 19.3,⑩⑩⑩, 3, 4, ブエナビスタ,---,安藤勝, 0.3, 61, -35,* 25, 1,  2.3, ⑨⑨, 3, 1,Ａエイシンタイガｰ, 68,内田博, 0.0, 73,  -3,*  8, 1,  1.7, ④④, 3, 5,Ｃナムラクレセント, 84,和田竜, 0.4, 91,* 14,   7, 9, 23.4,④③②
 4, 2,Ｂピュアシルヴァｰ, 61,川島信, 0.3, 49,   0,* -2, 4,  6.3,⑪⑨⑧, 4, 8, スリｰロｰルス,---,横山典, 0.5, 52, -31,  14, 8, 49.7, ⑤⑤, 4, 6,Ｉヒカルジョディｰ, 60,秋山真, 0.2, 72,  -6,* 11, 5, 14.5, ⑪⑬, 4, 8,Ｆスマｰトギア, 82,武豊  , 0.5, 92,  13,* 11, 5, 10.3,⑭⑬⑦
 5, 7,Ｋハギノリベラ, 35,武幸四, 0.6, 48,   1,  -7, 5, 17.0,⑨⑦⑤, 5, 5, エｰシンビｰトロン,---,内田博, 0.8, 46,*-28,   4, 4,  7.8, ①①, 5, 3,Ｂカネトシコンジョオ, 67,北村宏, 0.4, 68,  -5,   6, 3, 10.5, ⑥⑦, 5, 9,Ｉマイネルチャｰルズ, 81,松岡正, 0.8, 88,* 14,   3, 2,  6.6,⑥④⑥
 6, 6,Ｃナリタテイオｰ, 60,浜中俊, 0.9, 45,   4, -14, 3,  6.2,⑧③③, 6, 6, ネオイユドゥレｰヌ,---,武豊  , 0.9, 49, -33,  11, 6, 21.9, ⑤⑥, 6, 7,Ｌラガｰシｰキング, 56,佐藤哲, 0.4, 69,  -5,   7, 8, 20.2, ⑬⑦, 6,15,Ｄベンチャｰナイン, 84,武士沢, 0.9, 88,  13,   7, 8, 20.1,⑮⑯⑪
 7, 1,Ｈシルバｰフィｰルド, 43,幸英明, 1.4, 42,   2, -14,10, 98.5,②⑥⑦, 7, 1, アルティマタレント,---,四位洋, 1.6, 40, -33,   2, 7, 39.3, ⑦⑦, 7, 8,Ｊマルカゼウス, 59,松岡正, 0.7, 65,  -9,   7,10, 43.1, ⑬⑬, 7,16,Ｐホワイトピルグリム, 76,川田将, 1.0, 87,  12,   8,18, 43.5,⑰⑰⑬
 8,11,Ｇシュンリキ, 47,岩田康, 2.0, 39,   1, -18, 7, 42.3,⑥⑦⑨, 8,10, ヒカリアスティル,---,幸英明, 1.7, 36, -30,  -5, 9, 73.3, ③③, 8,10,Ｈラブチャｰミｰ, 60,藤岡佑, 0.8, 63,*  0,  -6,12, 88.2, ②②, 8,18,Ｍダイワワイルドボア, 78,北村宏, 1.1, 83,  13,   1, 4, 10.3,⑨⑨⑪
