08年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月12日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｵｸﾄｰﾊﾞｰS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｉリスペクトキャット, 44,武豊  ,, 59,*-12,   8, 1,  2.3, ①①, 1, 3, アンティｰクコイン,,西谷誠,,,,, 3,  5.7,③①①, 1,14,Ａロックザキャスバ, 78,横山典,, 71,*  0,  13, 2,  3.3,②②②, 1, 9,Ｂジャガｰメイル, 87,石橋脩,, 96,  -2,* 32, 1,  3.0,⑭⑭⑫
 2, 5,Ｃフェイマステイル, 53,柴田善, 0.1, 60, -14,* 11, 5, 12.1, ③⑥, 2,10, ウォｰタｰルｰク,,北沢伸,200.8,,,, 8, 18.5,⑨⑨⑧, 2,13,Ｌキングブライト, 65,嘉藤貴, 0.3, 73,  -2,* 18,14,261.3,⑭⑭⑭, 2,16,Ａスクリｰンヒｰロｰ, 88,横山典, 0.0, 89,   0,  23, 2,  5.1,②③④
 3, 7,Ａムｰンストｰン, 68,藤岡佑, 0.5, 57, -18,* 12, 2,  4.6, ⑩⑪, 3,11, ノｰスフォンテン,,横山義,201.5,,,, 4,  5.9,⑦⑦⑥, 3, 2,Ｄボナパルト, 73,蛯名正, 0.3, 71,*  0,  12, 6, 19.5,④④④, 3, 6,Ｅキングアｰサｰ, 84,北村宏, 0.2, 87,   0,  23, 8, 17.0,⑧⑧⑥
 4, 4,Ｇシブン, 47,勝浦正, 0.7, 55, -15,   7, 9, 68.0, ⑥⑦, 4,12, コアレススイフト,,平沢健,201.5,,,, 5,  9.6,⑧⑦③, 4,10,Ｂヘイアンレジェンド, 77,武豊  , 0.4, 69,*  0,  12, 3,  5.0,⑩④④, 4, 4,Ｃシゲルタック, 86,柴田善, 0.3, 92,  -2,* 29, 4,  8.1,⑬⑬⑫
 5, 1,Ｂサトノロマネ, 55,横山典, 0.8, 52, -14,   3, 3,  5.5, ③③, 5, 4, トミケンクラｰジュ,,宗像徹,201.9,,,, 1,  3.9,⑤③②, 5, 8,Ｇアンブロｰクン, 70,鷹野宏, 0.5, 68,*  0,  10,12, 91.3,④④②, 5, 2,Ｋアメジストリング, 80,武豊  , 0.5, 85,   0,  19, 7, 13.0,④⑤⑥
 6, 3,Ｅサクラスティンガｰ, 48,三浦皇, 0.9, 51,*-12,   1, 7, 13.6, ②②, 6, 2, マイネルジュネス,,浜野谷,202.3,,,, 7, 12.7,⑤⑥③, 6, 5,Ｉフジヤマワカムシャ, 69,松田大, 0.7, 68,*  0,   9, 7, 32.8,③②④, 6,12,Ｐサケダイスキ, 72,吉田豊, 0.5, 77,*  4,   5, 9, 24.5,①①①
 7, 8,Ｌホッコｰテイオｰ, 35,小林淳, 0.9, 53, -17,   7,12,237.6, ⑨⑨, 7,14, テイエムフッカツ,,大庭和,204.2,,,,10, 53.6,⑩⑩⑩, 7, 4,Ｃマイネルアｰバニタ, 76,三浦皇, 0.9, 65,   0,   8, 1,  2.9,⑧⑧⑦, 7,15,Ｎデストラメンテ, 77,蛯名正, 0.6, 81,*  2,  12, 5,  8.7,④③③
 8,13,Ｎスｰパｰオアシス, 23,丸田恭, 1.6, 49, -25,* 11,11,203.1, ⑭⑭, 8, 5, スズカジョリｰズ,,林満明,204.6,,,, 6,  9.9,②②③, 8, 7,Ｍトｰセンコックス, 63,柴山雄, 1.0, 67,  -2,  10, 8, 39.2,⑩⑪⑩, 8,10,Ｇドリｰムパｰトナｰ, 82,木幡初, 0.7, 82,   0,  16,11, 58.4,⑩⑧⑥
 9,12,Ｄティｰガｰ, 53,吉田豊, 2.0, 44, -13,  -7, 8, 15.2, ③③, 9, 1, コアレスファントム,,山本康,205.3,,,,14,111.7,④③⑨, 9,11,Ｆシンボリプロキオン, 72,柴田善, 1.2, 65,  -2,   8,10, 40.7,⑫⑪⑩, 9,11,Ｊマイネルアラバンサ, 80,柴山雄, 0.8, 76,*  3,   6, 6, 10.9,③②②
10,11,Ｈヴィｰヴァコルサ, 47,千葉直, 2.3, 41, -20,  -1,10,109.4, ⑫⑬,10, 7, グランツｰリズモ,,五十嵐,205.7,,,, 2,  5.0,①③⑥,10, 1,Ｊケイアイテイメント, 67,武士沢, 1.3, 62,*  1,   1, 5, 11.7,①①①,10, 3,Ｄパｰプルイｰグル, 85,藤岡佑, 0.8, 84,  -3,  22,10, 43.6,⑪⑫⑫
11,15,Ｊマルサンアツヒメ, 40,草野太, 2.3, 40, -15,  -9,13,246.4, ⑥③,11, 8, ブラッドハウンド,,蓑島靖,205.8,,,,12, 65.5,⑪⑪⑪,11,12,Ｋホクセツカントリｰ, 66,佐藤聖, 1.4, 62,  -2,   7,13,133.5,⑬⑪⑬,11,13,Ｌウォｰライクトニｰ, 80,勝浦正, 0.8, 87,  -4,  25,14,102.2,⑮⑮⑮
12,10,Ｆアポロノオウジ, 48,吉田隼, 2.5, 39, -15,  -9, 6, 13.2, ⑥⑦,12, 6, ミヤコノアドミラル,,矢原洋,212.2,,,,11, 55.3,⑫⑫⑫,12, 9,Ｎエミネムシチｰ, 63,千葉直, 1.4, 62,  -1,   5,11, 85.1,⑦⑧⑧,12, 5,Ｈエｰルスタンス, 82,田中博, 0.9, 79,   0,  12,13, 84.9,⑥⑤⑥
13, 6,Ｍインディアンボス, 30,田辺裕, 3.1, 33, -20,  -9,14,247.9, ⑫⑫,,,,,,,,,,,,,13, 3,Ｅコスミックスピｰド, 72,川田将, 1.7, 61,  -1,   3, 9, 40.3,⑥⑦⑩,13, 1,Ｉエフティイカロス, 81,三浦皇, 0.9, 80,  -1,  15, 3,  7.7,⑧⑩⑩
14, 9,Ｋラップミュｰジック, 37,後藤浩, 3.5, 31, -17, -16, 4, 11.4, ⑩⑨,,,,,,,,,,,,,14, 6,Ｈグレッグスリズム, 70,後藤浩, 2.0, 58,   0,   0, 4,  8.1,⑨⑧⑧,14,14,Ｏビッグベアシチｰ, 76,武士沢, 0.9, 84,  -3,  22,15,127.5,⑯⑮⑮
15,14,Ｏグランカピタン,  4,村田一, 4.7, 25, -30, -10,15,402.1, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｆアグネスネクタル, 83,吉田隼, 1.0, 78,  -1,  15,12, 84.0,⑫⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 7,Ｍワンダｰドリｰム, 78,千葉直, 1.1, 75,   0,   8,16,216.8,⑥⑤④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-2),,,,,,,,,,,
"単勝:230円 複勝:02=120円 05=210円 07=140円 枠連:1,110円",,,,,,,,,,,,"単勝:570円 複勝:03=250円 10=600円 11=220円 枠連:3,130円",,,,,,,,,,,,"単勝:330円 複勝:14=180円 13=5,990円 02=440円 枠連:37,160円",,,,,,,,,,,,単勝:300円 複勝:09=140円 16=170円 06=410円 枠連:450円,,,,,,,,,,,
"馬連:1,590円 ワイド:02-05=560円 02-07=280円 05-07=560円",,,,,,,,,,,,"馬連:8,080円 ワイド:03-10=2,360円 03-11=970円 10-11=1,800円",,,,,,,,,,,,"馬連:51,440円 ワイド:13-14=11,030円 02-14=1,040円 02-13=38,890円",,,,,,,,,,,,"馬連:760円 ワイド:09-16=340円 06-09=860円 06-16=1,160円",,,,,,,,,,,
"馬単:2,290円 3連複:1,900円 3連単:9,720円",,,,,,,,,,,,"馬単:11,480円 3連複:15,170円 3連単:89,760円",,,,,,,,,,,,"馬単:57,910円 3連複:216,950円 3連単:1,002,820円",,,,,,,,,,,,"馬単:1,360円 3連複:3,180円 3連単:11,240円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-13,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1600m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1800m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,毎日王冠 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｄロラパルｰザ, 48,後藤浩,, 53,* -3,* -4, 3,  5.0, ③③, 1, 7, スズカルネッサンス,---,武豊  ,, 55,*-21,   5, 3,  4.1,④③②, 1, 6,Ａトｰセントゥルｰ, 76,後藤浩,, 77,   6,* 12, 1,  2.4, ⑥⑥, 1, 2,Ｂスｰパｰホｰネット, 94,藤岡佑,, 97,  14,* 23, 2, 10.7,⑤⑤⑤
 2,10,Ｆディアトウシロウ, 42,藤岡佑, 0.2, 50,  -9,*  3, 8, 56.1, ⑪⑩, 2, 2, ファインビスティｰ,---,勝浦正, 0.0, 56, -22,*  7, 1,  3.1,⑤⑤④, 2,11,Ｆロｰンウルフ, 73,木幡初, 0.2, 75,*  6,   8, 3,  7.0, ③③, 2, 3,Ａウオッカ,100,武豊  , 0.0, 96,* 18,  16, 1,  1.5,①①①
 3, 2,Ｅキングオバマ, 44,柴田善, 0.4, 48,  -4,  -7, 2,  3.6, ③⑤, 3, 6, ロスパンチョス,---,池添謙, 0.2, 53, -24,*  7, 2,  3.2,⑤⑥⑥, 3, 2,Ｅレイズミｰアップ, 74,吉田隼, 0.8, 71,*  6,   4, 8, 30.0, ⑤③, 3, 5,Ｆアドマイヤフジ, 91,川田将, 0.3, 92,* 15,  15,10, 33.9,②③③
 4,13,Ａマイネルアウストロ, 54,蛯名正, 0.6, 46,  -5,  -8, 1,  2.4, ⑥⑤, 4, 5, カムレｰシング,---,柴田善, 0.5, 49, -24,   2, 4,  5.3,⑤⑥⑥, 4,13,Ｃダイレクトパス, 75,吉田豊, 1.0, 72,   3,   8, 6, 14.3, ⑩⑩, 4, 1,Ｄサクラメガワンダｰ, 92,福永祐, 0.5, 92,  11,  21, 7, 23.7,⑦⑦⑦
 5, 8,Ｇサザンスタｰディ, 41,中舘英, 0.8, 44,* -2, -16, 7, 16.6, ②②, 5, 1, マイネルラスタｰ,---,三浦皇, 1.2, 37,*-19, -15, 5, 11.0,①①①, 5, 5,Ｂサクラリｰバポｰト, 76,北村宏, 1.0, 70,   3,   8, 2,  3.5, ⑫⑩, 5, 9,Ｉカンパニｰ, 90,横山典, 0.5, 94,  10,* 25, 4, 14.5,⑨⑨⑨
 6, 3,Ｌチュラヌウジ, 29,北村宏, 0.9, 43,  -6, -10,10, 97.7, ⑥⑦, 6, 3, グリｰンスタｰズ,---,木幡初, 1.3, 36,*-21, -15, 6, 21.9,②②②, 6,16,Ｊコスモビｰスト, 69,丹内祐, 1.2, 69,   1,*  9, 9, 46.8, ⑬⑬, 6, 7,Ｃオｰスミグラスワン, 93,蛯名正, 0.8, 90,   8,* 23, 5, 16.2,⑪⑫⑪
 7,18,Ｐシルキｰモモ, 18,大野拓, 1.2, 39, -14,* -2,13,217.8, ⑰⑯, 7, 8, ヒカルサプライズ,---,吉田豊, 1.6, 37, -25,  -9, 7, 36.3,⑧⑧⑧, 7, 1,Ｈナリタベガ, 70,中舘英, 1.3, 67,*  6,   0, 7, 27.0, ③③, 7, 8,Ｋハイアｰゲｰム, 89,柴田善, 0.8, 91,   7,* 26,14, 69.6,⑭⑭⑭
 8,14,Ｏデルマオシリス, 22,伊藤直, 1.4, 36,* -3, -22,16,395.8, ③③, 8, 4, カイケツクロズキン,---,北村宏, 1.8, 29, -22, -19, 8, 41.6,②③④, 8, 8,Ｏグラスゴッド, 56,宮崎北, 1.3, 66,   4,   4,12,102.8, ⑦⑨, 8,15,Ｈトｰセンキャプテン, 91,池添謙, 0.9, 85,* 15,   7, 9, 31.2,②④③
 9,12,Ｍサニｰバッハ, 28,千葉直, 1.4, 36,  -9, -13,14,239.3, ⑩⑩,,,,,,,,,,,,, 9, 7,Ｌリネンホｰク, 62,村田一, 1.5, 70,   0,   8,13,105.2, ⑬⑭, 9,14,Ｏチョウサン, 82,北村宏, 0.9, 86,  14,  11,12, 50.7,⑤⑥⑤
10, 4,Ｎヴィｰナスゴスペル, 26,津村明, 1.5, 36,  -7, -17,15,254.2, ⑥⑧,,,,,,,,,,,,,10,10,Ｇマイニングゴｰルド, 72,藤田伸, 1.6, 64,*  7,  -5, 5, 14.2, ②②,10,12,Ｇフィｰルドベアｰ, 91,秋山真, 1.0, 84,* 17,   3, 6, 23.3,②②②
11, 7,Ｑマイネリュミエｰル, 14,勝浦正, 1.5, 36, -11, -13,12,129.9, ⑬⑫,,,,,,,,,,,,,11,12,Ｎネイチャｰグロウ, 61,高山太, 1.7, 67,  -2,   8,10, 79.1, ⑯⑮,11,13,Ｍドリｰムパスポｰト, 87,三浦皇, 1.0, 87,  13,  13, 3, 11.5,⑦⑦⑦
12,15,Ｊアポロライラ, 35,武豊  , 1.5, 35, -12, -10, 4, 13.0, ⑪⑬,,,,,,,,,,,,,12, 4,Ｄピサノシェンロン, 74,横山典, 1.7, 63,*  7,  -7, 4,  8.8, ①①,12,10,Ｌリキッドノｰツ, 87,後藤浩, 1.1, 87,   8,  20,13, 55.7,⑬⑬⑬
13,16,Ｈプロウスト, 38,田中博, 1.6, 34, -15,  -8,11,116.3, ⑬⑯,,,,,,,,,,,,,13, 9,Ｋレイザストレングス, 69,大野拓, 1.8, 67,   5,   0,14,149.0, ⑦⑦,13, 4,Ｊキャプテンベガ, 90,村田一, 1.2, 87,   9,  18,11, 35.6,⑪⑩⑪
14, 6,Ｂコスモジブリル, 50,三浦皇, 1.6, 36,  -6, -18, 5, 13.5, ⑥⑧,,,,,,,,,,,,,14,14,Ｍグレｰトキャプテン, 62,蛯名正, 2.1, 64,   2,   0,15,153.8, ⑪⑫,14,16,Ｅサンライズマックス, 91,藤田伸, 1.4, 84,  10,  13, 8, 30.3,⑨⑩⑨
15, 9,Ｋネイティヴアリス, 30,高橋智, 1.7, 34, -11, -12,17,461.8, ⑬⑬,,,,,,,,,,,,,15, 3,Ｉシルクアルバス, 69,石橋脩, 2.5, 58,   3,  -7,11, 97.6, ⑦⑦,15, 6,Ｎアグネストレジャｰ, 86,吉田隼, 1.5, 83,   7,  17,15,142.7,⑮⑮⑭
16,17,Ｉガｰネットダスク, 36,柴山雄, 1.8, 31, -16,  -9, 9, 62.4, ⑰⑱,,,,,,,,,,,,,16,15,Ｐカシノベガスタｰ, 39,二本柳, 4.9, 41,  -4, -14,16,268.8, ⑮⑯,16,11,Ｐエリモハリアｰ, 81,吉田豊, 1.8, 81,   7,  13,16,199.3,⑮⑮⑭
17, 5,Ｃカシノブシドｰ, 49,吉田隼, 1.9, 31,*  0, -31, 6, 14.3, ①①,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,11,Ｒアトミックガｰル,  2,小林淳, 2.7, 23, -13, -25,18,534.8, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:93 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-2),,,,,,,,,,,
"単勝:500円 複勝:01=200円 10=820円 02=150円 枠連:5,320円",,,,,,,,,,,,単勝:410円 複勝:07=130円 02=110円 06=120円 枠連:0円,,,,,,,,,,,,単勝:240円 複勝:06=130円 11=190円 02=490円 枠連:410円,,,,,,,,,,,,"単勝:1,070円 複勝:02=250円 03=110円 05=410円 枠連:510円",,,,,,,,,,,
"馬連:14,660円 ワイド:01-10=3,650円 01-02=430円 02-10=2,010円",,,,,,,,,,,,馬連:530円 ワイド:02-07=210円 06-07=210円 02-06=190円,,,,,,,,,,,,"馬連:860円 ワイド:06-11=350円 02-06=980円 02-11=2,020円",,,,,,,,,,,,"馬連:800円 ワイド:02-03=370円 02-05=2,960円 03-05=740円",,,,,,,,,,,
"馬単:22,160円 3連複:12,040円 3連単:103,140円",,,,,,,,,,,,"馬単:1,140円 3連複:460円 3連単:2,750円",,,,,,,,,,,,"馬単:1,370円 3連複:6,070円 3連単:18,230円",,,,,,,,,,,,"馬単:2,460円 3連複:6,570円 3連単:37,570円",,,,,,,,,,,
■ 3R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 6R  ダ1300m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 9R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■12R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,相模湖特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
