08年 2月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 2月 3日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1700m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,筑前特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａバイオスフィア, 64,芹沢純,, 67,   4,*  1, 1,  3.4,⑤③①, 1, 9,Ｂアクセルファイヤｰ, 75,中村将,, 77,   0,* 16, 3,  6.5,⑯⑨②, 1,10,Ｂフィｰルドミュｰズ, 77,熊沢重,, 79,  -1,* 14, 2,  4.1,⑦⑥④, 1,12,Ｂケイアイマイスキｰ, 76,上村洋,, 75,* -4,  13, 1,  3.0,②①①
 2, 9,Ｇエスジｰストリｰム, 55,菊沢隆, 0.5, 62,   4,  -3, 2,  3.4,⑦③②, 2,13,Ｃウェディングフジコ, 74,菊沢隆, 0.4, 70,   0,* 10, 1,  2.4,⑧⑤②, 2,14,Ａマイネコンテッサ, 78,中舘英, 0.1, 75,*  1,   7, 1,  3.0,②②②, 2, 7,Ｈノボワｰルド, 68,田辺裕, 0.3, 78, -10,* 23, 3,  5.4,⑫⑪⑩
 3, 3,Ｂチュウワキング, 63,荻野琢, 0.7, 63,   3,* -2, 3,  6.1,⑨⑦⑤, 3, 5,Ｍサワッディ, 66,安藤光, 0.8, 68,*  2,   4, 8, 27.0,②①①, 3, 4,Ｈリキアイコンドル, 70,渡辺薫, 0.3, 77,  -4,* 14, 8, 27.3,⑩⑩⑧, 3, 3,Ｄサインオブゴッド, 75,小林久, 0.3, 72,* -7,  13, 4,  7.7,③②②
 4, 7,Ｃエｰシンカメンシズ, 61,田辺裕, 1.2, 54,   3,  -7, 5,  8.8,⑦⑥⑤, 4, 3,Ｄヘンメイレン, 73,的場勇, 1.3, 67,*  2,   2, 2,  5.3,③②②, 4, 8,Ｏスカイノミツキ, 57,鮫島良, 0.4, 74,  -3,  10,16,103.5,⑦⑧⑥, 4, 9,Ａリッカメルド, 76,安藤光, 0.5, 71,  -8,  13, 5,  9.2,⑤④④
 5, 2,Ｄタッキｰファントム, 61,中村将, 1.2, 59,   2,  -5, 6, 10.2,⑪⑧⑧, 5,11,Ｇキラメキパスワｰド, 71,古川吉, 1.5, 64,   0,   3, 9, 33.2,⑩⑨⑦, 5,13,Ｋキｰンライアン, 67,松田大, 0.5, 74,  -3,  10,15,101.7,⑩⑨⑧, 5,14,Ｊテイエムアタック, 67,太宰啓, 0.5, 73, -10,* 15, 6, 17.5,⑤⑧⑦
 6,11,Ｅタガノブラックヒル, 57,橋本美, 1.8, 54,   1,  -9, 7, 17.6,⑪⑧⑨, 6, 8,Ｏユノブラッキｰ, 60,二本柳, 1.7, 60,  -2,   5,12, 86.9,⑫⑬⑧, 6, 7,Ｇスｰパｰレインボｰ, 72,太宰啓, 0.5, 70,*  1,   0, 4,  6.6,①①①, 6, 1,Ｉマジカルスタｰ, 68,嘉藤貴, 0.8, 66,  -8,   8, 8, 26.4,⑤④④
 7,10,Ｉサザンジェネラル, 48,田嶋翔, 1.9, 54,   4, -15, 8, 40.8,②③⑤, 7, 7,Ａエイシンラビアン, 78,田中健, 1.9, 63,   0,  -2, 4,  9.8,⑤⑤⑥, 7,15,Ｃエルベレス, 76,中村将, 0.8, 66,   0,   0, 3,  6.0,⑥④⑥, 7, 6,Ｇニシノウェｰブ, 69,高山太, 1.0, 64,  -8,   6, 9, 32.5,④④④
 8, 6,Ｊコウショウシャｰク, 47,川島信, 1.9, 56,   1,  -9, 9, 59.7,⑪⑩⑪, 8,14,Ｅアリダｰチャｰム, 72,中舘英, 2.0, 59,*  1,  -4, 7, 19.8,③②②, 8,16,Ｄプリンセスイブ, 74,西田雄, 0.8, 67,   0,   1, 7, 23.1,④④④, 8,13,Ｍテントゥワン, 64,二本柳, 1.0, 67,  -9,  10,12, 92.0,⑧⑩⑦
 9,12,Ｈドンルｰチェ, 51,内田浩, 2.6, 50,   0, -13,10, 63.7,⑭⑪⑨, 9,10,Ｆレオスマイル, 71,北村友, 2.1, 57,  -2,  -2, 6, 11.6,⑦⑨⑩, 9,12,Ｅエｰルスタンス, 73,二本柳, 0.9, 70,  -4,   8,10, 39.5,⑮⑬⑬, 9, 5,Ｆホッカイルオｰ, 71,鈴来直, 1.1, 64,  -9,   7,11, 62.4,⑩⑧⑦
10, 5,Ｋタマモヴィグラス, 42,長谷川, 2.8, 48,*  5, -23,13,103.9,②②③,10, 6,Ｊジェネスタキオン, 68,赤木高, 2.2, 58,  -3,   2,13,100.2,⑮⑯⑯,10, 2,Ｎビｰモブホｰプ, 61,青木芳, 1.0, 71,  -5,   9,12, 60.8,⑬⑮⑬,10,11,Ｋトｰセンジュビリｰ, 67,高橋智, 1.2, 62,  -8,   5,10, 36.0,⑧④③
11, 1,Ｆメイショウオオマ, 57,浜中俊, 2.8, 46,*  5, -24, 4,  7.5,①①③,11, 4,Ｉヨイチイｰスト, 68,梶晃啓, 2.2, 58,   0,  -4,10, 35.5,⑧⑧⑪,11, 6,Ｍクチベニ, 62,郷原洋, 1.0, 67,  -4,   4,13, 83.7,⑫⑩⑪,11, 8,Ｌゴｰルドネオ, 67,北村友, 1.5, 60, -11,   4, 7, 20.1,⑩⑪⑩
12, 8,Ｎブライトティｰス, 41,太宰啓, 4.4, 37,  -3, -24,14,132.5,⑨⑬⑫,12, 1,Ｈリキアイノキセキ, 70,西田雄, 2.3, 59,  -3,   1,15,112.4,⑭⑮⑬,12, 1,Ｉキャンディｰストア, 68,荻野琢, 1.1, 66,  -4,   4, 9, 32.4,⑬⑬⑧,12, 2,Ｅアイスランドポピｰ, 71,赤木高, 1.7, 60, -12,   6,13,103.7,⑭⑭⑭
13,13,Ｌヒシカスタム, 42,田中健, 5.3, 35,   0, -36,11, 76.9,④⑪⑬,13, 2,Ｎニシノキンレンポ, 61,小林久, 2.4, 57,  -2,  -3, 5, 11.3,⑫⑫⑬,13,11,Ｊキルシュブリュｰテ, 68,北村友, 1.2, 61,*  1,  -8, 6, 17.4,②②③,13, 4,Ｃマイネルスパｰダ, 75,鮫島良, 2.6, 46, -11, -11, 2,  4.1,⑬⑪⑫
14,14,Ｍトｰブツヨシオｰ, 42,古川吉, 5.5, 31,  -3, -34,12, 87.9,⑤⑬⑬,14,16,Ｌサムタイムレｰタｰ, 66,藤岡康, 2.6, 57,   1,  -8,16,116.8,⑤⑤⑨,14, 3,Ｆイナズマイｰジス, 73,赤木高, 1.4, 64,  -7,   6, 5, 10.9,⑮⑯⑮,14,10,Ｎエプソムメアラス, 30,菊沢隆, 4.7, 25,* -6, -46,14,122.6,①②⑫
,,,,,,,,,,,,15,12,Ｋアライブシチｰ, 67,高山太, 3.4, 52,  -2,  -9,11, 64.3,⑩⑬⑬,15, 9,Ｌプリマシア, 65,藤岡康, 1.8, 55,  -2, -11,11, 55.7,④⑥⑪,,,,,,,,,,,,
,,,,,,,,,,,,16,15,Ｐハイジトウショウ, 60,池崎祐, 6.0, 32,*  1, -38,14,103.2,①④⑫,16, 5,Ｐファディスタ, 56,梶晃啓, 2.7, 46,  -4, -19,14, 93.8,⑦⑩⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:不良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:重(指数:9),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:9),,,,,,,,,,,
単勝:340円 複勝:04=150円 09=130円 03=180円 枠連:300円,,,,,,,,,,,,単勝:650円 複勝:09=220円 13=130円 05=470円 枠連:450円,,,,,,,,,,,,単勝:410円 複勝:10=160円 14=140円 04=420円 枠連:520円,,,,,,,,,,,,単勝:300円 複勝:12=140円 07=180円 03=200円 枠連:660円,,,,,,,,,,,
馬連:570円 ワイド:04-09=240円 03-04=390円 03-09=370円,,,,,,,,,,,,"馬連:780円 ワイド:09-13=360円 05-09=2,280円 05-13=890円",,,,,,,,,,,,"馬連:620円 ワイド:10-14=270円 04-10=1,380円 04-14=1,080円",,,,,,,,,,,,馬連:890円 ワイド:07-12=360円 03-12=460円 03-07=830円,,,,,,,,,,,
"馬単:1,260円 3連複:1,080円",,,,,,,,,,,,"馬単:2,180円 3連複:4,940円",,,,,,,,,,,,"馬単:1,300円 3連複:4,400円",,,,,,,,,,,,"馬単:1,530円 3連複:2,320円 3連単:9,260円",,,,,,,,,,,
