08年 6月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 3 歳1000万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
 9, 8,Ｊケイアイスマｰト, 50,江田照, 1.7, 53,  -4,  -3, 9, 51.8, ⑪⑪, 9,10,Ｈロｰランブロウ, 57,三浦皇, 0.9, 56,* -3, -11, 5, 14.2,④⑤④, 9,15,Ｏペガサスフォｰト, 53,内田博, 1.4, 63,  11, -23, 3,  4.5,⑤⑤⑤, 9,11,Ｅハンタｰキリシマ, 74,野元昭, 0.6, 76,   0,   6,13, 77.4, ⑯⑯
10,13,Ｆオｰシャンウインド, 55,藤田伸, 1.9, 52,  -1,  -7, 6, 10.3, ⑦⑨,10, 6,Ｅフェアｰムｰラン, 60,的場勇, 0.9, 55,* -1, -15,11, 63.4,②②②,10,11,Ｉマイネエアウエイ, 66,津村明, 1.8, 62,   7, -21, 9, 37.1,⑪⑪⑫,10, 6,Ｈレオマイスタｰ, 72,田中勝, 0.8, 70,   3,  -5, 3,  8.2, ⑧⑧
11,10,Ｉホワッツモア, 53,津村明, 2.4, 49,   1, -16, 3,  7.6, ③③,11,14,Ｍショウナンサヴァン, 42,浜中俊, 1.0, 61, -11,*  4,16,279.5,⑭⑭⑮,11, 3,Ｇレッズフィｰルド, 68,蛯名正, 2.1, 57,   8, -28, 4, 10.5,⑩⑨⑧,11, 2,Ｊタマモスクワｰト, 70,後藤浩, 1.1, 65,   2,  -8,12, 59.1, ⑧⑪
12, 6,Ｍソフィアクィン, 45,伊藤直, 3.2, 42,  -2, -17,15,273.4, ⑦⑨,12, 3,Ｃマイネルクラｰル, 63,津村明, 1.2, 55,  -4, -12,10, 40.7,⑦⑥⑦,12,13,Ｌテンジンミコオウヒ, 61,三浦皇, 2.3, 55,   8, -31,13,211.0,⑤⑨⑧,12, 3,Ｇジェイドファスト, 72,江田照, 1.3, 61,   5, -15,17,275.8, ④⑤
13,15,Ｈトキンナル, 53,柴山雄, 3.7, 39,   1, -26, 8, 28.4, ③③,13,16,Ｊフレンドリｰハｰト, 54,丸田恭, 1.6, 54, -15,*  4,17,335.5,⑱⑱⑱,13, 8,Ｆマスタｰオブゲｰム, 68,木幡初, 2.3, 55,  11, -36, 6, 15.3,⑤⑤⑤,13,16,Ｐレッツゴｰヒチョリ, 61,田中博, 1.3, 63,   5, -15,16,149.9, ④⑤
14, 9,Ｎスプラッシュアイ, 35,大庭和, 5.9, 23, -10, -32,13, 93.9, ⑭⑭,14, 9, マチカネニホンバレ,---,安藤勝, 1.6, 51, -13,  -1, 4,  8.4,⑯⑰⑯,14,10,Ｎオリヒメチャｰム, 57,田中博, 2.4, 55,   8, -32,15,277.7,⑤⑦⑧,14, 8,Ｌコウヨウマリｰン, 69,柴田善, 1.4, 62,*  6, -19,11, 46.7, ②②
15, 5, ジャックフェアリｰ,---,武士沢, 9.9,-26, -45, -21,11, 76.3, ⑮⑮,15,17,Ｎエテルノロワイヤル, 42,小林淳, 1.8, 48,  -4, -21,13,149.7,⑪⑧⑦,15,12,Ｋレディリバティｰ, 64,吉田豊, 3.2, 48,* 12, -53,12,109.0,②②②,15,10,Ｎスエズ, 64,吉田隼, 1.4, 62,   2, -11, 9, 17.8, ⑫⑫
,,,,,,,,,,,,16, 8,Ｋリリイメイド, 44,千葉直, 1.9, 47,  -5, -19,18,510.4,④⑧⑩,,,,,,,,,,,,,16, 1,Ｆストリｰトスタイル, 72,浜中俊, 1.8, 60,   5, -22, 4,  8.2, ④⑤
,,,,,,,,,,,,17,15,Ｏロイヤルカリバｰン, 29,田中博, 2.1, 45,  -9, -18,14,184.4,⑪⑫⑪,,,,,,,,,,,,,17,13,Ｑショウナンアクロス, 60,吉田豊, 3.2, 42,*  6, -45,14,109.8, ②②
,,,,,,,,,,,,18, 2, スプライトダンス,---,木幡初, 5.1, 20, -14, -49,12, 78.4,⑦⑭⑰,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
"単勝:610円 複勝:02=240円 04=350円 07=260円 枠連:3,050円",,,,,,,,,,,,単勝:460円 複勝:05=160円 11=130円 13=270円 枠連:390円,,,,,,,,,,,,"単勝:21,800円 複勝:02=3,440円 06=350円 05=140円 枠連:4,760円",,,,,,,,,,,,"単勝:1,110円 複勝:14=300円 15=500円 05=200円 枠連:2,830円",,,,,,,,,,,
"馬連:2,620円 ワイド:02-04=900円 02-07=700円 04-07=1,090円",,,,,,,,,,,,馬連:600円 ワイド:05-11=270円 05-13=850円 11-13=680円,,,,,,,,,,,,"馬連:128,580円 ワイド:02-06=19,670円 02-05=9,100円 05-06=680円",,,,,,,,,,,,"馬連:6,960円 ワイド:14-15=2,250円 05-14=890円 05-15=1,350円",,,,,,,,,,,
"馬単:5,750円 3連複:7,890円",,,,,,,,,,,,"馬単:1,480円 3連複:2,450円",,,,,,,,,,,,"馬単:355,360円 3連複:121,750円",,,,,,,,,,,,"馬単:14,180円 3連複:11,620円 3連単:94,790円",,,,,,,,,,,
■ 2R  ダ1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 5R  芝2400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 8R  ダ1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  ダ2100m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾞﾘﾘｱﾝﾄS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｆコスモビｰスト, 54,大野拓,, 65,   1,*  8, 4, 13.8, ⑩⑧, 1, 5,Ａトウショウウェイヴ, 74,吉田豊,, 73,*  3,*  9, 1,  2.0,⑥⑤④, 1,13,Ｍマチカネミノリ, 61,内田博,, 73,*  1,  11, 3,  5.2, ③③, 1,11,Ｉエスケｰカントリｰ, 89,横山典,, 90,   3,* 32, 3,  5.2,⑬⑬⑪
 2, 5,Ｂドンダケｰ, 61,的場勇, 0.3, 64,  -1,*  9, 2,  3.0, ⑫⑫, 2,10,Ｄモエレタキオン, 63,田中勝, 0.2, 72,*  3,*  8, 3,  6.7,⑧⑦⑥, 2,10,Ｃワインアドバイザｰ, 74,後藤浩, 0.1, 73,*  1,  10, 6, 12.9, ②②, 2, 1,Ｃロングプライド, 94,武豊  , 0.1, 89,   4,  29, 1,  1.9,⑩⑩⑩
 3,12,Ｄチャｰムベル, 57,田辺裕, 0.9, 57,   4,  -1, 8, 37.0, ⑦⑥, 3, 3,Ｈゴｰルドヘラクレス, 60,吉田隼, 0.6, 68,   1,*  6, 7, 25.9,⑩⑩⑩, 8, 6,Ａエバｰモア, 76,藤田伸, 0.4, 71,  -2,  11, 1,  3.3, ⑦⑦, 3,10,Ａマルブツリｰド, 95,安藤勝, 0.1, 85,   6,  21, 2,  5.0,③③③
 4,13,Ａツクバプリティ, 62,田中博, 0.9, 60,   2,   1, 3,  5.8, ⑩⑧, 4,14,Ｂトモロザベスト, 67,蛯名正, 0.8, 64,*  2,  -1, 2,  5.1,⑩⑦⑥, 3, 3,Ｆイノチノアカリ, 72,武幸四, 0.5, 74,  -5,* 17, 9, 27.1, ⑮⑭, 4, 7,Ｊニシノナｰスコｰル, 88,浜中俊, 0.4, 85,   5,  25, 7, 23.5,⑧⑧⑧
 5, 6,Ｇカシノシンケン, 53,伊藤工, 1.0, 57,   4,  -5, 7, 33.9, ④④, 5,11,Ｇサマｰゲスト, 60,伊藤工, 0.9, 66,  -1,* 10,12, 90.8,⑮⑮⑮, 4,16,Ｇワンダｰルビアノ, 71,千葉直, 0.5, 73,  -4,* 15, 7, 15.5, ⑪⑪, 5, 4,Ｂドンクｰル, 94,内田博, 0.4, 83,   6,  20, 5, 14.3,④④④
 6,10,Ｅテキサスホｰルデム, 57,浜中俊, 1.2, 54,   1,  -2, 5, 14.1, ⑦⑧, 6, 7,Ｌベガスタｰカフェ, 53,武豊  , 1.2, 61,*  3,  -9, 5, 13.3,③④②, 5, 7,Ｄメインセイラｰ, 73,安藤勝, 0.8, 69,   0,   5, 2,  4.5, ④③, 6, 3,Ｈハスフェル, 90,松岡正, 0.5, 88,   1,* 32,11, 91.4,⑩⑪⑬
 7,11, グレイシャｰピｰク,---,水出大, 1.2, 56,  -3,   3, 9, 50.7, ⑬⑬, 7,12,Ｅアリクシｰル, 62,安藤光, 1.3, 63,   0,   1, 4,  7.2,⑰⑬⑬, 6, 2,Ｉマイネルアｰバニタ, 68,松岡正, 0.8, 71,  -5,* 14, 8, 17.7, ⑭⑭, 7, 2,Ｄケアレスウィスパｰ, 92,吉田豊, 0.5, 87,   3,  28, 6, 19.1,⑫⑪⑪
 8, 4,Ｈサブマリンスカウト, 52,池崎祐, 1.3, 55,   4,  -7,12, 85.6, ④④, 8, 1,Ｃサクラルシファｰ, 65,勝浦正, 1.4, 60,   0,  -4, 8, 42.0,⑬⑬⑩, 7, 5,Ｂテンジンニチオｰ, 75,勝浦正, 0.9, 70,  -2,   9, 5, 12.2, ⑩⑧, 8, 5,Ｇメイショウシャフト, 90,勝浦正, 0.5, 84,   5,  21,10, 83.8,⑥⑥⑤
 9, 1,Ｃトラストミツル, 59,三浦皇, 1.5, 52,*  9, -18, 1,  2.4, ①①, 9, 2, オウシュウブｰン,---,左海誠, 2.0, 54,  -1,  -8,15,150.0,⑱⑮⑬, 9, 1,Ｏプｰクン, 44,田中博, 1.6, 66,  -8,  11,15,159.5, ⑯⑯, 9, 6,Ｌタガノエクリプス, 86,蛯名正, 0.6, 83,   5,  20, 4, 12.2,⑥⑦⑤
10, 9,Ｊコアレスルドルフ, 49,千葉直, 1.8, 53,  -4,   2, 6, 25.1, ⑭⑭,10, 4,Ｆカレンダｰマｰチ, 60,松岡正, 2.2, 51,   1, -20, 9, 42.0,⑩⑩⑧,10, 8,Ｅシャルロットノアル, 72,的場勇, 1.8, 63,   0,  -3, 4,  8.3, ⑥⑤,10,13,Ｅマイネルボウノット, 90,津村明, 0.8, 77,* 10,   7, 8, 36.0,①①①
11, 8,Ｋウェディングコパ, 46,南田雅, 2.3, 48,   1, -12,13,110.5, ⑨⑧,11, 9,Ｋテｰジュパッタｰ, 54,石橋脩, 2.3, 51,*  3, -24,13,130.8,③③④,11,12,Ｎサクラブルｰム, 56,黛弘人, 2.0, 61,  -5,   1,15,159.5, ⑫⑪,11, 9,Ｆタイキヴァンベｰル, 90,吉田隼, 0.9, 82,   5,  20, 9, 65.9,⑨⑧⑧
12, 3,Ｎサチノスクランブル, 42,草野太, 2.4, 47,   3, -15,10, 60.8, ④⑥,12,13,Ｑラストビｰコン, 42,大庭和, 2.5, 51,  -2,  -9,16,244.1,⑭⑮⑰,12,15,Ｈエタｰナルフラワｰ, 69,丸田恭, 2.1, 60,  -3,  -2,12, 86.3, ⑧⑧,12, 8,Ｋメイショウホウオウ, 86,後藤浩, 1.0, 78,*  7,  12,12,102.4,②②②
13, 7,Ｍラブリｰアゲン, 44,佐久間, 2.8, 46,  -7,  -3,16,290.5, ⑮⑮,13,15,Ｏクリファイブエｰス, 48,三浦皇, 2.6, 48,   1, -24,10, 56.6,⑤⑤⑧,13, 9,Ｊマキハタセンシブル, 66,左海誠, 2.3, 62,  -3,   0,14, 96.3, ⑫⑪,13,12,Ｍスズカフォイル, 82,石神深, 1.2, 79,   5,  16,13,142.6,⑤⑤⑦
14,15,Ｌスカイラプタｰ, 45,小島太, 2.8, 44,*  6, -23,15,249.6, ②②,14, 8,Ｉトップオブオアフ, 56,藤田伸, 2.6, 50,  -4,  -8,11, 85.3,⑮⑱⑱,14, 4, シンボリバッハ,---,吉田隼, 2.4, 56,*  2, -12,10, 34.6, ①①,,,,,,,,,,,,
15,14,Ｉヨシモンドノスケ, 51,五十嵐, 3.1, 42,*  6, -25,11, 70.0, ②②,15,16,Ｊシュヴァｰベン, 54,後藤浩, 3.5, 42,   1, -35, 6, 23.0,⑧⑩⑩,15,14,Ｌクリｰルボルケｰノ, 63,三浦皇, 2.6, 56,  -3,  -5,11, 41.8, ⑧⑩,,,,,,,,,,,,
16, 2, レイソニック,---,高野和, 8.8,  7, -26, -25,14,164.0, ⑯⑯,16,17,Ｐロｰランスカイ, 47,江田照, 3.9, 40,*  4, -49,14,145.7,①①①,16,11,Ｋチャｰムウィｰク, 63,柴山雄, 2.8, 55,   0, -12,13, 93.0, ④⑤,,,,,,,,,,,,
,,,,,,,,,,,,17,18,Ｎガッテンヒメ, 49,千葉直, 4.6, 37,  -1, -42,17,348.1,⑥⑦⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 6,Ｍリッチメロス, 51,浜中俊, 6.2, 10,*  3, -80,18,374.5,②②②,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:88 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+15 馬場:良(指数:-4),,,,,,,,,,,
"単勝:1,380円 複勝:16=460円 05=130円 12=750円 枠連:2,460円",,,,,,,,,,,,単勝:200円 複勝:05=130円 10=180円 03=480円 枠連:690円,,,,,,,,,,,,"単勝:520円 複勝:13=270円 10=360円 03=610円 枠連:4,080円",,,,,,,,,,,,単勝:520円 複勝:11=140円 01=110円 10=140円 枠連:250円,,,,,,,,,,,
"馬連:2,680円 ワイド:05-16=930円 12-16=4,770円 05-12=1,120円",,,,,,,,,,,,"馬連:670円 ワイド:05-10=270円 03-05=810円 03-10=1,540円",,,,,,,,,,,,"馬連:4,240円 ワイド:10-13=1,750円 03-13=2,950円 03-10=3,220円",,,,,,,,,,,,馬連:590円 ワイド:01-11=240円 10-11=340円 01-10=230円,,,,,,,,,,,
"馬単:6,730円 3連複:17,280円",,,,,,,,,,,,"馬単:1,030円 3連複:3,510円",,,,,,,,,,,,"馬単:6,540円 3連複:35,780円",,,,,,,,,,,,"馬単:1,450円 3連複:710円 3連単:4,230円",,,,,,,,,,,
■ 3R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 6R  ダ1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝3300m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■12R  芝2000m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,東京ﾊｲｼﾞｬﾝﾌﾟ,,,,,,,,,,,,稲村ヶ崎特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ａドナヴィラｰジュ, 67,内田博,, 69,*  4,  -1, 7, 12.8, ②②, 1,11,Ａオリジナルフェイト, 82,吉田隼,, 80,   4,* 17, 1,  2.3, ⑤⑤, 1, 8, テイエムエｰス,,菊地昇,,,,, 3,  6.1,④④③, 1, 3,Ｊエルソルダｰド, 77,松岡正,, 91,*  1,* 20, 4,  5.6,③③②
 2,17,Ｊキタノオｰロラ, 58,吉田豊, 0.2, 67,  -3,*  4, 3,  7.3, ⑥⑥, 2,16,Ｄアップカントリｰ, 70,武豊  , 0.7, 75,   3,  12, 3,  8.0, ⑦⑦, 2,14, キングジョイ,,高田潤,219.4,,,, 4,  7.7,⑥②②, 2, 1,Ｃベルモントルパン, 83,内田博, 0.0, 93,*  0,* 24, 8, 23.2,⑤④④
 3,10,Ｅサマｰアクトレス, 59,松岡正, 0.3, 64,   1,  -3, 4,  8.8, ③③, 3, 6,Ｂマルブツサクラオｰ, 77,安藤勝, 0.9, 74,   1,  13, 2,  3.7, ⑧⑧, 3,11, オｰプンガｰデン,,江田勇,219.8,,,,12, 97.6,⑨⑥⑥, 3, 4,Ｂセプタｰレイン, 84,柴田善, 0.5, 88,  -1,  18, 7, 19.4,⑧⑥⑥
 4,16,Ｂダイワデュｰク, 67,後藤浩, 0.4, 65,  -5,*  5, 2,  5.3, ⑨⑨, 4, 4,Ｉヴァルドルフ, 65,内田博, 1.2, 72,  -1,* 15,10, 26.9, ⑬⑭, 4, 1, ミヤビペルセウス,,穂苅寿,220.0,,,, 5, 10.3,③②③, 4, 2,Ａコマノハイ, 86,安藤勝, 0.7, 80,*  1,   9, 2,  5.5,①①①
 5, 5,Ｋディｰエスファジｰ, 56,石橋脩, 0.6, 62,*  5, -11,12, 36.3, ①①, 5,15,Ｃモエレジンダイコ, 71,黛弘人, 1.2, 71,   0,  11, 4, 10.3, ⑧⑨, 5, 5, テイエムトッパズレ,,佐久間,220.3,,,, 7, 16.6,①①①, 5,16,Ｎストロングラリｰ, 74,木幡初, 0.7, 88,  -4,* 22, 6, 15.6,⑫⑫⑬
 6, 3,Ｇスズヨコジｰン, 59,田中勝, 0.7, 62,  -7,   2, 5,  9.7, ⑫⑪, 6, 7,Ｊナスノマツカゼ, 65,田中勝, 1.4, 71,   1,  10,13,101.5, ⑪⑨, 6, 2, コウエイトライ,,小坂忠,221.3,,,, 1,  3.2,②⑤⑤, 6,15,Ｅデストラメンテ, 81,小林淳, 0.8, 84,*  0,  12, 5, 12.1,③④④
 7,15,Ｄナニワプレストン, 60,吉田隼, 0.9, 59,  -7,   1,14, 74.3, ⑨⑫, 7,10,Ｈアイオロスシチｰ, 66,蛯名正, 1.5, 68,   5,   3, 8, 24.6, ③③, 7, 7, ノボライトニング,,大庭和,223.3,,,,11, 53.6,⑦⑦⑦, 7, 5,Ｐバンダムカｰン, 70,石神深, 0.9, 82,  -2,  13,16,175.2,⑫⑧⑥
 8, 4,Ｌコラデピｰノ, 56,柴田善, 1.1, 58,  -4,  -5, 8, 15.7, ⑦⑦, 8, 9,Ｏマイネルポンピオン, 59,大野拓, 1.6, 68,   4,   3,11, 49.3, ⑤⑤, 8,12, フジヤマホｰク,,横山義,225.4,,,,10, 50.8,⑩⑩⑩, 8, 9,Ｄプジュリ, 82,横山典, 1.0, 82,  -1,  13, 3,  5.5,⑦⑧⑨
 9, 1,Ｈスマｰトラヴ, 59,蛯名正, 1.2, 54,   0, -15, 1,  3.3, ③③, 9, 5,Ｅフランコフォニｰ, 68,吉田豊, 1.8, 66,*  6,  -1, 9, 25.3, ②②, 9,13, エイシンペキン,,西谷誠,225.9,,,, 2,  3.4,⑦⑨⑧, 9,14,Ｍサクセスガｰウィン, 74,田辺裕, 1.0, 86,  -6,* 22,14,138.4,⑫⑮⑮
10,14,Ｍエフティメガミ, 55,武豊  , 1.3, 55, -14,*  4, 6, 12.3, ⑭⑮,10, 2,Ｇマッシュアップ, 66,三浦皇, 2.5, 61,  -1,   2, 5, 17.7, ⑬⑫,10, 6, テイエムアラムシャ,,高井彰,226.6,,,,14,177.2,⑫⑩⑪,10, 6,Ｌシンボリユタカオｰ, 74,田中博, 1.1, 82,  -3,  15,10, 43.5,⑮⑫⑫
11, 7,Ｎカンタカ, 50,勝浦正, 1.3, 56,  -9,  -1,10, 34.3, ⑫⑬,11,12,Ｎモンスタｰパｰク, 59,横山典, 2.5, 61,  -7,   9, 6, 19.9, ⑮⑮,11, 9, ハイヤｰザンヘブン,,宗像徹,229.1,,,, 8, 35.8,⑩⑫⑫,11,11,Ｆサンライズベガ, 81,武豊  , 1.1, 80,  -1,  11, 1,  2.7,⑤⑥⑥
12,12,Ｆシｰキングオアシス, 59,藤田伸, 1.7, 49,  -1, -19, 9, 16.5, ⑤⑤,12, 1,Ｋメジロシｰゴｰ, 63,草野太, 2.8, 57,*  8, -12,16,139.1, ①①,12, 3, アズマビヨンド,,植野貴,232.4,,,, 9, 50.3,④⑧⑨,12, 7,Ｉパッシングマｰク, 78,武幸四, 1.6, 79,  -6,  13, 9, 36.9,⑮⑮⑮
13, 8,Ｑシルクバｰディｰ, 32,増沢由, 1.8, 50, -12,  -4,15,165.9, ⑰⑮,13,14,Ｍデルマアルタイル, 59,柴山雄, 2.9, 58,   0,  -3,15,106.5, ⑧⑨,,,,,,,,,,,,,13, 8,Ｈドレックセル, 78,安藤光, 1.6, 74,  -3,   6,11,100.9,⑩⑧⑨
