08年 6月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月14日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1600m 3 歳1000万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｴｰﾃﾞﾙﾜｲｽS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｇグレイスフルムｰヴ, 54,吉田隼,, 69,*  3,*  4, 2,  6.1, ①①, 1, 5,Ｄゲイルカフェ, 61,田中勝,, 67,* -2,   1, 2,  4.6,②③④, 1, 2,Ｍスｰパｰミッション, 61,左海誠,, 78,* 15, -11,14,218.0,①①①, 1,14,Ｉタケショウオｰジ, 71,内田博,, 82,   2,* 10, 5, 11.1, ⑮⑫
 2, 4,Ｅソシアルチャｰム, 55,田中博, 0.0, 68,*  2,*  4, 5,  9.7, ②②, 2,11,Ｇライラックラブ, 60,松岡正, 0.6, 58,* -1, -11, 1,  2.6,④③②, 2, 6,Ｈルシフェリン, 67,柴田善, 0.3, 77,* 13,  -9, 5, 13.7,②③④, 2,15,Ｄロｰドニュｰスタｰ, 74,武幸四, 0.0, 84,   1,* 13, 7, 13.7, ⑬⑮
 3, 7,Ａサウスアミュｰズ, 62,小林淳, 0.8, 61,  -4,*  6, 4,  9.6, ⑫⑫, 3,13,Ｂサクセスアｰチ, 63,藤田伸, 0.6, 60,  -4,  -5, 6, 14.4,⑦⑥⑥, 3, 5,Ａロスペトリュス, 77,藤田伸, 0.3, 75,   9,  -5, 1,  2.8,⑤⑦⑤, 3, 5,Ａマイネルファルケ, 79,津村明, 0.0, 80,*  6,   2, 2,  4.9, ④④
 4,12,Ｋチョコサンデｰ, 47,左海誠, 1.4, 57,   1,  -7,10, 58.8, ③③, 4, 4,Ｉスペシャルシｰズン, 54,石橋脩, 0.7, 59,  -4,  -5, 7, 18.0,⑦⑧⑦, 4, 7,Ｊウォｰボネット, 64,浜中俊, 0.4, 79,   7,*  1,11, 98.3,⑪⑬⑭, 4,17,Ｋラルケット, 70,横山典, 0.1, 79,   3,   5, 8, 15.2, ⑧⑧
 5,11,Ｄメイショウダイアナ, 56,武豊  , 1.5, 57,   0,  -5, 7, 14.2, ⑦⑦, 5, 1, ナンヨｰロック,---,吉田豊, 0.7, 62, -10,*  6, 9, 35.1,⑭⑫⑭, 5, 4,Ｂリノｰンリｰズン, 72,松岡正, 0.4, 75,   5,*  2, 7, 21.8,⑮⑬⑭, 5, 9,Ｏキョウエイストｰム, 62,村田一, 0.1, 86,  -1,* 15,15,111.7, ⑯⑯
 6, 1,Ｂラブエッセンス, 58,内田博, 1.5, 55,   1,  -7, 1,  2.1, ⑥③, 6,12,Ａパワフルフェンサｰ, 65,柴田善, 0.7, 61,  -7,   1, 3,  5.2,⑪⑪⑪, 6, 1,Ｅダイワジャンヌ, 70,的場勇, 0.4, 75,   8,* -2, 8, 34.9,⑬⑪⑪, 6,12,Ｂシルポｰト, 78,武豊  , 0.3, 77,   3,   2, 1,  3.1, ⑧⑧
 7,14,Ｌカシノマチャガ, 46,千葉直, 1.5, 54,  -5,   1,12, 81.3, ⑫⑫, 7, 7,Ｌヘディキウム, 43,村田一, 0.7, 59,*  0, -14,15,265.6,①①①, 7,14,Ｄマイネルアベニｰル, 70,柴山雄, 0.8, 69,* 12, -18,10, 45.6,④③②, 7, 7,Ｃグラスブラスト, 74,安藤勝, 0.3, 76,   2,   5, 6, 13.5, ⑬⑫
 8, 3,Ｃリバｰチャｰム, 57,石橋脩, 1.7, 52,  -2,  -6,14,257.1, ⑩⑦, 8,18,Ｆバンダムレクス, 60,内田博, 0.8, 61,  -8,*  3, 8, 26.0,⑰⑭⑬, 8, 9,Ｃヨドノヒｰロｰ, 70,武豊  , 0.9, 71,   7,  -8, 2,  3.5,⑬⑬⑫, 8, 4,Ｍスｰパｰウｰマン, 69,蛯名正, 0.5, 71,*  9, -10,10, 22.7, ①①
