08年 8月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月31日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,平尾台特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａノアウイニング, 63,田中健,, 57,   1,*  2, 1,  1.4, ③④, 1, 4, キングアレキサンダ,---,熊沢重,, 60,  -1,* -4, 6, 21.0, ⑤③, 1,13,Ｃフサイチフェイマス, 62,武豊  ,, 70,  -2,*  7, 1,  1.7,⑤④④, 1,11,Ｅキクノサリｰレ, 78,浜中俊,, 77,   7,* 13, 1,  5.0,⑦⑦⑥
 2, 5,Ｃアマノシｰザｰ, 49,浜中俊, 0.7, 48,  -2,  -4, 5, 19.5, ⑤⑥, 2, 3, カネコメリッチ,---,浜中俊, 0.3, 60,*  3, -12, 3,  4.1, ①①, 2, 8,Ｊファンキｰドラゴン, 51,田中克, 0.2, 66,*  1,  -1, 9, 62.6,①①①, 2, 3,Ａクラリオンコｰル, 82,安藤光, 0.3, 75,   6,* 12, 8, 20.5,⑦⑩⑧
 3, 9,Ｅベストプロセス, 47,田中克, 0.7, 51,*  3,  -7, 4, 11.6, ①①, 3, 1, アスカノヨアケ,---,小牧太, 0.5, 52, -11,*  0, 5, 12.6, ⑧⑦, 3, 3,Ｄハマノオラトリオ, 61,浜中俊, 0.4, 67,  -3,*  3, 2,  5.4,⑨⑦⑥, 3,10,Ｏバトルサクヤビメ, 68,上村洋, 0.4, 76,   9,   7, 9, 26.6,⑦④②
 4, 1,Ｄシンゼンライク, 49,飯田祐, 0.8, 47,*  2,  -9, 2,  5.7, ②②, 4, 2, ピュアシルヴァｰ,---,川島信, 0.5, 53,   1, -12, 7, 22.3, ③②, 4, 7,Ｇグッドバニヤン, 58,熊沢重, 0.5, 64,  -1,   0, 7, 20.4,⑤④④, 4, 1,Ｊヨクバリ, 74,太宰啓, 0.6, 72,   4,* 12,11, 36.6,⑩⑭⑫
 5, 3,Ｇウェザｰサイド, 35,鮫島良, 0.9, 43,  -8,*  0, 6, 26.0, ⑧⑦, 5, 5, アｰトオブダンサｰ,---,田村太, 0.9, 50,*  3, -20, 4,  7.0, ②③, 5, 1,Ａディアカルテット, 65,田中健, 0.7, 62,  -5,*  2, 4,  9.1,⑮⑬⑩, 5,14,Ｍトシナギサ, 73,生野賢, 0.8, 70,*  9,   1,12, 36.7,②②②
 6, 4,Ｈテイエムダイアナ, 35,小牧太, 1.0, 42,  -3,  -7, 7, 55.1, ⑦⑦, 6, 6, エｰシンファスタｰ,---,上村洋, 1.0, 48,   1, -18, 1,  2.9, ③⑤, 6, 5,Ｈダイシンオレンジ, 55,小牧太, 0.9, 59,  -3,  -4, 3,  8.0,⑫⑦⑥, 6, 6,Ｉクリストフォルス, 76,武豊  , 0.9, 68,*  9,   0, 2,  5.0,①①①
 7,10,Ｂシゲルアソサン, 53,角田晃, 1.3, 40,   1, -15, 3,  7.7, ③②, 7, 8, シルクスティング,---,鮫島克, 1.6, 39,  -1, -25, 8, 51.3, ⑤⑥, 7,14,Ｋフレッシュホｰラｰ, 49,飯田祐, 1.0, 59,  -3,  -4,13,193.8,⑦⑦⑥, 7,15,Ｂアイアンキング, 79,小牧太, 0.9, 69,   6,   6, 5,  7.2,⑫⑨⑧
 8, 2,Ｊマッキｰメタル, 27,川島信, 1.5, 35,  -2, -15, 9,143.7, ⑤④, 8, 9, エプソムジャンボ,---,渡辺薫, 2.4, 30, -11, -25, 9,144.0, ⑧⑨, 8,16,Ｅハｰバｰブリッジ, 61,橋本美, 1.1, 57,  -3,  -5, 8, 47.3,⑭⑩⑩, 8, 8,Ｌアグネスラック, 74,中村将, 1.0, 69,   6,   6,14,165.8,⑩⑩⑧
 9, 7,Ｉデンコウロｰレル, 34,中村将, 1.6, 33, -10,  -8, 8, 97.6, ⑧⑨, 9, 7, コロナ,---,吉田隼, 4.0,  4,  -6, -50, 2,  3.1, ⑦⑧, 9,12,Ｐバブルシンフォニｰ, 30,太宰啓, 1.1, 57,*  0, -12,16,376.8,②②②, 9,12,Ｎスリｰキセキ, 71,田中健, 1.1, 72,   5,   6,15,172.9,⑭⑩⑫
,,,,,,,,,,,,,,,,,,,,,,,,10, 6,Ｆヤッパリグランプリ, 59,金折知, 1.4, 55,  -4,  -6, 6, 19.1,⑩⑮⑬,10, 9,Ｄソラメンテウナベス, 78,鮫島良, 1.2, 70,   4,   7,10, 33.6,⑫⑭⑮
,,,,,,,,,,,,,,,,,,,,,,,,11, 9,Ｌトｰワドウサン, 47,石橋守, 1.4, 53,* -1, -16,14,328.0,③②②,11,16,Ｋサｰユウジｰン, 74,渡辺薫, 1.3, 70,   3,   9,16,182.2,⑯⑯⑮
