08年12月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月13日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 7R  ダ2300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1700m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鳴海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａキクノセンヒメ, 57,川島信,, 53,  -1,* -3, 1,  2.4,⑫⑨⑦, 1,14,Ｂレッドシャガｰラ, 65,藤岡康,, 63,* -6,   5, 2,  4.5,②②②, 1, 7,Ｂシャンパンファイト, 72,鮫島良,, 70,   2,   8, 2,  5.2,⑥⑥⑤, 1,15,Ｃランヘランバ, 81,デムｰ,, 76,* 15,   3, 8, 11.8,③③③
 2, 7,Ｐメイショウカガリビ,  3,藤田伸, 0.4, 50,*  0,*-10, 3,  4.7,②②②, 2, 3,Ｄメダリアビｰト, 60,デムｰ, 0.0, 65,  -8,* 10, 1,  1.9,⑨⑥⑤, 2,12,Ｋウインク, 61,和田竜, 0.2, 69,   1,*  9, 8, 25.5,⑧⑨⑦, 2,10,Ｇブライアンズエッセ, 80,蛯名正, 0.0, 82,   9,* 15,10, 21.6,⑮⑯⑯
 3, 8,Ｈチリトテシャン, 42,的場勇, 0.7, 51,  -1, -11,13,155.7,⑩⑥⑤, 3,10,Ｅディバインフレイム, 56,藤田伸, 0.3, 64, -11,* 12, 5, 12.0,⑫⑪⑩, 3, 1,Ａフェイクスパ, 73,宮崎北, 0.4, 67,   0,*  9, 6,  9.0,⑦⑪⑪, 3, 7,Ｌヒカリコｰズウェｰ, 76,安藤光, 0.0, 80,  10,* 12,12, 31.8,⑫⑬⑬
 4,16,Ｃモア, 52,飯田祐, 1.1, 47,*  0, -15, 4,  7.1,⑦③④, 4,16,Ｃトｰホウホｰプ, 64,中舘英, 0.5, 59,* -6,   0, 4,  7.2,③③③, 4, 4,Ｈシルクエンデバｰ, 64,田中博, 0.5, 68,   0,* 10, 9, 27.2,⑮⑮⑭, 4,11,Ｐトｰホウオルビス, 69,中村将, 0.3, 78,  13,   4,14, 74.6,④④④
 5, 1,Ｅファストストリｰム, 50,中舘英, 1.2, 45,  -1, -13, 2,  4.5,⑨⑦⑥, 5, 8,Ａタマモリバｰ, 67,和田竜, 0.6, 58,  -8,   1, 3,  5.0,④④④, 5,16,Ｆレッズフィｰルド, 68,武士沢, 0.6, 64,*  3,   0, 1,  4.6,②②②, 5, 4,Ｉポｰカｰフェイス, 79,秋山真, 0.3, 80,  12,   6, 4,  7.3,⑨⑧⑦
 6, 5,Ｄハニｰインチｰフ, 52,大野拓, 1.4, 45,   0, -16, 6, 15.5,⑤④③, 6,12,Ｎガｰネットダスク, 30,北村友, 0.8, 53,* -6,  -6,15,329.2,①①①, 6, 9,Ｄアグネスヨジゲン, 70,渡辺薫, 0.7, 65,   2,   3, 7, 18.1,⑫⑦⑩, 6,12,Ｄエイシンハンコック, 81,藤田伸, 0.5, 78,  10,   9, 5,  8.3,⑭⑫⑫
 7, 6,Ｊアｰバンマｰメイド, 40,北村友, 1.7, 42,  -4, -12,12,139.4,⑧⑪⑩, 7, 7,Ｊダイワエモｰション, 40,宮崎北, 1.0, 55,  -9,  -2,11,210.4,⑦⑦⑥, 6, 8,Ｎテキサスイｰグル, 52,藤岡康, 0.7, 64,   1,   4, 5,  6.2,⑤⑧⑥, 7, 2,Ａトｰホウアタック, 83,長谷川, 0.5, 81,  11,   6, 6,  9.7,⑧⑩⑩
 8, 2,Ｆカシノクリス, 47,二本柳, 1.7, 42,  -3, -14,14,186.7,⑪⑩⑨, 8,17,Ｋマイネルヴァルカン, 39,黛弘人, 1.0, 55,  -9,   0, 8,109.7,⑧⑨⑧, 8, 2,Ｃアンブロｰクン, 71,中舘英, 0.8, 66,   1,   7, 4,  6.0,⑪⑬⑬, 8, 6,Ｊナムラフュｰチャｰ, 79,和田竜, 0.6, 78,  13,   2, 7, 10.0,⑦⑥⑥
