08年12月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｻﾝﾀｸﾛｰｽS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａハギノリベラ, 68,武幸四,, 59,   2,* -4, 1,  1.5,⑧⑦④, 1, 7, サンダｰホｰラｰ,,今村康,,,,, 6, 30.4,②①①, 1,11,Ａヒシウィンザｰ, 78,ルメｰ,, 68,*  6,*  2, 1,  1.4,④④③, 1, 2,Ｄセントラルコｰスト, 87,和田竜,, 89,* 18,   5, 5, 13.7, ①①
 2, 8,Ｂレッドサｰパス, 55,ルメｰ, 0.1, 56,   0,* -2, 2,  5.4,⑪⑨⑦, 2, 4, エイシンテンリュｰ,,浜野谷,200.4,,,, 1,  2.5,⑥⑥③, 2,15,Ｂニュｰイチトク, 78,小牧太, 0.1, 70,*  6,   1, 2,  6.1,②②②, 2, 1,Ａアンダｰカウンタｰ, 95,ペリエ, 0.2, 86,* 17,   4, 1,  1.8, ②③
 3, 3,Ｅパｰフェクトバイオ, 51,小牧太, 0.5, 56,*  5, -13, 5, 17.8,①①①, 3, 1, タマモヴィグラス,,岩崎祐,200.5,,,,10, 91.8,⑩⑧⑥, 3, 8,Ｊアコニットライアン, 65,和田竜, 0.3, 70,   4,*  3, 6, 32.5,⑦⑥⑤, 3,16,Ｂノｰリプライ, 89,横山典, 0.2, 85,  13,  10, 3,  8.0, ⑨⑧
 4, 5,Ｍアイノスタｰゲイト, 30,幸英明, 0.9, 52,*  4, -15,11,119.7,⑦⑤②, 4,10, アザンクｰル,,南井大,200.8,,,, 2,  2.9,⑤③⑤, 4, 7,Ｃツルマルシルバｰ, 76,橋本美, 0.3, 70,   4,*  3, 3,  7.4,⑪⑨⑥, 4, 9,Ｉシルクアルボｰレ, 83,池添謙, 0.3, 85,  11,* 12, 6, 18.7, ⑪⑩
 5,10,Ｌシルバｰキング, 39,小林徹, 1.2, 53,  -3,* -6,15,339.2,⑫⑭⑭, 5, 3, オｰスミマｰシャル,,植野貴,201.0,,,, 5, 14.8,⑦⑦⑨, 5, 2,Ｆブルｰクリケット, 72,川田将, 0.6, 67,*  7,  -4, 8, 52.9,①①①, 5,14,Ｅワンダｰポデリオ, 86,福永祐, 0.4, 83,   8,* 14, 4, 11.3, ⑭⑪
 6, 2,Ｆヴィｰヴァサルｰテ, 50,横山典, 1.3, 49,   2, -16, 3,  8.2,⑤⑥⑥, 6, 6, アンブレイカブル,,小坂忠,201.7,,,, 8, 45.0,⑨⑩⑩, 6, 4,Ｅクオン, 74,渡辺薫, 0.7, 69,   2,*  4,11,104.5,⑭⑫⑬, 6, 8,Ｃマジックボンバｰ, 88,ルメｰ, 0.4, 83,  15,   5, 2,  5.9, ⑥④
 7,13,Ｐザバトルクラシック, 10,松岡正, 1.8, 48,  -1, -15, 9, 76.6,⑬⑪⑨, 7, 9, メイショウコンボイ,,北沢伸,201.8,,,, 7, 40.6,④④②, 7,10,Ｎミシックキョウト, 59,小坂忠, 0.9, 66,   4,   0,15,200.4,⑧⑧⑨, 7,12,Ｈセイウンプレジャｰ, 83,浜中俊, 0.6, 82,  13,   5, 7, 20.1, ⑦⑥
 8,16,Ｈアラｰムクロック, 48,ペリエ, 2.0, 44,   3, -24, 6, 19.4,④③⑤, 8, 5, スナｰクマイハｰト,,出津孝,201.8,,,, 3,  4.4,⑧⑨⑧, 8, 9,Ｇウィッシュアウェイ, 68,佐藤哲, 1.1, 63,   4,  -4, 7, 41.3,③③④, 8, 6,Ｍアナモリ, 78,川田将, 0.8, 80,   9,  11, 8, 21.3, ⑫⑬
