08年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月26日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  芝1200m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  芝1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西日本ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,13, 6,Ｌシャインジュエリｰ, 52,田村太, 2.4, 43,* -4, -24,10,124.6,②③⑦,13,14,Ｒトッケンショウブ, 62,太宰啓, 0.7, 64,  -8,  10,17,156.8, ⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｌビッグファルコン, 67,熊沢重, 0.8, 63,  -7,   9,14, 59.3, ⑭⑬
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15, 1,Ｑリリウオカラニ, 63,鮫島良, 0.9, 61,*  8,  -9,10, 25.5, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,18,Ｊロングフラワｰ, 68,橋本美, 1.0, 60,*  6,  -7,11, 33.7, ③④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17, 8,Ｉワンダｰボｰイ, 69,藤岡康, 1.3, 55,  -4,  -2,16,134.6, ⑩⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18, 7,Ｍキャプテンシラユリ, 66,船曳文, 1.4, 54,  -4,  -3,18,159.2, ⑩⑬
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-5),,,,,,,,,,,
"単勝:1,330円 複勝:04=390円 02=960円 01=320円 枠連:17,160円",,,,,,,,,,,,"単勝:390円 複勝:12=160円 04=380円 09=150円 枠連:5,370円",,,,,,,,,,,,"単勝:1,830円 複勝:04=390円 09=140円 11=210円 枠連:1,970円",,,,,,,,,,,,単勝:460円 複勝:15=170円 11=200円 13=250円 枠連:590円,,,,,,,,,,,
"馬連:14,060円 ワイド:02-04=2,890円 01-04=1,130円 01-02=2,040円",,,,,,,,,,,,"馬連:3,770円 ワイド:04-12=1,070円 09-12=300円 04-09=1,000円",,,,,,,,,,,,"馬連:2,340円 ワイド:04-09=930円 04-11=1,550円 09-11=460円",,,,,,,,,,,,"馬連:1,340円 ワイド:11-15=530円 13-15=810円 11-13=1,140円",,,,,,,,,,,
"馬単:27,930円 3連複:22,770円 3連単:185,590円",,,,,,,,,,,,"馬単:6,540円 3連複:4,510円 3連単:31,320円",,,,,,,,,,,,"馬単:6,750円 3連複:4,750円 3連単:39,790円",,,,,,,,,,,,"馬単:2,680円 3連複:3,770円 3連単:16,910円",,,,,,,,,,,
