08年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月24日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2910m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 3歳上1000万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,修学院ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅラヴェリｰタ, 55,藤岡佑,, 71,*  9,*  0, 4,  8.5, ①①, 1, 5, チョウラブラブ,,黒岩悠,,,,, 2,  3.8,①①①, 1,13,Ａウォｰタクティクス, 85,藤田伸,, 85,* 10,* 13, 1,  1.4,①①①, 1, 2,Ｊタガノヴァレオ, 81,ルメｰ,, 86,  13,*  1, 9, 20.3,⑪⑪⑪
 2, 1,Ｂフィｰルドチャペル, 63,幸英明, 0.7, 63,   5,* -1, 2,  4.3, ④④, 2, 1, トロピカルガイ,,高野容,196.4,,,, 6, 17.2,⑥⑤⑤, 2,15,Ｈグッドフロマｰジュ, 79,ペリエ, 1.0, 78,*  9,   6,11, 89.1,⑤②②, 2, 8,Ｋアｰネストリｰ, 80,佐藤哲, 0.1, 82,* 15,  -8, 2,  4.6,④④②
 3,12,Ａワイズドリｰム, 66,川田将, 1.0, 62,*  6,  -5, 1,  1.7, ③③, 3,12, デンコウニンジャ,,岩崎祐,196.6,,,, 1,  2.3,⑤②②, 3,12,Ｇテイエムザエックス, 79,幸英明, 1.1, 78,   7,   7, 8, 82.3,④④④, 3,12,Ａリキサンポイント, 89,藤田伸, 0.1, 83,  14,  -5, 7, 13.1,⑧⑦⑤
 4, 4,Ｄラストダンス, 59,田村太, 1.8, 56,*  7, -13, 3,  6.3, ②②, 4,11, エｰシンディｰエス,,南井大,197.1,,,, 5, 12.1,④④③, 4,11,Ｃミコノス, 82,田中健, 1.2, 80,   7,   7, 5, 16.1,⑧⑧⑥, 4, 3,Ｆダイシンプラン, 85,安藤勝, 0.2, 82,  14,  -5, 1,  4.5,⑨⑨⑥
 5, 8,Ｊマルブツハッピｰ, 41,船曳文, 1.9, 56,   4,  -9, 8, 72.0, ⑤⑤, 5, 9, ルｰルシャガｰル,,金折知,197.9,,,, 4,  8.9,⑩⑦⑥, 5, 4,Ｄルアシェイア, 80,川島信, 1.2, 79,   5,* 12, 6, 22.7,⑫⑫⑫, 5, 1,Ｂヒカリシャトル, 88,幸英明, 0.3, 83,  11,* -2, 3,  5.3,⑫⑫⑫
 6, 6,Ｃワキノブライアン, 62,和田竜, 1.9, 54,   3,  -8, 5, 18.8, ⑥⑥, 6, 7, オリエンス,,高井彰,199.3,,,,10, 67.5,⑨⑩⑩, 6,14,Ｆハｰドシｰキング, 79,岩田康, 1.2, 79,   5,* 12, 4, 13.1,⑪⑬⑮, 6, 6,Ｄショｰトロｰブス, 86,川田将, 0.5, 80,  11,* -3,12, 66.5,⑮⑭⑬
 7, 7,Ｌコスモオｰカン, 35,鮫島良, 2.0, 54,   2,  -8, 6, 23.9, ⑦⑦, 7,14, セレスクラｰジュ,,林満明,199.8,,,,13,123.3,③③④, 6, 2,Ｂアドマイヤレグルス, 83,安藤勝, 1.2, 77,*  8,   6, 2,  5.9,⑦⑤⑤, 7,15,Ｃマイネルスタｰリｰ, 88,池添謙, 0.7, 77,  14, -15, 4,  6.3,⑥⑤④
 8, 9,Ｆメイショウイロドリ, 54,川島信, 2.6, 48,   1, -11,10, 87.9, ⑩⑩, 8, 3, オウケンハカイダｰ,,北沢伸,201.4,,,, 7, 30.0,⑦⑧⑧, 8, 3,Ｉリリアンタイム, 78,川田将, 1.3, 79,   6,  10, 9, 84.5,⑯⑪⑪, 8, 5,Ｅソリッドプラチナム, 85,岩田康, 0.8, 77,  15, -13,10, 24.4,⑬⑩⑧
 9, 3,Ｈメイショウシンドウ, 48,浜中俊, 2.8, 46,  -2, -10, 9, 79.5, ⑪⑪, 9,10, ヤマカツマドンナ,,菊地昇,201.4,,,, 3,  5.9,⑧⑨⑨, 9, 1,Ｋインプレスゴｰルド, 77,浜中俊, 1.8, 75,   8,   2,10, 85.5,⑥⑦⑨, 9, 4,Ｇマルティンスタｰク, 83,浜中俊, 1.0, 78,  14, -16, 5, 11.6,⑦⑧⑨
10, 5,Ｋヤラマイカ, 36,佐藤哲, 3.4, 42,   1, -19,13,243.8, ⑨⑨,10, 8, シｰゴｰイング,,出津孝,203.0,,,,12,104.9,②⑥⑦,10,16,Ｅポｰカｰフェイス, 80,角田晃, 2.1, 73,   7,   0, 3, 11.2,⑩⑨⑦,10, 7,Ｉファランドｰル, 82,武幸四, 1.3, 74,  12, -15,13, 68.0,⑩⑬⑮
11,11,Ｍニシノレボルト, 34,酒井学, 4.1, 36,  -2, -20,11,191.0, ⑫⑬,11, 6, メテオスクライドｰ,,仲田雅,204.7,,,,11, 83.0,⑫⑫⑫,11, 6,Ｎマイグロｰリアス, 74,長谷川, 2.2, 74,   6,   1,16,299.6,⑨⑩⑩,11,11,Ｌシルクダッシュ, 80,藤岡佑, 1.6, 69,  10, -16, 8, 15.1,⑭⑮⑭
12,10,Ｉタガノタンドゥｰル, 42,藤田伸, 4.2, 36,   2, -27, 7, 53.6, ⑧⑧,12, 4, エムテイクラウン,,植野貴,206.2,,,, 8, 37.4,⑪⑪⑪,12, 9,Ｌスプリングゲント, 76,白浜雄, 2.2, 72,   4,   5,14,245.2,⑬⑮⑭,12,10,Ｏビｰオブザバン, 70,鮫島良, 2.0, 66,  14, -32,15,141.2,⑤⑥⑦
13, 2,Ｇシゲルタカチホ, 52,渡辺薫, 4.2, 36,  -3, -20,12,214.3, ⑬⑫,13,13, ファド,,白浜雄,212.2,,,, 9, 64.8,⑬⑬⑬,13, 8,Ｏシゲルアラムシャ, 72,田中克, 2.3, 74,   4,   5,15,248.8,⑭⑭⑬,13,13,Ｎラッキｰリップス, 78,福永祐, 3.6, 55,* 17, -60,14,139.5,③③③
,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｊニッシンテｰスト, 77,大下智, 2.4, 73,   6,  -2,12,170.6,③⑥⑧,14, 9,Ｈウインスペンサｰ, 82,ペリエ, 4.2, 51,* 17, -70, 6, 12.3,①①①
,,,,,,,,,,,,,,,,,,,,,,,,15, 7,Ｍエイシンイッパツ, 74,田村太, 3.6, 62,*  8, -15, 7, 53.5,②③③,15,14,Ｍコスモスペシャリｰ, 79,和田竜, 5.2, 25,* 16, -82,11, 39.4,②②⑩
,,,,,,,,,,,,,,,,,,,,,,,,16,10,Ｐショコラシチｰ, 67,鮫島良, 3.9, 64,   5,  -9,13,208.8,⑮⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:80 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:稍重(指数:3),,,,,,,,,,,
単勝:850円 複勝:13=190円 01=130円 12=110円 枠連:310円,,,,,,,,,,,,"単勝:380円 複勝:05=150円 01=330円 12=110円 枠連:2,740円",,,,,,,,,,,,"単勝:140円 複勝:13=110円 15=1,490円 12=1,320円 枠連:510円",,,,,,,,,,,,"単勝:2,030円 複勝:02=520円 08=210円 12=440円 枠連:640円",,,,,,,,,,,
"馬連:1,750円 ワイド:01-13=540円 12-13=310円 01-12=170円",,,,,,,,,,,,"馬連:2,540円 ワイド:01-05=740円 05-12=190円 01-12=570円",,,,,,,,,,,,"馬連:4,780円 ワイド:13-15=1,680円 12-13=1,500円 12-15=13,980円",,,,,,,,,,,,"馬連:4,250円 ワイド:02-08=1,640円 02-12=2,810円 08-12=1,060円",,,,,,,,,,,
"馬単:3,600円 3連複:870円 3連単:9,290円",,,,,,,,,,,,"馬単:3,680円 3連複:1,440円 3連単:12,140円",,,,,,,,,,,,"馬単:5,270円 3連複:41,790円 3連単:121,540円",,,,,,,,,,,,"馬単:10,640円 3連複:12,970円 3連単:106,560円",,,,,,,,,,,
■ 2R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 5R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  ダ1800m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,ﾄﾊﾟｰｽﾞｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａダブルウェッジ, 64,四位洋,, 67,*  4,*  4, 1,  1.4, ③②, 1, 4, ワｰルドワン,---,池添謙,, 65,*  1,* -6, 1,  2.4, ①①, 1,11,Ｂシャインウェｰヴ, 82,四位洋,, 79,   7,   9, 6, 11.3, ⑧⑦, 1,11,Ｂエスポワｰルシチｰ, 95,佐藤哲,, 89,* 18,   6, 1,  1.7,①①①
