08年 5月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月 3日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2910m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1800m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,端午ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａキャトルキャｰル, 64,秋山真,, 69,  -1,* 12, 3,  6.0,⑦⑦⑦, 1,10, ナムラヘンリｰ,,黒岩悠,,,,, 4,  5.7,②②①, 1, 8,Ｅリッカロイヤル, 64,角田晃,, 70,   0,*  3, 2,  4.4, ⑦⑤, 1, 8,Ａサクセスブロッケン, 88,横山典,, 84,* 14,*  4, 1,  1.4,②②①
 2, 1, ワイルドアフリカ,---,四位洋, 0.1, 66,   0,* 10, 7, 15.5,⑭⑦④, 2, 8, スリｰエリシオ,,南井大,194.9,,,,10, 60.2,③④③, 2, 9,Ｈピサノロンシャン, 58,藤田伸, 0.0, 70,   0,*  3, 7, 22.9, ⑤④, 2, 9,Ｄユビキタス, 79,安藤勝, 0.9, 78,* 13,  -2, 2,  7.3,③③③
 3,15,Ｃハイパｰラッシュ, 61,佐藤哲, 0.8, 60,*  2,   1, 2,  4.6,③②②, 3, 7, ロｰドマジェスティ,,熊沢重,194.9,,,, 3,  4.7,③③③, 3, 2,Ｇゴｰルドサクセス, 60,鮫島良, 0.2, 68,   4,  -7, 5,  9.4, ③③, 3, 7,Ｅナムラハンタｰ, 78,角田晃, 0.9, 79,  12,   1, 4, 18.1,⑦⑥⑤
 4, 3,Ｆフラワｰネックレス, 56,幸英明, 1.3, 56,   1,  -2, 6, 10.8,③④④, 4, 2, ランドベスト,,岩崎祐,194.9,,,, 7, 17.9,⑤⑤⑤, 4, 6,Ｆマイネルアテッサ, 62,幸英明, 0.2, 66,* 10, -20, 6, 14.9, ①①, 4, 1,Ｃコロナグラフ, 83,武幸四, 1.1, 79,  11,   2, 3,  8.1,⑪⑪⑤
 5, 4,Ｂシルキｰリリｰ, 63,角田晃, 1.4, 55,   0,  -2, 4,  7.2,⑤④④, 5,11, セイウンエポック,,出津孝,195.4,,,, 8, 26.3,⑧⑥⑥, 5, 7,Ｂアドマイヤナサ, 71,吉田稔, 0.3, 67,   0,   0, 1,  2.5, ⑧⑥, 5,13,Ｂクリｰルパッション, 84,藤岡佑, 1.2, 77,  11,   0, 5, 22.0,⑨⑨⑨
 6, 8,Ｄレインボｰブｰケ, 60,岩田康, 1.5, 57,  -5,*  7, 1,  3.3,⑬⑭⑬, 6, 5, ライトニングボｰル,,今村康,195.9,,,, 1,  3.4,①①②, 6, 3,Ａコンプトゥス, 78,岩田康, 0.7, 62,  -2,  -3, 4,  7.1, ⑧⑧, 6, 4,Ｈシルクレセプション, 76,幸英明, 1.4, 75,* 13,  -6,12,129.5,③③③
 7,12,Ｇメイショウタマヒメ, 54,小牧太, 1.5, 56,  -2,   2,10, 48.7,⑪⑪⑨, 7, 1, トミケンクラｰジュ,,小坂忠,197.0,,,, 5, 13.6,⑥⑦⑦, 7,10,Ｉゲイリｰライアン, 56,長谷川, 1.6, 52,*  7, -35, 9, 36.0, ②②, 7,12,Ｆプラチナメｰン, 78,小牧太, 1.4, 75,  12,  -4, 8, 44.2,⑦⑥⑤
 8,11, ゼットフウリン,---,藤岡佑, 1.9, 50,*  1, -10, 5,  8.6,②②②, 8, 4, エアデルソｰル,,林満明,197.7,,,, 9, 46.1,⑥⑦⑦, 8, 1,Ｃナイスシャトル, 68,安藤勝, 1.7, 51,  -4, -13, 3,  5.1, ⑩⑩, 8, 6,Ｌサトノハピネス, 69,和田竜, 1.8, 75,   9,  -1,11,118.8,⑫⑫⑩
 9, 2,Ｋマｰベラスハｰト, 45,和田竜, 1.9, 52,*  4, -14, 9, 37.3,①①①, 9,13, マルブツファｰスト,,菊地昇,197.9,,,, 2,  4.0,⑨⑨⑨, 9, 4,Ｄハッピｰドロップ, 65,藤岡佑, 1.7, 52,   0, -21, 8, 24.0, ⑤⑥, 9,10,Ｎセイカアレグロ, 69,佐藤哲, 1.9, 74,   7,*  3,15,225.6,⑬⑬⑬
10,16,Ｅスリｰマｰチャン, 58,生野賢, 2.3, 51,  -2,  -4,13,127.9,⑫⑪⑫,10, 6, ドングレイシｰ,,高野容,200.5,,,,11, 67.7,⑩⑩⑩,10, 5,Ｊトｰホウシデンカイ, 43,川原正, 4.3, 32,   0, -59,10,147.9, ④⑧,10, 3,Ｋソラメンテウナベス, 70,鮫島良, 1.9, 76,   7,*  3,14,141.8,⑬⑬⑭
