08年 3月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月 9日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3 歳500万 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗｼﾞｵ関西賞仲春特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｇナムラエラン, 47,上村洋,, 65,* -5,*  6, 3,  5.9,①①①, 1, 4, シゲルダンプウ,,小林慎,,,,, 8, 32.8,②②①, 1, 7,Ｄスペシャルブレイド, 65,上村洋,, 77,* -7,* 14, 1,  2.4, ①①, 1, 4,Ｃコスモラヴアゲイン, 74,佐藤哲,, 77,   5,* 10, 3,  5.9, ⑧⑧
 2, 8,Ｆオｰスミマコ, 49,田中克, 0.0, 66,* -7,*  7, 6, 10.7,③③②, 2,13, シュトラｰレン,,林満明,202.1,,,, 1,  1.5,③③③, 2, 3,Ｂシゲルハスラット, 71,池添謙, 0.7, 70, -14,* 16, 3,  5.2, ⑧⑦, 2, 3,Ｊウィズディクタット, 65,芹沢純, 0.1, 76,   7,   4, 1,  3.4, ③⑤
 3, 4,Ｊコナフェット, 41,渡辺薫, 0.7, 58,  -7,   3, 8, 77.9,③③④, 3, 6, チェスナットマン,,菊地昇,202.5,,,, 9, 50.7,⑨⑩⑨, 3,12,Ｈスカイビュｰティｰ, 54,太宰啓, 0.7, 68,*-10,   8, 8, 39.9, ②②, 3, 5,Ａアドマイヤプルｰト, 77,吉田隼, 0.1, 75,* 10,   1, 5, 10.1, ②②
 4, 2,Ａコパノアコチャン, 66,鮫島良, 1.1, 56,  -9,   3, 1,  2.1,⑦⑧⑦, 4, 8, ルｰルシャガｰル,,金折知,203.1,,,,12, 92.1,⑩⑦⑥, 4, 5,Ａフェイムロバリｰ, 74,安藤勝, 0.8, 69, -17,* 17, 2,  3.3, ⑪⑨, 4,10,Ｂアドマイヤダｰリン, 75,上村洋, 0.1, 77,   5,*  8, 4,  6.7, ⑧⑧
 5, 1,Ｉメイショウオバナ, 43,上野翔, 1.5, 53,  -8,  -2,12,186.2,⑦⑦⑦, 5, 2, ナンヨｰノｰス,,田中剛,203.2,,,,11, 82.0,①①②, 5, 2,Ｉテイエムセッペトベ, 46,田嶋翔, 0.9, 66,* -9,   6,11,203.1, ②②, 5,16,Ｄコパノスケ, 70,渡辺薫, 0.4, 73,   6,   2, 2,  4.3, ⑥⑤
 6,10,Ｅマイネクリスティナ, 52,吉田隼, 1.6, 52,  -8,  -3, 5, 10.2,⑤⑤⑤, 6,14, ベルベットジャガｰ,,今村康,203.5,,,, 7, 26.6,⑤③④, 6,13,Ｇハｰバｰクイｰン, 57,高野容, 1.1, 63, -12,   7,13,326.5, ④④, 6, 2,Ｇスマｰトカイザｰ, 67,鮫島良, 0.5, 72,   1,   7,10, 31.5, ⑩⑪
 7,11,Ｃユウメリｰウェザｰ, 54,安藤勝, 1.7, 49,  -8,  -4, 2,  4.7,⑤⑤⑤, 7, 9, トｰアセンヒメ,,北沢伸,203.8,,,,13,109.8,⑥⑥⑥, 7, 4,Ｃヨシサプライズ, 66,津村明, 1.2, 64, -12,   6, 6, 16.8, ⑤④, 7, 8,Ｍパノラマビュｰティ, 64,小林徹, 0.5, 72,   1,*  8,14,105.8, ⑫⑪
 8, 3,Ｂサンレイコンサｰト, 56,難波剛, 2.1, 50, -11,  -3, 7, 33.9,⑪⑪⑨, 8, 5, エムテイクラウン,,植野貴,204.4,,,, 3, 11.5,③⑤⑤, 8,11, アイルイザダイヤ,---,川原正, 1.4, 61, -14,   6, 9,143.8, ⑤⑦, 8,11,Ｈエｰティｰホｰオｰ, 66,石橋守, 0.6, 71,* 13,  -9,12, 90.2, ①①
