08年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1300m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,秋嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｈアドバンスウェイ, 41,藤田伸,, 62,* -8,* 13, 2,  5.2, ③②, 1, 6, ゴｰルドモｰル,---,木幡初,, 51,* -6,* -6, 4,  6.4, ②②, 1,10,Ａマイネルグラナｰテ, 79,池崎祐,, 78,* 13, -10, 4, 10.4,③③③, 1,13,Ｂナンヨｰヒルトップ, 84,柴田善,, 89,* 13,* 11, 2,  4.2, ③③
 2,10,Ｂエジソン, 59,北村宏, 0.1, 61,* -9,* 13, 4,  9.1, ⑤③, 2, 8, モアザンストｰム,---,藤田伸, 0.5, 48,* -5, -12, 1,  3.3, ①①, 2, 7,Ｅニキティス, 73,草野太, 0.2, 76,* 14, -17, 2,  6.2,①①①, 2,12,Ｇダイイチミラクル, 80,今野忠, 1.1, 81,  10,   7, 7, 23.9, ⑦⑥
 3, 3,Ａディアテクノバトル, 66,内田博, 0.9, 56,* -9,   6, 1,  2.1, ③③, 3,10, ロｰズオブゴッホ,---,内田博, 0.5, 47,  -9,* -7, 2,  3.3, ⑦⑦, 3,13,Ｈレジｰムチェンジ, 71,田中博, 0.2, 78,  11,  -6, 7, 22.2,⑧⑧⑧, 3,15,Ｃシルクアルボｰレ, 83,内田博, 1.2, 81,  11,   4, 3,  6.0, ④④
 4,15,Ｇノアプレミアム, 41,木幡初, 1.0, 56, -13,* 12,12,119.1, ⑫⑫, 4, 4, ロｰブドヴルｰル,---,田中博, 0.6, 46,  -8,  -9, 9, 52.6, ⑤⑤, 4, 8,Ｂマイネナデシコ, 73,伊藤工, 0.3, 77,   9,*  1, 8, 27.4,⑩⑩⑩, 4, 7,Ｊクランエンブレム, 80,松岡正, 1.2, 82,   7,* 11, 6,  8.8, ⑪⑩
 5, 2,Ｃスタｰリバイバル, 49,江田照, 1.1, 53,* -8,   2, 6, 14.8, ①①, 5, 1, ストレｰトイン,---,勝浦正, 1.0, 44,  -7, -14, 5, 12.6, ②④, 5, 3,Ｆステイウィズユｰ, 72,三浦皇, 0.5, 75,* 13, -14, 1,  1.7,⑦⑥⑥, 5, 8,Ｍタイキフェアレディ, 76,中舘英, 1.6, 76,   8,   5,12, 69.2, ⑨⑧
 6, 8,Ｄバイタルシチｰ, 47,松岡正, 1.6, 52, -10,   2, 3,  5.4, ⑦⑥, 6,13, シルバｰフェザント,---,松岡正, 1.1, 43,  -7, -14, 3,  4.3, ⑦⑤, 6, 5,Ｎステラポラリス, 59,黛弘人, 0.7, 72,* 14, -23,12,169.7,②②②, 6, 5,Ｄコロナグラフ, 82,三浦皇, 1.7, 75,   8,   5, 1,  3.6, ⑤⑧
 7,11,Ｉバンダムミュｰトス, 39,柴田善, 1.8, 49, -10,   0, 9, 76.0, ⑦⑥, 7, 9, アスタｰエンペラｰ,---,中舘英, 1.5, 39,* -6, -20, 6, 19.8, ②②, 7, 2,Ｇマルタカシャトル, 72,丹内祐, 1.0, 70,* 13, -22, 3,  7.2,⑥⑥⑥, 7,10,Ａパピヨンシチｰ, 84,津村明, 1.7, 77,   6,   9, 4,  6.7, ⑬⑫
 8,12,Ｊマハロヌイロア, 38,村田一, 1.9, 51, -11,   1, 7, 40.8, ⑨⑩, 8,12, アｰバンマｰメイド,---,今野忠, 1.6, 38, -14, -10,12,102.1, ⑪⑪, 8,14,Ｉサチノマックイｰン, 70,加藤士, 1.2, 71,   5,* -1,13,201.0,⑩⑫⑫, 8, 2,Ｏオヤマハリケｰン, 73,大野拓, 1.8, 76,  12,  -2,15,202.2, ⑤④
