08年 7月20日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月20日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ函館,,,,,,,,,,,,,,,,,,,,,,,,駒ｹ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-25 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
単勝:190円 複勝:02=110円 03=130円 枠連:0円,,,,,,,,,,,,"単勝:1,640円 複勝:04=380円 08=140円 01=220円 枠連:900円",,,,,,,,,,,,"単勝:640円 複勝:10=230円 07=220円 02=550円 枠連:1,100円",,,,,,,,,,,,"単勝:280円 複勝:02=130円 04=300円 09=130円 枠連:3,130円",,,,,,,,,,,
馬連:230円 ワイド:02-03=150円 01-02=470円 01-03=500円,,,,,,,,,,,,"馬連:1,670円 ワイド:04-08=580円 01-04=1,100円 01-08=350円",,,,,,,,,,,,"馬連:2,220円 ワイド:07-10=770円 02-10=1,670円 02-07=1,650円",,,,,,,,,,,,"馬連:3,010円 ワイド:02-04=760円 02-09=190円 04-09=810円",,,,,,,,,,,
"馬単:380円 3連複:1,100円 3連単:3,250円",,,,,,,,,,,,"馬単:4,800円 3連複:3,580円 3連単:26,950円",,,,,,,,,,,,"馬単:5,010円 3連複:14,350円 3連単:76,620円",,,,,,,,,,,,"馬単:4,730円 3連複:2,120円 3連単:15,240円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長万部特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａウインペガサス, 80,丸田恭,, 67,*  3,*  2, 1,  1.1, ①①, 1, 9,Ｇシュヴァｰベン, 59,横山典,, 66,   2,*  4, 5, 11.8,⑩⑦①, 1, 9,Ｇディアプリンシパル, 71,池添謙,, 72,*  6,   4, 3,  6.3,③②②, 1, 4,Ｆマヤノツルギ, 72,藤田伸,, 80,* -5,  17, 1,  2.5, ①①
 2, 1,Ｃショウグンリｰダｰ, 57,田嶋翔, 0.4, 62,  -3,*  2, 4, 27.7, ③③, 2, 1,Ｅエスジｰストリｰム, 64,武幸四, 0.1, 65,   4,   1, 3,  9.1,⑥③④, 2, 1,Ｈチャリティショウ, 70,藤岡佑, 0.2, 72,   2,*  9, 9, 31.1,⑪⑩⑦, 2,15,Ａミレニアムカｰスル, 75,藤岡佑, 0.4, 77, -12,* 20, 2,  3.8, ⑦⑦
 3,10,Ｅエイトシｰド, 54,郷原洋, 1.0, 55, -10,   1, 6, 40.6, ⑦⑧, 3, 5,Ｃサザンギャラクシｰ, 66,藤岡佑, 0.2, 64,*  5,  -3, 1,  1.7,①①②, 3, 4,Ａクラッカｰジャック, 76,藤田伸, 0.2, 70,   5,   4, 1,  3.2,③④④, 3, 6,Ｎスズカエチュｰド, 65,小林徹, 0.5, 74,  -9,  15,15,123.2, ④④
 4,12,Ｂホワイトチャｰム, 59,大野拓, 1.0, 56,  -3,  -3, 3, 19.3, ③③, 4, 6,Ｄアドマイヤテキサス, 66,村田一, 0.5, 66,   3,   0, 6, 19.1,⑧⑦⑥, 4, 6,Ｄギルティストライク, 72,北村友, 0.3, 69,   4,*  6, 4,  6.5,⑥⑥⑤, 4,12,Ｅラストモア, 72,的場勇, 0.6, 75, -16,* 21, 7, 28.0, ⑩⑩
 5, 5,Ｆフルブルｰム, 50,藤田伸, 1.2, 54,*  1,  -8, 5, 32.6, ②②, 5,11,Ｋカリユガ, 42,菊沢隆, 0.8, 62,   2,  -1,10, 92.6,⑪⑪⑥, 5,11,Ｂマイグロｰリアス, 75,長谷川, 0.4, 73,   4,   5, 6, 14.0,⑨⑥⑤, 5, 9,Ｇヴィヴァチッシモ, 71,ホワイ, 0.6, 73,  -8,  13, 3,  5.0, ④④
 6, 7,Ｊウインズワｰルド, 43,津村明, 1.4, 51,  -7,  -4,10,105.4, ⑤⑤, 6,10,Ｈアスタｰヘイロｰ, 57,北村友, 0.9, 59,   2,  -3,11,129.7,⑦⑦⑪, 6,12,Ｆセレスコクオｰ, 72,安藤勝, 0.8, 66,*  6,  -4, 2,  3.3,②①①, 6, 3,Ｂテイクザホｰク, 74,安藤勝, 0.7, 72, -12,  16, 4,  7.6, ⑦⑦
 7, 2,Ｈフォｰチュンスリｰ, 47,大江原, 1.4, 50, -14,   0, 8, 51.7, ⑨⑧, 7, 7,Ｂウインザハギ, 67,竹之下, 1.1, 60,   4,  -6, 7, 30.4,⑧⑦⑨, 7, 2,Ｉクリスタルシンガｰ, 69,菊沢隆, 0.8, 69,   3,   3,13,185.5,⑨⑩⑨, 7,16,Ｊテンザンアモｰレ, 68,千田輝, 0.8, 70,* -6,   8,11, 84.6, ②②
 8, 9,Ｋカイテキファｰレン, 42,的場勇, 1.7, 47, -22,*  3,11,122.3, ⑪⑪, 8, 4,Ａソニックブレｰド, 70,三浦皇, 1.2, 57,   4, -10, 2,  4.2,③③④, 8, 8,Ｃアルスボヘミアン, 75,三浦皇, 0.9, 66,*  7,  -4, 5,  8.8,①②②, 8, 5,Ｍタイキマｰズ, 68,大江原, 0.8, 72, -12,  15,14,114.3, ⑦⑦
 9, 6,Ｄキングセンプｰ, 54,武英智, 1.8, 46, -14,  -3, 9, 53.2, ⑨⑩, 9, 3,Ｉコスモスタｰ, 56,丸田恭, 2.4, 50,   4, -19, 8, 78.8,③③⑨, 9, 3,Ｋナムラウシワカマル, 66,四位洋, 1.3, 64,   3,  -2, 7, 22.8,⑧⑨⑨, 9,11,Ｌステキナブロンコ, 68,大野拓, 0.9, 72, -19,* 20,12,108.9, ⑬⑬
