08年11月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1400m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ2100m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,UAE賞,,,,,,,,,,,,香港賞,,,,,,,,,,,,ｱｼﾞｱ競馬会議記念,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,12,15, ホワイトエンジェル,---,伊藤工, 2.5, 39, -21,  -2,15,143.2, ⑮⑯,12, 4,Ｎダノンバッカス, 61,吉田稔, 1.9, 63,  -2,   4,10, 64.5, ⑮⑮,12,11,Ｃマイネルマニセス, 86,柴山雄, 1.5, 77,   6,   8, 8, 26.9,⑥⑧⑧
,,,,,,,,,,,,13, 5, マルチョウティアラ,---,江田照, 2.6, 39, -17,  -8,13,117.1, ⑪⑭,13,10,Ｅナチュラルウェｰブ, 71,ペリエ, 2.4, 56,*  5, -10, 4, 11.4, ③③,13, 9,Ｊソニックルｰラｰ, 82,吉田隼, 1.9, 77,   3,  14,14, 96.8,⑮⑯⑯
,,,,,,,,,,,,14,13, エスエスサンライズ,---,村田一, 3.2, 35, -15, -15,16,251.2, ⑮⑫,14, 2,Ｍキングエルドラド, 63,勝浦正, 2.4, 58,   4,  -9,16,298.7, ④⑥,14,16,Ｉマルブツクロス, 83,藤田伸, 2.0, 71,*  9,  -3, 7, 25.5,①①①
,,,,,,,,,,,,15, 6, コナンインプレス,---,石橋脩, 3.9, 28, -17, -18,14,120.4, ⑭⑮,15,15,Ｐサラトガティプトン, 59,柴田善, 2.6, 56,*  6, -13,15,134.8, ①①,15, 1,Ｂリオサンバシチｰ, 87,江田照, 2.1, 74,   6,   4,11, 45.5,⑦⑩⑩
,,,,,,,,,,,,16, 3, ダイメイナツコ,---,柴田善, 4.1, 26, -11, -29,11,102.4, ⑦⑧,16,11,Ｋキクジロウ, 64,藤田伸, 2.6, 55,   3,  -9,11, 87.5, ⑨⑦,16,13,Ｐワンダｰドリｰム, 72,小野次, 4.5, 59,   5, -13,16,280.3,⑨⑧⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:85 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:0),,,,,,,,,,,
"単勝:440円 複勝:09=170円 02=150円 04=1,140円 枠連:290円",,,,,,,,,,,,"単勝:150円 複勝:04=110円 11=600円 12=1,080円 枠連:1,140円",,,,,,,,,,,,単勝:820円 複勝:05=210円 14=390円 13=110円 枠連:620円,,,,,,,,,,,,単勝:470円 複勝:03=160円 12=110円 02=190円 枠連:390円,,,,,,,,,,,
"馬連:870円 ワイド:02-09=350円 04-09=4,090円 02-04=2,640円",,,,,,,,,,,,"馬連:1,690円 ワイド:04-11=740円 04-12=1,490円 11-12=7,510円",,,,,,,,,,,,"馬連:8,160円 ワイド:05-14=1,890円 05-13=310円 13-14=660円",,,,,,,,,,,,馬連:610円 ワイド:03-12=240円 02-03=590円 02-12=350円,,,,,,,,,,,
"馬単:1,780円 3連複:21,330円 3連単:90,350円",,,,,,,,,,,,"馬単:1,990円 3連複:17,320円 3連単:48,450円",,,,,,,,,,,,"馬単:16,910円 3連複:3,000円 3連単:43,670円",,,,,,,,,,,,"馬単:1,390円 3連複:1,240円 3連単:6,540円",,,,,,,,,,,
■ 2R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,ﾊﾟｷｽﾀﾝ賞,,,,,,,,,,,,ﾆｭｰｼﾞｰﾗﾝﾄﾞ賞,,,,,,,,,,,,ﾏｶｵJCﾄﾛﾌｨｰ,,,,,,,,,,,,ｱﾙｾﾞﾝﾁﾝ共和国杯 ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａカウアイレｰン, 66,後藤浩,, 61,*  6,   2, 1,  1.2, ①①, 1, 6, ヒラボクエクセル,---,後藤浩,, 43,*-53,* 20, 4,  6.7,①①①, 1, 6,Ａオオトリオウジャ, 62,吉田隼,, 68, -25,* 22, 2,  3.0,⑦⑥⑤, 1, 4,Ｄスクリｰンヒｰロｰ, 91,蛯名正,, 95,   9,  35, 3,  8.9,⑤⑤⑤
