08年12月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,逆瀬川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃシルクメビウス, 59,浜中俊,, 71,*  1,* 12, 3,  5.4, ②②, 1, 1, エｰシンディｰエス,,南井大,,,,, 4,  6.3,①①①, 1,13,Ａセイクリムズン, 75,幸英明,, 75,   4,*  7, 2,  3.5, ⑥④, 1, 9,Ｄダイシンプラン, 83,安藤勝,, 86,  -8,* 24, 1,  2.4, ⑥⑥
 2,10,Ａジョｰカプチｰノ, 74,デムｰ, 0.4, 64,*  2,*  7, 1,  1.6, ①①, 2, 6, ショウリュウケン,,植野貴,197.1,,,, 6, 10.6,⑥⑦⑤, 2, 7,Ｈジョｰゲルダ, 62,後藤浩, 0.2, 73,   2,*  9, 7, 20.4, ⑦⑧, 2, 6,Ｉプリンシペデルソル, 74,武幸四, 0.1, 85,* -5,  17, 6, 17.5, ②②
 3, 4,Ｈナニハトモアレ, 47,安藤勝, 2.2, 53,  -3,  -1, 2,  4.3, ⑦⑦, 3,13, スナｰクムサシ,,仲田雅,197.4,,,,10, 53.9,③②②, 3, 4,Ｅエｰシンビｰセルズ, 68,安藤勝, 0.5, 70,   4,   3, 4, 10.3, ④⑤, 3, 4,Ｈドリｰムサンデｰ, 78,藤岡佑, 0.2, 80,* -5,  14, 4,  9.0, ①①
 4,11,Ｂハｰドイチオｰ, 59,佐藤哲, 2.3, 53,  -1,  -4, 5, 19.5, ⑤⑤, 4,14, トｰワヒヨシマル,,小坂忠,197.5,,,, 3,  5.6,⑦⑤⑥, 4,11,Ｆアイディンパワｰ, 64,藤岡佑, 0.5, 70,   1,   6, 5, 11.7, ⑧⑦, 4, 2,Ｂエリモファイナル, 87,川田将, 0.2, 83,  -8,  20, 3,  8.1, ⑤⑤
 5, 2,Ｄマルブツコロナド, 57,田村太, 2.9, 49,  -9,   0, 4, 11.3, ⑫⑬, 5, 3, テイエムノブシオｰ,,出津孝,199.1,,,, 5,  7.0,②③④, 5,12,Ｄマルカフリｰト, 69,福永祐, 0.7, 70,*  6,  -1, 1,  2.3, ③③, 5, 1,Ａテイエムアタック, 91,後藤浩, 0.3, 81,  -6,  17, 2,  2.6, ③③
 6, 8,Ｅドンスピリタス, 54,川田将, 3.2, 46,  -8,  -4, 6, 41.1, ⑬⑫, 6,11, スリｰメガトン,,高野容,199.4,,,, 8, 23.0,⑧⑧⑧, 6, 1,Ｂコスモスプライト, 72,浜中俊, 0.9, 68,   4,  -1, 3,  6.2, ⑤⑥, 6, 8,Ｆクラクエンスキｰ, 81,角田晃, 0.4, 86, -12,* 26, 9,105.9, ⑨⑨
 7,16,Ｉシゲルフジサン, 46,岩崎祐, 3.2, 46,  -6,  -6,11,329.0, ⑩⑩, 7,12, ゴｰルデンカイザｰ,,北沢伸,199.5,,,,13,118.9,⑤④③, 7, 5,Ｇワンダｰキラメキ, 63,川田将, 1.1, 63,  -4,   6,10, 72.1, ⑪⑨, 7, 7,Ｇグロリアスウィｰク, 80,浜中俊, 0.6, 81,  -6,  13, 5, 10.0, ④④
 8,13,Ｎアスカルディ, 38,藤岡佑, 3.3, 46,  -4,  -9, 7, 76.5, ⑧⑧, 8, 5, ホｰプフルスタｰ,,白浜雄,200.1,,,, 2,  4.9,⑨⑨⑨, 8, 8,Ｉユｰセイヤマトオｰ, 60,船曳文, 2.0, 56,  -5,  -3,11, 79.8, ⑨⑩, 8, 3,Ｅファランドｰル, 82,幸英明, 0.9, 78,  -9,  15, 8, 59.1, ⑧⑦
