08年 5月18日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月18日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,湯沢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｇアクセプトアゲン, 57,三浦皇,, 71,*  5,*  2, 1,  4.1, ②①, 1,12,Ｈクリプトゾｰン, 47,石橋脩,, 61,  -7,   1, 6, 16.3, ③④, 1,15,Ｄグリンガレット, 70,三浦皇,, 70,  -6,* 13, 3,  4.8, ⑧⑦, 1,12,Ｏノｰモアクライ, 49,石橋脩,, 70,* 10,  -7,11, 46.3, ①①
 2, 1,Ｃリリｰレインボｰ, 63,太宰啓, 1.1, 59,  -1,  -2, 4,  5.6, ⑥⑤, 2, 6,Ａアｰスシンボル, 65,丸田恭, 0.0, 61,* -2,  -4, 1,  1.8, ①①, 2, 8,Ｅピｰチドラフト, 69,木幡初, 0.0, 70,*  3,   4, 2,  3.7, ①①, 2, 5,Ｍエアファｰギｰ, 55,木幡初, 0.1, 69, -12,* 13,10, 44.5, ⑫⑬
 3,14,Ｅサイキョウケンザン, 60,石橋脩, 1.4, 56,  -3,  -2,10, 45.5, ⑧⑦, 3, 5,Ｋナツミホｰプ, 42,田中博, 0.3, 57, -10,   0, 2,  5.4, ⑥⑥, 3,14,Ａソリッドラヴ, 73,宮崎北, 0.1, 68,  -4,* 11, 7, 26.6, ⑥⑥, 3,10,Ｇフリｰダムエアｰ, 63,松田大, 0.2, 67,*  7,  -7, 3,  4.9, ②②
 4, 9,Ｊロｰレルウェンス, 55,安藤光, 1.5, 59,*  5, -10, 8, 22.1, ③②, 4, 9,Ｊアネクスペクティド, 44,二本柳, 0.4, 57, -12,   1,11, 81.0, ⑨⑨, 4, 2,Ｋスリｰアトラス, 58,芹沢純, 0.8, 64,   0,   1,13, 82.8, ④④, 4,13,Ｊマルタｰズクラシカ, 60,石神深, 0.3, 66, -10,   9,13, 92.1, ⑫⑩
 5,11,Ｆメイショウセンゴク, 60,古川吉, 1.5, 57,  -4,  -2, 6, 12.1, ⑧⑥, 5, 2,Ｇマリスカ, 47,菊沢隆, 0.5, 55,  -6,  -7, 8, 29.5, ③③, 5, 6,Ｂナリタファントム, 73,中村将, 1.2, 60,*  2,  -5, 1,  3.4, ②②, 5,16,Ｉトップオブバイオ, 62,三浦皇, 0.4, 64, -17,* 14, 7, 15.8, ⑮⑮
 6,10,Ｂチャｰムナデシコ, 67,田中健, 1.9, 51,  -9,  -2, 3,  5.2, ⑪⑪, 6,14, ニシオビルタス,---,芹沢純, 0.7, 54, -21,*  5, 7, 29.4, ⑬⑩, 6,11,Ｍブンブンブン, 54,草野太, 1.4, 58,  -6,   1,15,219.7, ⑧⑦, 6,11,Ｆヤマカツシリウス, 63,太宰啓, 0.4, 65,   3,  -6, 6, 11.7, ③③
 7,15,Ｉテイクザロマン, 55,赤木高, 2.1, 50,  -4,  -7,11,106.8, ⑧⑩, 7, 1,Ｆシチリアｰナ, 48,中舘英, 0.8, 51, -10,  -7, 3,  6.2, ⑥⑥, 7, 1,Ｈシャンドラヴェリテ, 62,菊沢隆, 1.6, 56, -19,* 11,12, 51.9, ⑮⑮, 7, 6,Ｐケイエスユリ, 47,難波剛, 0.5, 63,  -8,   4,14,110.0, ⑩⑩
 8,13,Ｎフォｰジドニンバス, 29,高山太, 2.3, 47, -14,*  1,14,205.0, ⑭⑭, 8,13,Ｃフジマサボｰイ, 49,黛弘人, 0.9, 51, -22,*  3, 5, 15.0, ⑮⑮, 8, 7,Ｌベイジュ, 55,鷹野宏, 1.7, 55, -14,   6,10, 43.3, ⑭⑭, 8,14,Ｅシロキタベガ, 65,安藤光, 0.6, 62,  -3,  -2, 2,  4.7, ⑧⑧
