08年 4月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 4月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,総武ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ａマイネルフォルザ, 62,柴山雄,, 57,*  2,*-12, 1,  1.9,②②①, 1, 1,Ａカワチノオジサン, 65,後藤浩,, 63,*  4,   4, 1,  1.5, ①①, 1, 8,Ａヒカリマｰガレット, 73,内田博,, 66,  -1,*  4, 1,  1.7, ④⑤, 1, 2,Ａタガノエクリプス, 85,蛯名正,, 84,  14,*  8, 4,  8.2,⑥⑤④
 2, 7,Ｃアンブロｰクン, 60,鷹野宏, 0.0, 57,*  2,*-12, 3,  5.3,③②②, 2, 8,Ｈスマｰトサプライズ, 40,吉田豊, 0.7, 58,  -3,   4, 3,  8.1, ⑤④, 2, 2,Ｆカウントオンミｰ, 67,柴山雄, 0.0, 67,*  2,   1, 5, 13.8, ①①, 2,15,Ｃパピヨンシチｰ, 83,松岡正, 0.4, 83,* 17,   3, 3,  7.0,①①②
 3, 8,Ｅダンシングゴｰルド, 54,勝浦正, 0.1, 56,   1,*-12, 5, 12.8,⑤④②, 3, 6,Ｂストロングアクシス, 56,内田博, 0.7, 56,  -4,*  6, 2,  5.5, ⑥⑥, 3, 9,Ｉケルティックハｰプ, 63,松岡正, 0.2, 65,  -1,   2, 8, 19.6, ④③, 3, 8,Ｄフリｰトアドミラル, 82,後藤浩, 0.6, 80,* 16,   1, 1,  2.3,②②①
 4, 6,Ｂミンナデワンダｰ, 61,吉田豊, 0.9, 54,   2, -17, 4,  7.0,③④④, 4,10,Ｇトラブルメｰカｰ, 44,小林淳, 1.0, 55,   1,  -2, 7, 35.2, ③③, 4, 4,Ｂヤマニンプロロｰグ, 70,後藤浩, 0.2, 64,  -3,*  3, 2,  7.0, ⑦⑦, 4, 7,Ｈデイフラッシュ, 80,吉田豊, 0.8, 83,  12,*  7, 6, 18.6,⑬⑫⑫
 5, 3,Ｇハクサンレジェンド, 41,五十嵐, 2.6, 42,  -3, -23, 8, 65.6,⑦⑥⑦, 5, 5,Ｃロｰレルスクデット, 56,戸崎圭, 1.0, 56,*  4,  -3, 4, 11.1, ②②, 5,10,Ｄペイアテンション, 67,戸崎圭, 0.3, 64,*  1,  -1, 4, 11.5, ②②, 5, 3,Ｇプログレスエバｰ, 80,菊地昇, 1.0, 78,  14,   1, 7, 18.9,⑤⑤⑥
 6, 1,Ｄエｰシンペｰスワン, 60,蛯名正, 2.9, 38,*  2, -37, 2,  3.8,①①④, 6, 3,Ｆトウショウブリｰズ, 47,伊藤工, 1.2, 52,  -5,   2, 6, 34.1, ⑥⑥, 6, 7,Ｃオンシジュｰム, 68,田中博, 0.6, 62,  -8,*  6, 6, 15.3, ⑫⑫, 6,16,Ｋサンマルセイコｰ, 78,勝浦正, 1.1, 79,  12,*  5,12, 47.5,⑬⑫⑨
 7, 2,Ｆオンワｰドフィｰル, 43,郷原洋, 3.3, 37,  -3, -30, 7, 48.9,⑦⑥⑥, 7, 4,Ｄテンエイファルコン, 51,田中勝, 1.8, 48,   1,  -8, 8, 41.6, ④④, 7,12,Ｊレアシルウィア, 62,吉田豊, 0.6, 62,*  0,  -3,10, 47.5, ③③, 7, 1,Ｂヤマタケゴｰルデン, 83,戸崎圭, 1.2, 77,  14,   1, 5, 12.3,⑯⑦⑥
 8, 4,Ｈロイヤルビスティｰ, 34,柴田善, 7.4,  7,  -6, -57, 6, 45.1,⑤⑧⑧, 8,11,Ｉシンモン, 38,大庭和, 1.9, 48, -10,   1, 9, 46.9, ⑧⑧, 8, 3,Ｇコアレスキャスト, 64,小林淳, 0.7, 61,  -6,   3, 7, 18.3, ⑩⑩, 8, 6,Ｅダイワルビア, 82,柴田善, 1.5, 74,* 16,  -7, 2,  6.1,②②③
