08年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬(九) 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,九州ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
13, 7,Ｉシゲルヴォドレ, 36,中村将, 2.2, 42, -13,  -7,14,220.4, ⑪⑪,13,17, テイエムフガエド,---,田中健, 2.6, 15, -30, -23,16,139.9, ⑫⑬,13, 9,Ｈトップオブオペラ, 55,熊沢重, 2.9, 41,*  9, -37,13,182.8,③④⑦,,,,,,,,,,,,
14, 8, シゲルホｰプ,---,渡辺薫, 2.5, 38, -33,   4,10,107.5, ⑬⑬,14,11, カシノアスカ,---,石橋守, 2.8, 12, -33, -23,13, 84.7, ⑬⑫,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,15,13, カシノレオン,---,藤岡康, 3.2,  6, -32, -30, 6, 25.7, ⑬⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,16,14, マルシゲシェｰバｰ,---,幸英明, 3.5,  4, -53, -13,14,125.7, ⑰⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,18, カシノスタｰダム,---,高野容, 5.0,-19, -33, -52,17,172.9, ⑬⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:1,380円 複勝:12=370円 13=210円 02=1,310円 枠連:620円",,,,,,,,,,,,"単勝:370円 複勝:07=190円 10=1,620円 12=1,000円 枠連:3,670円",,,,,,,,,,,,"単勝:170円 複勝:01=110円 06=300円 11=2,010円 枠連:340円",,,,,,,,,,,,単勝:350円 複勝:02=120円 08=110円 05=130円 枠連:0円,,,,,,,,,,,
"馬連:1,810円 ワイド:12-13=580円 02-12=3,340円 02-13=2,090円",,,,,,,,,,,,"馬連:14,830円 ワイド:07-10=4,420円 07-12=2,150円 10-12=10,440円",,,,,,,,,,,,"馬連:750円 ワイド:01-06=390円 01-11=3,520円 06-11=15,430円",,,,,,,,,,,,馬連:370円 ワイド:02-08=170円 02-05=210円 05-08=180円,,,,,,,,,,,
"馬単:4,790円 3連複:17,510円 3連単:90,660円",,,,,,,,,,,,"馬単:19,720円 3連複:78,990円 3連単:449,450円",,,,,,,,,,,,"馬単:1,120円 3連複:23,450円 3連単:71,330円",,,,,,,,,,,,"馬単:840円 3連複:430円 3連単:2,150円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 5R  芝1000m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  芝1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,対馬特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ａパカパカグランプリ, 66,武豊  ,, 68,*  8,   8, 1,  1.8, ③③, 1,11, パレスシュガｰ,---,太宰啓,, 52,*-15,* -2, 8, 34.9, ①①, 1, 6,Ａタガノティアｰズ, 81,橋本美,, 72,*  7,   1, 1,  3.0,⑤①①, 1, 4,Ｂエイシンルンナ, 74,岩田康,, 68,  -1,   3, 2,  4.4,④④③
 2,11,Ｅタイセイビエント, 56,赤木高, 0.0, 68,* 10,   5, 5, 15.3, ②②, 2, 7, ホｰマンライズ,---,川田将, 0.2, 49, -30,*  5, 1,  1.8, ⑨②, 2, 4,Ｃメイショウコレット, 78,武豊  , 0.1, 71,   6,*  4, 3,  5.5,⑦③②, 2, 3,Ｊマルノパイオニア, 61,太宰啓, 0.2, 72,  -4,*  9,11, 61.4,⑧⑧⑥
 3, 5,Ｄマッキｰエヴァ, 56,野元昭, 0.3, 64,*  8,   4, 9, 34.3, ③③, 3,14, シゲルイブキヤマ,---,角田晃, 0.3, 47,*-19,  -3,11, 43.8, ③②, 3, 5,Ｆアドマイヤミスティ, 72,川田将, 0.1, 72,   5,*  5, 5, 11.8,⑧⑦③, 3, 7,Ｍヴァリアントレディ, 55,田辺裕, 0.3, 69,  -2,   3,12, 65.9,⑥⑥⑥
 4, 3,Ｊサンダｰホｰラｰ, 52,飯田祐, 0.5, 61,   2,   6,11,104.3, ⑦⑤, 4,13, ユメヲカナエル,---,武豊  , 0.9, 37,*-15, -14, 2,  3.8, ②②, 4, 2,Ｅナムラソワン, 75,太宰啓, 0.7, 66,   3,*  2, 7, 17.8,⑫⑪⑥, 4,10,Ｇデュｰン, 66,佐藤哲, 0.3, 62,*  3, -10, 5,  9.5,①②②
 5,12,Ｏアキノシャドｰ, 43,熊沢重, 0.6, 60,  -8,* 16,15,154.8, ⑮⑭, 5, 5, コウエイマイラブ,---,田中克, 0.9, 36, -22, -10, 7, 32.6, ④⑥, 5, 8,Ｄレゾリュｰション, 76,渡辺薫, 0.7, 67,   4,   1, 4,  5.6,⑩⑦⑤, 5,11,Ｌイコｰルパｰトナｰ, 59,赤木高, 0.3, 68,  -5,*  7, 8, 22.1,⑨⑧⑧
 6, 9,Ｑフォレストチャｰム, 41,田中克, 0.7, 58,   1,   5, 8, 32.5, ⑨⑨, 6,12, マイネルレンツ,---,岩田康, 1.1, 33, -26,  -9, 5, 18.9, ⑤⑤, 6, 1,Ｇイカガデスカ, 66,佐藤哲, 1.8, 59,   4,  -9, 6, 17.0,⑥⑦⑦, 6, 6,Ｋミスフェイスフル, 60,田中克, 0.8, 58,   1, -12,13,105.7,③③③
 7, 6,Ｆユウフジ, 55,角田晃, 0.8, 58,   4,   1,10, 54.1, ⑦⑤, 7, 1, カシノクリス,---,野元昭, 1.3, 31, -27, -11, 9, 35.1, ⑧⑨, 7, 7,Ｉサクラブルｰム, 62,安藤光, 1.9, 59,   2,  -5,11, 97.1,⑬⑬⑫, 7, 2,Ｈビビッドビビアン, 65,鮫島良, 0.9, 62,  -8,   3, 6, 13.0,⑪⑪⑩
 8,18,Ｃマッキｰケインズ, 58,川島信, 0.8, 58,  -3,   8,14,139.9, ⑫⑬, 8, 9, テイエムフィｰバｰ,---,田村太, 1.3, 30, -26, -12, 3, 12.0, ⑤⑦, 8,10,Ｈビバロングライフ, 63,河北通, 2.3, 57,   3, -11,13,144.7,⑩⑪⑩, 8,13,Ｆアンテヴォルテ, 68,川田将, 1.0, 57,   0, -11,10, 52.1,④④⑤
 9,13,Ｉトライアルシチｰ, 53,川田将, 1.0, 54,  -5,   7, 6, 16.5, ⑬⑪, 9, 2, イソノラシアン,---,熊沢重, 1.3, 30, -31, -10,12,124.4, ⑨⑦, 9,11,Ｌシャインジュエリｰ, 57,田村太, 3.4, 49,   5, -24,12,139.7,②⑤⑦, 9, 5,Ｄモンサンミシェル, 71,幸英明, 1.0, 64,  -7,   3, 3,  5.8,⑫⑬⑫
10,17,Ｂエリモラフィｰネ, 58,渡辺薫, 1.0, 55,   5,  -3, 3,  8.5, ⑤⑧,10,10, オリオンザレッド,---,幸英明, 1.4, 30, -26, -14, 6, 19.6, ⑤⑨,10, 9,Ｂスズカルビｰ, 78,熊沢重, 3.7, 48,*  7, -31, 2,  3.5,①②③,10, 9,Ａケイエスユリ, 75,難波剛, 1.0, 61,  -8,   1, 7, 20.0,⑫⑪⑫
11, 2,Ｎタガノバンビｰノ, 44,藤岡康, 1.2, 51,  -1,   0,13,133.6, ⑨⑨,11, 6, インバラトゥｰラ,---,飯田祐, 1.4, 31, -36,  -7,13,126.8, ⑪⑪,11,13,Ｋメイショウシオギリ, 58,石橋守, 4.1, 45,   5, -30, 9, 55.6,⑧⑤⑩,11, 8,Ｉスマｰトストｰム, 65,藤岡康, 1.1, 55,  -4,  -7, 4,  7.6,⑥⑦⑨
12, 7,Ｍフェンウェイバｰド, 45,太宰啓, 1.3, 52,   7,  -7,16,179.9, ⑤⑤,12, 8, キタノサング,---,藤岡康, 1.8, 26, -48,  -4,10, 39.2, ⑬⑬,12, 3, ミスズキセキ,---,幸英明, 4.2, 43,   3, -29,10, 72.5,③⑦⑫,12,12,Ｃエｰシンサｰフィン, 74,武豊  , 1.2, 58,  -6,  -3, 1,  2.9,⑩⑩⑩
13,10,Ｐラガｰトップラン, 42,鮫島良, 1.5, 48, -14,   9,18,220.0, ⑰⑰,13,15, カイテキゴｰゴｰ,---,上村洋, 2.0, 25, -50,  -5, 4, 13.9, ⑭⑭,13,12,Ｊヒシルｰマｰ, 61,田中健, 5.2, 38,*  6, -41, 8, 48.0,④③⑦,13, 1,Ｅトップコマチ, 69,田村太, 1.5, 50,*  5, -28, 9, 24.3,②①①
14,15, ウェザｰヘルム,---,幸英明, 1.5, 49, -18,* 13,12,124.4, ⑱⑱,14, 4, フリｰクデｰル,---,畑端省, 2.2, 17, -36, -18,14,187.6, ⑪⑪,,,,,,,,,,,,,,,,,,,,,,,,
15, 1,Ｇブルｰミングガｰル, 54,浜中俊, 1.6, 48,* 11, -15, 2,  5.2, ①①,15, 3, プリティラパス,---,大下智, 2.6,  9, -55, -11,15,226.5, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
16,14,Ｈアイアングリｰン, 53,小牧太, 1.7, 46,  -6,  -1, 7, 22.8, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,16,Ｌマサマロ, 51,田村太, 1.8, 45,   1,  -9,17,204.0, ⑨⑪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18, 8,Ｋトミｰラヴ, 52,岩田康, 2.3, 36,  -9,  -7, 4, 11.6, ⑮⑭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-9),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:180円 複勝:04=110円 11=400円 05=490円 枠連:1,180円",,,,,,,,,,,,"単勝:3,490円 複勝:11=450円 07=130円 14=650円 枠連:1,060円",,,,,,,,,,,,単勝:300円 複勝:06=130円 04=170円 05=220円 枠連:560円,,,,,,,,,,,,"単勝:440円 複勝:04=190円 03=1,200円 07=1,610円 枠連:5,930円",,,,,,,,,,,
"馬連:1,190円 ワイド:04-11=600円 04-05=760円 05-11=3,110円",,,,,,,,,,,,"馬連:3,170円 ワイド:07-11=1,270円 11-14=9,580円 07-14=1,550円",,,,,,,,,,,,馬連:780円 ワイド:04-06=330円 05-06=510円 04-05=690円,,,,,,,,,,,,"馬連:8,200円 ワイド:03-04=2,160円 04-07=4,450円 03-07=13,360円",,,,,,,,,,,
"馬単:1,630円 3連複:8,640円 3連単:28,860円",,,,,,,,,,,,"馬単:11,270円 3連複:28,930円 3連単:195,090円",,,,,,,,,,,,"馬単:1,420円 3連複:1,940円 3連単:7,400円",,,,,,,,,,,,"馬単:15,350円 3連複:120,140円 3連単:590,370円",,,,,,,,,,,
■ 3R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 6R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 9R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■12R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,有田特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｊエメラルドミスト, 47,川島信,, 68, -16,* 22, 8, 20.0,⑭⑪⑥, 1, 4,Ｅメイショウシシリｰ, 63,武豊  ,, 60,* -2,  -1, 3,  6.2,①①①, 1, 2,Ｄエｰシンビｰエル, 72,幸英明,, 74,*  6,   6, 5, 10.7, ④④, 1, 4,Ｈスピｰドウエル, 72,田中克,, 79,* 11,  12, 6, 20.3,②②①
 2, 4,Ａディアカルテット, 65,田中健, 0.2, 66, -15,* 18, 5,  7.4,⑥⑨⑨, 2, 6,Ｃカシノマルス, 64,高野容, 0.0, 61,* -2,*  0, 1,  3.6,③②②, 2,18,Ｃレンデフルｰル, 72,太宰啓, 0.0, 75,  -4,* 17, 4, 10.3, ⑭⑬, 2, 3,Ｉタイインテンスリｰ, 72,太宰啓, 0.1, 76,* 10,  13, 7, 22.4,③④③
 3,13,Ｎサンバステップ, 34,田村太, 0.3, 60,*-11,   8,11, 47.4,①①①, 3, 7,Ｂドントブレイム, 68,熊沢重, 0.2, 62,* -3,*  0, 4,  6.3,③③③, 3,14,Ｆニホンピロタルト, 70,赤木高, 0.1, 72,   0,  12, 6, 19.8, ⑨⑩, 3, 8,Ｇスカイハイシチｰ, 73,藤岡康, 0.3, 77,   8,  15,11, 54.5,⑤⑤⑤
 4, 8, シザｰズトウショウ,---,中村将, 0.3, 62, -14,  12, 6, 13.8,⑬⑤③, 4,10,Ｄオメガクエスト, 64,浜中俊, 0.2, 59,  -3,*  1, 7, 11.5,⑥⑥⑤, 4, 3,Ｊテｰオｰギャング, 66,佐藤哲, 0.1, 72,   5,   6,14, 74.3, ④④, 4,15,Ｄヒラボクオウショｰ, 75,岩田康, 0.3, 77,   5,* 19, 2,  3.7,⑧⑧⑦
 5,14,Ｇメイショウキｰル, 57,赤木高, 0.3, 62, -14,  12,12, 72.2,④⑤⑥, 5,11,Ａシンゼンシンノスケ, 71,飯田祐, 0.9, 56,  -5,  -2, 2,  5.0,⑫⑩⑦, 5, 5,Ｍトｰホウベルサイユ, 62,渡辺薫, 0.1, 73,   0,  12,17,173.6, ⑨⑦, 5, 2,Ｅラガｰチトセオｰ, 75,川田将, 0.4, 75,* 12,   8, 4, 11.9,①①②
 6,10,Ｄカノヤトップレディ, 58,上村洋, 0.4, 63, -16,  16, 2,  4.0,⑨⑪⑥, 6, 2,Ｉチェリｰムサシ, 57,高橋亮, 1.2, 53,  -4,  -6,14,145.7,⑨⑦⑤, 6,12,Ｅシャウトライン, 71,浜中俊, 0.4, 70,   5,   3, 3,  8.8, ④④, 6,11,Ａメイショウイッキ, 77,武豊  , 0.4, 76,   5,* 20, 1,  2.0,⑪⑨⑧
 7, 7,Ｃハロｰオンザヒル, 59,浜中俊, 0.5, 61,*-12,   8, 1,  3.9,②④③, 7,12,Ｊホｰリｰランス, 54,岩部純, 1.8, 49,  -6,  -8,11, 73.6,⑮⑫⑧, 7, 7,Ｐマッキｰビｰナス, 60,野元昭, 0.4, 70,* 10,  -1, 9, 27.5, ②②, 7, 6,Ｎキンシニュｰストン, 60,浜中俊, 0.5, 74,   7,  15,12, 88.6,⑦⑥⑥
 8, 1,Ｉスタンドフラワｰ, 54,藤岡康, 0.6, 57, -15,  11, 7, 15.6,④⑨⑨, 8,14,Ｈグランプリイｰグル, 58,赤木高, 1.8, 47,* -2, -14, 5,  6.8,⑥③④, 8,16,Ａシャトルタテヤマ, 85,小牧太, 0.5, 67,*  8,  -1, 1,  3.0, ③②, 8,12,Ｍシゲルアラムシャ, 68,田村太, 1.8, 66,   4,   8, 9, 48.2,⑧⑨⑪
 9, 2,Ｂチョウラブラブ, 61,太宰啓, 0.7, 62, -18,  15, 3,  6.2,⑪⑬⑬, 9, 3,Ｇファルクス, 59,川田将, 2.3, 45,  -4, -15, 6,  8.7,⑥⑧⑩, 9,10,Ｇワンダｰタバスコ, 70,川田将, 0.6, 65, -14,* 18,11, 34.9, ⑱⑯, 9, 5,Ｊキングベガロｰド, 71,難波剛, 2.4, 60,* 11,  -8, 8, 40.4,③③④
10,15,Ｌリリイメイド, 42,田辺裕, 0.7, 65, -18,* 19,13,162.1,⑮⑮⑮,10, 8,Ｌスペシャルウイング, 47,川島信, 2.5, 45,  -5, -13, 8, 33.6,⑫⑫⑪,10,17,Ｂシンデレラマン, 74,武豊  , 0.7, 65,  -2,   5, 2,  3.3, ⑫⑩,10,13,Ｌシゲルケセネ, 69,河北通, 2.5, 62,   3,   4,13,139.4,⑮⑫⑫
11, 6,Ｆディアプリマ, 58,幸英明, 0.9, 53,*-11,  -1, 9, 29.1,②②②,11, 5,Ｆワイズプロロｰグ, 59,安藤光, 2.9, 41,  -5, -19,15,167.1,⑨⑩⑬,11,15,Ｌテイエムフルパワｰ, 65,岩田康, 0.7, 65,  -7,  11,12, 57.4, ⑮⑬,11,14,Ｂシｰアクロス, 76,佐藤哲, 2.8, 58,   7,  -5, 3,  7.4,⑤⑥⑨
12, 5,Ｅツルマルサイト, 58,田中克, 1.1, 54, -16,   8,10, 35.1,⑦⑬⑬,12, 1,Ｋダイレクトシチｰ, 48,田中健, 3.5, 38,* -3, -29,13, 98.8,②③⑧,12, 6,Ｈアンクルトップ, 68,石橋守, 0.7, 65, -11,* 14, 7, 22.0, ⑯⑯,12, 7,Ｐトロピカルシャドウ, 50,大下智, 2.9, 58,   3,   0,15,222.3,⑪⑪⑩
13,11,Ｈアグネスルビｰ, 56,武豊  , 1.1, 51,*-12,  -1, 4,  6.6,⑨③③,13, 9,Ｏネヴァギブアップ, 32,鮫島良, 4.8, 30, -10, -27, 9, 48.7,⑭⑮⑭,13, 4,Ｒカシノマイハｰト, 57,田中健, 0.9, 62,   5,  -4,16,125.2, ④⑦,13,16,Ｋトｰワスキャット, 71,渡辺薫, 3.0, 59,   3,   1,10, 52.5,⑬⑭⑬
14, 9,Ｋニュウモダン, 44,高橋智, 1.3, 49, -14,   0,14,177.4,⑪⑤⑫,14,13,Ｍレディモｰメント, 43,小牧太, 4.8, 28,  -4, -36,10, 70.3,⑤⑧⑫,14, 1,Ｎリｰヴタイム, 62,芹沢純, 1.0, 61,*  9,  -9,13, 72.4, ①①,14, 9,Ｃタンゴノセック, 76,田中健, 3.4, 57,   3,  -3, 5, 15.4,⑬⑫⑬
15,12,Ｍワンダｰアチｰブ, 41,石橋守, 1.9, 41, -14,  -9,15,189.5,⑦⑤⑨,15,15,Ｎエイシンコマンド, 40,幸英明, 5.5, 24,  -7, -38,12, 81.6,⑨⑭⑭,15,11,Ｋチャｰルストン, 65,鮫島良, 1.4, 55,  -2,  -4,10, 28.3, ⑫⑮,15,10,Ｏマイティマイロｰド, 59,船曳文, 7.1, 31,  -4, -24,14,189.2,⑧⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｉブラストオフ, 68,田中克, 1.6, 53,   5, -13, 8, 22.7, ④⑦,,,,,,,,,,,,
