08年 3月 8日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月 8日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-10,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はなのき賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａメイショウラフログ, 66,浜中俊,, 51,*  2,   0, 1,  1.1,①①①, 1,16,Ｈカイゼリン, 48,鮫島良,, 70,* -1,*  5, 6, 11.6,⑨④⑤, 1,10,Ｃエイシンイッテン, 72,藤岡康,, 72,   8,*  2, 3,  3.7, ④④, 1,11,Ｎアルスマグナ, 55,青木芳,, 68,   5,  -5, 6, 12.9, ④③
 2, 5,Ｂヒカリコｰズウェｰ, 61,中村将, 0.2, 53,  -1,*  4, 2, 16.7,⑦④③, 2, 8,Ｂスｰパｰプライド, 60,宮崎北, 0.8, 61,  -3,* -2, 3,  4.9,⑦⑧⑥, 2, 5,Ｄパレスワｰルド, 69,田中健, 0.3, 73,* 13,  -4, 5, 15.4, ①①, 2, 9,Ｅマルカベスト, 65,安藤光, 0.0, 67,   1,* -1, 1,  4.4, ⑨⑨
 3, 8,Ｄルナエクリプス, 51,加藤士, 0.4, 52,   0,*  3, 8, 78.2,⑤④③, 3, 4,Ｄタガノヴァレオ, 56,橋本美, 1.0, 58,* -2, -10, 1,  3.3,③④③, 3, 9,Ｂブラックシチｰ, 72,西田雄, 0.5, 68,  11,  -5, 2,  3.0, ③②, 3, 7,Ｇブライダルフェア, 65,石橋脩, 0.2, 65,   3,  -6,10, 22.1, ④⑤
 4, 4,Ｃユウタｰダｰツ, 56,岩崎祐, 1.4, 46,  -2,  -3, 4, 21.9,⑧⑥⑥, 4,17,Ａメジロラフィキ, 62,中舘英, 1.1, 57,*  0, -15, 2,  3.7,②②②, 4, 7,Ｆカシノダンク, 66,浜中俊, 0.6, 64,   7,  -3, 4, 10.3, ⑤⑤, 4,12,Ｂメルシｰヨｰク, 68,太宰啓, 0.2, 67,   4,  -6, 7, 12.9, ④⑤
 5, 2,Ｅトミケンプライム, 48,大下智, 1.6, 45,  -2,  -2,10,125.1,⑧⑧⑦, 5,13,Ｅリノｰンランプ, 54,浜中俊, 1.3, 55,*  1, -19, 4,  8.1,①①①, 5, 8,Ｅエイコｰロマン, 67,二本柳, 0.7, 60,   0,   1, 8,110.9, ⑧⑦, 5, 4,Ｆアイリッシュカフェ, 65,浜中俊, 0.3, 64,   1,  -4, 2,  5.0, ⑨⑩
 6, 3,Ｇサマｰエッセンス, 41,松田大, 1.8, 43,  -5,  -1, 7, 49.0,⑧⑨⑨, 6, 3,Ｆオリエンス, 53,芹沢純, 1.5, 54,  -4,  -9, 5, 11.1,⑰⑩⑦, 6, 2,Ｇイソノサクセス, 62,川島信, 0.9, 58,  -6,*  3, 7, 83.6, ⑩⑩, 6, 6,Ｐネイチャｰグロウ, 44,二本柳, 0.3, 61,  -9,*  5,17,551.0, ⑰⑰
 7, 7,Ｈドリｰムサクセス, 41,藤岡康, 2.4, 39,*  1, -18, 3, 19.0,②②②, 7,14,Ｃアグネスライジン, 58,津村明, 1.7, 54,  -5, -10, 8, 28.8,⑩⑪⑪, 7, 1,Ｈマイティマイロｰド, 59,高井彰, 0.9, 59,   2,  -2, 6, 73.1, ⑦⑥, 7,15,Ｋリｰガルアミュｰズ, 60,北村友, 0.4, 62,   1,  -6, 5,  9.0, ⑨⑩
 8, 9,Ｉエメラルドワン, 38,千田輝, 2.8, 35,   0, -20, 5, 23.2,③③⑤, 8, 7,Ｎオｰトホｰク, 39,坂井英, 1.8, 51,  -6, -12,12, 76.3,⑭⑪⑧, 8, 6,Ｉリバｰトｰマス, 47,白坂聡, 1.2, 56,   0,  -4, 9,112.9, ⑧⑨, 8,13,Ｄバロンダンス, 66,穂苅寿, 0.6, 63,*  7, -13, 8, 17.0, ③③
 9,10,Ｆマイネルキャノン, 47,津村明, 3.1, 32,  -2, -19, 9,104.2,④⑥⑦, 9,15,Ｍメイケイクリプトン, 40,柴原央, 1.9, 49,*  0, -25,10, 47.9,③③③, 9, 4,Ｊクｰルラスカル, 42,田面木, 1.5, 56,   5,  -9,10,175.2, ⑥⑦, 9, 3,Ｍノｰブルマン, 59,藤岡康, 0.7, 61,*  9, -18,11, 50.1, ①①
10, 6,Ｊサンデｰチャリティ, 31,古川吉, 3.9, 33,  -7, -14,11,190.3,⑪⑪⑪,10,10,Ｑブランデンブルグ, 32,丹内祐, 2.6, 44,  -7, -17,13,175.4,⑭⑭⑭,10, 3,Ａカノｰプス, 74,中舘英, 2.6, 48,* 13, -24, 1,  2.3, ②②,10,10,Ｏフィｰルドグランデ, 52,中舘英, 0.8, 55,  -5,  -6,14,110.9, ⑭⑭
11,11,Ｋシゲルエルピダ, -3,安藤光, 4.9, 21,  -5, -28, 6, 39.8,⑤⑨⑩,11, 1,Ｊヤマニンアイレ, 43,池田鉄, 3.0, 41,  -5, -28,16,407.4,⑩⑪⑫,,,,,,,,,,,,,11,14,Ｉリｰヴタイム, 61,芹沢純, 1.0, 54,   0, -12,13, 60.3, ⑫⑩
,,,,,,,,,,,,12, 9,Ｏメルシｰモンサン, 36,中村将, 3.0, 41, -11, -16,17,414.8,⑱⑰⑰,,,,,,,,,,,,,12, 1,Ｊハンタｰキリシマ, 61,野元昭, 1.0, 54,  -3,  -9,15,111.4, ⑭⑭
,,,,,,,,,,,,13,12,Ｉウインサテライト, 44,石橋脩, 3.0, 41,  -3, -34, 7, 19.9,⑦⑥⑧,,,,,,,,,,,,,13,17,Ｃレイクエルフ, 66,菊沢隆, 1.1, 54,   4, -17, 4,  6.0, ④⑤
,,,,,,,,,,,,14,11,Ｐサンマルシャルム, 34,梶晃啓, 3.3, 38,  -7, -27,18,755.9,⑫⑭⑯,,,,,,,,,,,,,14, 8,Ｌナリタスレンダｰ, 59,田中健, 1.3, 50,  -4, -12,12, 58.0, ⑭⑭
,,,,,,,,,,,,15,18,Ｋヴィｰナスロｰズ, 41,的場勇, 3.3, 39,  -7, -29,11, 68.3,⑬⑭⑮,,,,,,,,,,,,,15,16,Ｈメインヴォｰカル, 63,船曳文, 1.6, 48,   5, -25, 9, 21.5, ④⑤
,,,,,,,,,,,,16, 2,Ｌヒシカスタム, 40,田中健, 3.5, 36,  -3, -40, 9, 41.8,⑥⑧⑫,,,,,,,,,,,,,16, 5,Ａメスナｰ, 69,鮫島良, 2.1, 40,   0, -27, 3,  6.0, ⑫⑬
,,,,,,,,,,,,17, 6,Ｇケイエスラック, 51,難波剛, 4.1, 33,  -3, -50,15,257.6,⑤⑥⑧,,,,,,,,,,,,,17, 2, オレンジスカイ,---,坂井英, 2.3, 40,*  8, -37,16,163.8, ②②
,,,,,,,,,,,,18, 5,Ｒカシノヨシキ, 26,野元昭, 4.6, 28, -13, -35,14,191.5,⑯⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-4),,,,,,,,,,,
単勝:110円 複勝:01=110円 05=150円 08=570円 枠連:330円,,,,,,,,,,,,"単勝:1,160円 複勝:16=340円 08=180円 04=160円 枠連:730円",,,,,,,,,,,,単勝:370円 複勝:10=150円 05=210円 09=130円 枠連:800円,,,,,,,,,,,,"単勝:1,290円 複勝:11=560円 09=190円 07=410円 枠連:1,740円",,,,,,,,,,,
"馬連:360円 ワイド:01-05=190円 01-08=680円 05-08=2,080円",,,,,,,,,,,,"馬連:2,820円 ワイド:08-16=1,000円 04-16=670円 04-08=400円",,,,,,,,,,,,"馬連:2,060円 ワイド:05-10=690円 09-10=230円 05-09=520円",,,,,,,,,,,,"馬連:4,320円 ワイド:09-11=1,720円 07-11=4,070円 07-09=1,440円",,,,,,,,,,,
"馬単:390円 3連複:2,460円",,,,,,,,,,,,"馬単:7,620円 3連複:3,750円",,,,,,,,,,,,"馬単:3,280円 3連複:1,510円",,,,,,,,,,,,"馬単:10,170円 3連複:27,280円 3連単:182,030円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  ダ1000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■11R  芝1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,中京ｽﾎﾟｰﾂ杯,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｂマルシゲヨカニセ, 64,北村友,, 58,*  3,* -3, 2,  4.3, ②②, 1, 9,Ｅソｰマサイト, 66,坂井英,, 68,*  4,   2, 9, 21.9, ②③, 1, 9,Ａフィｰルドウイナｰ, 75,的場勇,, 74,   3,*  9, 1,  3.1,④③③, 1,11,Ｄサケダイスキ, 77,中舘英,, 81,* 15,  -6, 1,  4.3,①①①
 2,12,Ｆテイエムカイザｰ, 55,芹沢純, 0.1, 58,*  3,  -4, 6, 10.9, ②②, 2, 3,Ｂメイスンシンデレラ, 73,津村明, 0.1, 68,*  6,   1, 1,  3.0, ①①, 2,11,Ｊロフティマウンテン, 60,安藤光, 0.2, 71,*  4,   5, 5, 14.1,②②②, 2, 5,Ｇスプリングダボス, 75,鮫島良, 0.0, 82,  10,*  6, 8, 13.1,⑨⑦⑥
 3,16,Ｃミスタｰオリオン, 63,小林慎, 0.3, 54,   0,  -4, 1,  3.9, ⑥⑤, 3, 2,Ｈブラウンキャット, 63,北村友, 0.2, 66,   0,   5, 2,  3.4, ④④, 3, 6,Ｃニュｰスブレイク, 71,石橋脩, 0.9, 66,   2,   3, 2,  3.3,⑨⑦⑤, 3,15,Ａセラフィックロンプ, 80,菊沢隆, 0.1, 79,* 14,  -4, 4,  6.6,②③②
 4, 4,Ｍユｰリカランチ, 40,宮崎北, 0.4, 54,   2,  -5,11,127.1, ②④, 4, 8,Ｊセンティｰレ, 60,藤岡康, 0.3, 64,  -9,*  9,10, 64.8, ⑩⑦, 4, 2,Ｄアイファｰドラゴン, 69,野元昭, 1.0, 65,   3,   0, 6, 19.3,⑥③③, 4, 3,Ｃスパニッシュソウル, 79,橋本美, 0.2, 81,   8,*  7, 7, 11.7,⑪⑪⑨
 5,11,Ｄテイクザロマン, 57,中舘英, 0.7, 49,  -3,  -5, 9, 26.6, ⑦⑦, 5,11,Ｍテイエムスカット, 55,田中健, 0.5, 63,  -4,   3,11, 87.6, ⑥⑦, 5, 3,Ｂマヤノカタナ, 73,浜中俊, 1.2, 62,*  5,  -4, 4,  7.9,①①①, 5, 2,Ｋフミノパッション, 72,津村明, 0.2, 80,  11,   0, 3,  5.1,④④④
 6, 9,Ｎアイラインロｰザｰ, 28,野元昭, 0.9, 51,*  5, -12, 4,  6.9, ①①, 6, 7,Ｉフィリアルドｰタｰ, 60,鮫島良, 0.7, 62,*  5,  -4, 4, 14.4, ②②, 6,12,Ｆオｰルライトナウ, 68,中舘英, 1.2, 63,   1,   1, 3,  3.9,③⑦⑥, 6, 8,Ｆマヤノバルトｰク, 76,浜中俊, 0.5, 76,   9,  -2, 5, 10.5,⑥⑦⑧
 7,13,Ｋトウケイリリｰ, 44,藤岡康, 1.0, 47,  -5,  -6,12,136.8, ⑨⑨, 7, 4,Ｎレアシルウィア, 55,安藤光, 0.7, 60,  -1,   0,13,284.5, ④⑤, 7, 1,Ｋグランドアムｰル, 60,宮崎北, 1.2, 65,   2,   0, 7, 20.8,④⑤⑥, 7, 4,Ｊアグネスパウエル, 72,松田大, 0.6, 77,   8,   0,14,114.9,⑥⑪⑬
 8, 8,Ａグレｰトメモリｰ, 65,松田大, 1.0, 49,   2, -11, 3,  4.3, ②⑤, 8,10,Ｄハングインゼア, 67,船曳文, 1.1, 56,  -5,  -1, 7, 20.2, ⑦⑨, 8, 4,Ｇノゾミヒカル, 63,二本柳, 1.4, 63,   1,   2, 8, 26.6,⑪⑩⑩, 8, 1,Ｌヤマニンエクレｰル, 71,古川吉, 0.7, 74,   8,  -2, 2,  4.9,⑨⑪⑨
 9, 1,Ｈホクザンヴィアンド, 49,梶晃啓, 1.3, 44,  -3,  -9,10,125.6, ⑦⑧, 9, 1,Ｆリヴィエｰルジｰタ, 64,芹沢純, 1.2, 54, -22,*  9, 8, 21.2, ⑭⑭, 9,10,Ｈアンバｰレイク, 61,藤岡康, 1.5, 64,   2,  -3, 9, 49.6,⑦⑤⑥, 9, 6,Ｍフレアリングベスト, 71,田辺裕, 0.8, 73,   7,   0,10, 33.8,⑭⑭⑬
10, 6,Ｉアスｰルグロリオ, 47,田中健, 1.3, 42, -17,* -2,13,155.5, ⑬⑫,10,14,Ｌアラビアンホワイト, 57,佐藤聖, 1.2, 52, -14,   3,14,388.1, ⑫⑩,10, 7,Ｅホクセツバロン, 69,中村将, 1.6, 64,  -3,*  7,10, 88.5,⑫⑫⑫,10,12,Ｏディｰプエアｰ, 66,太宰啓, 0.9, 73,* 15, -17,11, 48.4,②②②
11,14,Ｅファイナルパンチ, 55,太宰啓, 1.3, 42,  -9,  -6, 8, 22.4, ⑩⑫,11, 5,Ｋムソウ, 57,古川吉, 1.4, 55,  -7,  -3,12,198.1, ⑦⑥,11, 5,Ｉセルリアンタオ, 61,西田雄, 1.9, 60,   1,  -4,12,263.6,⑩⑦⑥,11,10,Ｈカブキメｰク, 74,田面木, 0.9, 72,  11, -10,12, 83.3,⑥④⑥
12, 2,Ｏカシノシンケン, 27,二本柳, 1.3, 40, -12,  -4,14,197.8, ⑫⑩,12, 6,Ｃフミノフクヒメ, 71,浜中俊, 1.4, 51, -15,   3, 5, 15.9, ⑫⑩,12, 8,Ｌヤマカツアｰサｰ, 47,荻野要, 3.2, 51,   0, -13,11,154.5,⑦⑩⑪,12,14,Ｂマイネルアラバンサ, 80,石橋脩, 1.2, 69,  12, -16, 6, 10.8,④④④
13, 3,Ｊスリｰタキオン, 46,浜中俊, 1.4, 38, -17,* -2, 7, 16.0, ⑭⑫,13,13,Ａラフィｰク, 75,中舘英, 1.7, 49,  -7,  -6, 3,  3.9, ⑦⑩,,,,,,,,,,,,,13, 9,Ｉサイレンスゴｰルド, 73,坂井英, 2.1, 59,  11, -26, 9, 21.7,⑬⑦⑨
14,15,Ｌスパｰブ, 42,船曳文, 1.5, 39, -18,* -3,15,204.1, ⑭⑮,14,12,Ｇモモノカオリ, 64,田嶋翔, 2.2, 44, -11,  -7, 6, 18.2, ⑪⑬,,,,,,,,,,,,,14,13,Ｎショコラシチｰ, 66,柴原央, 2.3, 58,  11, -28,13, 94.4,⑪⑦⑨
