08年 5月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月 4日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,府中ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｄマルタｰズアディラ, 53,後藤浩,, 51,*  4,  -3, 7, 26.0, ②②, 1, 8, リスティアダｰリン,,横山義,,,,, 3,  5.0,③③③, 1,11,Ｆトップオブサンデｰ, 61,田中博,, 77,  -8,* 14, 2,  4.5, ⑫⑧, 1,12,Ｋファストロック, 78,北村宏,, 82,*  9,  12, 4,  8.8,②②②
 2, 7,Ｂアポロフラメンコ, 60,勝浦正, 0.1, 51,   2,  -2, 2,  3.2, ⑤③, 2,14, マイネルハｰバｰド,,石神深,202.8,,,, 7, 20.2,⑤③②, 2, 4,Ｄサクラスウィｰプ, 62,蛯名正, 0.4, 70,  -6,   7, 7, 15.1, ⑦⑧, 2, 1,Ｐダイイチアトム, 75,田中博, 0.2, 82,*  8,  12, 7, 11.6,④④④
 3, 2,Ｈグレイスフルムｰヴ, 45,吉田隼, 0.2, 50,   2,  -2, 4,  8.0, ②④, 3, 3, カズノダンシング,,穂苅寿,203.5,,,, 1,  3.0,⑥⑤⑥, 3,12,Ｈラッシュモア, 60,後藤浩, 0.4, 65,*  2,  -7, 8, 17.3, ⑩①, 3,10,Ｈブラックシャンツェ, 81,池添謙, 0.2, 81,   5,* 18, 3,  7.3,⑦⑧⑧
 4, 1,Ｃジャスミンロｰズ, 58,田中博, 0.3, 48,*  4,  -7, 1,  2.9, ①①, 4,11, タニノボルガ,,小坂忠,203.5,,,, 6, 15.4,②②③, 4, 6,Ｋペチカ, 59,吉田豊, 0.4, 68,* -1,  -2, 9, 18.5, ①②, 4,15,Ｅダンスアジョイ, 82,藤岡佑, 0.4, 81,   4,* 18, 2,  6.3,⑬⑭⑫
 5, 9,Ｇリップサｰビス, 47,増沢由, 1.1, 44,  -7,*  1, 5, 12.9, ⑪⑩, 5, 9, スタッテン,,柴田大,203.6,,,, 8, 21.6,⑨⑤⑤, 5,10,Ａゴｰルディｰロック, 71,小林淳, 0.5, 69,  -3,   1, 5, 10.4, ③④, 5,13,Ｊマルタカハｰモニｰ, 79,小林淳, 0.4, 79,*  8,   8,11, 26.1,③③③
 6, 6,Ｊサッチャリズム, 41,柴田善, 1.1, 43,  -7,*  1,10, 55.0, ⑨⑩, 6, 5, ワンダｰタイキ,,植野貴,203.6,,,, 2,  4.1,⑫⑫⑪, 6, 3,Ｉコアレスレｰサｰ, 60,勝浦正, 0.6, 70,  -9,   8, 6, 12.1, ⑫⑫, 6, 4,Ｄトウキュウトップ, 82,吉田豊, 0.8, 75,   6,   6,13, 47.2,⑤⑤⑥
 7, 5,Ｉオンアンドオン, 42,江田照, 1.2, 43,  -4,  -4, 6, 23.6, ⑦⑦, 7,10, ホットビスティｰ,,五十嵐,203.8,,,, 9, 27.8,⑥⑧⑧, 7, 1,Ｊエイトサンデｰ, 59,藤岡佑, 0.6, 69,  -9,   8,10, 31.6, ⑩⑫, 7, 5,Ｉニシノコンドコソ, 80,村田一, 0.8, 78,   2,* 15, 6, 10.7,⑰⑭⑯
 8, 8,Ｋウエスタンマダム, 30,武士沢, 1.2, 43,  -6,  -1,11,164.5, ⑧⑧, 8, 1, ハウルサンダｰ,,浜野谷,204.7,,,, 5,  8.4,①①①, 8, 7,Ｇデルマアン, 61,北村宏, 0.9, 63,  -5,  -2, 4, 10.0, ⑤⑥, 8,14,Ｎナイスハンド, 76,岩部純, 0.9, 77,   2,* 15,18,178.7,⑮⑭⑯
