08年 7月 5日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月 5日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:19,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  ダ1000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,江差特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｅサクラインプルｰブ, 51,三浦皇,, 55,*  1, -13, 3,  4.7, ①①, 1, 9,Ｉトップジャイアンツ, 53,藤田伸,, 66,*  3,*  7, 4,  6.1,①①①, 1, 9,Ａヘッドライナｰ, 81,三浦皇,, 72,*  2,*  6, 2,  4.1, ②②, 1,10,Ａエｰシンエフダンズ, 74,藤岡佑,, 79,*  6,*  6, 1,  1.8, ②①
 2, 5,Ｂディアジｰナ, 57,四位洋, 0.3, 51, -15,* -2, 2,  2.9, ③③, 2, 3,Ｃメイショウロッシ, 64,岩田康, 0.0, 68,*  4,*  7, 1,  2.8,⑥②②, 2, 7,Ｂナムラフランキｰ, 77,小林徹, 0.4, 70,*  4,   2, 1,  2.1, ①①, 2, 3,Ｆギブミｰアチャンス, 61,菊沢隆, 0.6, 72,  -3,*  7,10,112.1, ⑧⑥
 3, 7,Ｄドリｰムブランチ, 52,松岡正, 0.6, 48, -10, -11, 4,  6.3, ②②, 3,12,Ｂトキメキボストン, 67,横山典, 0.7, 62,*  4,   1, 2,  3.2,⑦②③, 3, 8,Ｇレディオｰロラ, 64,荻野琢, 0.5, 68,  -2,   4, 9, 69.0, ④④, 3, 9,Ｂトウショウブリッツ, 73,池添謙, 0.7, 70,   1,   2, 2,  3.0, ④③
 4, 3,Ｆフレアリングロｰズ, 46,郷原洋, 0.6, 48, -14,  -7, 7, 88.2, ③④, 4, 1,Ｄファイアナカヤマ, 60,的場勇, 0.9, 63,   0,*  5, 6, 22.1,⑨⑧⑦, 4, 5,Ｄケイアイスウォｰド, 69,横山典, 0.8, 63,  -1,   0, 4,  7.1, ③③, 4, 6, バンブｰエルトリ,---,宮崎光, 0.9, 68,   0,   1, 3,  8.7, ⑦③
 5, 6,Ｈコスモルマン, 42,北村友, 1.1, 42, -18,  -9, 6, 34.6, ⑤⑤, 5,11,Ｊエスジｰストリｰム, 47,武幸四, 1.0, 61,   3,   1, 7, 25.8,⑧⑤④, 5, 2,Ｆテイエムゲンキボ, 66,菊沢隆, 0.8, 63,  -7,*  5, 7, 39.1, ⑦⑦, 5, 2,Ｃブルｰラヴ, 69,藤田伸, 1.0, 66,   2,  -3, 4, 10.0, ③③
 6, 2,Ｇダイワポイズン, 42,木幡初, 1.4, 38, -22,  -9, 8,105.3, ⑦⑥, 6, 2,Ａアドマイヤテキサス, 70,藤岡佑, 1.2, 61,   0,   3, 3,  5.8,⑨⑧⑥, 6, 3,Ｃサクラモサ, 70,武幸四, 0.9, 61, -12,*  7, 3,  6.4, ⑨⑧, 6, 4,Ｊファンタジックキｰ, 50,丸田恭, 1.0, 66,   1,  -2, 8, 94.2, ④⑥
 7, 4,Ｃコクトｰ, 53,横山典, 5.2,-12, -26, -54, 5, 11.6, ⑧⑦, 7, 6,Ｇサンライズアイ, 54,木幡初, 2.5, 49,   3, -12, 8, 28.3,④⑤⑤, 7, 1,Ｅバリバリセレブ, 68,四位洋, 1.0, 61,  -4,   2, 5, 11.2, ⑤⑤, 7, 7,Ｅカシマワｰルド, 63,鈴来直, 1.4, 63,  -8,   3,11,153.7, ⑪⑩
,,,,,,,,,,,, 8, 8,Ｅグロｰバルキャスト, 57,長谷川, 3.4, 48,  -1, -13,11,141.6,⑨⑪⑩, 8,10,Ｋアキノジャブ, 58,松岡正, 1.6, 56,  -4,  -4, 8, 60.8, ⑤⑤, 8, 1,Ｈジョｰネンボｰ, 58,大野拓, 1.4, 62,  -6,   0, 9,105.9, ⑨⑩
,,,,,,,,,,,, 9, 4,Ｋカネスラｰナ, 43,丸田恭, 3.6, 42,   2, -20,10, 72.9,④⑤⑨, 9, 4,Ｉジパングエンジェル, 61,古川吉, 1.6, 55, -16,   3,11,195.3, ⑫⑩, 9, 5,Ｄリネンアカシア, 65,郷原洋, 1.4, 62,*  8, -13, 7, 43.7, ①②
,,,,,,,,,,,,10,10,Ｈロｰランブロウ, 54,三浦皇, 4.5, 36,   2, -30, 5, 15.8,②④⑦,10, 6,Ｈチアズウイナｰ, 62,藤田伸, 1.9, 51,  -9,  -4, 6, 15.6, ⑦⑧,10,11,Ｇケイエスショｰキ, 61,小林徹, 1.5, 60,  -6,  -2, 6, 40.3, ⑨⑨
,,,,,,,,,,,,11, 5, トウショウジェイド,---,荻野琢, 6.0, 31, -14, -13,12,142.0,⑫⑫⑫,11,11,Ｊストロングライデン, 59,丸田恭, 2.1, 48, -15,  -2,10,104.1, ⑩⑫,11, 8,Ｉタカラシャフト, 56,ホワイ, 2.9, 42,   1, -26, 5, 15.8, ④⑧
