08年11月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年11月16日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾉﾍﾞﾝﾊﾞｰｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆケイアイマッシブ, 51,内田博,, 63,*  2,* -3, 4, 12.0, ①①, 1,13, ノｰスフォンテン,,田中剛,,,,, 1,  2.7,②②②, 1,16,Ｈフェスティバルイヴ, 71,内田博,, 74,*  6,   6, 4,  9.9, ②②, 1, 7,Ｆショウワモダン, 81,村田一,, 89,*  0,  18, 4, 10.9,①①①
 2, 3,Ａフェｰズシックス, 73,後藤浩, 0.9, 56,  -2,  -6, 1,  1.4, ⑧⑧, 2, 8, マヤノスタｰダム,,植野貴,203.4,,,, 3,  4.7,⑤①①, 2, 7,Ａヤマニントップギア, 79,伊藤工, 0.0, 74,*  4,   7, 3,  5.4, ③③, 2, 6,Ｂキタノリュｰオｰ, 86,北村宏, 0.0, 91,  -4,  25, 3,  6.5,⑧⑦⑦
 3, 7,Ｄミラクルシｰカｰ, 53,勝浦正, 1.0, 56,*  1, -10, 8, 37.5, ②②, 3, 4, トロフィｰディｰル,,西谷誠,204.9,,,, 2,  2.9,③⑦⑥, 3,13,Ｅティティボス, 73,松岡正, 0.3, 73,*  4,   7, 9, 20.4, ⑤⑤, 3, 3,Ａアブソリュｰト, 89,田中勝, 0.1, 93,  -5,  27, 2,  3.4,⑦⑧⑨
 4, 6,Ｅスペック, 52,田中勝, 1.3, 52,  -4,  -6, 3,  8.5, ⑨⑨, 4,12, レオスタｰライト,,山本康,205.0,,,, 8, 51.9,⑧⑤④, 4, 9,Ｂマルタｰズマゼル, 74,吉田豊, 0.3, 74,   1,* 11, 1,  2.9, ⑧⑨, 4,16,Ｍタケショウオｰジ, 74,後藤浩, 0.1, 94,  -6,* 30, 6, 24.2,⑭⑬⑬
 5, 4,Ｂアイスジャッカ, 67,北村宏, 1.5, 50,  -2, -12, 2,  6.9, ⑦⑥, 5, 9, モリノミヤコ,,浜野谷,206.3,,,, 7, 40.0,⑪⑥⑦, 5,12,Ｃマイヴィｰナス, 74,小野次, 0.5, 71,  -2,* 11, 6, 14.2, ⑫⑪, 5,15,Ｈリアルコンコルド, 80,内田博, 0.1, 95,  -8,* 33, 9, 45.5,⑯⑯⑮
 6,12,Ｇエイシンワｰルド, 50,伊藤工, 1.6, 51,*  1, -15, 7, 35.4, ⑥④, 6,10, イメｰジボックス,,矢原洋,206.5,,,,13,141.6,⑩⑩⑩, 6, 6,Ｋレオメビウス, 66,江田照, 0.7, 71,  -6,* 14,11, 42.0, ⑬⑯, 6,13,Ｄスピリタス, 84,松岡正, 0.2, 93,  -4,  27, 1,  2.1,⑨⑪⑩
 7, 2,Ｈルドゥｰテ, 44,松岡正, 1.8, 48, -10,* -2, 5, 21.2, ⑫⑫, 7,11, ゴスペル,,柴田未,206.7,,,,12,132.5,⑫⑨⑧, 7,15,Ｆウイニングヒット, 71,柴田善, 0.7, 70,   0,   8,13, 64.6, ⑩⑩, 7, 5,Ｋプラズマ, 77,菊沢隆, 0.3, 86,* -2,  18,10, 57.0,②③③
 8, 5,Ｋセティア, 38,吉田豊, 1.9, 49,   0, -17, 6, 31.0, ③⑤, 8, 2, ガッテンヒメ,,柴田大,207.0,,,, 9, 62.7,⑬⑪⑪, 8, 3,Ｉヤマニンデュｰン, 70,後藤浩, 0.8, 69,   2,   4, 7, 14.6, ⑨⑦, 8, 8,Ｃラズベリｰタイム, 84,吉田隼, 0.3, 88,  -3,  21, 8, 40.0,④⑤⑥
