08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月 2日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(九) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-17,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1700m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,宮崎ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,12,Ｇテイエムイッコモン, 26,熊沢重, 4.1,  5,  -9, -53, 7, 69.0,⑤②⑤,11,14, シｰポラリス,---,田中健, 1.4, 43,  -3, -18,12, 78.1,⑪⑪⑩,12,11, ロｰドアルカディア,---,藤岡康, 2.0, 51,  -5,  -9,11, 63.6,⑬⑬⑭,12,12,Ｌマルカジｰク, 77,角田晃, 2.5, 69,   6,   0, 6, 46.8,⑩⑪⑬
13,11,Ｋカシノアスカ,  9,石橋守, 4.1, -8, -33, -31,14,260.8,⑬⑬⑬,12,15, アスカノユタカ,---,吉田隼, 1.6, 41,   0, -23,14,112.0,⑧⑦⑩,13, 4, ウインキングストン,---,鮫島良, 2.0, 54,  -7,  -3,12,106.5,⑮⑮⑮,13, 7,Ｄバンブｰワｰルド, 83,小牧太, 3.2, 62,   9, -11, 3, 13.4,③⑤⑫
14, 4, ユメサカス,---,宇田登,14.6,14.6---, ---, -86, 9,123.0,⑭⑭⑭,13, 3, ヒトメボレムスメ,---,野元昭, 1.7, 40,  -9, -15,18,167.0,⑪⑯⑰,14, 3,Ａアドバンスシチｰ, 66,佐藤哲, 2.0, 52,  -1, -12, 4,  9.8,⑩⑪⑪,14,10,Ｋセルリアングルｰヴ, 77,岩部純, 3.4, 63,   6,  -5,14,250.9,⑩⑭⑭
,,,,,,,,,,,,14, 1, シゲルハカセヤマ,---,岩崎祐, 2.0, 38, -12, -16,17,136.3,⑰⑰⑰,15, 5,Ｆカブリオｰル, 62,小牧太, 2.4, 47,*  5, -33, 5, 12.6,④③⑨,,,,,,,,,,,,
,,,,,,,,,,,,15,13, タガノソレイユ,---,橋本美, 2.2, 34,   0, -31,13,108.9,⑥⑦⑬,16, 6, セルリアンカトラス,---,太宰啓, 3.2, 42,  -7, -20,16,270.0,⑯⑮⑯,,,,,,,,,,,,
,,,,,,,,,,,,16,18, ゴｰイングウェル,---,赤木高, 2.9, 29,*  8, -47, 2,  7.3,⑥②③,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17,11, トウカイジェンヌ,---,酒井学, 3.1, 23,   0, -42,16,115.7,⑧⑦⑨,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:86 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-5),,,,,,,,,,,
単勝:160円 複勝:03=110円 08=310円 02=130円 枠連:700円,,,,,,,,,,,,"単勝:160円 複勝:10=110円 04=510円 09=260円 枠連:2,090円",,,,,,,,,,,,単勝:460円 複勝:01=210円 16=260円 09=390円 枠連:450円,,,,,,,,,,,,"単勝:3,910円 複勝:01=560円 04=710円 03=110円 枠連:1,070円",,,,,,,,,,,
"馬連:1,390円 ワイド:03-08=560円 02-03=170円 02-08=850円",,,,,,,,,,,,"馬連:2,780円 ワイド:04-10=960円 09-10=370円 04-09=2,570円",,,,,,,,,,,,"馬連:2,410円 ワイド:01-16=810円 01-09=1,230円 09-16=1,430円",,,,,,,,,,,,"馬連:24,980円 ワイド:01-04=4,450円 01-03=540円 03-04=850円",,,,,,,,,,,
