08年12月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1700m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝2000m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1800m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,報知杯中京2歳S,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｃリバｰサルブロｰ, 61,藤岡康,, 61,   2,*  3, 3,  5.8, ⑤④, 1, 2,Ｃニホンピロコナユキ, 72,安藤光,, 71,*  7,*  7, 5, 10.3,④③③, 1,10,Ｃエイプリルウインド, 77,丸田恭,, 76,*  9,*  1, 1,  2.0,⑤③③, 1, 5,Ｆメイショウドンタク, 61,上村洋,, 75,* -2,  10, 7, 12.7,①①①
 2, 3,Ｂキングスウィｰプ, 64,中舘英, 0.1, 61,*  9,  -2, 1,  2.6, ①①, 2, 5,Ｂポｰトムテキ, 73,古川吉, 0.2, 73,   6,*  7, 2,  3.7,⑤⑤⑤, 2, 7,Ａエアシャトゥｰシュ, 79,藤岡康, 0.1, 78,*  9,   0, 2,  5.2,③②②, 2, 9,Ｄショウナンアルディ, 65,赤木高, 0.0, 79,  -7,* 23, 4,  6.6,⑩⑩⑩
 3, 8,Ａエリモフリｰダム, 66,川島信, 0.6, 54,   4,  -3, 2,  3.2, ③③, 3, 4,Ａアマゾネスバイオ, 76,藤岡康, 0.4, 70,   5,*  7, 3,  5.4,⑨⑦⑦, 3,17,Ｅウォｰボネット, 71,千葉直, 0.4, 76,   5,*  4, 3,  6.5,⑯⑫⑧, 3, 7,Ｊタキオンクｰル, 52,藤岡康, 0.3, 73,  -5,  13, 6, 11.5,⑨⑧⑧
 4, 4,Ｋアンロｰランサン, 41,赤木高, 0.8, 53,*  7,  -7, 9, 38.1, ②②, 4, 7,Ｆプリティダンス, 70,戸崎圭, 0.9, 67,   3,   7, 4,  8.6,⑩⑪⑪, 4, 1,Ｂシンボリロｰレンス, 77,草野太, 0.5, 74,*  8,  -3, 6, 16.7,④⑤⑤, 4, 3,Ａダノンヒデキ, 68,和田竜, 0.4, 72,  -5,  12, 3,  5.8,⑦⑦⑦
 5, 7,Ｏサンマルヘイロｰ, 20,安藤光, 0.8, 51,  -2,  -1,12,173.2, ⑥⑥, 5, 1,Ｅタイセイフレイヤ, 70,中舘英, 0.9, 65,   6,   1, 1,  2.4,③④④, 5, 9,Ｏマルイチキセキ, 54,生野賢, 0.6, 75,   7,   0,14,192.9,⑩⑧⑦, 5, 8,Ｉスリｰロｰルス, 56,太宰啓, 0.4, 71,  -3,   7, 5, 10.5,⑧④④
 6, 9,Ｇマスタｰチアフル, 52,飯田祐, 0.8, 52,  -6,*  2, 4,  7.8, ⑫⑨, 6,12,Ｄデュｰクタイフｰン, 70,田辺裕, 1.1, 63,   6,  -1, 9,102.6,⑦⑥⑥, 6, 8,Ｇスペシャルウィッチ, 70,黛弘人, 0.8, 73,   4,*  2,11,103.8,⑭⑭⑩, 6, 2,Ｅサクラシャイニｰ, 63,的場勇, 0.6, 69,  -6,  12,10, 61.2,⑥⑨⑨
 7,12,Ｈフライングビｰン, 49,的場勇, 1.0, 51,   2,  -6, 5, 14.0, ④⑤, 7, 9,Ｈテンジンノジョオｰ, 69,宮崎北, 1.2, 63,   3,   3,12,159.6,⑫⑫⑫, 7,13,Ｆシルクバッカス, 71,的場勇, 0.9, 70,   4,*  1, 7, 19.3,⑮⑮⑮, 7, 4,Ｃティアップゴｰルド, 68,長谷川, 0.6, 68,  -3,   6, 2,  3.6,④⑥⑥
 8, 2,Ｉキタサンハナミチ, 46,宮崎北, 1.0, 48,  -5,  -1,11,135.1, ⑨⑦, 8, 8,Ｋハングインゼア, 67,太宰啓, 1.3, 65,   1,   7,10,112.9,⑮⑮⑮, 8, 2,Ｈマイサイドキック, 70,田村太, 1.1, 67,*  8, -13,10, 59.0,②④④, 8, 1,Ｇドリｰムゼニス, 61,川島信, 0.6, 67,  -3,   6, 8, 19.1,③⑤⑤
 9, 6,Ｄアスタｰクリス, 56,戸崎圭, 1.1, 49,  -3,  -3, 8, 32.6, ⑦⑧, 9,15,Ｇネイチャｰトレイル, 69,千葉直, 1.6, 61,   1,   2, 6, 18.3,⑬⑬⑬, 9,11,Ｉビタｰオレンジ, 69,柴原央, 1.2, 71,   1,*  5, 8, 21.0,⑱⑱⑰, 9,10,Ｈストロングポイント, 61,戸崎圭, 0.8, 64,* -2,   0, 9, 39.8,②②②
10,11,Ｎアクセスラヴ, 27,北村友, 1.2, 47, -11,*  2,13,178.3, ⑬⑬,10,13,Ｉヴィッテリア, 69,黛弘人, 1.6, 65,   2,   5, 7, 20.0,⑭⑭⑭,10, 5,Ｄマイネルビジュｰ, 76,池崎祐, 1.3, 65,   6, -13, 4, 11.9,⑦⑥⑥,10, 6,Ｂトモロポケット, 68,中舘英, 1.2, 60,  -3,  -4, 1,  3.3,⑤③③
11,15,Ｅハｰトランドフェロ, 53,荻野琢, 1.3, 48,  -5,  -4, 6, 19.1, ⑩⑫,11,10,Ｎアリｰジェンス, 57,菊沢隆, 1.9, 59,   5,  -6,15,282.7,⑪⑧⑧,11, 4,Ｋドナフュｰジョン, 66,船曳文, 1.4, 65,   4,  -7, 9, 46.1,⑬⑬⑭,,,,,,,,,,,,
12, 1,Ｌポｰルドブラ, 40,西田雄, 1.3, 47,  -6,  -2,10, 90.3, ⑪⑩,12, 6,Ｍウェｰブガｰル, 61,岩部純, 1.9, 59,*  7,  -9,14,271.7,①①①,12,18,Ｑトロピカルシャドウ, 44,大下智, 2.0, 60,   2, -13,17,350.4,⑰⑯⑯,,,,,,,,,,,,
13,10,Ｆパラダイスデイ, 53,上村洋, 1.5, 46,  -4,  -7, 7, 26.0, ⑧⑪,13,16,Ｏモンテグリｰン, 48,和田竜, 2.2, 58,*  7, -11,13,184.6,②②②,13, 3,Ｍプリムラシチｰ, 64,宮崎北, 2.2, 58,   5, -21,13,174.4,⑥⑨⑪,,,,,,,,,,,,
14, 5,Ｍプットオンショｰル, 35,丹内祐, 2.4, 37, -21,   0,15,248.5, ⑮⑭,14, 3,Ｊエタｰナルフラワｰ, 67,丸田恭, 2.2, 57,   4,  -7,11,126.4,⑧⑨⑨,14,12,Ｐリバｰトｰマス, 51,岩崎祐, 2.2, 58,   5, -21,15,292.4,⑧⑪⑬,,,,,,,,,,,,
15,16,Ｐナムラアマランス, 15,丸田恭, 3.2, 25, -24,  -8,14,192.0, ⑯⑯,15,11,Ｌメジロレディｰ, 66,北村友, 2.6, 53,   4, -10, 8, 45.3,⑥⑩⑩,15,15,Ｌシゲルエスペレ, 66,中村将, 2.4, 55,*  9, -35, 5, 13.3,①①①,,,,,,,,,,,,
16,14,Ｊノボマリｰン, 42,千葉直, 3.4, 23, -21, -12,16,326.8, ⑭⑮,,,,,,,,,,,,,16, 6,Ｎコスモエラプション, 55,丹内祐, 2.6, 56,   5, -26,16,295.4,⑪⑩⑫,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,16,Ｊスタルカ, 69,小島太, 3.1, 49,   6, -38,12,123.8,⑫⑦⑨,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,14, レオレクサス,---,南田雅, 4.7, 39,   1, -47,18,357.9,⑨⑰⑱,,,,,,,,,,,,
ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:良(指数:2),,,,,,,,,,,
単勝:580円 複勝:13=150円 03=110円 08=120円 枠連:740円,,,,,,,,,,,,"単勝:1,030円 複勝:02=250円 05=140円 04=170円 枠連:380円",,,,,,,,,,,,単勝:200円 複勝:10=110円 07=140円 17=160円 枠連:510円,,,,,,,,,,,,"単勝:1,270円 複勝:05=500円 09=250円 07=390円 枠連:4,450円",,,,,,,,,,,
馬連:830円 ワイド:03-13=310円 08-13=280円 03-08=180円,,,,,,,,,,,,"馬連:1,880円 ワイド:02-05=640円 02-04=740円 04-05=270円",,,,,,,,,,,,馬連:520円 ワイド:07-10=210円 10-17=250円 07-17=460円,,,,,,,,,,,,"馬連:4,890円 ワイド:05-09=1,880円 05-07=1,840円 07-09=1,210円",,,,,,,,,,,
"馬単:1,890円 3連複:640円 3連単:5,290円",,,,,,,,,,,,"馬単:4,150円 3連複:2,090円 3連単:15,630円",,,,,,,,,,,,"馬単:740円 3連複:720円 3連単:2,650円",,,,,,,,,,,,"馬単:10,930円 3連複:16,260円 3連単:122,880円",,,,,,,,,,,
■ 2R  ダ1700m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 5R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1700m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,豊明特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,14,Ａジョｰメテオ, 66,中舘英,, 70,*  3,*  7, 1,  1.3,①①①, 1, 4,Ｂゼンノモナルカ, 75,中舘英,, 74,*  6,  10, 1,  2.5,②②②, 1, 9,Ｂマイネルサラン, 76,丸田恭,, 74,   9,*  6, 5, 10.9,⑫⑨⑨, 1,12,Ｉチョウサンデイ, 76,太宰啓,, 85,   6,* 12, 2,  5.9,⑬⑭⑩
 2,12,Ｌウィアｰザスタｰ, 44,戸崎圭, 1.3, 63,  -1,*  3, 4, 16.2,⑪⑩⑥, 2, 5,Ｊオｰミプレシャス, 69,川島信, 0.2, 73,   4,* 12, 7, 27.1,⑬⑨⑩, 2, 6,Ｄブチカマシ, 75,宮崎北, 0.2, 71,  11,   1, 6, 17.6,⑧⑤③, 2, 1,Ｄブラボｰデイジｰ, 82,生野賢, 0.1, 81,  10,   2, 5,  9.9,③③③
 3,13,Ｂマルブツハッピｰ, 58,船曳文, 1.3, 64,*  1,  -2, 7, 28.7,④②②, 3,15,Ｇマイネルハヤト, 72,田辺裕, 0.3, 70,   5,   8, 6, 12.3,⑧⑤⑤, 3,15,Ａヒシウィンザｰ, 77,戸崎圭, 0.3, 71,  11,   0, 1,  2.6,⑤⑥⑤, 3,10,Ｎテントゥワン, 72,二本柳, 0.4, 78,   8,   5,15, 78.6,⑭⑪⑫
 4,11,Ｍメイショウロッコｰ, 43,中村将, 1.9, 57,  -2,*  1,12,152.0,⑭⑪⑪, 4, 6,Ａリｰジェントゲスト, 75,戸崎圭, 0.3, 73,   3,* 11, 3,  7.3,⑦⑩⑨, 4, 7,Ｃニシノウェｰブ, 76,田辺裕, 0.3, 71,  11,   1, 3,  5.0,⑨⑧⑥, 4,11,Ａルｰルプロスパｰ, 83,和田竜, 0.4, 80,   8,   5, 7, 10.4,⑧⑫⑬
 5, 7,Ｆケｰジｰサミット, 55,長谷川, 2.3, 58,  -1,  -5, 2,  9.7,⑩⑨⑨, 5, 9,Ｆシルクスタｰシップ, 72,岩部純, 0.5, 71,   5,   7, 8, 28.3,④⑥⑥, 5,14,Ｅドゥｰエン, 73,上村洋, 0.4, 74,   7,*  7, 4,  9.6,⑬⑫⑫, 5, 7,Ｂシャイニｰボｰイ, 83,上村洋, 0.4, 79,  10,  -3, 1,  4.8,⑦⑥⑥
 6,15,Ｏコウギョウサクラ, 40,小島太, 2.4, 59,   1,  -9, 9, 54.8,⑦⑤④, 6,12,Ｄピサノシェンロン, 73,青木芳, 0.6, 70,   4,   7, 5,  9.2,⑫⑧⑧, 6,13,Ｈチュウワキング, 70,荻野琢, 0.4, 73,  11,   0, 8, 21.5,⑥⑦⑧, 6, 6,Ｏロｰレルナイト, 72,赤木高, 0.4, 79,  10,   2,12, 33.9,⑥⑦⑦
