08年 9月21日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月21日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,礼文特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｂサルラ, 68,三浦皇,, 59,  -6,*  2, 2,  3.9, ②②, 1, 8,Ｃサクラシザｰズ, 57,荻野琢,, 54,* -3,*  2, 5, 14.5,④③②, 1, 4,Ｃエリモハルカ, 70,北村友,, 74,*  7,   8, 4,  7.4, ②①, 1, 7,Ｂアンソロジｰ, 70,秋山真,, 69,  -3,*  9, 1,  2.4, ⑧⑨
 2, 6,Ｅスイｰトメリｰ, 56,荻野琢, 0.3, 58,  -9,*  1, 3, 16.3, ④④, 2, 6,Ｂバイヨン, 63,三浦皇, 0.2, 50,* -2,   0, 1,  1.8,②②①, 2, 6,Ｄロｰドレンジャｰ, 69,大野拓, 0.4, 72,   5,   7, 2,  5.2, ④③, 2, 2,Ａライトグロｰリｰ, 73,藤田伸, 0.1, 68,*  2,   3, 2,  4.3, ①①
 3, 1,Ａコウヨウサルｰト, 74,藤田伸, 0.3, 56,* -4,  -2, 1,  1.2, ①①, 3, 4,Ａヨシクリスエス, 64,菊沢隆, 0.2, 51,  -4,*  2, 2,  3.0,⑥⑤⑤, 3, 5,Ｇテイエムゲンキボ, 64,菊沢隆, 0.9, 65,  -7,*  9, 8, 21.1, ⑧⑥, 3,14,Ｎブラックティｰ, 56,松田大, 0.3, 65,*  0,   1, 6, 15.8, ②②
 4, 3,Ｃエンリッチメント, 62,梶晃啓, 0.5, 55,  -6,  -2, 4, 23.3, ②②, 4, 3,Ｉシルクマンシェット, 36,池崎祐, 1.0, 45,  -5,  -4, 9,107.6,④⑤⑤, 4, 8,Ｊメイショウソルテ, 63,的場勇, 1.1, 64,*  7,  -2,12, 67.3, ①②, 4,16,Ｏヒデフジ, 49,坂下秀, 0.5, 62,*  0,  -1,12,142.5, ②②
 5, 4,Ｄヘリテｰジゴｰルド, 59,秋山真, 1.3, 46, -11,  -6, 5, 30.9, ⑤⑤, 5, 7,Ｆプレミアムキャノン, 52,北村友, 1.2, 43,  -9,*  2, 4, 13.7,⑨⑨⑨, 5, 2,Ｉブラウンキャット, 63,荻野琢, 1.1, 64,  -3,   5, 7, 17.1, ⑥⑤, 5, 1,Ｃコパノシンオｰ, 67,大野拓, 0.5, 63,  -2,   1, 4,  9.1, ④④
 6, 5,Ｆロｰズブｰケ, 41,郷原洋, 1.4, 45, -12,  -6, 6, 61.7, ⑥⑤, 6, 9,Ｇウイスキｰジャック, 48,竹之下, 1.4, 42,  -5,  -6, 7, 63.9,⑧⑧⑧, 6,12,Ｂヴェリタス, 70,三浦皇, 1.2, 61,  -6,   7, 3,  7.4, ⑧⑨, 6,12,Ｅヒシエンジェル, 64,郷原洋, 0.5, 62,  -5,   4, 7, 19.4, ⑨⑧
,,,,,,,,,,,, 7, 2,Ｅスキッピングビｰト, 55,秋山真, 1.4, 42,* -3, -10, 3,  6.9,③③④, 7, 3,Ａアクロスザスタｰ, 71,古川吉, 1.2, 62, -12,* 10, 1,  2.8, ⑩⑩, 7, 5,Ｄメジロアリエル, 65,三浦皇, 0.7, 60,  -5,   1, 3,  6.2, ⑨⑨
,,,,,,,,,,,, 8, 1,Ｈロイヤルカリバｰン, 36,梶晃啓, 1.5, 41,  -5,  -8, 8, 99.2,⑥⑤⑦, 8, 7,Ｋエスジｰビｰト, 61,丸田恭, 1.7, 55, -12,   5,10, 46.3, ⑩⑪, 8, 8,Ｉアトス, 59,田辺裕, 0.7, 61,  -6,   3,13,162.6, ⑨⑨
