08年 6月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月21日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1400m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｽﾄｰｸｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｅトウカイポプリ, 55,石橋守,, 66,*  3,*  2, 2,  5.0, ①①, 1, 5, ツルマルジャパン,---,武豊  ,, 70,*  5,* -6, 2,  3.0, ①①, 1, 4,Ｆタマモナイスプレイ, 57,武豊  ,, 77,*  2,*  3, 1,  2.9, ①①, 1, 9,Ｃマイネルレｰニア, 83,佐藤哲,, 94,* 14,*  8, 2,  4.8, ①①
 2, 3,Ｄコパノアコチャン, 56,藤岡康, 0.0, 64,  -3,*  7, 5, 11.9, ⑥⑥, 2, 8, セイウンワンダｰ,---,岩田康, 0.1, 67,*  4,* -5, 1,  1.9, ②②, 2,10,Ｅエスポワｰルシチｰ, 58,佐藤哲, 0.4, 70,*  0,*  1, 4,  9.7, ③③, 2, 5,Ｇマンテンハット, 79,菊地昇, 0.7, 85,* 12,   3,15, 90.8, ③③
 3, 7,Ｃミコノス, 58,田中克, 0.5, 61,   0,   0, 1,  2.4, ⑤④, 3, 4, リディック,---,上村洋, 1.5, 53,*  4, -23, 6, 34.3, ③③, 3,18, オセアニアボス,---,川田将, 1.2, 59,  -4,  -5, 6, 12.1, ⑨⑦, 3,11,Ｄピサノアルハンブラ, 81,岩田康, 0.9, 80,   7,   4, 8, 25.3, ⑥⑧
 4, 4,Ａインタｰレｰス, 65,川田将, 0.9, 58,   0,  -4, 3,  6.8, ③④, 4, 2, ナムラタイシ,---,角田晃, 1.9, 50,   3, -27, 5, 21.2, ⑦⑤, 4,11,Ｂヤマニンファンシｰ, 61,藤岡康, 1.3, 59,*  0, -11, 8, 21.5, ③③, 4, 6,Ｂゲイルスパｰキｰ, 85,幸英明, 0.9, 82,   8,   5, 3,  5.3, ⑪⑥
 5, 2, ルｰシｰショｰ,---,船曳文, 1.2, 52,  -5,  -2, 9, 30.5, ⑨⑨, 5, 9, クリノメッセンジャ,---,幸英明, 2.1, 48,  -3, -20, 8, 87.1, ⑨⑧, 5,12,Ｃプロフェッショナル, 61,浜中俊, 1.4, 58,  -7,  -3, 2,  4.1, ⑪⑩, 5, 3,Ｊキッスアンドライド, 78,石橋守, 1.2, 78,   6,   3,11, 56.0, ⑧⑩
 6, 8,Ｂメイショウフェｰヴ, 59,幸英明, 1.2, 53,  -3,  -3, 8, 22.9, ⑥⑦, 6, 6, ショウナンサミット,---,浜中俊, 2.2, 48,   1, -30, 4,  7.8, ⑥⑤, 6,15,Ｉホッカイシｰラ, 55,鮫島良, 1.4, 59,  -1,  -9,12, 86.3, ⑤⑤, 6, 2,Ａタニノハイクレア, 87,赤木高, 1.2, 77,   4,*  7, 5,  8.8, ⑭⑬
 7, 9,Ｆラフレッシュブルｰ, 55,福永祐, 1.4, 50,  -9,   1, 4,  7.4, ⑭⑬, 7, 3, マコトバンクウ,---,田中克, 2.4, 43,   2, -35, 7, 50.8, ⑤⑤, 7,14,Ａスマックガｰル, 61,熊沢重, 1.5, 57,  -4,  -7, 7, 14.1, ⑨⑩, 7,16,Ｈスピｰドタッチ, 79,太宰啓, 1.3, 79,* 11,  -5, 7, 12.4, ③③
 8,11, リバｰキャッスル,---,小牧太, 1.8, 46,  -9,  -3,11, 54.8, ⑭⑬, 8, 1, レッドジｰル,---,福永祐, 3.1, 36,*  4, -47, 3,  6.9, ③③, 8, 9,Ｇマッキｰエヴァ, 56,野元昭, 1.6, 56,  -4,  -9,11, 75.5, ⑧⑦, 8, 4,Ｌレッドビｰムシチｰ, 75,川島信, 1.4, 75,   8,  -1,13, 59.8, ⑨⑩
 9,15,Ｉナンバｰファイブ, 38,和田竜, 2.1, 46,  -2, -13,10, 30.5, ⑥⑦, 9, 7, フジノチヨヒメ,---,野元昭, 3.2, 36,  -3, -38, 9,122.6, ⑧⑧, 9, 6,Ｈメイブ, 55,角田晃, 1.7, 56,  -1, -13, 9, 38.3, ⑤⑤, 9,10,Ｆアｰバンストリｰト, 80,上村洋, 1.5, 73,   0,*  7, 4,  6.2, ⑰⑯
10, 5, ミュｰズマジック,---,鮫島良, 2.2, 43,  -9,  -8, 6, 19.0, ⑬⑪,,,,,,,,,,,,,10,16,Ｌヒカルアルテミス, 44,岩田康, 1.8, 52, -10,  -3,13,101.6, ⑬⑮,10, 1,Ｑコレデイイノダ, 70,浜中俊, 1.6, 74,   4,   2,12, 57.1, ⑫⑬
11,10,Ｇコアレスバｰド, 50,浜中俊, 2.3, 43,*  2, -19, 7, 19.5, ②②,,,,,,,,,,,,,11, 2,Ｍウォルトンコクカ, 43,和田竜, 1.8, 53,  -8,  -7,14,117.8, ⑬⑬,11,14,Ｏバルバレスコ, 75,熊沢重, 1.6, 73,   6,  -2,17, 99.0, ⑫⑩
12,16,Ｈベイビｰワンカフェ, 44,熊沢重, 2.4, 44,*  2, -19,14,114.3, ③②,,,,,,,,,,,,,12, 5,Ｄスナｰクマイハｰト, 60,田中健, 2.2, 50,*  1, -24, 3,  6.1, ②②,12, 8,Ｋレットバトラｰ, 78,橋本美, 1.8, 70,   7,  -7, 6, 11.4, ⑨⑧
