08年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月16日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ小倉,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
,,,,,,,,,,,,,,,,,,,,,,,,14,16,Ｊシゲルディザイア, 53,田中克, 1.5, 53,  -9,  -5,14, 81.0, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,15, 9,Ｍサマｰナイトスタｰ, 48,角田晃, 1.7, 51,  -5, -12,10, 31.9, ⑫⑪,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16, 2, ハクユウヴァンクル,---,酒井学, 2.1, 45,*  3, -26,15,100.4, ②②,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17, 6, シルクレガシｰ,---,上村洋, 2.2, 43, -18,  -7,17,108.5, ⑱⑱,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｎアグネスフィｰバｰ, 46,佐藤哲, 2.6, 38,*  1, -30, 9, 27.8, ③⑦,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:64 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:不良(指数:8),,,,,,,,,,,,ｸﾗｽ上位平均:81 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:不良(指数:8),,,,,,,,,,,
"単勝:480円 複勝:03=130円 10=170円 06=110円 枠連:1,500円",,,,,,,,,,,,"単勝:940円 複勝:02=270円 01=140円 07=410円 枠連:1,100円",,,,,,,,,,,,"単勝:470円 複勝:05=200円 04=970円 15=280円 枠連:6,920円",,,,,,,,,,,,"単勝:1,720円 複勝:05=270円 08=150円 04=110円 枠連:3,190円",,,,,,,,,,,
"馬連:1,450円 ワイド:03-10=430円 03-06=190円 06-10=260円",,,,,,,,,,,,"馬連:1,280円 ワイド:01-02=490円 02-07=1,290円 01-07=920円",,,,,,,,,,,,"馬連:11,080円 ワイド:04-05=2,360円 05-15=710円 04-15=5,420円",,,,,,,,,,,,"馬連:2,950円 ワイド:05-08=750円 04-05=400円 04-08=210円",,,,,,,,,,,
"馬単:2,560円 3連複:730円 3連単:6,260円",,,,,,,,,,,,"馬単:3,610円 3連複:4,290円 3連単:32,710円",,,,,,,,,,,,"馬単:16,310円 3連複:26,260円 3連単:182,940円",,,,,,,,,,,,"馬単:8,180円 3連複:1,380円 3連単:14,650円",,,,,,,,,,,
■ 2R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 5R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 8R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,久留米特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂファイナルパンチ, 64,小牧太,, 63,   2,*  6, 1,  2.5, ④③, 1, 3,Ａオメガクエスト, 70,浜中俊,, 68,*  0,* 14, 2,  2.8,②②②, 1,10,Ａアルシラｰト, 71,佐藤哲,, 69,   1,*  4, 4, 11.7, ⑦④,13, 1,Ｂパｰプルアカデミｰ, 76,上野翔, 0.0, 74,   4,* 11, 1,  2.1,③④③
 2, 2,Ｄマルブツエンペラｰ, 58,浜中俊, 0.1, 63,*  5,   4, 2,  4.5, ②③, 2,11,Ｅカラメルマキアｰト, 59,吉田隼, 0.3, 66,*  0,* 11, 1,  2.1,①①①, 2, 3,Ｌニシノヴァネッサ, 62,酒井学, 0.2, 67,  -4,*  5, 7, 30.5, ⑪⑨, 1, 8,Ｈヨクバリ, 73,太宰啓,, 70,   2,* 12, 5, 11.8,⑨⑫⑪
 3,10,Ａアサケボｰイ, 68,幸英明, 0.5, 58,   1,   3, 4,  6.5, ⑦⑥, 3, 1,Ｇトｰワヒヨシマル, 56,田中健, 0.8, 64,* -2,*  9,10, 87.5,③④③, 3, 9,Ｃキアｰロ, 70,田中健, 0.4, 67,   4,  -1, 6, 16.5, ③①, 2,11,Ｃロｰルオブザダイス, 75,鮫島良, 0.4, 71,   3,   9, 6, 21.3,⑥⑦⑦
 4, 5,Ｃニホンピロソフィｰ, 61,熊沢重, 0.5, 60,*  8,  -2, 6,  9.8, ①①, 4, 2,Ｏシゲルヴォドレ, 40,角田晃, 2.4, 52,  -4,   0,13,154.0,⑤⑦⑥, 4,11,Ｅカシノカスケｰド, 69,野元昭, 0.4, 66,*  5,  -2, 5, 14.5, ②②, 3, 4,Ｐレッドゾｰン, 65,和田竜, 0.6, 70,   2,  10,14, 95.8,⑭⑬⑪
 5,12,Ｇファサｰド, 51,和田竜, 0.7, 56,  -1,   2, 5,  9.1, ⑦⑧, 5, 8,Ｆグランドツインクル, 56,小牧太, 2.5, 50,  -4,  -1, 4,  9.2,⑫⑦⑥, 5, 7,Ｄスタｰアイル, 70,小牧太, 0.5, 61, -12,*  8, 1,  1.8, ⑭⑬, 4, 3,Ｄトムトップ, 75,岩崎祐, 0.6, 70,   1,* 13, 8, 28.6,⑭⑯⑭
 6, 7,Ｅグレイスシチｰ, 52,藤岡康, 0.9, 55,*  5,  -4, 7, 21.3, ②②, 6,14,Ｎマサカｰネ, 41,高野容, 2.7, 51,  -2,  -5,11,142.8,③⑤⑤, 6, 8,Ｊキングベガロｰド, 66,難波剛, 0.5, 63,  -2,   2,10, 43.0, ⑨⑨, 5, 2,Ｌアイファｰドラゴン, 70,野元昭, 0.7, 67,   3,   6,15,127.7,⑬⑦③
 7, 6,Ｊカシノリボン, 46,岩部純, 1.0, 53,   2,  -3,10, 94.2, ④⑤, 7,12,Ｃオンワｰドファイン, 63,太宰啓, 2.8, 49,  -4,  -1, 6, 25.1,⑩⑩⑨, 7,14,Ｋヴァイスハイト, 64,吉田隼, 0.7, 63,   4,  -3, 2,  6.8, ③⑥, 6, 6,Ｆクオン, 74,渡辺薫, 0.9, 67,   1,   8,10, 39.4,⑫⑬⑬
 8, 9,Ｈフォティディクタｰ, 48,石橋守, 1.0, 52,  -9,   5, 8, 48.6, ⑪⑩, 8,15,Ｂミキノジャズマン, 69,幸英明, 2.9, 46,* -1, -10, 3,  7.8,⑤②③, 8, 6,Ｆミステリアスバイオ, 69,船曳文, 0.7, 63,*  7,  -6,11, 44.2, ①③, 7,15,Ｋエムティｰエアｰ, 71,幸英明, 0.9, 65,*  6,   1, 7, 23.3,③②①
 9, 3, リバｰアゲイン,---,田村太, 1.1, 49, -19,* 10,11,157.2, ⑭⑭, 9, 7,Ｊスタｰベツレヘム, 44,渡辺薫, 3.0, 50,  -7,   2,14,201.4,⑭⑭⑭, 9, 4,Ｇハナムケ, 67,岩部純, 0.7, 62,   1,  -2, 8, 33.7, ⑦④, 8,16,Ｉシゲルカイノセ, 72,角田晃, 1.2, 65,   3,   3,11, 39.6,⑪⑩⑦
