08年10月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年10月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ｼﾘｳｽｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,10,Ｌファンドリプライド, 28,安藤光, 2.6, 23, -17, -15,11,168.9, ⑫⑫,,,,,,,,,,,,,12,10,Ｋマジックディｰヴァ, 61,幸英明, 1.6, 61,*  8,  -8,10, 57.8, ②②,12, 5,Ｎウイントリガｰ, 79,浜中俊, 1.9, 79,  14,  -2,13, 56.9,⑧⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｈスプリングプラハ, 65,川田将, 1.8, 60,  -2,   0,12, 92.0, ⑪⑫,13,13,Ｋナリタブラック, 84,中村将, 1.9, 78,  12,   2,16,156.3,⑩⑫⑮
,,,,,,,,,,,,,,,,,,,,,,,,14,13,Ｉトップオブバイオ, 62,田中克, 1.9, 59,  -1,  -2, 8, 56.3, ⑬⑨,14, 7,Ｉマイネルテセウス, 86,鮫島良, 2.0, 78,* 16,  -8,14, 58.0,②②①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,16,Ｊドラゴンウェルズ, 84,岩田康, 2.2, 78,  12,   2, 7, 28.9,⑪⑯⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,12,Ｏプロヴィナｰジュ, 75,酒井学, 2.8, 74,  14, -10,11, 47.0,⑥⑥⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-19 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:91 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:-1),,,,,,,,,,,
単勝:190円 複勝:06=110円 12=140円 02=300円 枠連:340円,,,,,,,,,,,,"単勝:190円 複勝:10=150円 06=830円 02=230円 枠連:3,510円",,,,,,,,,,,,"単勝:640円 複勝:12=300円 14=400円 08=440円 枠連:1,540円",,,,,,,,,,,,"単勝:1,520円 複勝:10=280円 14=130円 06=240円 枠連:1,360円",,,,,,,,,,,
馬連:340円 ワイド:06-12=170円 02-06=550円 02-12=530円,,,,,,,,,,,,"馬連:6,340円 ワイド:06-10=1,950円 02-10=500円 02-06=4,050円",,,,,,,,,,,,"馬連:2,620円 ワイド:12-14=660円 08-12=550円 08-14=930円",,,,,,,,,,,,"馬連:2,010円 ワイド:10-14=630円 06-10=1,940円 06-14=420円",,,,,,,,,,,
