08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 6月22日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1200m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  芝2000m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝2000m 3歳上ｵｰﾌﾟﾝ(牝) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,ﾏｰﾒｲﾄﾞｽﾃｰｸｽ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 3,Ｏラウニカ, 23,橋本美, 2.1, 46,  -6, -12,15,110.7,⑯⑯⑭,12,11, アステｰル,---,石橋守, 2.3, 36, -12, -21,12, 97.7, ⑫⑫,12, 3,Ｍクリノラブダンス, 54,田中健, 3.7, 49,  13, -56,13,216.7,④③⑧,12, 3,Ｅサンレイジャスパｰ, 85,難波剛, 4.7, 50,  11, -69, 7, 23.3,③④⑩
13,11, アイスキャスケｰド,---,田中克, 3.1, 40,  -4, -24,11, 64.0,⑫⑧⑭,,,,,,,,,,,,,13,10,Ｈスｰパｰレインボｰ, 66,岡部誠, 8.5,-15,* 14, ---, 6, 15.9,①①⑥,,,,,,,,,,,,
14, 8,Ｋリュウセイペガサス, 49,太宰啓, 3.4, 36,  -2, -30,13, 87.9,⑦⑦⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Ｍユウズツ, 47,渡辺薫, 3.5, 38,  -3, -29, 9, 45.1,⑧⑧⑫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,14,Ｉカツラコ, 51,川田将, 9.8,-11,  -7, -78, 6, 15.0,⑪⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:不良(指数:-13),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:稍重(指数:7),,,,,,,,,,,,ｸﾗｽ上位平均:89 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-23 馬場:重(指数:7),,,,,,,,,,,
"単勝:350円 複勝:10=170円 12=490円 04=1,550円 枠連:1,720円",,,,,,,,,,,,"単勝:480円 複勝:07=190円 04=310円 06=400円 枠連:1,330円",,,,,,,,,,,,"単勝:1,160円 複勝:04=370円 08=590円 02=260円 枠連:7,690円",,,,,,,,,,,,"単勝:11,630円 複勝:08=2,860円 02=860円 04=330円 枠連:11,620円",,,,,,,,,,,
"馬連:3,450円 ワイド:10-12=1,140円 04-10=2,850円 04-12=10,400円",,,,,,,,,,,,"馬連:2,180円 ワイド:04-07=900円 06-07=1,000円 04-06=1,350円",,,,,,,,,,,,"馬連:18,290円 ワイド:04-08=4,470円 02-04=1,490円 02-08=2,230円",,,,,,,,,,,,"馬連:74,000円 ワイド:02-08=13,710円 04-08=9,120円 02-04=2,990円",,,,,,,,,,,
