08年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 1月 5日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,初日の出ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｅメジロアリエル, 54,吉田豊,, 60,*  2,  -7, 4,  8.1,①①①, 1,10, バｰニングブライト,---,安藤光,, 58, -12,   5, 5, 10.2,⑨⑨⑧, 1, 8,Ｈファイトスピリッツ, 71,田辺裕,, 73,   0,* 15, 1,  3.5,⑧⑤⑤, 1, 3,Ｊレオエンペラｰ, 81,江田照,, 90,   8,  23, 1,  5.0,③⑥③
 2, 5,Ｂヒロアンジェロ, 57,蛯名正, 0.0, 56,  -5,* -1, 6, 13.4,⑪⑩⑦, 2, 7, エフティメガミ,---,蛯名正, 0.2, 54, -15,*  5, 4,  6.6,⑬⑪⑩, 2, 2,Ｂシンボリプロキオン, 76,田中博, 0.1, 77,  -1,* 17, 7, 22.2,⑬⑪⑧, 2, 2,Ｌメイショウゲンスイ, 80,後藤浩, 0.1, 89,*  9,  21, 5,  9.0,①①①
 3, 3,Ｇキャスタスペルミｰ, 51,田中勝, 0.3, 54,  -8,* -1, 5,  8.2,⑬⑬⑧, 3, 8, チャスキ,---,大野拓, 0.2, 54,*  3, -11, 7, 20.7,①①①, 3, 3,Ｄボナパルト, 75,蛯名正, 0.1, 75,   1,* 14, 3,  6.2,⑦⑤③, 3, 5,Ｆフィｰルドオアシス, 85,柴田善, 0.2, 92,   8,  24, 6,  9.7,⑩⑦⑦
 4, 7,Ｃデルマベガ, 56,吉田隼, 0.4, 56,*  1,  -9, 1,  2.9,③②②, 4, 1, ブレイクアスペル,---,田中博, 0.7, 51,   0, -13, 3,  5.5,⑤⑤③, 4, 9,Ｊコｰルトゥアｰミｰ, 70,左海誠, 0.2, 76,   0,* 15, 8, 22.8,⑫⑪⑥, 4, 6,Ａアグネスネクタル, 90,松岡正, 0.2, 92,   6,* 26, 2,  5.1,⑫⑩⑨
 5,12,Ａメジロフロｰラ, 59,石橋脩, 0.6, 53,*  0, -10, 2,  4.3,③③③, 5,15, シルクロブスト,---,小林久, 0.8, 49, -22,*  6,12,101.9,⑭⑬⑭, 5, 6,Ｇロックリヴァｰ, 72,松岡正, 0.4, 74,   2,  11, 4,  7.0,③③③, 5,13,Ｏエｰシンピｰシｰ, 78,蛯名正, 0.4, 89,*  9,  19, 3,  5.3,⑧②③
 6, 4,Ｊチャｰムベル, 49,菊沢隆, 1.0, 48, -10,* -3,14,117.3,⑮⑮⑪, 6, 3, ナイキウェルネス,---,横山典, 0.8, 49,  -2, -12, 2,  3.7,⑥⑥⑥, 6, 5,Ａアルファオリオン, 76,田中勝, 1.3, 70,  -2,  10, 2,  4.4,⑮⑯⑭, 6,10,Ｅベルｰガ, 85,吉田豊, 0.7, 89,   5,  23, 9, 20.3,⑮⑭⑬
 7,14,Ｋアメリカンヒロイン, 49,小林淳, 1.1, 50,  -2, -12,11, 37.8,③⑤④, 7,16, フクノブリング,---,草野太, 0.8, 49, -27,* 11,14,117.3,⑯⑯⑫, 7,12,Ｎチェイスバニヤン, 58,梶晃啓, 1.4, 66,*  3,   0,14, 74.8,①①①, 7,11,Ｈイセノイチ, 84,村田一, 0.7, 90,   6,  23,10, 22.1,⑭⑭⑪
 8, 1,Ｄエイトシｰド, 54,村田一, 1.3, 48,  -2, -14, 9, 29.8,⑦⑤④, 8,12, ハギノサフィラ,---,左海誠, 0.9, 50, -12,  -2,10, 58.8,⑪⑨⑩, 8,11,Ｅバックスラッシュ, 73,津村明, 1.5, 66,  -1,   6,13, 56.9,⑯⑭⑭, 8,12,Ｃゼンノコｰラル, 86,的場勇, 0.8, 89,   5,* 24,12, 33.3,⑯⑯⑮
 9, 8,Ｍフォンテｰヌ, 39,嘉藤貴, 1.4, 45,  -3, -14,16,154.6,⑧⑧⑧, 9,11, サウスジャック,---,柴田善, 1.0, 48,*  3, -18, 1,  3.1,①②②, 9, 7,Ｆグラマトフィラム, 73,勝浦正, 1.6, 66,   0,   4, 5,  8.8,⑨⑪⑧, 9, 9,Ｍランダムシｰド, 79,木幡初, 0.8, 84,*  9,  15,11, 22.5,②②②
10,15,Ｉコスモドリｰミン, 50,佐藤聖, 1.5, 45,  -3, -15,10, 35.4,⑨⑧⑧,10,14, タママリアケイ,---,津村明, 1.1, 47,   1, -17,11, 97.4,③③③,10, 4,Ｍベロボｰグ, 58,石橋脩, 1.8, 61,*  3,  -4,15, 75.8,①②②,10, 1,Ｎシｰサンダｰ, 79,鮫島良, 0.9, 88,   6,  19,14,123.4,⑤⑩⑦
11,13,Ｆサマｰグロリアス, 54,津村明, 1.9, 40,  -7, -14,12, 78.0,⑬⑬⑮,11, 4, テキサスホｰルデム,---,村田一, 1.2, 46, -19,   0, 6, 13.3,⑩⑫⑫,11,14,Ｌルドベキア, 60,吉田隼, 2.0, 62,   0,  -1,10, 30.0,⑤⑤⑥,11, 7,Ｉコウエイノホシ, 81,吉田隼, 1.6, 81,   7,  13, 7, 13.2,⑧⑧⑬
12,10,Ｈオンワｰドメモリア, 51,的場勇, 1.9, 40,  -7, -15, 8, 24.2,⑫⑫⑪,12, 9, エプソムヒット,---,木幡初, 1.6, 42, -10, -11,16,145.9,⑧⑧⑧,12,13,Ｐイメｰジボックス, 56,川田将, 2.2, 60,   1,  -3,16,101.8,⑤⑤⑧,12, 4,Ｄラバグルｰト, 85,武士沢, 1.6, 83,   7,  13,15,175.6,⑦⑧⑨
13,16,Ｌコスモホウキボシ, 43,柴山雄, 2.1, 39,  -4, -18,15,129.5,⑨⑩⑪,13, 6, ドレストウショウ,---,鮫島良, 2.4, 36,  -4, -24,13,112.5,⑦⑦⑦,13, 1,Ｋロｰドキャニオン, 67,二本柳, 2.3, 59,  -1,   0, 9, 25.2,⑩⑭⑭,13,16,Ｐクリｰン, 77,横山典, 1.6, 79,*  9,   9, 8, 17.0,④②③
14, 9,Ｐニシノベロｰチェ, 32,小牧太, 2.1, 37, -17,  -7, 7, 22.2,⑯⑯⑯,14,13, ギンザセシボン,---,勝浦正, 3.0, 31,*  2, -34, 8, 38.0,③③⑤,14,15,Ｉレイザストレングス, 71,横山典, 2.6, 58,   1,  -6,11, 34.4,⑩⑤⑧,14,15,Ｇキングトップガン, 85,川田将, 1.7, 79,*  9,   9, 4,  7.9,⑤②⑥
15,11,Ｏウォｰネックレス, 33,左海誠, 2.5, 37,  -1, -25, 3,  7.0,②③⑪,15, 2, チャタル,---,二本柳, 3.7, 22, -21, -19,15,124.4,⑪⑬⑮,15,10,Ｃピサノダイチ, 75,青木芳, 4.2, 48,   0, -19, 6, 16.6,⑬⑤⑫,15, 8,Ｂスズカジョリｰズ, 86,安藤光, 1.9, 79,   6,  11,16,201.7,⑫⑩⑪
