08年12月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月 7日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｸｱﾗｲﾝS,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｈニュｰトン, 43,北村宏,, 67,* 15,  -5, 5,  7.9, ①①, 1, 3, ペネトレｰタｰ,,横山義,,,,, 1,  2.3,①①①, 1, 3,Ｂレッドヴァンクｰル, 76,北村宏,, 74,*  7,   9, 1,  2.0, ①①, 1, 7,Ａヒシカツリｰダｰ, 89,木幡初,, 82,  -5,* 23, 4, 12.4, ⑩⑩
 2, 9,Ｅレッドレイク, 48,吉田豊, 0.7, 55,  -3,*  6,13,178.9, ⑪⑨, 2,10, グリュｰエント,,西谷誠,194.9,,,, 2,  2.4,③②②, 2,10,Ａゼットサンサン, 78,デムｰ, 0.0, 74,   5,* 11, 2,  2.2, ③③, 2,12,Ｃスリｰセブンスピン, 87,吉田隼, 0.0, 83,*  1,  17, 1,  1.8, ②②
 3, 4,Ａブルｰハｰト, 61,松岡正, 1.4, 51,   5,  -8, 1,  3.4, ⑦⑦, 3,13, サンベルナｰル,,高野和,196.0,,,, 5, 19.5,⑥④③, 3, 1,Ｇアポロストｰム, 49,勝浦正, 0.7, 67,   0,   9, 6, 23.2, ⑥⑥, 3, 8,Ｆクランエンブレム, 83,松岡正, 0.2, 81,  -6,* 22, 6, 18.1, ⑨⑦
 4, 6,Ｂツクバハピネ, 58,柴田善, 1.5, 53,  12, -15, 7, 12.8, ④③, 4, 7, モリノミヤコ,,浜野谷,196.0,,,, 4, 11.0,⑦⑤⑤, 4, 4,Ｆキングオバマ, 52,柴田善, 1.0, 65,*  6,   1, 5, 22.2, ②②, 4, 6,Ｄサンエムパｰム, 85,熊沢重, 0.2, 81,  -2,  18, 5, 14.3, ⑤⑤
 5,16,Ｊガネｰシャ, 40,伊藤工, 1.5, 48,   0,  -4,14,204.0, ⑧⑧, 5, 6, オンワｰドアリｰテ,,宗像徹,196.7,,,, 8, 51.5,⑪⑪⑪, 5, 5,Ｃクイックハンタｰ, 68,三浦皇, 1.3, 62,   3,   3, 4, 13.5, ⑤④, 5, 3,Ｅマジックボンバｰ, 85,デムｰ, 0.4, 79,*  1,  14, 2,  5.0, ①①
 6, 5,Ｎゴｰルドラプソディ, 33,安藤光, 1.8, 44,  -3,  -4,10,135.5, ⑨⑩, 6, 1, グランツｰリズモ,,五十嵐,197.0,,,, 3,  7.4,②③④, 6, 8,Ｄブレｰヴゴｰルド, 65,吉田隼, 1.8, 57,  -1,   2, 3, 12.2, ⑦⑦, 6,15,Ｉアルシラｰト, 80,田中勝, 0.5, 79,  -4,  18, 9, 49.6, ⑧⑧
 7, 2,Ｍタカラクエスト, 35,丸田恭, 2.0, 42,  -6,  -3,11,141.4, ⑫⑫, 7,12, スプリングカラｰ,,金子光,197.2,,,, 6, 33.8,⑤⑥⑥, 7, 2,Ｅムラマサノメイトｰ, 59,小林淳, 2.6, 51,   3, -10, 7, 56.5, ④⑤, 7,14,Ｊオヤマハリケｰン, 80,柴田善, 0.8, 76,*  0,  11,10, 97.6, ③③
 8,10,Ｄモアザンスマｰト, 48,三浦皇, 2.0, 49,* 15, -22, 3,  6.1, ②②, 8, 5, テイエムフッカツ,,大庭和,198.2,,,, 7, 39.7,⑨⑩⑩, 8, 9,Ｈキャラメルボイス, 45,武士沢, 3.3, 46,   0, -12, 9,195.8, ⑧⑧, 8,10,Ｂマルタｰズマッシブ, 87,西田雄, 1.1, 72,  -8,  16, 8, 36.7, ⑬⑭
 9, 7,Ｋゴｰゴｰヒロシ, 40,勝浦正, 2.1, 43,  -3,  -6, 9, 72.9, ⑩⑪, 9, 8, ウエルアップ,,平沢健,198.3,,,,12,199.0,④⑦⑦, 9, 6, ミスウッズ,---,江田照, 4.9, 31,  -4, -22,10,261.3, ⑨⑨, 9, 9,Ｈタガノシャンハイ, 81,小野次, 1.1, 72, -12,  19,11,133.1, ⑮⑮
10,15,Ｉアイスブルｰ, 42,田中博, 2.8, 37, -11,  -5, 6, 11.4, ⑮⑭,10, 2, クイックステップ,,柴田未,198.3,,,,11,181.5,⑧⑧⑧,10, 7, エルデストドｰタｰ,---,千葉直, 5.2, 27,  -4, -25, 8,129.5, ⑩⑩,10,11,Ｍグリｰンアラモｰド, 77,柴山雄, 1.1, 73,  -4,  12, 7, 21.5, ⑦⑨
11,12,Ｇコｰヒｰゼリｰ, 44,津村明, 2.9, 39,  10, -25, 8, 18.2, ⑥⑤,11, 4, ビｰビｰライナｰ,,穂苅寿,199.9,,,,10, 88.4,⑩⑨⑨,,,,,,,,,,,,,11,16,Ｌホウショウルビｰ, 78,田中博, 1.1, 73,  -3,  11,14,188.7, ⑥⑥
12,14,Ｆカフェアラジン, 47,中舘英, 3.0, 39,* 13, -29, 2,  3.8, ③④,12, 9, スプリングロック,,蓑島靖,200.3,,,, 9, 58.7,⑫⑫⑫,,,,,,,,,,,,,12, 5,Ｇアナモリ, 82,三浦皇, 1.2, 72,  -8,  16, 3,  6.1, ⑫⑬
13, 3,Ｌエスエスサンライズ, 35,江田照, 3.8, 30, -11, -14,15,242.1, ⑭⑮,13,11, クリプトジュエル,,柴田大,203.8,,,,14,243.9,⑬⑬⑬,,,,,,,,,,,,,13,13,Ｋデイフラッシュ, 80,菊沢隆, 1.4, 70,  -5,  11,15,210.5, ⑪⑪
14, 1,Ｏテンシノリｰダｰ, 21,大野拓, 3.8, 30, -10, -15,12,178.4, ⑬⑬,,,,,,,,,,,,,,,,,,,,,,,,,14, 1,Ｏタガノエスペランサ, 72,村田一, 1.5, 72,  -1,   7,12,146.9, ④④
15,13,Ｃオンワｰドダンク, 52,郷原洋, 4.1, 29,  11, -37, 4,  7.4, ⑤⑥,,,,,,,,,,,,,,,,,,,,,,,,,15, 2,Ｐウエスタンクィｰン, 54,的場勇, 2.6, 61, -10,   5,16,269.2, ⑭⑫
