08年 8月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 8月23日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ札幌,,,,,,,,,,,,,,,,,,,,,,,,石狩特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 8,Ｅコスモルマン, 50,北村友, 1.7, 43,  -9, -18, 8, 53.6,④⑥⑨,12,15, マキシムエンデバｰ,---,丸田恭, 3.1, 20, -22, -25,12,103.5, ⑩⑫,12, 8,Ｌディアディアｰ, 51,武幸四, 2.7, 45, -23,   1,11, 91.8, ⑫⑫,12, 3,Ｍジョｰネンボｰ, 58,郷原洋, 1.9, 56,  -4,   2,12,146.3,⑬⑬⑫
13,12,Ｍキタサンアｰス, 32,池添謙, 2.3, 36, -16, -12,14,211.7,⑫⑭⑬,13, 9, ナムラアマランス,---,北村浩, 3.3, 19, -20, -29,13,106.0, ⑦⑧,,,,,,,,,,,,,13, 2,Ｎリワｰドファントム, 30,大野拓, 3.1, 38,*  2, -29,11,130.1,②②⑤
14, 7,Ｋハヤブサリｰフ, 42,津村明, 3.6, 24, -13, -34,13,174.2,⑩⑪⑬,14, 3, アイファｰラムオｰ,---,的場勇, 5.3, -8, -48, -28,14,148.7, ⑭⑭,,,,,,,,,,,,,14,12,Ｋスズノライコウ, 61,北村友, 3.7, 34,  -2, -30,14,243.7,③⑤⑭
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:58 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:75 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:良(指数:-3),,,,,,,,,,,
単勝:190円 複勝:02=110円 14=170円 06=730円 枠連:360円,,,,,,,,,,,,単勝:250円 複勝:05=140円 07=240円 01=640円 枠連:640円,,,,,,,,,,,,"単勝:260円 複勝:04=130円 02=260円 01=230円 枠連:1,870円",,,,,,,,,,,,"単勝:430円 複勝:10=190円 04=200円 01=800円 枠連:1,090円",,,,,,,,,,,
"馬連:540円 ワイド:02-14=230円 02-06=1,240円 06-14=2,700円",,,,,,,,,,,,"馬連:1,210円 ワイド:05-07=440円 01-05=1,340円 01-07=2,370円",,,,,,,,,,,,"馬連:1,540円 ワイド:02-04=510円 01-04=490円 01-02=1,160円",,,,,,,,,,,,"馬連:1,190円 ワイド:04-10=460円 01-10=2,020円 01-04=2,050円",,,,,,,,,,,
