08年 3月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 3月30日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2880m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｽﾋﾟｶｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅザムｰン, 54,小林淳,, 62,  -2,   2,10, 28.6, ⑤⑥, 1,13, ヘンリｰゴンドｰフ,,横山義,,,,, 1,  1.7,④②②, 1, 6,Ａトｰセントゥルｰ, 76,後藤浩,, 72,*  6,   7, 1,  2.5,②②②, 1, 3,Ｃヒカリシャトル, 84,後藤浩,, 89,  15,   6, 1,  2.9,③③②
 2,10,Ａケイアイガルチ, 62,吉田豊, 0.1, 61,   0,  -1, 1,  2.1, ③③, 2, 2, グラスファイタｰ,,山本康,195.9,,,, 5, 15.8,①①①, 2,14,Ｄヤクモキャット, 69,吉田豊, 0.3, 75,  -1,* 18, 6, 25.4,⑭⑫⑩, 2,12,Ｏアップルサイダｰ, 72,小野次, 0.3, 89,  14,   7,13, 57.3,③④④
 3, 6, スペシャルジョイ,---,今野忠, 0.3, 59, -17,* 14, 6, 17.8, ⑭⑪, 3,14, マイネルデネブ,,金子光,196.5,,,, 3,  6.4,④⑤④, 3, 5,Ｂロックザキャスバ, 73,柴田善, 0.4, 69,*  5,   4, 2,  3.1,⑥③③, 3, 9,Ｈブレｰヴハｰト, 80,田中剛, 0.3, 89,   9,* 15, 6, 18.7,⑫⑪⑪
 4, 8,Ｃシｰサンメイ, 59,小野次, 0.4, 57,  -5,   1, 2,  4.1, ⑧⑦, 4, 6, メジロラスタバン,,五十嵐,196.8,,,, 8, 87.9,⑥⑥④, 4, 7,Ｇカオリエスペランサ, 67,津村明, 0.8, 66,   3,   4, 5, 22.3,⑧⑤⑤, 4,14,Ｆイｰスタｰ, 80,蛯名正, 0.3, 89,  11,* 11, 3,  4.1,⑨⑧⑦
 5,11,Ｆセイントプラチナ, 53,佐藤哲, 0.6, 57,*  5,  -9, 8, 23.6, ①①, 5, 4, ブラウマイスキｰ,,石神深,196.9,,,, 7, 56.9,⑦⑦⑥, 5,16,Ｃヒシポラリス, 71,田中博, 1.0, 65,*  6,  -2, 3,  4.9,①①①, 5, 2,Ｅサケダイスキ, 81,吉田豊, 0.5, 85,* 19,  -9, 4, 13.9,②②②
 6, 5,Ｇキャスタスペルミｰ, 50,村田一, 0.7, 56,  -6,  -1, 3,  7.0, ⑩⑦, 6, 8, ハｰトオンスマイル,,穂苅寿,197.0,,,, 6, 36.9,⑩⑨⑦, 6, 2,Ｉサクラオｰルイン, 63,田中勝, 1.4, 66,  -2,* 10,10, 48.8,⑯⑭⑫, 6, 5,Ａダイワルビア, 86,柴田善, 0.7, 84,  13,  -1,10, 38.6,⑤④④
 7, 1,Ｉサマｰシルクロｰド, 34,津村明, 1.0, 53,  -2,  -6,11, 43.6, ⑤⑤, 7,12, チェルケッティ,,宗像徹,197.8,,,, 2,  4.0,②③③, 7, 9,Ｋデュｰクトｰゴｰ, 61,大庭和, 1.5, 65,   1,   3,12,142.5,⑨⑨⑧, 7,15,Ｂキタノリュｰオｰ, 85,北村宏, 0.7, 84,   9,*  9, 2,  4.0,⑫⑪⑨
 8, 7,Ｂコパカバｰナ, 60,柴田善, 1.5, 49,*  2, -14, 5, 16.1, ②②, 8, 3, セレナドリｰム,,江田勇,199.0,,,,14,244.1,⑫⑪⑧, 8,13,Ｊバｰニングラブ, 61,北村宏, 1.6, 65,   1,   4,14,173.2,⑪⑩⑩, 8, 8,Ｋムラマサノヨｰトｰ, 79,小林淳, 1.0, 82,  10,   5, 8, 27.9,⑪⑪⑪
