08年 5月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月25日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1800m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,二王子特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｊウィンドチャイム, 48,宮崎北,, 57,  -5,*  3, 8, 20.6,⑦⑥③, 1,15,Ｌシルクシャンゼリゼ, 44,北村友,, 68,* -2,*  2, 6,  9.2,③③③, 1, 4,Ａソリッドラヴ, 74,宮崎北,, 69,*  8,   5, 4,  8.9, ②②, 1, 2,Ｊコアレスウィｰク, 58,北村友,, 77,* 31, -34, 9, 41.1, ①①
 2,13,Ｄミフユ, 57,北村友, 0.2, 55,* -3,  -2,10, 40.3,③②②, 2,16,Ｂドリｰムブレイド, 59,石橋脩, 0.8, 59,  -3,  -6, 2,  4.0,④④④, 2, 6,Ｄテイエムカイブツ, 70,芹沢純, 0.1, 71,   6,   7, 8, 12.6, ⑤④, 2, 6,Ｄピｰスメｰカｰ, 70,的場勇, 0.2, 75,  14,  -4, 3,  4.2, ③③
 3, 4,Ｃビｰマイドリｰム, 58,木幡初, 0.5, 55,  -8,*  4, 4,  6.8,⑩⑫⑩, 3, 9, マイネルクラｰル,---,津村明, 0.8, 63,  -6,*  3, 8, 22.6,⑩⑨⑦, 3, 8,Ｂラスカルデュｰク, 72,北村友, 0.2, 68,  -3,* 14,10, 33.6, ⑩⑩, 3, 7,Ｅタｰニングスワロｰ, 69,太宰啓, 0.5, 74,  14,  -8, 4,  6.0, ④③
 4,14,Ｆレッドウッド, 54,安藤光, 0.8, 52,  -4,  -6,11, 42.8,⑥④⑤, 4, 4,Ｃサマｰゲスト, 59,宮崎北, 0.9, 58,  -4,  -4, 9, 28.0,⑥⑥⑦, 4,12,Ｃロイヤルクリｰク, 70,三浦皇, 0.2, 68,   0,  10, 1,  2.8, ⑧⑧, 4, 4,Ｂキクカラヴリイ, 71,中舘英, 0.7, 73,  11,  -5, 2,  3.8, ⑤⑤
 5, 6,Ｂメイショウニｰス, 59,石橋脩, 0.9, 51,  -8,*  1, 2,  4.6,⑭⑬⑫, 5, 3,Ｅエｰシンダカｰポ, 57,中舘英, 1.0, 56,* -2, -13, 5,  8.3,①①①, 5, 3,Ｌダイナミックタｰン, 61,古川吉, 0.4, 68,*  8,   2,11, 42.4, ②①, 5, 5,Ｃワンダｰガジ, 70,松田大, 0.8, 71,   8,* -1, 8, 25.8, ⑩⑩
 6, 1,Ａホッカイドゥムカ, 59,田中博, 1.0, 50,* -2, -12, 3,  4.7,①①①, 6, 8,Ｆトラストジェニオ, 53,三浦皇, 1.0, 57,  -3,  -7, 4,  8.3,⑧⑥④, 6,10,Ｈベロｰチェ, 67,田中博, 0.6, 65,  -8,* 15, 3,  8.7, ⑭⑭, 6,10,Ａナムラシンドバッド, 78,三浦皇, 0.8, 71,  12,  -8, 1,  3.2, ⑤⑤
 7, 3,Ｉダンスセレクション, 52,三浦皇, 1.3, 49,  -6,  -7, 1,  3.8,④⑦⑨, 7, 6,Ｄコスモスプラッシュ, 57,大野拓, 1.1, 60,  -6,*  2, 1,  3.7,⑫⑪⑩, 7,15,Ｇインサイダｰ, 68,的場勇, 0.6, 65,   0,   8, 2,  5.0, ⑧⑧, 7, 8,Ｆヤマニンイグナイト, 65,安藤光, 0.9, 71,  10,  -5, 5, 11.1, ⑦⑦
 8, 7,Ｇアンリミテッドラヴ, 54,太宰啓, 1.4, 48,  -7,  -5,12, 46.8,⑦⑩⑫, 8, 2,Ａナンヨｰザベｰス, 62,田中博, 1.3, 54,  -3, -13, 3,  5.8,④④④, 8,13,Ｅフレンチムスメ, 70,津村明, 0.7, 64,  -3,  10, 6, 11.7, ⑩⑩, 8, 1,Ｇマジカルスタｰ, 65,嘉藤貴, 0.9, 70,   8,* -2,10, 55.3, ⑦⑨
