08年 9月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 9月20日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-12,,,,,■ 7R  ダ1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  ダ1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松戸特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂタイキジャガｰ, 45,内田博,, 55,*  0, -14, 3,  4.3, ②②, 1,15,Ｃクラッチヒット, 63,勝浦正,, 68,  -2,*  8, 3,  5.8, ⑦③, 1, 6,Ｃプレゼンスウｰマン, 67,小野次,, 64,  -1,*  8, 5, 11.7,⑤⑥④, 1,11,Ａハイオン, 86,北村宏,, 85,*  7,* 19, 1,  2.4,③③③
 2, 9,Ｄアイティアビｰ, 43,木幡初, 0.1, 53,  -2, -13, 2,  4.2, ⑤④, 2, 2,Ａヤマノテイオｰ, 67,松岡正, 0.0, 68,  -1,*  6, 2,  3.5, ④③, 2, 7,Ａウメノカイウン, 70,千葉直, 0.0, 67,  -1,*  9, 3,  5.4,⑥⑥⑤, 2,13,Ｇエイシンヴァイデン, 80,柴田善, 0.3, 83,*  7,  13, 5, 11.8,①①①
 3,10,Ｎオメガドルチェ,  3,北村宏, 0.2, 52,*  2, -18,12,107.3, ①①, 3, 7,Ｆトｰセンスプライト, 59,吉田豊, 0.4, 65,*  2,   0, 5, 15.5, ①①, 3, 4,Ｂニコニコママ, 69,田中勝, 0.1, 65,*  1,   4, 1,  2.3,②②②, 3, 5,Ｅタカオセンチュリｰ, 83,内田博, 0.4, 82,*  6,* 15, 6, 12.1,③③③
 4, 1,Ｆファインビｰナス, 41,田中勝, 0.2, 49, -10,* -6, 5,  8.5, ⑩⑩, 4, 8,Ｈスイｰトコルドバ, 50,黛弘人, 1.0, 59,*  1,  -5, 8, 21.0, ②②, 4, 3,Ｅマキハタセンシブル, 63,高山太, 0.9, 63,  -2,   6, 8, 53.9,⑨⑩⑧, 4, 7,Ｊレオソリスト, 77,江田照, 1.1, 77,*  7,   7, 7, 16.8,②②②
 5, 2,Ｃカモンベイビｰ, 44,柴山雄, 0.3, 50,  -6, -11, 9, 44.9, ⑦⑦, 5,16,Ｊセイウンホウジョｰ, 42,江田照, 1.2, 57,  -3,  -3, 7, 19.9, ⑦⑦, 5, 1,Ｈオリヒメチャｰム, 57,北村宏, 1.0, 59,*  1,  -3, 6, 18.1,③③③, 5, 2,Ｃツルマルビビッド, 84,石橋脩, 1.2, 77,   3,  14, 8, 19.7,⑫⑩⑨
 6,14,Ｅコスモジブリル, 43,松岡正, 0.3, 52,  -1, -16, 6, 10.7, ③②, 6,14,Ｂクｰルフォｰマ, 66,内田博, 1.5, 54,  -5,  -4, 1,  2.8, ⑪⑨, 6, 2,Ｊリネンスタイル, 46,村田一, 1.3, 60,  -1,   0,11,130.8,⑥⑧⑥, 6, 4,Ｍシンワラヴ, 75,後藤浩, 1.5, 74,   4,  10, 4, 10.8,⑥⑧⑨
 7, 6,Ｈトｰセンドミナス, 40,武士沢, 0.5, 45, -10,*-10, 4,  7.6, ⑩⑩, 7, 1,Ｄチョコサンデｰ, 62,木幡初, 1.6, 53,  -3,  -5, 6, 16.5, ⑨⑪, 7, 8,Ｉクリノラブダンス, 55,宮崎北, 1.3, 54,*  1,  -6, 7, 40.5,①①①, 7, 3,Ｈアポロイレヴン, 78,土谷智, 1.7, 74,   5,   7,13,105.2,⑥⑤⑤
 8, 8,Ａカシノブシドｰ, 55,岩部純, 0.5, 48,  -1, -19, 1,  3.8, ③④, 8, 4,Ｅベルモントペガサス, 59,安藤光, 1.6, 55,  -3,  -5,10, 46.5, ⑨⑨, 8, 9,Ｇキャスタスペルミｰ, 60,黛弘人, 1.9, 52,   0,  -9, 4, 10.7,⑥④⑥, 8,10,Ｆダノンマッハ, 80,吉田豊, 1.7, 74,   5,   5, 9, 35.1,⑤⑤⑤
