08年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 5月10日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1600m 3 歳500万(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,晩春ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9, スペｰスタイム,---,後藤浩,, 61,  -2,* -3, 2,  6.3, ⑤②, 1,14, タイキレｰザｰ,,横山義,,,,, 2,  3.0,④②②, 1, 7,Ａスｰパｰウｰマン, 68,蛯名正,, 68,* 18, -18, 1,  2.1, ①①, 1,11,Ａマイネルポライト, 87,後藤浩,, 81,   3,* 11, 1,  2.8, ⑬⑬
 2, 4,Ｃメイスンファｰスト, 55,田中勝, 0.6, 56,  -4,  -6, 3,  7.1, ⑧⑤, 2,11, ジュレップ,,浜野谷,200.4,,,, 4,  8.8,⑦⑥⑤, 2, 8,Ｃセイウンバリュｰ, 66,安藤勝, 0.1, 67,* 17, -17, 5, 11.5, ②②, 2,18,Ｇライトグランデュア, 79,鷹野宏, 0.1, 80,*  9,   1,10, 41.0, ④②
 3, 6,Ａツクバグランディ, 65,内田博, 0.6, 57,*  0, -10, 1,  1.6, ①①, 3, 7, ナカヤマスナイパｰ,,宗像徹,200.5,,,, 1,  2.7,⑥②③, 3, 6,Ｈミサトフリｰト, 61,大庭和, 0.1, 67,  14, -12,14,103.2, ⑧⑥, 3,17,Ｄスズカコｰズウェイ, 83,柴田善, 0.2, 79,   4,   5, 2,  4.9, ⑨⑪
 4, 1,Ｆケイエムチャンス, 47,吉田豊, 0.7, 56,  -4,  -7, 7, 28.9, ③⑤, 4, 5, アラメダキング,,柴田大,201.5,,,, 8, 32.4,③④③, 4,11,Ｌマイネフルｰレ, 57,松岡正, 0.2, 68,   9,* -3, 7, 32.9, ⑮⑬, 4,15,Ｅブラックオリｰブ, 80,内田博, 0.4, 78,   2,*  8, 6, 12.6, ⑮⑮
 5,13,Ｇファジｰネｰブル, 47,赤木高, 1.7, 48,*  0, -19,11,173.8, ②②, 5, 9, メジロラスタバン,,五十嵐,201.5,,,, 6, 20.6,⑧⑧⑧, 5,12,Ｂダイワジャンヌ, 67,武士沢, 0.2, 67,   9,* -5, 2,  4.8, ⑬⑫, 5, 5,Ｂキタノリュｰオｰ, 87,北村宏, 0.4, 75,   7,  -2, 5,  9.6, ⑤⑤
 6,11, トップハルサヤ,---,千葉直, 1.8, 44, -21,*  2,12,248.5, ⑬⑬, 5, 2, ダイワバンディット,,山本康,201.5,,,, 5, 14.7,④⑦⑦, 6, 5,Ｇスイｰトカルタゴ, 61,小野次, 0.5, 64,  14, -19, 8, 35.2, ⑥⑤, 6, 4,Ｍジｰンハンタｰ, 76,金折知, 0.4, 75,   6,  -1,17,136.1, ⑥⑤
 7, 7,Ｉコロネット, 42,鷹野宏, 2.6, 41,  -4, -23, 8, 39.5, ⑧⑤, 7,13, ワンモアスエルテ,,石神深,201.9,,,, 3,  6.8,①①①, 7,17,Ｎオｰスミビｰナス, 55,田中勝, 0.6, 64,   9,* -9,12, 65.6, ⑩⑬, 7,12,Ｉアップルサイダｰ, 79,小野次, 0.5, 77,   6,  -1, 3,  7.0, ⑥⑧
 8,10,Ｄベストカップル, 50,北村宏, 2.8, 37,  -5, -24, 6, 24.7, ⑪⑨, 8,10, マルタカタイロｰ,,大庭和,202.1,,,, 7, 23.6,②④⑥, 8, 9,Ｋステラフィッサ, 58,赤木高, 0.7, 61,  10, -15,10, 53.0, ⑨⑨, 8,14,Ｆビッグベアシチｰ, 79,菊沢隆, 0.5, 76,   0,*  9,14, 90.7, ⑱⑱
 9,12,Ｂロｰレルスクデット, 58,藤田伸, 2.8, 40,  -1, -27, 4,  8.6, ⑤②, 9,12, トットコヒｰロｰ,,菊地昇,207.1,,,,11, 56.8,⑩⑩⑩, 9,13,Ｊラドクリフヤｰド, 59,吉田隼, 0.9, 59,  13, -22, 4, 11.4, ⑥⑥, 9,13,Ｈマルブツライト, 79,赤木高, 0.8, 72,   0,   4,12, 50.0, ⑰⑰
10, 5,Ｈアドマイヤドｰム, 45,蛯名正, 3.1, 34,  -9, -23, 5, 13.0, ⑦⑩,10, 6, スミノバンビｰナ,,金子光,209.7,,,,12, 58.4,⑪⑪⑪,10, 4,Ｆオリヒメチャｰム, 62,福永祐, 0.9, 60,  10, -16,13, 66.0, ⑬⑨,10, 2,Ｃトップオブツヨシ, 84,安藤勝, 0.8, 71,   7,  -8, 4,  7.8, ⑥⑤
11, 2,Ｊフェアリｰラグｰン, 37,伊藤工, 3.3, 33, -10, -23,13,290.0, ⑧⑪,11, 1, シャドウパルマン,,穂苅寿,209.8,,,, 9, 38.7,⑪⑫⑫,11, 2,Ｉモエレカトリｰナ, 60,藤田伸, 1.1, 56,* 16, -29, 9, 51.5, ④③,11, 8,Ｐロックスピリッツ, 70,大庭和, 0.9, 71,   5,  -5,13, 74.3, ⑪⑪
12, 8,Ｅソンナノカンケｰネ, 49,松岡正, 3.6, 31,  -3, -33, 9, 45.6, ③⑤,12, 8, エクレｰルブラン,,平沢健,211.5,,,,10, 51.4,⑨⑨⑨,12,15,Ｑタイキティファニｰ, 50,吉田豊, 1.4, 54,  10, -25, 6, 16.6, ⑮⑨,12,16,Ｎコンティネント, 71,福永祐, 1.0, 69,*  8, -14, 7, 17.9, ①①
13, 3, プラネｰオ,---,大庭和, 5.0, 24, -11, -35,10,133.2, ⑪⑫,13, 4, コウヨウパイオニア,,江田勇,213.2,,,,14,119.6,⑬⑬⑬,13,10,Ｏタケデンスキップ, 54,伊藤直, 1.4, 54,   8, -19,17,299.6, ⑪⑬,13, 7,Ｌアクレイム, 76,吉田隼, 1.2, 67,   6, -11,11, 46.8, ⑪⑧
,,,,,,,,,,,,14, 3, ロｰレルエルドラド,,柴田未,221.6,,,,13,116.1,⑭⑭⑭,14,18, ワンダフルガｰル,---,矢内博, 1.7, 50,* 16, -38,16,132.0, ②③,14, 6,Ｒフサイチオフトラ, 63,藤田伸, 1.2, 67,*  9, -15, 9, 30.6, ②②
,,,,,,,,,,,,,,,,,,,,,,,,15,14,Ｐミサトミラクル, 53,郷原洋, 1.8, 50,   8, -25,18,329.2, ⑪⑬,15, 1,Ｊダイイチミラクル, 78,武士沢, 1.3, 65,   6, -12,15,120.5, ⑨⑧
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｄスパイオブラヴ, 63,柴田善, 1.8, 50,   6, -22, 3,  6.6, ⑮⑰,16,10,Ｑグリュｰエント, 70,吉田豊, 1.6, 63,   2,  -9,18,153.7, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,17, 3,Ｍポコアポコフォルテ, 55,大江原, 2.6, 41,   3, -29,11, 64.7, ⑱⑱,17, 3,Ｋゴｰルドマイン, 76,松岡正, 1.6, 62,   4, -14,16,125.7, ⑬⑬
,,,,,,,,,,,,,,,,,,,,,,,,18,16,Ｅコスモエラプション, 62,伊藤工, 2.8, 39,  13, -48,15,109.3, ④⑧,18, 9,Ｏケイアイケイマン, 71,田中勝, 1.8, 60,*  9, -23, 8, 25.4, ②②
