08年 7月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 7月12日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 7R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,灘ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａセイウンワンダｰ, 70,岩田康,, 70,* -5,*  5, 1,  1.1, ②②, 1, 5,Ｃメイショウセンゴク, 63,幸英明,, 71,*  5,   0, 3,  4.0, ②②, 1,10,Ｇロザリオ, 61,武豊  ,, 77,   7,*  0, 4,  5.4,⑩⑨⑤, 1, 5,Ｇダイナミックグロウ, 84,太宰啓,, 89,* 15,  12, 3, 17.4,①①①
 2,14,Ｅマイネルソレント, 52,佐藤哲, 1.0, 57,* -7,  -6, 4, 31.1, ③③, 2,15,Ｈファイナルコｰト, 56,藤岡康, 0.0, 69,  -5,* 12, 4, 14.1, ⑬⑩, 2, 5,Ａケイアイエポック, 68,幸英明, 0.4, 73,   5,* -2, 3,  5.4,⑪⑩⑨, 2,12,Ｄフラムドパシオン, 86,内田博, 0.1, 88,  13,* 16, 1,  1.2,⑥⑤⑤
 3, 9,Ｃリラックススマイル, 55,小牧太, 1.3, 57,  -9,  -6, 3, 23.6, ⑥⑥, 3, 2,Ｄハマノモナｰク, 63,渡辺薫, 0.1, 69,  -1,*  7, 7, 20.0, ⑩⑤, 3,12,Ｄアグネスファントム, 64,内田博, 0.4, 72,*  8,  -9, 2,  4.5,⑨⑧⑤, 3,11,Ｈダノンビクトリｰ, 83,小牧太, 1.0, 83,* 15,   5, 7, 35.6,②②②
 4, 5,Ｉキングスレガリア, 45,鮫島良, 1.4, 55,  -9,  -8, 6, 59.4, ⑦⑥, 4,13,Ａフサイチフウジン, 67,内田博, 0.5, 67,   1,   3, 5, 14.4, ⑨⑧, 4, 6,Ｆワンダｰアｰムフル, 62,石橋守, 1.1, 66,   4,  -7, 5, 14.4,⑬⑫⑪, 4,14,Ｍベルモントプロテア, 81,田中健, 1.0, 84,* 14,   5, 8, 54.2,④④②
 5, 1,Ｄシゲルシロウマダケ, 53,角田晃, 1.5, 55, -12,  -5, 5, 58.1, ⑩⑨, 5,12,Ｅマイネルスカｰル, 60,和田竜, 0.6, 65,   1,  -1, 6, 19.4, ⑦⑤, 5, 4,Ｈサクラサプライズ, 60,角田晃, 1.2, 65,*  9, -22, 7, 19.0,⑤③②, 5,10,Ａヤマタケゴｰルデン, 87,池田鉄, 1.0, 85,  10,* 15, 5, 29.1,⑫⑪⑦
 6, 7,Ｂウインスカイハイ, 56,武豊  , 1.8, 51, -14,  -8, 2,  8.1, ⑩⑫, 6, 4,Ｂメイクセンス, 64,福永祐, 0.7, 65,*  4,  -5, 1,  2.7, ③④, 6, 3,Ｂダンツエスエスティ, 66,田中克, 1.4, 62,*  8, -24, 8, 20.1,④③⑤, 6,15,Ｅフィｰルドオアシス, 85,岩田康, 1.1, 84,  12,  10, 2, 10.3,⑧⑥⑥
 7,11,Ｌテイエムリュウジン, 37,赤木高, 1.8, 49, -11, -12,10,123.5, ⑦⑧, 7,16,Ｉシルキｰライム, 52,太宰啓, 1.1, 60,  -7,*  6,10, 48.2, ⑮⑫, 7, 8,Ｋディベイタｰ, 55,芹沢純, 1.6, 61,   3, -12,13,200.6,⑫⑬⑬, 7,13,Ｆダイショウジェット, 84,橋本美, 1.2, 81,* 15,   2,10, 57.6,③③②
 8, 8,Ｎコスモタイムマシン, 31,浜中俊, 1.8, 55, -15,  -4,12,192.3, ⑫⑭, 8,11,Ｊマルヨフォｰティ, 48,浜中俊, 1.1, 60,  -2,  -2,11,110.3, ⑦⑧, 8, 9,Ｃウインモンスタｰ, 65,浜中俊, 1.8, 60,*  8, -31, 1,  3.2,⑤③②, 8, 2,Ｊフォグキャスケｰド, 83,渡辺薫, 1.5, 82,   8,* 14,12, 88.9,⑮⑯⑭
