08年12月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年12月14日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,美浦ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｆサルバドｰルアスカ, 52,北村宏,, 63,*  4,  -1, 5, 13.4, ③③, 1, 4, ブルｰベレッタ,,大庭和,,,,, 4,  8.4,②②③, 1,12,Ｃマイネルプリマス, 67,津村明,, 69,* -2,* 16, 5,  6.5,②②②, 1, 8,Ｌドットコム, 79,吉田隼,, 79,  14,* -7, 6, 17.2,⑬⑬⑮
 2,12,Ａティアップハｰレｰ, 64,吉田隼, 0.2, 60,   0,   1, 1,  2.9, ⑤⑥, 2, 3, スズカニｰル,,柴田大,202.1,,,,12,149.5,⑨⑧⑦, 2, 1,Ｄラタｰシュ, 67,蛯名正, 0.4, 68,  -5,* 17, 6, 13.3,⑧⑧⑧, 2, 1,Ａミッキｰチアフル, 87,三浦皇, 0.0, 80,* 18, -17, 3,  5.8,②②②
 3,15,Ｂノボパガｰレ, 60,三浦皇, 0.3, 59,   1,  -1, 4,  6.9, ④④, 3, 6, ドクタｰグリム,,横山義,202.3,,,, 1,  2.4,④③②, 3, 9,Ｂシｰフォｰアイ, 69,横山典, 0.4, 66,* -3,  13, 2,  4.7,①①①, 3, 6,Ｇネヴァキングダム, 80,北村宏, 0.1, 78,  14,* -7,10, 30.8,⑭⑮⑭
 4, 4,Ｃエアラスティング, 60,藤田伸, 0.4, 59,*  5,  -5, 2,  3.1, ①①, 4,13, コアレススイフト,,平沢健,202.3,,,, 2,  4.2,⑤⑥⑥, 4, 4, シツジツゴウケン,---,御神本, 0.7, 66,  -5,  16,12, 65.9,⑨⑨⑨, 4, 3,Ｐセタガヤフラッグ, 69,勝浦正, 0.2, 80,  15, -12,13, 73.8,⑦⑨⑨
 5, 5,Ｄコスモカラｰズ, 54,木幡初, 0.8, 55,*  5,  -9, 3,  6.4, ②②, 5, 7, シンモン,,高野和,202.4,,,, 6, 16.1,③④④, 5, 5,Ａカｰル, 69,内田博, 0.9, 63,  -4,  11, 1,  4.0,⑤⑤⑤, 5,13,Ｈブルｰマｰテル, 80,田中博, 0.2, 79,  14, -10, 8, 19.5,⑫⑫⑪
 6, 2,Ｉガイアファイア, 49,柴山雄, 1.0, 54,  -4,  -2, 9, 58.6, ⑧⑦, 6, 8, スルｰザグリｰン,,蓑島靖,202.7,,,,11,136.9,⑩⑨⑨, 6, 7,Ｆティアップザスタｰ, 62,藤田伸, 0.9, 64,  -5,  14, 8, 25.2,⑬⑩⑦, 6, 5,Ｎマイネルキｰロフ, 75,内田博, 0.3, 77,* 18, -21, 9, 26.1,③③③
 7,16,Ｐロックバニヤン,-12,梶晃啓, 1.2, 52,  -1,  -7,13,197.6, ⑥⑤, 7, 9, パｰプルコランダム,,浜野谷,202.9,,,, 9, 56.2,①①①, 7,14,Ｊザデイ, 58,北村宏, 1.0, 62,* -3,   9, 9, 37.9,④③③, 7,15,Ｄトウショウウェイヴ, 87,柴田善, 0.3, 78,  16, -16, 1,  2.3,⑨⑧⑦
 8, 7,Ｊロマンチックキブン, 46,御神本, 1.3, 51,  -2,  -6, 6, 15.5, ⑦⑧, 8, 5, サｰチエネミｰ,,穂苅寿,203.0,,,, 3,  4.8,⑥⑤⑤, 8, 8,Ｋフレンドケント, 51,勝浦正, 1.0, 64,  -4,  10, 7, 17.3,③④④, 8,11,Ｏエプソムアルテマ, 75,御神本, 0.3, 78,  13,* -7,16,159.9,⑮⑯⑯
