08年 1月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,08年 1月19日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ2400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,背振山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｄブルｰラヴ, 64,武豊  ,, 68,   1,*  5, 1,  2.5, ④③, 1, 4,Ｃメイショウロｰラン, 61,飯田祐,, 67,*  0,   1, 1,  2.5, ①①, 1,14,Ｆスナｰクエベレスト, 73,赤木高,, 79,   5,* 16, 7, 27.1,⑨⑬⑪, 1, 3,Ｅケンブリッジレｰザ, 74,安藤光,, 80,   8,   6, 3,  5.3,⑨⑦⑥
 2, 8,Ｇチャｰムキャップ, 57,的場勇, 0.2, 67,  -3,*  6, 5, 23.2, ⑤⑤, 2,14,Ｂマイネルコルベット, 62,和田竜, 0.3, 64,  -6,*  2, 2,  2.8, ⑤④, 2, 9,Ｂショウケイ, 81,武豊  , 0.1, 77,*  8,   9, 1,  2.3,⑫②①, 2,10,Ｂテンエイヤシャマル, 75,和田竜, 0.3, 80,   7,*  8, 4,  9.1,⑬⑫⑨
 3, 7,Ｃコウエイアンズ, 66,藤岡康, 0.2, 68,*  9,  -3, 4, 11.9, ②②, 3, 9,Ｇニュｰホｰプ, 53,荻野琢, 0.7, 58,  -8,  -1, 6, 22.2, ⑧⑧, 3,11,Ｍヤマノフェロｰ, 68,和田竜, 0.4, 76,   7,   8,11, 73.9,⑧⑧⑦, 3,14,Ｌウェンブリｰ, 69,武豊  , 0.3, 78,   8,   4, 1,  2.4,⑩⑨⑦
 4, 4,Ａミステリアスバイオ, 72,中舘英, 0.4, 63,  -5,*  5, 3,  3.7, ⑦⑦, 4,17,Ｅオサナゴコロノキミ, 56,梶晃啓, 0.7, 58,* -2,  -6, 5, 21.9, ③③, 4, 7,Ｄトシツカサオｰ, 79,浜中俊, 0.4, 74,   7,   7, 4,  6.9,③⑤④, 4, 8,Ａマイネコンテッサ, 82,中舘英, 0.4, 76,* 11,  -4, 2,  5.2,④④③
 5,10,Ｆメイショウアｰチャ, 58,荻野琢, 0.6, 62,  -2,   1, 7, 48.8, ⑤⑤, 5, 5,Ｈアドマイヤワイド, 52,藤岡康, 0.8, 56,  -7,  -4, 4, 12.2, ⑤⑥, 5,12,Ｋシュプリｰムロｰズ, 68,中村将, 0.5, 76,   5,* 13, 9, 57.9,⑬⑭⑬, 5, 9,Ｑカゼノユクエ, 67,北村友, 0.5, 77,   4,*  9,12, 60.3,⑮⑭⑪
 6, 1,Ｅクレバｰグレイス, 61,和田竜, 0.8, 63,* 10,  -7, 6, 24.4, ①①, 6, 7,Ａインテンスブルｰ, 68,武豊  , 0.8, 58, -20,* 10, 3,  6.4, ⑯⑬, 6,15,Ｏエドノエスポワｰル, 63,嘉藤貴, 0.7, 73,*  8,   3,12, 89.4,②①②, 6,18,Ｃサインオブゴッド, 75,小林久, 0.6, 72,* 11,  -9, 6, 18.3,②②①
 7, 6,Ｂヴィオレットステラ, 68,浜中俊, 0.9, 60,   5,  -6, 2,  2.9, ③③, 7,10,Ｌステラダルク, 47,中舘英, 0.9, 56,  -5,  -6, 7, 24.7, ⑤⑥, 7, 2,Ｊプレンティスピｰド, 70,梶晃啓, 0.9, 74,   7,   8,15,341.2,⑨⑩⑧, 7, 5,Ｐロストプロパティｰ, 67,丹内祐, 0.7, 74,   4,   6,10, 34.1,⑭⑭⑭
 8, 3,Ｉメイショウアｰリｰ, 51,太宰啓, 1.1, 56,  -6,   0, 8, 63.4, ⑦⑧, 8,11,Ｍロスアンゼルス, 47,宮崎北, 1.0, 54,* -1, -11,13, 93.9, ②②, 8, 6,Ｃアンビリｰバブル, 79,中舘英, 1.1, 71,*  8,   0, 2,  4.3,③②③, 8,17,Ｉエイシンテンリュｰ, 71,中村将, 0.8, 75,   2,* 10, 7, 23.4,⑯⑯⑯
 9, 2,Ｊキリポラリス, 50,松田大, 1.9, 49,  -8,  -6,10,110.7, ⑨⑨, 9, 8,Ｄユウフジ, 59,高橋亮, 1.0, 53, -12,  -1,12, 82.9, ⑫⑨, 9, 5,Ｇキタサンブシドウ, 71,藤岡康, 1.2, 71,   7,   2, 5, 16.3,⑥⑧⑧, 9,16,Ｒニシノウェｰブ, 61,田辺裕, 0.8, 71,   9,  -8,14, 97.9,②④③
10, 9,Ｈテイエムサンヒカリ, 55,芹沢純, 2.3, 42, -22,  -1, 9, 94.1, ⑪⑪,10, 1,Ｑアグネスルビｰ, 36,田中克, 1.1, 52, -16,*  2, 9, 50.9, ⑭⑬,10, 1,Ａサンアスレチック, 81,丹内祐, 1.7, 67,*  8,  -5, 3,  5.5,①②⑤,10, 1,Ｄディｰプウイング, 75,太宰啓, 1.1, 73,   1,*  8, 8, 27.2,⑱⑰⑰
11,11,Ｋセツ, 27,野元昭, 2.5, 41, -14,  -8,11,188.1, ⑩⑩,11,13,Ｆラブイズビクトリｰ, 53,大下智, 1.4, 48, -19,   1, 8, 28.2, ⑮⑰,11,13,Ｅテイエムジカッド, 76,古川吉, 1.8, 67,   5,   0,13, 92.1,⑬⑫⑭,11, 7,Ｈマルイチクエスト, 71,川島信, 1.1, 65,* 12, -18, 9, 27.5,①①②
,,,,,,,,,,,,12, 6,Ｎカストルキング, 40,松田大, 1.4, 49, -13,  -4,11, 72.6, ⑫⑬,12, 8,Ｌエクロジオン, 68,安藤光, 2.0, 66,   7,  -6, 8, 33.5,⑨⑥⑧,12, 6,Ｇホッカイルオｰ, 73,鈴来直, 1.1, 69,   7,  -6,16,114.1,⑩⑨⑪
,,,,,,,,,,,,13, 3,Ｐダイメイリリｰ, 38,二本柳, 1.4, 49,  -4, -14,10, 69.8, ③④,13, 4,Ｉトｰセンジュビリｰ, 70,高橋智, 2.1, 66,   6,  -4,14,102.8,⑥⑩⑪,13, 4,Ｆシンボリハイドン, 73,赤木高, 1.2, 70,   1,*  8,18,154.4,⑰⑰⑰
,,,,,,,,,,,,14,16,Ｊリッチメロス, 50,赤木高, 1.4, 49,  -9,  -8,15,152.4, ⑧⑨,14,10,Ｈアドミラビリス, 70,大下智, 2.2, 66,   5,   0, 6, 21.7,⑬⑮⑮,14, 2,Ｋアドマイヤハｰト, 70,芹沢純, 1.2, 68,   5,  -4, 5, 17.5,⑫⑫⑭
,,,,,,,,,,,,15,15,Ｉキングセンプｰ, 50,野元昭, 1.4, 49, -11,  -7,18,371.7, ⑪⑫,15, 3,Ｎヒシルｰマｰ, 63,田中健, 2.5, 64,   7, -10,10, 58.3,③⑥⑤,15,13,Ｍモエレコネクション, 69,梶晃啓, 1.4, 64,* 10, -19,17,129.9,④③③
,,,,,,,,,,,,16, 2,Ｋトウカイカスタム, 47,浜中俊, 1.5, 47, -21,   0,16,165.7, ⑯⑯,,,,,,,,,,,,,16,15,Ｎサクラサクセス, 68,藤岡康, 1.5, 64,   8, -15,13, 70.1,④⑦⑨
,,,,,,,,,,,,17,12,Ｒオｰラノツバサ, 24,千葉直, 2.0, 40, -21,  -6,17,243.0, ⑯⑱,,,,,,,,,,,,,17,12,Ｊミココロ, 70,嘉藤貴, 2.4, 56,  10, -28,15,105.8,⑦⑥⑦
,,,,,,,,,,,,18,18,Ｏスティｰルシャｰク, 39,北村友, 2.1, 40,  -8, -19,14,130.3, ⑧⑨,,,,,,,,,,,,,18,11,Ｏゴｰルドルパン, 67,浜中俊, 2.4, 56,   7, -25,11, 57.6,⑦⑨⑪
ｸﾗｽ上位平均:63 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:65 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:73 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:74 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:-3),,,,,,,,,,,
"単勝:250円 複勝:05=130円 08=410円 07=260円 枠連:2,190円",,,,,,,,,,,,単勝:250円 複勝:04=130円 14=120円 09=280円 枠連:450円,,,,,,,,,,,,"単勝:2,710円 複勝:14=520円 09=220円 11=2,210円 枠連:2,310円",,,,,,,,,,,,"単勝:530円 複勝:03=200円 10=240円 14=140円 枠連:2,970円",,,,,,,,,,,
"馬連:2,760円 ワイド:05-08=920円 05-07=370円 07-08=1,750円",,,,,,,,,,,,馬連:500円 ワイド:04-14=210円 04-09=600円 09-14=820円,,,,,,,,,,,,"馬連:3,690円 ワイド:09-14=1,100円 11-14=9,800円 09-11=4,090円",,,,,,,,,,,,"馬連:3,020円 ワイド:03-10=1,110円 03-14=450円 10-14=510円",,,,,,,,,,,
"馬単:4,120円 3連複:5,430円",,,,,,,,,,,,"馬単:930円 3連複:1,840円",,,,,,,,,,,,"馬単:10,070円 3連複:62,400円",,,,,,,,,,,,"馬単:5,190円 3連複:3,630円 3連単:29,700円",,,,,,,,,,,
■ 2R  芝1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 5R  芝1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  ダ1700m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,早鞆特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
